accuracy,id,lat,lng,speed,time,type
7.6,0,36.410044,127.260854,22.09,1696666079000,START
7.5,0,36.410125,127.261081,22.11,1696666080000,NORMAL
6.5,0,36.410315,127.261552,23.87,1696666082000,NORMAL
6.5,0,36.410402,127.261789,23.87,1696666083000,NORMAL
6.5,0,36.410593,127.262283,24.08,1696666085000,NORMAL
9.0,0,36.410688,127.262537,24.98,1696666086000,NORMAL
6.5,0,36.410797,127.262786,25.17,1696666087000,NORMAL
8.2,0,36.411024,127.263279,25.17,1696666089000,NORMAL
8.2,0,36.411145,127.263539,25.19,1696666090000,NORMAL
11.0,0,36.411391,127.264060,26.95,1696666092000,NORMAL
11.3,0,36.411657,127.264618,28.11,1696666094000,NORMAL
13.6,0,36.411801,127.264922,29.49,1696666095000,NORMAL
13.4,0,36.411922,127.265176,29.49,1696666096000,NORMAL
8.1,0,36.412184,127.265733,28.06,1696666098000,NORMAL
11.7,0,36.412451,127.266344,30.73,1696666100000,NORMAL
10.8,0,36.412703,127.266933,29.90,1696666102000,NORMAL
8.2,0,36.412823,127.267224,29.59,1696666103000,NORMAL
8.2,0,36.413120,127.267867,31.97,1696666105000,NORMAL
8.2,0,36.413314,127.268533,32.14,1696666107000,NORMAL
8.2,0,36.413399,127.268899,33.22,1696666108000,NORMAL
10.8,0,36.413476,127.269239,32.64,1696666109000,NORMAL
12.4,0,36.413654,127.269909,32.43,1696666111000,NORMAL
8.1,0,36.413819,127.270629,33.08,1696666113000,NORMAL
8.1,0,36.413986,127.271363,33.66,1696666115000,NORMAL
7.9,0,36.414149,127.272073,33.40,1696666117000,NORMAL
7.9,0,36.414357,127.272798,33.80,1696666119000,NORMAL
7.9,0,36.414484,127.273134,33.63,1696666120000,NORMAL
7.9,0,36.414720,127.273828,33.59,1696666122000,NORMAL
8.1,0,36.415048,127.274461,33.88,1696666124000,NORMAL
8.1,0,36.415403,127.275069,33.65,1696666126000,NORMAL
8.1,0,36.415824,127.275688,35.26,1696666128000,NORMAL
8.1,0,36.416032,127.275966,34.91,1696666129000,NORMAL
8.1,0,36.416254,127.276257,35.56,1696666130000,NORMAL
8.1,0,36.416507,127.276465,34.95,1696666131000,NORMAL
8.1,0,36.416990,127.276943,34.58,1696666133000,NORMAL
8.1,0,36.417260,127.277155,34.87,1696666134000,NORMAL
8.1,0,36.417826,127.277563,35.96,1696666136000,NORMAL
8.1,0,36.418385,127.277924,35.36,1696666138000,NORMAL
8.1,0,36.418661,127.278088,34.81,1696666139000,NORMAL
8.1,0,36.419258,127.278319,34.95,1696666141000,NORMAL
8.1,0,36.419543,127.278389,33.92,1696666142000,NORMAL
8.1,0,36.419815,127.278463,32.58,1696666143000,NORMAL
8.1,0,36.420108,127.278532,32.65,1696666144000,NORMAL
8.1,0,36.420394,127.278581,32.34,1696666145000,NORMAL
8.0,0,36.420973,127.278687,31.92,1696666147000,NORMAL
8.0,0,36.421427,127.278664,27.63,1696666149000,NORMAL
8.1,0,36.421856,127.278649,24.56,1696666151000,NORMAL
8.0,0,36.422257,127.278605,22.93,1696666153000,NORMAL
8.0,0,36.422437,127.278577,21.96,1696666154000,NORMAL
7.9,0,36.422627,127.278533,21.86,1696666155000,NORMAL
7.9,0,36.422994,127.278468,21.31,1696666157000,NORMAL
7.9,0,36.423365,127.278378,21.40,1696666159000,NORMAL
7.9,0,36.423547,127.278333,21.42,1696666160000,NORMAL
7.9,0,36.423742,127.278288,21.55,1696666161000,NORMAL
7.9,0,36.423940,127.278246,21.80,1696666162000,NORMAL
7.7,0,36.424339,127.278164,22.12,1696666164000,NORMAL
7.9,0,36.424528,127.278151,21.96,1696666165000,NORMAL
8.0,0,36.424931,127.278116,22.30,1696666167000,NORMAL
7.9,0,36.425373,127.278022,23.60,1696666169000,NORMAL
7.8,0,36.425597,127.277971,24.21,1696666170000,NORMAL
7.8,0,36.425830,127.277917,25.03,1696666171000,NORMAL
8.0,0,36.426316,127.277805,25.90,1696666173000,NORMAL
8.0,0,36.426555,127.277743,26.25,1696666174000,NORMAL
7.9,0,36.427023,127.277658,26.37,1696666176000,NORMAL
7.8,0,36.427514,127.277567,27.06,1696666178000,NORMAL
7.9,0,36.427788,127.277537,27.88,1696666179000,NORMAL
8.1,0,36.428273,127.277455,27.53,1696666181000,NORMAL
8.1,0,36.428760,127.277432,27.53,1696666183000,NORMAL
8.0,0,36.429294,127.277461,28.05,1696666185000,NORMAL
8.0,0,36.429547,127.277496,27.62,1696666186000,NORMAL
8.0,0,36.429796,127.277548,27.70,1696666187000,NORMAL
8.0,0,36.430291,127.277699,28.58,1696666189000,NORMAL
8.1,0,36.430775,127.277915,29.16,1696666191000,NORMAL
7.9,0,36.431284,127.278174,30.13,1696666193000,NORMAL
8.1,0,36.431538,127.278304,30.13,1696666194000,NORMAL
7.8,0,36.431759,127.278496,29.81,1696666195000,NORMAL
8.1,0,36.431995,127.278683,29.93,1696666196000,NORMAL
8.3,0,36.432255,127.278868,30.56,1696666197000,NORMAL
8.5,0,36.432444,127.279043,29.62,1696666198000,NORMAL
9.3,0,36.432646,127.279239,29.54,1696666199000,NORMAL
10.5,0,36.433009,127.279705,29.47,1696666201000,NORMAL
9.6,0,36.433385,127.280209,29.65,1696666203000,NORMAL
9.4,0,36.433577,127.280487,30.63,1696666204000,NORMAL
10.2,0,36.433734,127.280751,30.11,1696666205000,NORMAL
12.0,0,36.434028,127.281304,29.87,1696666207000,NORMAL
12.4,0,36.434336,127.281917,30.42,1696666209000,NORMAL
9.6,0,36.434613,127.282481,29.75,1696666211000,NORMAL
7.8,0,36.434896,127.283056,29.67,1696666213000,NORMAL
7.8,0,36.435040,127.283335,29.29,1696666214000,NORMAL
7.8,0,36.435303,127.283843,27.71,1696666216000,NORMAL
7.7,0,36.435412,127.284061,26.01,1696666217000,NORMAL
7.9,0,36.435643,127.284524,25.31,1696666219000,NORMAL
7.9,0,36.435852,127.284945,23.78,1696666221000,NORMAL
8.2,0,36.435957,127.285158,23.46,1696666222000,NORMAL
8.5,0,36.436156,127.285560,22.36,1696666224000,NORMAL
9.0,0,36.436358,127.285969,21.99,1696666226000,NORMAL
10.5,0,36.436574,127.286364,21.67,1696666228000,NORMAL
12.4,0,36.436674,127.286573,21.68,1696666229000,NORMAL
14.3,0,36.436773,127.286779,21.67,1696666230000,NORMAL
12.2,0,36.436831,127.286894,19.76,1696666231000,NORMAL
9.7,0,36.436923,127.287055,19.55,1696666232000,NORMAL
8.7,0,36.437111,127.287390,19.06,1696666234000,NORMAL
7.9,0,36.437237,127.287527,18.37,1696666235000,NORMAL
8.1,0,36.437512,127.287726,17.35,1696666237000,NORMAL
8.0,0,36.437809,127.287756,15.40,1696666239000,NORMAL
7.9,0,36.438075,127.287647,14.24,1696666241000,NORMAL
7.9,0,36.438176,127.287553,14.04,1696666242000,NORMAL
7.7,0,36.438364,127.287256,14.90,1696666244000,NORMAL
7.7,0,36.438458,127.287136,14.88,1696666245000,NORMAL
7.8,0,36.438557,127.287016,14.99,1696666246000,NORMAL
7.7,0,36.438638,127.286853,15.91,1696666247000,NORMAL
8.0,0,36.438815,127.286580,16.44,1696666249000,NORMAL
8.0,0,36.439055,127.286375,16.08,1696666251000,NORMAL
8.0,0,36.439194,127.286308,15.89,1696666252000,NORMAL
8.0,0,36.439353,127.286242,17.12,1696666253000,NORMAL
8.0,0,36.439705,127.286187,19.39,1696666255000,NORMAL
7.9,0,36.439887,127.286188,20.13,1696666256000,NORMAL
7.9,0,36.440235,127.286178,20.09,1696666258000,NORMAL
7.9,0,36.440612,127.286178,20.47,1696666260000,NORMAL
8.0,0,36.441003,127.286154,20.82,1696666262000,NORMAL
8.0,0,36.441366,127.286148,20.14,1696666264000,NORMAL
7.9,0,36.441553,127.286121,20.15,1696666265000,NORMAL
7.8,0,36.441912,127.286129,20.20,1696666267000,NORMAL
8.1,0,36.442294,127.286146,21.26,1696666269000,NORMAL
8.0,0,36.442727,127.286130,22.84,1696666271000,NORMAL
7.9,0,36.443169,127.286111,23.89,1696666273000,NORMAL
8.0,0,36.443367,127.286126,23.29,1696666274000,NORMAL
8.0,0,36.443580,127.286137,23.08,1696666275000,NORMAL
8.1,0,36.443988,127.286139,23.08,1696666277000,NORMAL
8.2,0,36.444214,127.286142,23.93,1696666278000,NORMAL
8.3,0,36.444440,127.286144,24.62,1696666279000,NORMAL
8.4,0,36.444659,127.286172,25.08,1696666280000,NORMAL
8.3,0,36.445110,127.286159,24.88,1696666282000,NORMAL
8.2,0,36.445334,127.286156,24.64,1696666283000,NORMAL
8.1,0,36.445788,127.286128,24.58,1696666285000,NORMAL
8.1,0,36.446231,127.286127,24.51,1696666287000,NORMAL
8.1,0,36.446661,127.286114,23.95,1696666289000,NORMAL
8.1,0,36.446866,127.286110,23.49,1696666290000,NORMAL
8.1,0,36.447294,127.286102,23.32,1696666292000,NORMAL
8.1,0,36.447500,127.286091,23.57,1696666293000,NORMAL
8.0,0,36.447718,127.286076,24.15,1696666294000,NORMAL
7.9,0,36.448154,127.286049,25.04,1696666296000,NORMAL
7.9,0,36.448591,127.285998,24.71,1696666298000,NORMAL
7.9,0,36.448795,127.285993,24.21,1696666299000,NORMAL
