accuracy,id,lat,lng,speed,time,type
4.0,1,36.342749,127.4239949,17.18,1696751133311,START
4.0,2,36.34261,127.4236593,16.740002,1696751135342,NORMAL
3.0,3,36.3425346,127.4234982,16.710001,1696751136313,NORMAL
4.0,4,36.3423694,127.4231974,15.9800005,1696751138314,NORMAL
4.0,5,36.3422606,127.4230267,15.93,1696751139380,NORMAL
3.0,6,36.3420399,127.4227795,15.9800005,1696751141379,NORMAL
3.0,7,36.3419303,127.4226632,15.4800005,1696751142396,NORMAL
3.0,8,36.3417412,127.4224497,12.710001,1696751144380,NORMAL
3.0,9,36.3416659,127.4223546,11.950001,1696751145368,NORMAL
3.0,10,36.3415299,127.4221965,9.56,1696751147372,NORMAL
3.0,11,36.3414801,127.4221328,7.9600005,1696751148476,NORMAL
3.0,12,36.3413613,127.4220187,8.75,1696751150454,NORMAL
3.0,13,36.3412921,127.4219415,10.360001,1696751151380,NORMAL
3.0,14,36.3411476,127.4217626,11.13,1696751153385,NORMAL
3.0,15,36.3410799,127.4216771,10.740001,1696751154380,NORMAL
3.0,16,36.3409798,127.4215501,6.7500005,1696751156374,NORMAL
3.0,17,36.3409524,127.4215151,4.3700004,1696751157379,NORMAL
3.0,18,36.3409275,127.4214832,1.19,1696751159381,NORMAL
3.0,19,36.3409275,127.4214832,0.0,1696751160380,NORMAL
3.0,20,36.3409275,127.4214832,0.0,1696751162386,NORMAL
3.0,21,36.3409275,127.4214832,0.0,1696751163508,NORMAL
3.0,22,36.3409275,127.4214832,0.0,1696751165511,NORMAL
3.0,23,36.3409275,127.4214832,0.0,1696751168377,NORMAL
3.0,24,36.3409275,127.4214832,0.0,1696751169503,NORMAL
3.0,25,36.3409275,127.4214832,0.0,1696751171384,NORMAL
3.0,26,36.3409275,127.4214832,0.0,1696751172375,NORMAL
3.0,27,36.3409275,127.4214832,0.0,1696751174489,NORMAL
3.0,28,36.3409275,127.4214832,0.0,1696751175508,NORMAL
3.0,29,36.3409275,127.4214832,0.0,1696751177386,NORMAL
3.0,30,36.3409275,127.4214832,0.0,1696751178500,NORMAL
3.0,31,36.3409275,127.4214832,0.0,1696751180490,NORMAL
3.0,32,36.3409275,127.4214832,0.0,1696751183449,NORMAL
3.0,33,36.3409275,127.4214832,0.0,1696751184425,NORMAL
3.0,34,36.3409275,127.4214832,0.0,1696751186371,NORMAL
3.0,35,36.3409275,127.4214832,0.0,1696751187379,NORMAL
3.0,36,36.3409275,127.4214832,0.0,1696751189507,NORMAL
3.0,37,36.3409275,127.4214832,0.0,1696751192387,NORMAL
3.0,38,36.3409275,127.4214832,0.0,1696751193465,NORMAL
3.0,39,36.3409275,127.4214832,0.0,1696751195443,NORMAL
3.0,40,36.3409275,127.4214832,0.0,1696751196379,NORMAL
3.0,41,36.3409275,127.4214832,0.0,1696751198486,NORMAL
3.0,42,36.3409275,127.4214832,0.0,1696751199477,NORMAL
3.0,43,36.3409275,127.4214832,0.0,1696751200493,NORMAL
3.0,44,36.3409275,127.4214832,0.0,1696751202371,NORMAL
3.0,45,36.3409275,127.4214832,0.0,1696751204458,NORMAL
3.0,46,36.3409275,127.4214832,0.0,1696751205476,NORMAL
3.0,47,36.3409275,127.4214832,0.0,1696751207380,NORMAL
3.0,48,36.3409275,127.4214832,0.0,1696751208396,NORMAL
3.0,49,36.3409275,127.4214832,0.0,1696751210394,NORMAL
3.0,50,36.3409275,127.4214832,0.0,1696751211379,NORMAL
3.0,51,36.3409275,127.4214832,0.0,1696751213360,NORMAL
3.0,52,36.3409275,127.4214832,0.0,1696751214496,NORMAL
3.0,53,36.3409275,127.4214832,0.0,1696751216383,NORMAL
3.0,54,36.3409275,127.4214832,0.0,1696751217378,NORMAL
3.0,55,36.3409275,127.4214832,0.0,1696751219477,NORMAL
3.0,56,36.3409275,127.4214832,0.0,1696751220496,NORMAL
3.0,57,36.3409275,127.4214832,0.0,1696751222381,NORMAL
3.0,58,36.3409275,127.4214832,0.0,1696751223380,NORMAL
3.0,59,36.3409275,127.4214832,0.0,1696751224496,NORMAL
3.0,60,36.3409275,127.4214832,0.0,1696751226379,NORMAL
3.0,61,36.3409275,127.4214832,0.0,1696751228381,NORMAL
3.0,62,36.3409275,127.4214832,0.0,1696751229478,NORMAL
3.0,63,36.3409275,127.4214832,0.0,1696751230497,NORMAL
