accuracy,id,lat,lng,speed,time,type
15.06,1,36.4714737,127.227295,0.0024998793,1696738528204,START
13.02,2,36.4714852,127.2272958,0.12265494,1696738529205,NORMAL
10.02,3,36.4714233,127.2272957,0.3702999,1696738531202,NORMAL
9.666,4,36.4714133,127.2273013,0.0666174,1696738532195,NORMAL
8.4,5,36.4713972,127.2273081,0.055016655,1696738534171,NORMAL
7.983,6,36.4713866,127.227312,0.1765,1696738535166,NORMAL
7.516,7,36.4713832,127.227306,0.021478474,1696738537171,NORMAL
7.383,8,36.4713822,127.2273022,0.0060328566,1696738538165,NORMAL
7.12,9,36.4713736,127.2272871,0.023409965,1696738540177,NORMAL
7.04,10,36.4713733,127.2272819,0.02419319,1696738541199,NORMAL
6.94,11,36.4713733,127.2272659,0.004036253,1696738543197,NORMAL
6.88,12,36.4713624,127.2272664,0.18750215,1696738544209,NORMAL
6.72,13,36.4713561,127.227279,0.023126645,1696738546203,NORMAL
6.64,14,36.4713566,127.2272857,0.028216692,1696738547214,NORMAL
6.483,15,36.4713685,127.2273082,0.48860443,1696738549205,NORMAL
6.34,16,36.4713718,127.2273091,0.462746,1696738550211,NORMAL
6.15,17,36.4713883,127.2273098,0.0028577046,1696738552209,NORMAL
5.94,18,36.4714014,127.227311,0.00858745,1696738553201,NORMAL
5.72,19,36.4714061,127.227316,7.153199E-4,1696738555212,NORMAL
5.64,20,36.4714065,127.2273165,2.1661544E-4,1696738556208,NORMAL
5.52,21,36.4714067,127.2273167,2.394834E-5,1696738558202,NORMAL
5.48,22,36.4714067,127.2273167,6.90212E-6,1696738559201,NORMAL
5.416,23,36.4714067,127.2273167,6.5413985E-7,1696738561204,NORMAL
5.36,24,36.4714067,127.2273167,2.128852E-7,1696738562207,NORMAL
5.3,25,36.4714067,127.2273167,3.5777784E-8,1696738564201,NORMAL
5.24,26,36.4714067,127.2273167,1.3471913E-8,1696738565209,NORMAL
5.183,27,36.4714067,127.2273167,6.203011E-10,1696738567205,NORMAL
5.14,28,36.4714067,127.2273167,1.5737325E-10,1696738568208,NORMAL
5.083,29,36.4714067,127.2273167,3.1133922E-11,1696738570205,NORMAL
5.04,30,36.4714067,127.2273167,9.064185E-12,1696738571207,NORMAL
4.983,31,36.4714067,127.2273167,1.1948254E-12,1696738573202,NORMAL
4.94,32,36.4714067,127.2273167,3.7441038E-13,1696738574215,NORMAL
4.9,33,36.4714067,127.2273167,3.0122253E-14,1696738576201,NORMAL
4.85,34,36.4714067,127.2273167,7.982988E-15,1696738577203,NORMAL
4.766,35,36.4714067,127.2273167,7.1595285E-16,1696738579205,NORMAL
4.68,36,36.4714067,127.2273167,2.2954826E-16,1696738580181,NORMAL
4.58,37,36.4713736,127.2273732,0.045151588,1696738582207,NORMAL
4.52,38,36.4713568,127.2273928,0.3308815,1696738583207,NORMAL
4.44,39,36.4713393,127.227405,0.025566887,1696738585204,NORMAL
4.4,40,36.4713339,127.2274096,0.007243447,1696738586214,NORMAL
4.35,41,36.4713319,127.2274115,8.043464E-4,1696738588207,NORMAL
4.32,42,36.4713318,127.2274116,3.426974E-4,1696738589205,NORMAL
4.266,43,36.4713069,127.2274185,0.015518647,1696738591205,NORMAL
4.24,44,36.4713007,127.2274195,0.014652302,1696738592204,NORMAL
4.216,45,36.4712939,127.22742,0.0018950477,1696738594202,NORMAL
4.2,46,36.4712935,127.22742,9.2060823E-4,1696738595204,NORMAL
4.2,47,36.4712933,127.22742,7.525007E-5,1696738597203,NORMAL
4.2,48,36.4712933,127.22742,1.4153462E-5,1696738598208,NORMAL
4.2,49,36.4712933,127.22742,2.0599791E-6,1696738600202,NORMAL
4.2,50,36.4712933,127.22742,4.1509102E-7,1696738601209,NORMAL
4.2,51,36.4712933,127.22742,4.071932E-8,1696738603209,NORMAL
4.2,52,36.4712933,127.22742,1.3661399E-8,1696738604214,NORMAL
4.183,53,36.4712933,127.22742,4.5587237E-10,1696738606202,NORMAL
4.16,54,36.4712933,127.22742,2.095685E-10,1696738607205,NORMAL
4.133,55,36.4712933,127.22742,3.268045E-12,1696738609203,NORMAL
4.1,56,36.4712933,127.22742,7.491495E-13,1696738610210,NORMAL
4.083,57,36.4712933,127.22742,1.7540671E-13,1696738612205,NORMAL
4.066,58,36.4712933,127.22742,3.622744E-14,1696738613199,NORMAL
4.033,59,36.4712933,127.22742,3.3015796E-15,1696738615208,NORMAL
4.0,60,36.4712831,127.2274402,0.30098686,1696738616205,NORMAL
4.0,61,36.4712949,127.2274576,0.40829343,1696738618207,NORMAL
4.0,62,36.4713027,127.2274637,0.4822528,1696738619205,NORMAL
4.0,63,36.4713176,127.2274707,0.0049142465,1696738621206,NORMAL
4.0,64,36.4713205,127.2274725,0.0013016043,1696738622209,NORMAL
4.0,65,36.4713263,127.2274804,0.68419,1696738624207,NORMAL
3.98,66,36.4713288,127.2274855,0.72662055,1696738625212,NORMAL
3.96,67,36.4713245,127.2274908,0.006822441,1696738627211,NORMAL
3.94,68,36.4713179,127.2274917,0.6067284,1696738628217,NORMAL
3.916,69,36.4713056,127.2274986,0.5790016,1696738630211,NORMAL
3.92,70,36.4712974,127.2275024,0.6417297,1696738631212,NORMAL
3.9,71,36.471286,127.2275224,0.75974965,1696738633204,NORMAL
3.88,72,36.4712836,127.2275358,0.06356589,1696738634217,NORMAL
3.866,73,36.4712795,127.2275606,0.06546792,1696738636196,NORMAL
3.86,74,36.4712844,127.2275708,0.008302449,1696738637207,NORMAL
3.866,75,36.471294,127.2275951,1.1074061,1696738639215,NORMAL
3.88,76,36.4712986,127.2276101,0.08787615,1696738640212,NORMAL
3.9,77,36.4713089,127.2276383,0.0066930917,1696738642206,NORMAL
3.9,78,36.4713153,127.2276487,0.0044857087,1696738643207,NORMAL
3.9,79,36.4713267,127.2276773,1.3069918,1696738645209,NORMAL
3.883,80,36.4713354,127.2276893,1.3097519,1696738646207,NORMAL
3.866,81,36.4713486,127.2277123,1.3008902,1696738648203,NORMAL
3.86,82,36.4713554,127.2277242,1.2941688,1696738649207,NORMAL
3.866,83,36.4713755,127.2277558,1.3186928,1696738651208,NORMAL
3.88,84,36.4713904,127.2277779,1.3585274,1696738652210,NORMAL
3.9,85,36.4714312,127.2278205,1.63855,1696738654199,NORMAL
3.9,86,36.4714489,127.227845,1.741938,1696738655215,NORMAL
3.9,87,36.4714815,127.2278803,1.8980359,1696738657205,NORMAL
3.9,88,36.4715021,127.2278876,1.9915646,1696738658211,NORMAL
3.883,89,36.4715538,127.2278808,2.1976864,1696738660211,NORMAL
3.88,90,36.4715781,127.2278813,2.2754593,1696738661209,NORMAL
3.866,91,36.4716278,127.2278924,2.3556755,1696738663205,NORMAL
3.86,92,36.4716606,127.2278973,2.4051578,1696738664215,NORMAL
3.9,93,36.4717452,127.2279115,2.8344557,1696738666206,NORMAL
3.92,94,36.4717882,127.2279219,3.0190783,1696738667212,NORMAL
3.916,95,36.4718605,127.2279487,3.30727,1696738669207,NORMAL
3.88,96,36.4718969,127.2279649,3.4375176,1696738670210,NORMAL
3.85,97,36.4719609,127.2279872,3.6220207,1696738672208,NORMAL
3.84,98,36.4719858,127.2279918,3.683733,1696738673208,NORMAL
3.8,99,36.4720273,127.2280019,3.614462,1696738675207,NORMAL
3.68,100,36.4720499,127.2280105,3.4805505,1696738676208,NORMAL
3.58,101,36.4720938,127.2280245,3.1875038,1696738678209,NORMAL
3.64,102,36.4721152,127.228027,3.063457,1696738679204,NORMAL
3.58,103,36.4721594,127.228025,2.9245443,1696738681208,NORMAL
3.466,104,36.4721875,127.2280239,2.9150183,1696738682207,NORMAL
3.416,105,36.4722458,127.2280299,2.959258,1696738684203,NORMAL
3.5,106,36.4722695,127.228033,2.8861115,1696738685208,NORMAL
3.52,107,36.4723143,127.2280438,2.7921216,1696738687208,NORMAL
3.3,108,36.4723351,127.2280542,2.797844,1696738688219,NORMAL
3.383,109,36.4723803,127.228072,2.770733,1696738690205,NORMAL
3.46,110,36.4724025,127.2280846,2.7292693,1696738691208,NORMAL
3.35,111,36.4724449,127.2281159,2.601907,1696738693205,NORMAL
3.24,112,36.47247,127.2281347,2.6206808,1696738694222,NORMAL
3.366,113,36.4725274,127.2281773,2.8024282,1696738696202,NORMAL
3.366,114,36.4725572,127.2281938,2.8761091,1696738697207,NORMAL
3.4,115,36.4726081,127.2282129,2.9285617,1696738699201,NORMAL
3.36,116,36.4726312,127.2282174,2.9382665,1696738700214,NORMAL
3.483,117,36.4726723,127.2282424,2.9716513,1696738702200,NORMAL
3.483,118,36.4726956,127.228256,2.966138,1696738703190,NORMAL
3.483,119,36.4727324,127.228288,2.7352993,1696738705206,NORMAL
3.38,120,36.4727518,127.2283077,2.6637173,1696738706206,NORMAL
3.38,121,36.4727907,127.22834,2.4978085,1696738708205,NORMAL
3.56,122,36.4728208,127.2283538,2.5144932,1696738709206,NORMAL
3.483,123,36.4728897,127.2284021,2.6638718,1696738711202,NORMAL
3.42,124,36.4729077,127.2284182,2.7015812,1696738712214,NORMAL
3.516,125,36.4729613,127.2284558,2.8409848,1696738714206,NORMAL
3.6,126,36.4729933,127.2284705,2.9806738,1696738715198,NORMAL
3.55,127,36.4730438,127.2284892,3.246012,1696738717209,NORMAL
3.52,128,36.473072,127.2284946,3.3777244,1696738718217,NORMAL
3.56,129,36.4731332,127.2285063,3.5064695,1696738720209,NORMAL
3.68,130,36.4731648,127.2285121,3.49763,1696738721206,NORMAL
3.65,131,36.4732239,127.2285165,3.504193,1696738723205,NORMAL
3.64,132,36.4732625,127.2285159,3.6001012,1696738724224,NORMAL
3.716,133,36.4733345,127.2285277,3.6326704,1696738726185,NORMAL
3.716,134,36.473373,127.2285348,3.6485567,1696738727207,NORMAL
3.733,135,36.4734491,127.2285408,3.7202628,1696738729208,NORMAL
3.72,136,36.4734857,127.2285398,3.7702916,1696738730222,NORMAL
3.7,137,36.4735527,127.2285394,3.8080866,1696738732208,NORMAL
3.76,138,36.4735796,127.2285322,3.7589395,1696738733212,NORMAL
3.716,139,36.4736138,127.2285073,3.463309,1696738735208,NORMAL
3.716,140,36.4736268,127.2284927,3.2933311,1696738736212,NORMAL
3.683,141,36.4736347,127.228454,2.9187272,1696738738210,NORMAL
3.683,142,36.4736325,127.2284288,2.8335798,1696738739210,NORMAL
3.6,143,36.4736371,127.2283684,2.5928726,1696738741205,NORMAL
3.4,144,36.4736463,127.2283405,2.4608974,1696738742207,NORMAL
3.416,145,36.4736709,127.2283014,2.277108,1696738744207,NORMAL
3.5,146,36.473683,127.2282896,2.2188196,1696738745206,NORMAL
3.383,147,36.4737085,127.2282682,2.087107,1696738747203,NORMAL
3.24,148,36.4737245,127.2282691,2.0258934,1696738748221,NORMAL
3.316,149,36.4737552,127.2282855,1.9650748,1696738750204,NORMAL
3.42,150,36.4737702,127.2282954,1.9164345,1696738751210,NORMAL
3.3,151,36.4738011,127.2283137,1.8551195,1696738753203,NORMAL
3.2,152,36.4738187,127.2283296,1.8948959,1696738754217,NORMAL
3.35,153,36.4738502,127.2283646,1.8921338,1696738756204,NORMAL
3.48,154,36.4738642,127.2283775,1.8902719,1696738757204,NORMAL
4.171,155,36.4738818,127.2283887,1.6973172,1696738759195,NORMAL
4.25,156,36.4738894,127.228376,1.3496078,1696738760220,NORMAL
