accuracy,id,lat,lng,speed,time,type
15.2,1,36.4914764,127.2678318,0.12991953,1696752563014,START
14.4,2,36.4914762,127.2678315,0.0586667,1696752564029,NORMAL
12.8,3,36.4914926,127.2678487,0.42227617,1696752566023,NORMAL
11.2,4,36.4915002,127.2678559,0.65294844,1696752567030,NORMAL
9.6,5,36.4915041,127.267858,0.33357736,1696752569035,NORMAL
8.8,6,36.491504,127.2678603,0.09519427,1696752570046,NORMAL
8.0,7,36.4915035,127.267862,0.04375171,1696752572043,NORMAL
8.0,8,36.4915039,127.2678487,0.5703533,1696752573029,NORMAL
8.081,9,36.4915036,127.2678422,0.32141718,1696752575041,NORMAL
8.081,10,36.4915048,127.2678425,0.10507748,1696752576024,NORMAL
8.081,11,36.4915059,127.2678431,0.027238013,1696752578020,NORMAL
8.162,12,36.491506,127.2678433,0.018121468,1696752579043,NORMAL
8.162,13,36.4915059,127.2678433,0.0031933335,1696752581025,NORMAL
8.139,14,36.4915059,127.2678433,8.21728E-4,1696752582031,NORMAL
7.314,15,36.491495,127.267851,0.1522874,1696752584025,NORMAL
7.028,16,36.4914965,127.2678445,0.23735291,1696752585027,NORMAL
6.457,17,36.4914985,127.2678292,0.3400983,1696752587023,NORMAL
6.2,18,36.4914989,127.2678235,0.28555682,1696752588032,NORMAL
6.0,19,36.4915013,127.2678217,0.19535069,1696752590024,NORMAL
6.0,20,36.4915024,127.2678242,0.11020189,1696752591025,NORMAL
6.0,21,36.4915032,127.267831,0.121559516,1696752593044,NORMAL
6.0,22,36.4915026,127.2678281,0.3017691,1696752594041,NORMAL
6.8,23,36.491499,127.2678168,0.5662647,1696752596039,NORMAL
7.2,24,36.4914974,127.267811,0.53850996,1696752597032,NORMAL
8.0,25,36.4914995,127.2677959,0.5056283,1696752599046,NORMAL
8.0,26,36.4915004,127.267793,0.4069126,1696752600030,NORMAL
8.0,27,36.4915027,127.2677912,0.37441233,1696752602029,NORMAL
8.0,28,36.4915047,127.2677914,0.36473858,1696752603029,NORMAL
8.0,29,36.4915126,127.2677944,0.58331686,1696752605042,NORMAL
8.0,30,36.4915173,127.2678022,0.4585519,1696752606041,NORMAL
8.0,31,36.4915276,127.2678267,0.52810466,1696752608028,NORMAL
8.0,32,36.4915351,127.2678335,0.6755603,1696752609044,NORMAL
8.0,33,36.4915483,127.2678556,0.8385883,1696752611029,NORMAL
8.0,34,36.4915559,127.2678709,0.91735613,1696752612024,NORMAL
8.0,35,36.4915731,127.2679062,1.0351143,1696752614036,NORMAL
8.0,36,36.49158,127.2679258,1.1135069,1696752615025,NORMAL
8.0,37,36.491598,127.2679674,1.2582735,1696752617033,NORMAL
8.0,38,36.4916088,127.267987,1.3081294,1696752618038,NORMAL
8.0,39,36.4916297,127.2680284,1.4181811,1696752620047,NORMAL
8.0,40,36.4916415,127.2680502,1.4664539,1696752621029,NORMAL
8.0,41,36.4916716,127.2680994,1.606444,1696752623035,NORMAL
8.0,42,36.4916882,127.2681303,1.7052648,1696752624042,NORMAL
8.0,43,36.4917237,127.2681962,1.7611516,1696752626023,NORMAL
8.0,44,36.4917358,127.2682199,1.7997038,1696752627032,NORMAL
8.0,45,36.4917566,127.2682641,1.8470966,1696752629036,NORMAL
8.0,46,36.4917626,127.2682758,1.812946,1696752630028,NORMAL
8.0,47,36.4917694,127.2682875,1.7666446,1696752631032,NORMAL
8.0,48,36.4917802,127.2683096,1.6739104,1696752633031,NORMAL
8.0,49,36.4917907,127.2683421,1.6166065,1696752635032,NORMAL
8.0,50,36.4917922,127.2683587,1.5731487,1696752636043,NORMAL
8.0,51,36.4917771,127.268382,1.5281231,1696752638027,NORMAL
8.0,52,36.4917647,127.2683887,1.5850264,1696752639038,NORMAL
8.0,53,36.491701,127.2684277,1.8272668,1696752641034,NORMAL
8.0,54,36.4916718,127.2684541,1.9487605,1696752642038,NORMAL
8.0,55,36.4916227,127.2684929,2.1170928,1696752644032,NORMAL
8.0,56,36.4915994,127.2685123,2.1997447,1696752645023,NORMAL
8.0,57,36.4915493,127.2685495,2.3395238,1696752647025,NORMAL
8.0,58,36.4915237,127.2685628,2.3979192,1696752648028,NORMAL
8.0,59,36.4914654,127.2685953,2.542158,1696752650018,NORMAL
8.0,60,36.4914384,127.2686067,2.5303485,1696752651023,NORMAL
8.0,61,36.4913982,127.2686328,2.4986525,1696752653028,NORMAL
8.0,62,36.4913815,127.2686387,2.4785457,1696752654043,NORMAL
8.0,63,36.4913395,127.2686545,2.4266472,1696752656021,NORMAL
8.0,64,36.4913207,127.2686621,2.3773832,1696752657043,NORMAL
8.0,65,36.4913049,127.2686705,2.3269992,1696752658038,NORMAL
8.0,66,36.4912689,127.2686826,2.2732213,1696752660042,NORMAL
8.0,67,36.4912399,127.2686986,2.1830082,1696752662035,NORMAL
7.666,68,36.4912332,127.2687061,2.1326065,1696752663025,NORMAL
7.0,69,36.4912099,127.2687224,2.0240543,1696752665021,NORMAL
6.666,70,36.4911982,127.2687298,1.9659683,1696752666031,NORMAL
6.8,71,36.4911824,127.2687396,1.81306,1696752668027,NORMAL
7.2,72,36.491178,127.2687433,1.1755215,1696752669037,NORMAL
7.666,73,36.4911759,127.2687458,0.79647094,1696752671021,NORMAL
8.0,74,36.4911723,127.2687493,0.73615384,1696752672029,NORMAL
8.0,75,36.491163,127.268758,0.7309208,1696752674030,NORMAL
8.0,76,36.4911571,127.2687607,0.7499009,1696752675024,NORMAL
8.0,77,36.491141,127.268759,0.8649919,1696752677031,NORMAL
8.0,78,36.4911259,127.2687556,0.9511417,1696752678041,NORMAL
8.0,79,36.4911002,127.2687225,1.160325,1696752680023,NORMAL
8.0,80,36.491083,127.2686911,1.4219803,1696752681038,NORMAL
8.0,81,36.4910521,127.2686173,1.9208292,1696752683023,NORMAL
8.0,82,36.491035,127.2685747,2.1904953,1696752684028,NORMAL
8.0,83,36.4909918,127.2684611,2.901981,1696752686025,NORMAL
8.0,84,36.4909635,127.2683916,3.2550662,1696752687032,NORMAL
8.0,85,36.4909211,127.2682585,3.7002418,1696752689052,NORMAL
8.0,86,36.4908986,127.2681935,3.9065583,1696752690032,NORMAL
8.0,87,36.4908256,127.2680309,4.556242,1696752692027,NORMAL
8.0,88,36.490785,127.2679505,4.8229876,1696752693030,NORMAL
9.333,89,36.4907194,127.2678188,5.6546216,1696752695032,NORMAL
10.4,90,36.4906874,127.2677542,6.1676583,1696752696054,NORMAL
11.333,91,36.4906026,127.26762,7.1615243,1696752698030,NORMAL
12.0,92,36.4905568,127.2675583,7.072375,1696752699033,NORMAL
12.0,93,36.490473,127.2674459,6.6678276,1696752701031,NORMAL
11.333,94,36.4904325,127.2673924,6.4900603,1696752702028,NORMAL
9.6,95,36.4903434,127.2673001,6.5553885,1696752704034,NORMAL
9.333,96,36.4902934,127.2672533,6.649474,1696752705026,NORMAL
8.0,97,36.4901961,127.2671629,6.7466936,1696752707047,NORMAL
8.0,98,36.4901457,127.2671152,7.1498585,1696752708029,NORMAL
7.6,99,36.4900381,127.2670038,7.568814,1696752710033,NORMAL
7.333,100,36.4899819,127.2669432,7.7446365,1696752711033,NORMAL
7.0,101,36.489872,127.2668263,7.665558,1696752713029,NORMAL
6.8,102,36.4898196,127.2667704,7.487891,1696752714030,NORMAL
7.333,103,36.4897221,127.2666664,6.9802117,1696752716024,NORMAL
8.0,104,36.4896822,127.2666222,6.2863226,1696752717046,NORMAL
8.0,105,36.4896358,127.2665567,4.314213,1696752719047,NORMAL
8.0,106,36.4896228,127.2665365,3.364997,1696752720022,NORMAL
8.0,107,36.4896009,127.2665093,2.017857,1696752722023,NORMAL
8.0,108,36.4895895,127.266499,2.161441,1696752723038,NORMAL
8.0,109,36.4895428,127.2664692,2.6268795,1696752725022,NORMAL
8.0,110,36.4895164,127.2664424,3.0958626,1696752726034,NORMAL
7.666,111,36.4894584,127.2663535,4.380904,1696752728033,NORMAL
7.666,112,36.4894285,127.2662943,4.9167795,1696752729020,NORMAL
7.666,113,36.4893599,127.2661583,6.019262,1696752731020,NORMAL
8.0,114,36.4893287,127.2660859,6.2888536,1696752732033,NORMAL
8.0,115,36.4892664,127.2659446,6.7288523,1696752734031,NORMAL
8.0,116,36.4892362,127.2658724,6.889833,1696752735032,NORMAL
8.0,117,36.4891713,127.2657215,7.2089477,1696752737026,NORMAL
8.0,118,36.4891403,127.2656469,7.0626917,1696752738037,NORMAL
8.0,119,36.489085,127.2655172,6.5357947,1696752740039,NORMAL
8.0,120,36.489059,127.2654548,6.2640224,1696752741032,NORMAL
8.0,121,36.4890177,127.2653598,4.8080277,1696752743024,NORMAL
8.0,122,36.489005,127.2653303,3.9180777,1696752744042,NORMAL
8.0,123,36.4889948,127.2653083,0.16164437,1696752746035,NORMAL
8.0,124,36.4889999,127.2653198,0.43690273,1696752747045,NORMAL
8.0,125,36.4890032,127.2653278,4.909525E-4,1696752749034,NORMAL
8.0,126,36.489004,127.2653297,5.905626E-4,1696752750032,NORMAL
8.0,127,36.4890045,127.265331,1.5761748E-4,1696752752044,NORMAL
8.0,128,36.4890073,127.2653255,1.2786243,1696752753030,NORMAL
8.0,129,36.4889954,127.26528,2.5525095,1696752755038,NORMAL
8.0,130,36.4889897,127.2652524,2.8131273,1696752756040,NORMAL
8.0,131,36.4889674,127.2651771,3.4305797,1696752758028,NORMAL
8.0,132,36.488967,127.2651307,3.5951252,1696752759030,NORMAL
8.0,133,36.4889647,127.2650391,3.5754535,1696752761033,NORMAL
8.0,134,36.4889468,127.2649975,3.5773704,1696752762034,NORMAL
8.8,135,36.4889086,127.2649248,3.2694893,1696752764037,NORMAL
8.8,136,36.4888977,127.2648907,3.3226233,1696752765047,NORMAL
8.8,137,36.4888704,127.2648166,3.5318625,1696752767040,NORMAL
8.666,138,36.4888562,127.2647785,3.4956443,1696752768028,NORMAL
8.0,139,36.4888253,127.2647117,3.561733,1696752770025,NORMAL
8.0,140,36.4888035,127.2646781,3.5827017,1696752771029,NORMAL
8.0,141,36.4887827,127.2646455,3.553589,1696752772025,NORMAL
8.0,142,36.4887432,127.2645811,3.2852778,1696752774026,NORMAL
8.0,143,36.48871,127.264523,2.5167906,1696752776031,NORMAL
8.0,144,36.4886951,127.2644951,2.2931614,1696752777035,NORMAL
8.0,145,36.4886775,127.2644687,0.09862143,1696752779022,NORMAL
8.0,146,36.4886793,127.2644721,0.0047212476,1696752780053,NORMAL
8.0,147,36.4886808,127.264475,2.611661E-4,1696752782029,NORMAL
8.0,148,36.488681,127.2644754,1.3186786E-4,1696752783022,NORMAL
8.0,149,36.4886812,127.2644757,2.8736298E-5,1696752785042,NORMAL
8.0,150,36.4886812,127.2644758,1.3414889E-5,1696752786032,NORMAL
8.0,151,36.4886812,127.2644758,2.9063413E-6,1696752788031,NORMAL
8.0,152,36.4886812,127.2644758,1.3527371E-6,1696752789032,NORMAL
8.0,153,36.4886812,127.2644758,2.9337994E-7,1696752791029,NORMAL
8.0,154,36.4886812,127.2644758,1.3632314E-7,1696752792036,NORMAL
8.0,155,36.4886812,127.2644758,2.959887E-8,1696752794027,NORMAL
8.0,156,36.4886812,127.2644758,1.3770456E-8,1696752795030,NORMAL
8.0,157,36.4886812,127.2644758,2.9777119E-9,1696752797038,NORMAL
8.0,158,36.4886812,127.2644758,1.1041401E-8,1696752798029,NORMAL
8.0,159,36.4886819,127.2644715,0.2708238,1696752800031,NORMAL
8.0,160,36.4886822,127.2644689,0.12200804,1696752801033,NORMAL
8.0,161,36.4886696,127.2644159,1.264001,1696752803033,NORMAL
8.0,162,36.4886559,127.2643808,1.8691858,1696752804034,NORMAL
8.0,163,36.488621,127.2643041,2.7005928,1696752806026,NORMAL
8.0,164,36.4886008,127.2642616,3.100261,1696752807034,NORMAL
8.0,165,36.4885591,127.2641682,3.9062011,1696752809028,NORMAL
8.0,166,36.4885389,127.2641193,4.1362243,1696752810044,NORMAL
8.0,167,36.4885038,127.2640253,4.613351,1696752812042,NORMAL
8.0,168,36.4884849,127.2639733,4.9544334,1696752813041,NORMAL
11.333,169,36.4884401,127.2638586,5.834834,1696752815041,NORMAL
14.0,170,36.4884127,127.2637931,6.335412,1696752816032,NORMAL
16.0,171,36.4883504,127.2636397,6.652203,1696752818042,NORMAL
16.666,172,36.4883272,127.263575,6.5041475,1696752819030,NORMAL
15.333,173,36.4883018,127.2634879,5.299617,1696752821029,NORMAL
12.8,174,36.4882885,127.263448,4.8809686,1696752822037,NORMAL
12.8,175,36.4882655,127.2633774,3.8939314,1696752824037,NORMAL
12.666,176,36.4882591,127.2633349,4.125371,1696752825030,NORMAL
12.0,177,36.4882345,127.2632231,4.0421667,1696752827051,NORMAL
12.0,178,36.4882192,127.2631677,3.7531965,1696752828033,NORMAL
10.666,179,36.4881925,127.2630512,3.6379445,1696752830027,NORMAL
10.0,180,36.4881836,127.2630038,3.6685126,1696752831031,NORMAL
9.333,181,36.4881609,127.2629203,3.3193238,1696752833032,NORMAL
9.6,182,36.4881391,127.2628785,3.2518244,1696752834032,NORMAL
10.666,183,36.4880812,127.2628002,3.3173053,1696752836028,NORMAL
10.666,184,36.4880519,127.2627565,3.4623017,1696752837025,NORMAL
12.0,185,36.4880085,127.262676,3.428022,1696752839030,NORMAL
12.0,186,36.4879869,127.2626346,3.494363,1696752840027,NORMAL
12.0,187,36.4879453,127.262564,3.4469764,1696752842022,NORMAL
12.0,188,36.4879279,127.2625302,4.0401483,1696752843034,NORMAL
10.666,189,36.4879036,127.2624836,4.660141,1696752844025,NORMAL
10.4,190,36.4878499,127.2623752,5.618442,1696752846032,NORMAL
11.2,191,36.4877876,127.2622431,6.526343,1696752848050,NORMAL
12.0,192,36.4877603,127.2621786,6.6150723,1696752849029,NORMAL
11.2,193,36.4877121,127.2620569,5.949835,1696752851052,NORMAL
10.4,194,36.4876928,127.2620048,5.4336014,1696752852063,NORMAL
8.8,195,36.4876609,127.2619201,4.429377,1696752854040,NORMAL
8.666,196,36.487649,127.2618858,3.9068668,1696752855030,NORMAL
8.0,197,36.4876361,127.2618203,3.7213726,1696752857039,NORMAL
8.0,198,36.4876297,127.2617869,3.793615,1696752858033,NORMAL
8.0,199,36.4875838,127.2617177,4.495292,1696752860037,NORMAL
8.0,200,36.487546,127.2616826,4.610398,1696752861038,NORMAL
8.8,201,36.4875023,127.2615902,4.9469633,1696752863052,NORMAL
8.8,202,36.4874756,127.2615338,5.4626403,1696752864039,NORMAL
10.4,203,36.4874131,127.2614053,5.912659,1696752866047,NORMAL
10.666,204,36.4873811,127.2613432,6.009066,1696752867029,NORMAL
10.0,205,36.4873227,127.2612309,5.669843,1696752869036,NORMAL
10.0,206,36.4872968,127.261177,5.540255,1696752870030,NORMAL
8.0,207,36.4872413,127.2610648,5.6846204,1696752872044,NORMAL
8.0,208,36.4872075,127.2609972,6.303294,1696752873041,NORMAL
8.0,209,36.4871293,127.2608439,6.9078436,1696752875038,NORMAL
8.0,210,36.4870893,127.2607641,7.1874576,1696752876030,NORMAL
8.0,211,36.4870089,127.2606022,7.3719893,1696752878041,NORMAL
8.0,212,36.486971,127.2605228,7.579217,1696752879042,NORMAL
8.0,213,36.4868812,127.2603412,8.536326,1696752881048,NORMAL
8.0,214,36.4868337,127.2602436,8.85821,1696752882040,NORMAL
7.666,215,36.4867398,127.2600438,9.613445,1696752884028,NORMAL
7.333,216,36.4866935,127.2599409,9.845431,1696752885033,NORMAL
6.666,217,36.4866,127.2597294,10.476204,1696752887035,NORMAL
6.0,218,36.486551,127.2596206,10.754302,1696752888034,NORMAL
6.0,219,36.4864504,127.2593946,10.748347,1696752890046,NORMAL
6.0,220,36.486404,127.2592884,10.566972,1696752891038,NORMAL
7.0,221,36.486326,127.259091,9.863193,1696752893031,NORMAL
7.0,222,36.4862905,127.2589978,9.696383,1696752894027,NORMAL
7.0,223,36.4862197,127.2588194,9.277263,1696752896036,NORMAL
7.0,224,36.4861859,127.2587321,9.166928,1696752897030,NORMAL
6.4,225,36.4861219,127.2585617,8.664787,1696752899030,NORMAL
6.666,226,36.4860932,127.2584874,8.3579235,1696752900031,NORMAL
7.333,227,36.4860474,127.2583545,7.214345,1696752902027,NORMAL
7.666,228,36.4860296,127.2583029,6.3623943,1696752903033,NORMAL
8.0,229,36.4860164,127.2582635,5.579617,1696752904034,NORMAL
8.0,230,36.4860042,127.2582127,3.5376494,1696752906048,NORMAL
8.0,231,36.4860025,127.2581934,1.7467828,1696752908032,NORMAL
8.0,232,36.4860054,127.2581894,1.8495468,1696752909034,NORMAL
8.666,233,36.4860121,127.2581737,2.125766,1696752910033,NORMAL
10.4,234,36.4860394,127.2581398,2.425963,1696752912041,NORMAL
11.2,235,36.4860648,127.2581203,3.263442,1696752913034,NORMAL
12.0,236,36.4861517,127.2580557,5.4730945,1696752915027,NORMAL
11.333,237,36.4862563,127.2579806,6.2059355,1696752917037,NORMAL
11.2,238,36.4863073,127.2579473,6.2951427,1696752918042,NORMAL
11.2,239,36.4864224,127.2578821,6.633486,1696752920037,NORMAL
12.0,240,36.4864824,127.2578503,6.6197815,1696752921037,NORMAL
10.666,241,36.4866069,127.2577861,6.441541,1696752923042,NORMAL
10.0,242,36.4866678,127.2577549,6.1552777,1696752924025,NORMAL
8.666,243,36.4867654,127.2577078,4.998978,1696752926023,NORMAL
8.0,244,36.4868038,127.2576916,4.322441,1696752927044,NORMAL
8.0,245,36.4868567,127.2576729,3.3715706,1696752929025,NORMAL
8.0,246,36.4868769,127.2576664,3.1403592,1696752930032,NORMAL
8.0,247,36.4869144,127.2576532,2.4062376,1696752932031,NORMAL
8.0,248,36.4869289,127.2576471,2.0615568,1696752933044,NORMAL
8.0,249,36.4869449,127.2576403,1.4250575,1696752935022,NORMAL
8.0,250,36.4869509,127.2576379,1.1765594,1696752936042,NORMAL
8.666,251,36.4869623,127.2576335,0.0711713,1696752938026,NORMAL
8.8,252,36.4869588,127.2576353,0.003921288,1696752939028,NORMAL
8.666,253,36.4869571,127.2576361,0.011465771,1696752941033,NORMAL
8.8,254,36.4869565,127.2576365,5.4830575E-4,1696752942031,NORMAL
8.0,255,36.486956,127.2576367,8.881921E-5,1696752944031,NORMAL
8.0,256,36.486956,127.2576368,4.3359985E-5,1696752945029,NORMAL
8.666,257,36.4869559,127.2576368,6.476015E-6,1696752947028,NORMAL
9.333,258,36.4869559,127.2576368,3.5538426E-6,1696752948034,NORMAL
11.2,259,36.4869512,127.2576401,0.023888083,1696752950029,NORMAL
11.333,260,36.4869495,127.2576415,0.2847464,1696752951023,NORMAL
12.022,261,36.4869646,127.2576358,2.3821201,1696752953036,NORMAL
12.019,262,36.4869961,127.257622,3.373038,1696752954018,NORMAL
10.4,263,36.4871129,127.257575,5.004979,1696752956044,NORMAL
10.0,264,36.4871813,127.257547,5.6839767,1696752957031,NORMAL
8.8,265,36.4873311,127.2574855,6.910227,1696752959051,NORMAL
9.6,266,36.4874137,127.2574519,7.4235387,1696752960051,NORMAL
10.666,267,36.4875951,127.2573811,8.312121,1696752962029,NORMAL
