accuracy,id,lat,lng,speed,time,type
48.5,0,36.382585,127.319553,0.00,1696921091000,START
38.6,0,36.382774,127.319561,8.23,1696921095000,NORMAL
30.7,0,36.382911,127.319610,8.62,1696921097000,NORMAL
27.5,0,36.382982,127.319643,8.62,1696921098000,NORMAL
21.1,0,36.383036,127.319645,8.63,1696921099000,NORMAL
20.2,0,36.383108,127.319669,8.89,1696921100000,NORMAL
19.8,0,36.383241,127.319741,8.89,1696921102000,NORMAL
24.5,0,36.383378,127.319808,8.83,1696921104000,NORMAL
24.7,0,36.383492,127.319885,8.70,1696921106000,NORMAL
24.6,0,36.383710,127.320005,8.50,1696921108000,NORMAL
24.6,0,36.383779,127.320043,7.66,1696921109000,NORMAL
24.6,0,36.383847,127.320080,7.66,1696921110000,NORMAL
24.5,0,36.383918,127.320103,6.78,1696921111000,NORMAL
24.5,0,36.384012,127.320171,5.55,1696921113000,NORMAL
24.4,0,36.384067,127.320199,4.55,1696921115000,NORMAL
24.4,0,36.384088,127.320211,2.07,1696921117000,NORMAL
24.4,0,36.384097,127.320219,2.07,1696921118000,NORMAL
24.4,0,36.384087,127.320218,0.13,1696921120000,STOP
24.3,0,36.384093,127.320204,1.43,1696921172000,NORMAL
24.3,0,36.384119,127.320219,3.08,1696921173000,NORMAL
24.3,0,36.384157,127.320242,4.57,1696921174000,NORMAL
24.3,0,36.384273,127.320310,7.55,1696921176000,NORMAL
24.3,0,36.384414,127.320396,8.90,1696921178000,NORMAL
24.3,0,36.384490,127.320441,9.64,1696921179000,NORMAL
24.3,0,36.384635,127.320526,10.37,1696921181000,NORMAL
24.3,0,36.384887,127.320299,11.79,1696921183000,NORMAL
24.3,0,36.385079,127.320148,13.02,1696921185000,NORMAL
24.3,0,36.385289,127.319964,14.37,1696921187000,NORMAL
24.3,0,36.385518,127.319773,15.44,1696921189000,NORMAL
24.3,0,36.385637,127.319673,15.90,1696921190000,NORMAL
24.3,0,36.385878,127.319471,16.05,1696921192000,NORMAL
24.3,0,36.386119,127.319277,15.94,1696921194000,NORMAL
24.3,0,36.386343,127.319085,15.03,1696921196000,NORMAL
24.3,0,36.386455,127.318999,14.62,1696921197000,NORMAL
24.3,0,36.386676,127.318832,14.35,1696921199000,NORMAL
24.3,0,36.386787,127.318748,14.42,1696921200000,NORMAL
