accuracy,id,lat,lng,speed,time,type
24.3,0,37.477892,127.041430,7.64,1696890160000,START
24.3,0,37.477773,127.041326,7.75,1696890162000,NORMAL
24.3,0,37.477647,127.041220,8.86,1696890164000,NORMAL
24.3,0,37.477578,127.041161,9.28,1696890165000,NORMAL
24.3,0,37.477430,127.041025,9.80,1696890167000,NORMAL
24.3,0,37.477361,127.040953,9.89,1696890168000,NORMAL
24.3,0,37.477231,127.040845,8.57,1696890170000,NORMAL
24.3,0,37.477125,127.040758,6.83,1696890172000,NORMAL
24.3,0,37.477079,127.040721,6.51,1696890173000,NORMAL
24.3,0,37.476970,127.040626,7.36,1696890175000,NORMAL
24.3,0,37.476923,127.040573,7.00,1696890176000,NORMAL
24.3,0,37.476822,127.040466,7.23,1696890178000,NORMAL
24.3,0,37.476692,127.040376,8.53,1696890180000,NORMAL
24.3,0,37.476563,127.040268,8.30,1696890182000,NORMAL
24.3,0,37.476501,127.040210,8.38,1696890183000,NORMAL
24.3,0,37.476374,127.040099,8.75,1696890185000,NORMAL
24.3,0,37.476307,127.040053,8.65,1696890186000,NORMAL
24.3,0,37.476171,127.039934,8.86,1696890188000,NORMAL
24.3,0,37.476062,127.039820,7.72,1696890190000,NORMAL
24.3,0,37.476012,127.039768,7.13,1696890191000,NORMAL
24.3,0,37.475966,127.039725,6.35,1696890192000,NORMAL
24.3,0,37.475897,127.039666,4.54,1696890194000,NORMAL
24.3,0,37.475828,127.039626,5.12,1696890196000,NORMAL
24.3,0,37.475771,127.039630,6.11,1696890197000,NORMAL
24.3,0,37.475717,127.039626,6.00,1696890198000,NORMAL
24.3,0,37.475585,127.039574,7.10,1696890200000,NORMAL
24.3,0,37.475441,127.039482,8.98,1696890202000,NORMAL
24.3,0,37.475305,127.039348,9.49,1696890204000,NORMAL
24.3,0,37.475200,127.039138,10.83,1696890206000,NORMAL
24.3,0,37.475159,127.039027,10.96,1696890207000,NORMAL
24.3,0,37.475123,127.038905,11.40,1696890208000,NORMAL
24.3,0,37.475057,127.038650,11.78,1696890210000,NORMAL
24.3,0,37.475022,127.038516,12.41,1696890211000,NORMAL
24.3,0,37.474976,127.038375,12.78,1696890212000,NORMAL
24.3,0,37.474904,127.038125,11.90,1696890214000,NORMAL
24.3,0,37.474884,127.038009,11.20,1696890215000,NORMAL
24.3,0,37.474863,127.037786,9.69,1696890217000,NORMAL
24.3,0,37.474860,127.037684,8.95,1696890218000,NORMAL
24.3,0,37.474854,127.037520,6.34,1696890220000,NORMAL
24.3,0,37.474868,127.037472,4.61,1696890221000,NORMAL
24.3,0,37.474900,127.037410,3.31,1696890223000,NORMAL
24.3,0,37.474930,127.037402,3.17,1696890224000,NORMAL
24.3,0,37.474996,127.037431,3.93,1696890226000,NORMAL
24.3,0,37.475099,127.037484,7.00,1696890228000,NORMAL
24.3,0,37.475116,127.037637,7.97,1696890229000,NORMAL
24.3,0,37.475211,127.037780,8.15,1696890231000,NORMAL
24.3,0,37.475248,127.037849,7.70,1696890232000,NORMAL
24.3,0,37.475321,127.037983,6.92,1696890234000,NORMAL
24.3,0,37.475357,127.038051,7.36,1696890235000,NORMAL
24.3,0,37.475430,127.038202,7.40,1696890237000,NORMAL
24.3,0,37.475485,127.038314,5.07,1696890239000,NORMAL
24.3,0,37.475493,127.038349,3.56,1696890240000,NORMAL
24.3,0,37.475493,127.038390,3.00,1696890241000,NORMAL
24.3,0,37.475485,127.038427,1.31,1696890243000,NORMAL
24.3,0,37.475481,127.038454,1.03,1696890245000,NORMAL
24.3,0,37.475439,127.038519,4.40,1696890247000,NORMAL
24.3,0,37.475377,127.038526,6.00,1696890248000,NORMAL
24.3,0,37.475218,127.038542,9.44,1696890250000,NORMAL
24.3,0,37.475120,127.038547,10.66,1696890251000,NORMAL
24.3,0,37.474925,127.038551,10.85,1696890253000,NORMAL
24.3,0,37.474827,127.038553,10.72,1696890254000,NORMAL
24.3,0,37.474730,127.038556,10.62,1696890255000,NORMAL
24.3,0,37.474635,127.038558,10.46,1696890256000,NORMAL
24.3,0,37.474447,127.038558,10.42,1696890258000,NORMAL
24.3,0,37.474346,127.038558,10.99,1696890259000,NORMAL
24.3,0,37.474129,127.038560,11.85,1696890261000,NORMAL
24.3,0,37.473924,127.038559,11.46,1696890263000,NORMAL
24.3,0,37.473822,127.038559,11.34,1696890264000,NORMAL
24.3,0,37.473615,127.038556,12.01,1696890266000,NORMAL
24.3,0,37.473398,127.038553,12.10,1696890268000,NORMAL
24.3,0,37.473182,127.038550,12.11,1696890270000,NORMAL
24.3,0,37.472949,127.038551,13.17,1696890272000,NORMAL
24.3,0,37.472824,127.038552,13.79,1696890273000,NORMAL
24.3,0,37.472572,127.038552,14.00,1696890275000,NORMAL
24.3,0,37.472319,127.038541,14.05,1696890277000,NORMAL
24.3,0,37.472062,127.038538,14.21,1696890279000,NORMAL
24.3,0,37.471942,127.038541,13.92,1696890280000,NORMAL
24.3,0,37.471687,127.038536,14.26,1696890282000,NORMAL
24.3,0,37.471554,127.038533,14.77,1696890283000,NORMAL
24.3,0,37.471421,127.038539,14.67,1696890284000,NORMAL
24.3,0,37.471172,127.038567,13.59,1696890286000,NORMAL
24.3,0,37.470958,127.038607,11.34,1696890288000,NORMAL
24.3,0,37.470867,127.038625,10.20,1696890289000,NORMAL
24.3,0,37.470719,127.038655,7.91,1696890291000,NORMAL
24.3,0,37.470602,127.038684,6.33,1696890293000,NORMAL
24.3,0,37.470514,127.038710,4.48,1696890295000,NORMAL
24.3,0,37.470459,127.038728,2.85,1696890297000,NORMAL
24.3,0,37.470447,127.038732,1.58,1696890298000,NORMAL
24.3,0,37.470448,127.038732,0.02,1696890300000,STOP
24.3,0,37.470420,127.038735,2.77,1696890367000,NORMAL
24.3,0,37.470324,127.038768,5.84,1696890369000,NORMAL
24.3,0,37.470276,127.038791,5.84,1696890370000,NORMAL
24.3,0,37.470226,127.038808,5.81,1696890371000,NORMAL
24.3,0,37.470095,127.038856,7.90,1696890373000,NORMAL
24.3,0,37.469961,127.038913,7.67,1696890375000,NORMAL
24.3,0,37.469823,127.038967,8.02,1696890377000,NORMAL
24.3,0,37.469755,127.038994,7.97,1696890378000,NORMAL
24.3,0,37.469613,127.039054,8.75,1696890380000,NORMAL
24.3,0,37.469457,127.039141,9.24,1696890382000,NORMAL
24.3,0,37.469295,127.039238,10.45,1696890384000,NORMAL
24.3,0,37.469203,127.039297,11.09,1696890385000,NORMAL
24.3,0,37.469116,127.039355,10.94,1696890386000,NORMAL
24.3,0,37.468946,127.039470,10.72,1696890388000,NORMAL
24.3,0,37.468765,127.039609,11.69,1696890390000,NORMAL
24.3,0,37.468680,127.039682,11.50,1696890391000,NORMAL
24.3,0,37.468595,127.039752,11.36,1696890392000,NORMAL
24.3,0,37.468432,127.039920,11.99,1696890394000,NORMAL
24.3,0,37.468326,127.039993,12.96,1696890395000,NORMAL
24.3,0,37.468143,127.040201,13.87,1696890397000,NORMAL
24.3,0,37.468048,127.040296,13.63,1696890398000,NORMAL
24.3,0,37.467862,127.040481,13.24,1696890400000,NORMAL
24.3,0,37.467660,127.040683,14.73,1696890402000,NORMAL
24.3,0,37.467556,127.040803,15.20,1696890403000,NORMAL
24.3,0,37.467337,127.040987,14.76,1696890405000,NORMAL
24.3,0,37.467222,127.041067,14.55,1696890406000,NORMAL
24.3,0,37.467011,127.041291,15.50,1696890408000,NORMAL
24.3,0,37.466779,127.041518,16.74,1696890410000,NORMAL
24.3,0,37.466551,127.041756,16.40,1696890412000,NORMAL
24.3,0,37.466440,127.041873,16.14,1696890413000,NORMAL
24.3,0,37.466332,127.041988,15.53,1696890414000,NORMAL
24.3,0,37.466161,127.042170,11.69,1696890416000,NORMAL
24.3,0,37.466091,127.042244,10.42,1696890417000,NORMAL
24.3,0,37.465961,127.042381,8.84,1696890419000,NORMAL
24.3,0,37.465856,127.042478,7.09,1696890421000,NORMAL
24.3,0,37.465804,127.042514,6.69,1696890422000,NORMAL
24.3,0,37.465681,127.042532,6.91,1696890424000,NORMAL
24.3,0,37.465623,127.042517,6.58,1696890425000,NORMAL
24.3,0,37.465488,127.042435,8.48,1696890427000,NORMAL
24.3,0,37.465439,127.042342,9.56,1696890428000,NORMAL
24.3,0,37.465378,127.042269,9.26,1696890429000,NORMAL
24.3,0,37.465284,127.042143,6.98,1696890431000,NORMAL
24.3,0,37.465212,127.042045,5.75,1696890433000,NORMAL
24.3,0,37.465095,127.041918,9.18,1696890435000,NORMAL
24.3,0,37.464954,127.041736,11.71,1696890437000,NORMAL
24.3,0,37.464794,127.041512,13.80,1696890439000,NORMAL
