accuracy,id,lat,lng,speed,time,type
4.343,1,36.9552152,127.4429253,0.0010529005,1697080291208,START
3.804,2,36.9552152,127.4429267,0.013727809,1697080293453,NORMAL
3.802,3,36.9552152,127.4429266,0.008279081,1697080294439,NORMAL
3.812,4,36.9552151,127.4429263,0.002090872,1697080296442,NORMAL
8.509,5,36.9552151,127.4429262,0.0035945117,1697080297444,NORMAL
8.509,6,36.9552151,127.4429262,0.0030107887,1697080299431,NORMAL
8.509,7,36.9552151,127.4429261,0.0036264183,1697080300434,NORMAL
9.414,8,36.9552151,127.442926,0.0040992866,1697080302448,NORMAL
8.61,9,36.9552151,127.442926,0.0037483317,1697080303438,NORMAL
9.414,10,36.9552151,127.442926,0.002188104,1697080305459,NORMAL
9.395,11,36.9552132,127.4429324,0.47818065,1697080306445,NORMAL
8.846,12,36.9552176,127.4429289,0.4470847,1697080308600,NORMAL
8.987,13,36.9552193,127.4429243,0.49149242,1697080309746,NORMAL
9.208,14,36.9552187,127.4429219,0.48941988,1697080310898,NORMAL
9.317,15,36.9552193,127.4429267,0.3353603,1697080312049,NORMAL
6.912,16,36.9552188,127.4429326,0.00879033,1697080314352,NORMAL
6.384,17,36.9552197,127.4429436,0.008421773,1697080315439,NORMAL
5.8,18,36.9552099,127.4429528,1.2114893,1697080316519,NORMAL
5.967,19,36.9551889,127.442947,1.4287244,1697080317576,NORMAL
5.845,20,36.9551971,127.4429193,0.6448941,1697080320447,NORMAL
5.551,21,36.9552114,127.4429154,0.78453565,1697080321606,NORMAL
5.009,22,36.9552277,127.442912,0.9167842,1697080322757,NORMAL
4.686,23,36.9552349,127.4429116,0.5151869,1697080323910,NORMAL
4.271,24,36.9552536,127.4428913,0.38785136,1697080326212,NORMAL
4.319,25,36.9552521,127.4428869,0.1650341,1697080327363,NORMAL
4.265,26,36.9552467,127.4428847,0.046776295,1697080328447,NORMAL
4.215,27,36.9552444,127.4428833,0.014115272,1697080330127,NORMAL
3.961,28,36.9552444,127.4428816,0.0073232637,1697080332430,NORMAL
3.832,29,36.9552442,127.4428816,0.0017385808,1697080333518,NORMAL
3.771,30,36.9552448,127.4428806,0.0037937968,1697080335194,NORMAL
3.771,31,36.9552455,127.4428801,0.0039740168,1697080336346,NORMAL
3.707,32,36.9552462,127.4428805,0.005844854,1697080337448,NORMAL
3.667,33,36.9552471,127.4428805,0.0050301882,1697080339110,NORMAL
3.563,34,36.9552484,127.4428793,0.0098832315,1697080341413,NORMAL
3.709,35,36.9552484,127.4428824,0.017946193,1697080344449,NORMAL
8.968,36,36.9552484,127.4428831,0.02798487,1697080345450,NORMAL
8.25,37,36.9552485,127.4428837,0.026627531,1697080347428,NORMAL
8.244,38,36.9552487,127.4428837,0.022901393,1697080348437,NORMAL
3.978,39,36.9552489,127.4428836,0.010430501,1697080350442,NORMAL
3.994,40,36.955249,127.4428836,0.012572599,1697080351443,NORMAL
4.028,41,36.9552492,127.4428835,0.012376217,1697080353448,NORMAL
3.994,42,36.9552493,127.4428835,0.011647303,1697080354436,NORMAL
4.013,43,36.9552495,127.4428836,0.012773634,1697080356448,NORMAL
3.997,44,36.9552496,127.4428836,0.012209986,1697080357426,NORMAL
4.031,45,36.9552497,127.4428837,0.008980763,1697080359452,NORMAL
4.028,46,36.9552498,127.4428837,0.009754435,1697080360453,NORMAL
4.028,47,36.9552499,127.4428838,0.00894597,1697080362437,NORMAL
4.01,48,36.9552499,127.4428838,0.004650639,1697080363442,NORMAL
4.003,49,36.9552501,127.4428839,0.010094352,1697080365450,NORMAL
4.003,50,36.9552501,127.4428839,0.007613576,1697080366423,NORMAL
4.021,51,36.9552473,127.4428843,0.1847377,1697080368450,NORMAL
4.003,52,36.9552444,127.4428845,0.26423684,1697080369433,NORMAL
4.045,53,36.9552431,127.4428845,0.09864734,1697080371436,NORMAL
4.026,54,36.9552431,127.4428845,0.045242544,1697080372450,NORMAL
4.026,55,36.9552431,127.4428846,0.00969455,1697080374459,NORMAL
4.019,56,36.9552431,127.4428847,0.006301124,1697080375468,NORMAL
4.002,57,36.955243,127.4428848,0.008604882,1697080377441,NORMAL
4.002,58,36.955243,127.4428848,0.004974912,1697080378439,NORMAL
4.034,59,36.9552429,127.4428849,0.0060869544,1697080380444,NORMAL
4.075,60,36.9552429,127.442885,0.007515634,1697080381444,NORMAL
6.105,61,36.9552429,127.442885,0.0022843229,1697080383444,NORMAL
6.652,62,36.9552428,127.4428851,0.0057061445,1697080384439,NORMAL
9.251,63,36.9552427,127.4428851,0.0062679835,1697080386438,NORMAL
10.113,64,36.9552427,127.4428851,0.0047107455,1697080387438,NORMAL
10.113,65,36.9552426,127.4428851,0.0047520394,1697080389436,NORMAL
10.118,66,36.9552425,127.4428851,0.0054213298,1697080390430,NORMAL
10.148,67,36.9552424,127.4428851,0.0070597026,1697080392445,NORMAL
10.118,68,36.9552424,127.4428852,0.00602149,1697080393431,NORMAL
10.146,69,36.9552422,127.4428852,0.007865719,1697080395438,NORMAL
10.116,70,36.9552422,127.4428852,0.006547272,1697080396434,NORMAL
10.146,71,36.955242,127.4428851,0.009771392,1697080398440,NORMAL
10.116,72,36.955242,127.4428851,0.007040254,1697080399433,NORMAL
10.152,73,36.9552418,127.442885,0.010106903,1697080401439,NORMAL
10.121,74,36.9552417,127.4428849,0.012297943,1697080402435,NORMAL
10.152,75,36.9552416,127.4428848,0.0090693245,1697080404438,NORMAL
9.935,76,36.9552415,127.4428847,0.009740076,1697080405434,NORMAL
9.935,77,36.9552414,127.4428848,0.006532624,1697080407447,NORMAL
9.935,78,36.9552414,127.4428848,0.0046470133,1697080408446,NORMAL
10.125,79,36.9552413,127.4428849,0.00450401,1697080410433,NORMAL
10.157,80,36.9552412,127.4428848,0.006551077,1697080411452,NORMAL
10.125,81,36.9552411,127.4428847,0.0073675667,1697080413430,NORMAL
10.125,82,36.9552411,127.4428847,0.004115753,1697080414429,NORMAL
10.127,83,36.9552411,127.4428847,5.4550136E-4,1697080416438,NORMAL
10.159,84,36.955241,127.4428846,0.0051193074,1697080417456,NORMAL
10.159,85,36.9552409,127.4428845,0.0075132023,1697080419450,NORMAL
10.16,86,36.9552409,127.4428845,0.005320331,1697080420351,NORMAL
10.128,87,36.9552408,127.4428844,0.0050655846,1697080422435,NORMAL
10.16,88,36.9552407,127.4428844,0.005880519,1697080423448,NORMAL
10.162,89,36.9552407,127.4428843,0.004193694,1697080425356,NORMAL
10.129,90,36.9552405,127.4428842,0.010150038,1697080426441,NORMAL
10.162,91,36.9552404,127.4428842,0.008090611,1697080428454,NORMAL
10.129,92,36.9552404,127.4428841,0.0067144567,1697080429441,NORMAL
10.137,93,36.9552403,127.4428841,0.005417961,1697080431439,NORMAL
10.17,94,36.9552403,127.442884,0.0056418055,1697080432455,NORMAL
10.17,95,36.9552401,127.4428839,0.009773741,1697080434441,NORMAL
9.935,96,36.9552401,127.4428839,0.007952736,1697080435434,NORMAL
10.129,97,36.95524,127.4428838,0.0067859287,1697080437438,NORMAL
10.129,98,36.95524,127.4428838,0.005976758,1697080438436,NORMAL
10.129,99,36.9552399,127.4428837,0.0058484552,1697080440431,NORMAL
9.935,100,36.9552398,127.4428837,0.0061569745,1697080441452,NORMAL
9.935,101,36.9552454,127.4428854,0.32322752,1697080443435,NORMAL
9.354,102,36.9552466,127.4428777,0.07246576,1697080444355,NORMAL
8.829,103,36.9552471,127.4428752,0.06803009,1697080445441,NORMAL
8.313,104,36.9552512,127.4428722,0.0023893637,1697080447120,NORMAL
8.364,105,36.9552539,127.4428716,0.007634408,1697080449422,NORMAL
8.642,106,36.9552558,127.4428717,0.01110007,1697080450518,NORMAL
8.866,107,36.9552577,127.4428717,0.013101201,1697080452185,NORMAL
9.017,108,36.9552586,127.4428723,0.010178696,1697080453338,NORMAL
9.134,109,36.9552592,127.4428735,0.0077029034,1697080454454,NORMAL
9.352,110,36.9552602,127.4428759,0.005121831,1697080456216,NORMAL
9.499,111,36.9552605,127.4428772,0.004384162,1697080457368,NORMAL
9.759,112,36.9552608,127.4428786,0.00475915,1697080459094,NORMAL
10.244,113,36.955258,127.4428811,0.0033670384,1697080461390,NORMAL
10.553,114,36.9552551,127.4428834,0.37485278,1697080463125,NORMAL
9.556,115,36.9552104,127.4428885,0.1726149,1697080465435,NORMAL
7.363,116,36.9551963,127.4428889,0.14730838,1697080467040,NORMAL
5.142,117,36.9551864,127.4428923,0.06060932,1697080468694,NORMAL
4.952,118,36.9551846,127.4428938,0.09776453,1697080470379,NORMAL
4.702,119,36.9551886,127.4428883,0.042345658,1697080473258,NORMAL
4.563,120,36.9551893,127.4428858,0.018284896,1697080474986,NORMAL
4.795,121,36.9551902,127.4428831,0.008165256,1697080477173,NORMAL
4.946,122,36.9551905,127.4428813,0.0061253584,1697080479442,NORMAL
5.303,123,36.9551906,127.4428801,0.0059744553,1697080480628,NORMAL
5.374,124,36.9551887,127.4428779,0.3824592,1697080481780,NORMAL
5.431,125,36.9551747,127.4428792,0.8053492,1697080483967,NORMAL
