accuracy,id,lat,lng,speed,time,type
9.935,1,37.3501803,126.8187244,19.96771,1697161482971,START
9.935,2,37.3501707,126.8189509,19.999521,1697161483973,NORMAL
9.935,3,37.3501496,126.8194046,19.958864,1697161485973,NORMAL
9.935,4,37.3501322,126.8196317,19.882185,1697161486973,NORMAL
9.935,5,37.3500937,126.8200747,19.664677,1697161488973,NORMAL
9.935,6,37.35007,126.8202932,19.525286,1697161489973,NORMAL
9.935,7,37.3500153,126.8207244,19.321562,1697161491973,NORMAL
9.935,8,37.3499838,126.8209416,19.24328,1697161492973,NORMAL
9.935,9,37.3499131,126.8213658,19.247478,1697161494973,NORMAL
9.935,10,37.3498781,126.8215742,18.84975,1697161495973,NORMAL
9.935,11,37.3498415,126.8217792,18.744068,1697161496972,NORMAL
9.935,12,37.3497606,126.822176,18.41234,1697161498973,NORMAL
9.935,13,37.3497145,126.8223731,18.247116,1697161499973,NORMAL
9.935,14,37.3496137,126.822759,18.078962,1697161501973,NORMAL
9.935,15,37.3495618,126.8229509,17.905859,1697161502973,NORMAL
9.935,16,37.3494516,126.8233224,17.409094,1697161504973,NORMAL
9.935,17,37.3493426,126.8236808,16.869635,1697161506973,NORMAL
9.935,18,37.3492899,126.8238561,16.71195,1697161507973,NORMAL
9.935,19,37.3491845,126.824202,16.366993,1697161509973,NORMAL
9.935,20,37.349131,126.8243681,16.242731,1697161510973,NORMAL
9.935,21,37.3490761,126.8245361,16.689537,1697161511973,NORMAL
9.935,22,37.3489587,126.8248789,16.769464,1697161513973,NORMAL
9.935,23,37.3488982,126.8250499,16.740522,1697161514973,NORMAL
9.935,24,37.34878,126.8254019,16.981806,1697161516973,NORMAL
9.935,25,37.3487197,126.8255802,17.046776,1697161517973,NORMAL
9.935,26,37.3485977,126.8259344,17.071098,1697161519973,NORMAL
9.935,27,37.3485369,126.8261148,17.216373,1697161520972,NORMAL
9.935,28,37.3484165,126.826471,17.198696,1697161522973,NORMAL
9.935,29,37.3483542,126.8266485,17.136898,1697161523973,NORMAL
9.935,30,37.3482347,126.8269971,16.775723,1697161525973,NORMAL
9.935,31,37.3481793,126.8271694,16.515404,1697161526973,NORMAL
9.935,32,37.3480684,126.8275074,16.106619,1697161528973,NORMAL
9.935,33,37.3480117,126.8276709,15.789729,1697161529973,NORMAL
9.935,34,37.3478996,126.8279931,15.654449,1697161531973,NORMAL
9.935,35,37.3478473,126.828155,15.8076,1697161532973,NORMAL
9.935,36,37.3477494,126.8284925,15.942319,1697161534973,NORMAL
9.935,37,37.3477026,126.8286647,16.04378,1697161535973,NORMAL
9.935,38,37.3476095,126.8290143,16.462612,1697161537973,NORMAL
9.935,39,37.3475618,126.8291937,16.624958,1697161538973,NORMAL
9.935,40,37.3474734,126.8295608,16.912292,1697161540972,NORMAL
9.935,41,37.3474316,126.829748,17.091976,1697161541972,NORMAL
9.935,42,37.3473554,126.8301284,17.355515,1697161543973,NORMAL
9.935,43,37.3472824,126.8305298,17.613232,1697161545973,NORMAL
9.935,44,37.3472516,126.8307274,17.325209,1697161546973,NORMAL
9.935,45,37.3472247,126.8309218,17.270346,1697161547973,NORMAL
9.935,46,37.3471771,126.8312936,16.902773,1697161549972,NORMAL
9.935,47,37.3471595,126.83148,17.025524,1697161550973,NORMAL
9.935,48,37.3471291,126.8318676,17.266537,1697161552973,NORMAL
9.935,49,37.3471166,126.8320614,17.328194,1697161553973,NORMAL
9.935,50,37.3470888,126.8324563,17.588373,1697161555973,NORMAL
9.935,51,37.3470789,126.832655,17.61872,1697161556972,NORMAL
9.935,52,37.3470694,126.8330599,17.857304,1697161558973,NORMAL
9.935,53,37.3470727,126.8332669,17.96214,1697161559972,NORMAL
9.935,54,37.347089,126.8336796,18.157211,1697161561973,NORMAL
9.935,55,37.3471035,126.8338831,18.173447,1697161562973,NORMAL
9.935,56,37.3471379,126.834291,18.156752,1697161564972,NORMAL
9.935,57,37.3471556,126.8344951,18.199917,1697161565973,NORMAL
9.935,58,37.3472056,126.8349039,18.410133,1697161567973,NORMAL
9.935,59,37.3472379,126.8351116,18.839912,1697161568973,NORMAL
9.935,60,37.3473091,126.83553,18.420464,1697161570973,NORMAL
9.935,61,37.3473456,126.8357364,18.654408,1697161571973,NORMAL
9.935,62,37.3474229,126.8361482,18.675522,1697161573972,NORMAL
9.935,63,37.3474638,126.8363535,18.7238,1697161574973,NORMAL
9.935,64,37.3475534,126.8367693,18.826744,1697161576973,NORMAL
9.935,65,37.3476011,126.8369775,18.921633,1697161577973,NORMAL
9.935,66,37.3477027,126.8373921,19.061193,1697161579973,NORMAL
9.935,67,37.3477534,126.8376007,18.99131,1697161580973,NORMAL
9.935,68,37.347851,126.8380094,18.426277,1697161582973,NORMAL
9.935,69,37.3478981,126.8382082,18.31406,1697161583973,NORMAL
9.935,70,37.3479926,126.8386054,18.400024,1697161585973,NORMAL
9.935,71,37.3480408,126.838811,18.543156,1697161586973,NORMAL
9.935,72,37.3481379,126.8392257,18.837269,1697161588973,NORMAL
9.935,73,37.3481856,126.8394315,18.66572,1697161589973,NORMAL
9.935,74,37.3482771,126.8398269,18.436201,1697161591973,NORMAL
9.935,75,37.3483229,126.8400228,18.119669,1697161592973,NORMAL
9.935,76,37.3484074,126.8404219,18.260202,1697161594973,NORMAL
9.935,77,37.3484491,126.8406232,18.347998,1697161595973,NORMAL
9.935,78,37.3485307,126.841033,18.445032,1697161597973,NORMAL
9.935,79,37.3485676,126.8412354,18.262741,1697161598973,NORMAL
9.935,80,37.3486368,126.8416426,18.268984,1697161600973,NORMAL
9.935,81,37.3486983,126.8420504,18.541403,1697161602973,NORMAL
9.935,82,37.3487233,126.8422537,18.285563,1697161603973,NORMAL
9.935,83,37.3487441,126.8424566,18.561028,1697161604972,NORMAL
9.935,84,37.348773,126.8428698,18.766064,1697161606972,NORMAL
9.935,85,37.3487845,126.8430811,18.924799,1697161607973,NORMAL
9.935,86,37.3487932,126.8435107,19.079157,1697161609973,NORMAL
9.935,87,37.348797,126.8437255,19.243593,1697161610973,NORMAL
9.935,88,37.3487941,126.8441588,19.266724,1697161612973,NORMAL
9.935,89,37.3487843,126.8443779,19.815353,1697161613973,NORMAL
9.935,90,37.3487579,126.8448175,19.868525,1697161615973,NORMAL
9.935,91,37.348738,126.8450392,20.035704,1697161616973,NORMAL
9.935,92,37.3486949,126.8454853,19.912193,1697161618973,NORMAL
9.935,93,37.348669,126.8457058,19.687437,1697161619973,NORMAL
9.935,94,37.3486044,126.8461331,19.070782,1697161621973,NORMAL
9.935,95,37.348566,126.8463422,18.857359,1697161622973,NORMAL
9.935,96,37.348479,126.8467562,18.854319,1697161624973,NORMAL
9.935,97,37.3484341,126.8469588,18.978596,1697161625973,NORMAL
9.935,98,37.3483347,126.847349,18.324795,1697161627973,NORMAL
9.935,99,37.3482835,126.8475425,18.22396,1697161628973,NORMAL
9.935,100,37.3481747,126.8479265,18.299084,1697161630972,NORMAL
9.935,101,37.3481164,126.8481153,17.84141,1697161631973,NORMAL
9.935,102,37.3479975,126.8484898,17.941217,1697161633973,NORMAL
9.935,103,37.3479408,126.848673,17.401361,1697161634973,NORMAL
9.935,104,37.3478221,126.8490338,17.638882,1697161636973,NORMAL
9.935,105,37.3477616,126.8492166,17.534418,1697161637973,NORMAL
9.935,106,37.347635,126.8495817,17.719185,1697161639973,NORMAL
