accuracy,id,lat,lng,speed,time,type
45.4,0,36.484110,127.299565,0.00,1697169199000,START
47.5,0,36.484433,127.299835,16.86,1697169202000,RAPID0
31.7,0,36.484811,127.300172,17.39,1697169204000,NORMAL
53.0,0,36.485187,127.300477,16.81,1697169206000,NORMAL
67.3,0,36.486382,127.301434,13.21,1697169216000,NORMAL
62.1,0,36.486493,127.301498,13.06,1697169217000,NORMAL
47.8,0,36.486675,127.301615,13.26,1697169219000,NORMAL
48.6,0,36.486786,127.301685,13.91,1697169220000,NORMAL
40.9,0,36.486894,127.301755,13.91,1697169221000,NORMAL
35.4,0,36.487137,127.301891,14.29,1697169223000,NORMAL
33.5,0,36.487270,127.301960,14.54,1697169224000,NORMAL
18.6,0,36.487522,127.302081,15.45,1697169226000,NORMAL
23.6,0,36.487804,127.302177,16.05,1697169228000,NORMAL
46.7,0,36.487952,127.302228,16.73,1697169229000,NORMAL
24.8,0,36.488259,127.302318,17.16,1697169231000,NORMAL
15.2,0,36.488406,127.302356,17.36,1697169232000,NORMAL
16.4,0,36.488561,127.302396,17.56,1697169233000,NORMAL
18.3,0,36.488887,127.302486,18.44,1697169235000,NORMAL
20.9,0,36.489215,127.302621,19.15,1697169237000,NORMAL
20.8,0,36.489377,127.302710,19.28,1697169238000,NORMAL
23.4,0,36.489707,127.302905,19.49,1697169240000,NORMAL
22.4,0,36.489869,127.303015,20.25,1697169241000,NORMAL
20.0,0,36.490023,127.303122,20.08,1697169242000,NORMAL
18.3,0,36.490325,127.303331,19.77,1697169244000,NORMAL
8.2,0,36.490502,127.303446,19.82,1697169245000,NORMAL
8.2,0,36.490806,127.303670,20.08,1697169247000,NORMAL
8.2,0,36.490958,127.303777,19.89,1697169248000,NORMAL
8.2,0,36.491264,127.303992,19.52,1697169250000,NORMAL
8.2,0,36.491573,127.304206,19.17,1697169252000,NORMAL
8.2,0,36.491879,127.304417,19.27,1697169254000,NORMAL
8.2,0,36.492028,127.304520,19.09,1697169255000,NORMAL
8.2,0,36.492334,127.304731,19.00,1697169257000,NORMAL
8.2,0,36.492660,127.304935,19.85,1697169259000,NORMAL
8.2,0,36.492966,127.305151,20.11,1697169261000,NORMAL
8.2,0,36.493276,127.305361,20.25,1697169263000,NORMAL
8.2,0,36.493429,127.305467,20.07,1697169264000,NORMAL
8.2,0,36.493583,127.305574,20.07,1697169265000,NORMAL
8.2,0,36.493730,127.305697,19.96,1697169266000,NORMAL
8.2,0,36.494016,127.305895,18.91,1697169268000,NORMAL
8.2,0,36.494274,127.306074,16.81,1697169270000,NORMAL
8.2,0,36.494492,127.306225,14.40,1697169272000,NORMAL
11.2,0,36.494644,127.306330,10.01,1697169274000,NORMAL
12.3,0,36.494708,127.306374,8.48,1697169275000,NORMAL
8.2,0,36.494786,127.306428,5.33,1697169277000,NORMAL
8.2,0,36.494791,127.306432,2.95,1697169278000,NORMAL
8.2,0,36.494774,127.306420,0.27,1697169280000,STOP
8.1,0,36.494793,127.306433,2.52,1697169321000,NORMAL
8.1,0,36.494813,127.306451,3.37,1697169322000,NORMAL
8.1,0,36.494871,127.306494,3.59,1697169324000,NORMAL
8.1,0,36.494967,127.306553,5.48,1697169326000,NORMAL
8.1,0,36.495094,127.306626,7.07,1697169328000,NORMAL
8.1,0,36.495161,127.306667,7.54,1697169329000,NORMAL
8.1,0,36.495281,127.306777,7.80,1697169331000,NORMAL
8.1,0,36.495343,127.306821,7.69,1697169332000,NORMAL
8.1,0,36.495510,127.306757,7.31,1697169334000,NORMAL
8.0,0,36.495610,127.306703,5.66,1697169336000,NORMAL
8.0,0,36.495654,127.306658,5.79,1697169337000,NORMAL
8.0,0,36.495759,127.306470,8.73,1697169339000,NORMAL
8.0,0,36.495802,127.306388,9.02,1697169340000,NORMAL
8.0,0,36.495913,127.306153,11.24,1697169342000,NORMAL
8.0,0,36.495969,127.306032,11.61,1697169343000,NORMAL
8.0,0,36.496058,127.305781,11.00,1697169345000,NORMAL
8.0,0,36.496105,127.305682,9.99,1697169346000,NORMAL
7.9,0,36.496180,127.305523,7.37,1697169348000,NORMAL
7.8,0,36.496194,127.305477,5.16,1697169349000,NORMAL
7.8,0,36.496207,127.305483,2.35,1697169350000,NORMAL
7.8,0,36.496214,127.305490,0.74,1697169351000,STOP
8.1,0,36.496263,127.305354,2.38,1697169384000,NORMAL
8.1,0,36.496293,127.305288,3.36,1697169386000,NORMAL
8.0,0,36.496308,127.305249,3.97,1697169387000,NORMAL
8.0,0,36.496348,127.305141,5.95,1697169389000,NORMAL
8.0,0,36.496380,127.305072,6.99,1697169390000,NORMAL
8.0,0,36.496414,127.304990,7.88,1697169391000,NORMAL
8.0,0,36.496449,127.304908,8.13,1697169392000,NORMAL
8.0,0,36.496533,127.304725,9.47,1697169394000,NORMAL
8.0,0,36.496590,127.304631,10.42,1697169395000,NORMAL
8.0,0,36.496703,127.304399,12.62,1697169397000,NORMAL
8.1,0,36.496802,127.304110,13.54,1697169399000,NORMAL
8.0,0,36.496930,127.303834,14.34,1697169401000,NORMAL
8.0,0,36.496995,127.303688,15.03,1697169402000,NORMAL
8.0,0,36.497063,127.303540,15.67,1697169403000,NORMAL
8.1,0,36.497208,127.303233,16.53,1697169405000,NORMAL
8.1,0,36.497358,127.302904,17.67,1697169407000,NORMAL
8.1,0,36.497436,127.302730,18.20,1697169408000,NORMAL
8.1,0,36.497521,127.302549,18.84,1697169409000,NORMAL
8.1,0,36.497688,127.302192,18.63,1697169411000,NORMAL
8.1,0,36.497859,127.301829,18.99,1697169413000,NORMAL
8.1,0,36.497949,127.301643,19.42,1697169414000,NORMAL
8.1,0,36.498035,127.301454,19.76,1697169415000,NORMAL
8.1,0,36.498218,127.301064,20.54,1697169417000,NORMAL
8.2,0,36.498413,127.300663,21.32,1697169419000,NORMAL
8.2,0,36.498612,127.300241,22.01,1697169421000,NORMAL
8.2,0,36.498712,127.300026,22.14,1697169422000,NORMAL
8.2,0,36.498915,127.299597,22.29,1697169424000,NORMAL
8.2,0,36.499017,127.299381,22.41,1697169425000,NORMAL
8.2,0,36.499222,127.298945,22.78,1697169427000,NORMAL
8.2,0,36.499430,127.298507,23.02,1697169429000,NORMAL
8.2,0,36.499534,127.298286,23.09,1697169430000,NORMAL
8.2,0,36.499742,127.297844,23.07,1697169432000,NORMAL
8.2,0,36.499951,127.297409,22.62,1697169434000,NORMAL
8.2,0,36.500052,127.297201,21.75,1697169435000,NORMAL
8.2,0,36.500131,127.296996,20.44,1697169436000,NORMAL
8.2,0,36.500280,127.296676,14.89,1697169438000,NORMAL
8.2,0,36.500368,127.296483,8.22,1697169440000,RAPID1
8.2,0,36.500391,127.296438,5.47,1697169441000,NORMAL
8.2,0,36.500407,127.296404,3.81,1697169442000,NORMAL
8.2,0,36.500420,127.296385,2.66,1697169443000,NORMAL
8.2,0,36.500424,127.296381,0.84,1697169444000,STOP
8.1,0,36.500438,127.296376,2.25,1697169562000,NORMAL
8.1,0,36.500449,127.296337,3.43,1697169563000,NORMAL
8.1,0,36.500470,127.296293,4.32,1697169564000,NORMAL
8.1,0,36.500510,127.296191,5.47,1697169566000,NORMAL
8.1,0,36.500541,127.296125,6.54,1697169567000,NORMAL
8.1,0,36.500613,127.295972,8.23,1697169569000,NORMAL
8.1,0,36.500653,127.295889,8.56,1697169570000,NORMAL
8.1,0,36.500741,127.295706,9.97,1697169572000,NORMAL
8.1,0,36.500845,127.295489,11.81,1697169574000,NORMAL
8.1,0,36.500969,127.295220,14.25,1697169576000,NORMAL
8.1,0,36.501038,127.295077,14.76,1697169577000,NORMAL
8.1,0,36.501179,127.294783,15.42,1697169579000,NORMAL
8.1,0,36.501250,127.294629,16.02,1697169580000,NORMAL
8.1,0,36.501402,127.294298,17.52,1697169582000,NORMAL
8.1,0,36.501484,127.294120,18.30,1697169583000,NORMAL
8.1,0,36.501656,127.293746,19.53,1697169585000,NORMAL
8.1,0,36.501744,127.293558,19.49,1697169586000,NORMAL
8.1,0,36.501923,127.293171,20.06,1697169588000,NORMAL
8.1,0,36.502015,127.292974,20.53,1697169589000,NORMAL
8.1,0,36.502206,127.292561,21.54,1697169591000,NORMAL
8.1,0,36.502404,127.292125,22.55,1697169593000,NORMAL
8.1,0,36.502499,127.291896,23.01,1697169594000,NORMAL
8.1,0,36.502594,127.291661,23.41,1697169595000,NORMAL
8.2,0,36.502769,127.291173,24.11,1697169597000,NORMAL
8.2,0,36.502935,127.290656,24.73,1697169599000,NORMAL
8.2,0,36.503011,127.290391,24.68,1697169600000,NORMAL
8.2,0,36.503080,127.290131,24.36,1697169601000,NORMAL
8.2,0,36.503199,127.289613,23.73,1697169603000,NORMAL
8.2,0,36.503252,127.289357,23.39,1697169604000,NORMAL
8.2,0,36.503338,127.288853,22.73,1697169606000,NORMAL
8.2,0,36.503372,127.288606,22.39,1697169607000,NORMAL
8.2,0,36.503423,127.288117,21.65,1697169609000,NORMAL
8.2,0,36.503469,127.287654,20.27,1697169611000,NORMAL
8.2,0,36.503513,127.287232,18.46,1697169613000,NORMAL
8.2,0,36.503536,127.287030,18.04,1697169614000,NORMAL
8.2,0,36.503579,127.286639,17.38,1697169616000,NORMAL
8.2,0,36.503622,127.286259,16.89,1697169618000,NORMAL
8.2,0,36.503643,127.286074,16.64,1697169619000,NORMAL
8.1,0,36.503687,127.285711,16.21,1697169621000,NORMAL
8.1,0,36.503709,127.285532,16.22,1697169622000,NORMAL
8.1,0,36.503756,127.285173,16.44,1697169624000,NORMAL
8.2,0,36.503807,127.284799,16.91,1697169626000,NORMAL
8.2,0,36.503870,127.284422,17.26,1697169628000,NORMAL
8.2,0,36.503907,127.284233,17.43,1697169629000,NORMAL
8.2,0,36.503972,127.283847,17.60,1697169631000,NORMAL
8.2,0,36.504033,127.283468,17.24,1697169633000,NORMAL
8.2,0,36.504093,127.283088,17.44,1697169635000,NORMAL
8.2,0,36.504153,127.282706,17.55,1697169637000,NORMAL
8.2,0,36.504182,127.282513,17.46,1697169638000,NORMAL
8.2,0,36.504212,127.282324,17.26,1697169639000,NORMAL
8.2,0,36.504271,127.281956,16.73,1697169641000,NORMAL
8.2,0,36.504301,127.281776,16.52,1697169642000,NORMAL
8.2,0,36.504358,127.281421,16.18,1697169644000,NORMAL
8.2,0,36.504384,127.281247,15.91,1697169645000,NORMAL
8.2,0,36.504439,127.280919,14.84,1697169647000,NORMAL
8.2,0,36.504465,127.280762,14.56,1697169648000,NORMAL
8.2,0,36.504514,127.280464,13.09,1697169650000,NORMAL
8.2,0,36.504532,127.280209,10.83,1697169652000,NORMAL
8.2,0,36.504548,127.280010,8.50,1697169654000,NORMAL
8.2,0,36.504580,127.279873,5.71,1697169656000,NORMAL
8.2,0,36.504591,127.279823,4.86,1697169657000,NORMAL
8.2,0,36.504604,127.279763,2.17,1697169659000,NORMAL
8.2,0,36.504605,127.279766,0.35,1697169660000,STOP
8.1,0,36.504603,127.279689,3.22,1697169712000,NORMAL
8.1,0,36.504618,127.279607,3.89,1697169714000,NORMAL
8.1,0,36.504638,127.279493,5.47,1697169716000,NORMAL
8.1,0,36.504646,127.279426,5.88,1697169717000,NORMAL
12.5,0,36.504672,127.279295,7.16,1697169719000,NORMAL
8.1,0,36.504546,127.279209,7.71,1697169720000,NORMAL
8.0,0,36.504424,127.279111,8.02,1697169722000,NORMAL
8.0,0,36.504346,127.279068,8.80,1697169723000,NORMAL
8.0,0,36.504158,127.278987,10.59,1697169725000,NORMAL
8.0,0,36.504054,127.278947,11.38,1697169726000,NORMAL
8.1,0,36.503828,127.278871,13.29,1697169728000,NORMAL
8.1,0,36.503706,127.278826,14.04,1697169729000,NORMAL
8.1,0,36.503459,127.278735,14.51,1697169731000,NORMAL
8.1,0,36.503193,127.278642,15.52,1697169733000,NORMAL
8.1,0,36.502919,127.278542,16.00,1697169735000,NORMAL
8.1,0,36.502649,127.278445,15.08,1697169737000,NORMAL
8.1,0,36.502531,127.278401,13.57,1697169738000,NORMAL
8.1,0,36.502347,127.278331,9.82,1697169740000,NORMAL
8.1,0,36.502280,127.278303,7.89,1697169741000,NORMAL
8.1,0,36.502178,127.278256,5.65,1697169743000,NORMAL
8.1,0,36.502140,127.278253,5.44,1697169744000,NORMAL
8.1,0,36.502153,127.278059,6.62,1697169746000,NORMAL
8.1,0,36.502173,127.277978,7.31,1697169747000,NORMAL
8.1,0,36.502198,127.277895,7.92,1697169748000,NORMAL
8.1,0,36.502227,127.277805,8.70,1697169749000,NORMAL
8.1,0,36.502281,127.277604,9.58,1697169751000,NORMAL
