accuracy,id,lat,lng,speed,time,type
4.035,1,36.7410837,127.1181491,0.1314925,1697158542971,START
3.887,2,36.7410837,127.1181516,0.05495468,1697158544970,NORMAL
3.885,3,36.7410835,127.1181524,0.06400228,1697158545971,NORMAL
3.903,4,36.7410837,127.118152,0.028112425,1697158547970,NORMAL
3.921,5,36.741084,127.1181526,0.04892881,1697158548970,NORMAL
3.902,6,36.7410843,127.1181525,0.015725167,1697158550970,NORMAL
3.903,7,36.7410845,127.1181526,0.017734878,1697158551970,NORMAL
3.878,8,36.7410845,127.118153,0.01823313,1697158553969,NORMAL
3.893,9,36.7410846,127.1181532,0.020398969,1697158554970,NORMAL
3.878,10,36.7410847,127.1181535,0.014605981,1697158556971,NORMAL
3.956,11,36.741085,127.1181536,0.01718454,1697158558969,NORMAL
3.983,12,36.7410849,127.1181536,0.0018926755,1697158560971,NORMAL
3.956,13,36.7410848,127.1181536,0.0059322026,1697158561969,NORMAL
3.917,14,36.7410847,127.1181535,0.008008447,1697158563971,NORMAL
3.915,15,36.7410846,127.1181534,0.011782204,1697158564970,NORMAL
3.936,16,36.7410848,127.1181537,0.015974104,1697158566970,NORMAL
7.96,17,36.741085,127.1181549,0.015165404,1697158567971,NORMAL
8.592,18,36.7410851,127.1181557,0.0030390678,1697158569608,NORMAL
8.639,19,36.7410851,127.1181558,0.0012394236,1697158570743,NORMAL
4.751,20,36.741085,127.1181552,9.384271E-4,1697158573014,NORMAL
3.588,21,36.7410848,127.1181542,0.0020662278,1697158575853,NORMAL
3.46,22,36.7410849,127.118154,1.3989874E-4,1697158576969,NORMAL
3.448,23,36.7410856,127.1181539,1.2805495E-4,1697158578693,NORMAL
3.723,24,36.741086,127.1181545,7.250775E-5,1697158580963,NORMAL
4.017,25,36.7410862,127.1181545,1.2894386E-5,1697158582554,NORMAL
4.187,26,36.7410795,127.1181501,0.034903772,1697158584971,NORMAL
4.051,27,36.7410779,127.1181489,0.09143484,1697158586970,NORMAL
4.217,28,36.7410776,127.1181483,0.042427342,1697158588969,NORMAL
4.217,29,36.7410777,127.1181505,0.066747755,1697158590971,NORMAL
4.884,30,36.7410777,127.1181508,0.02414967,1697158592751,NORMAL
4.567,31,36.7410777,127.1181522,0.036047246,1697158594970,NORMAL
4.567,32,36.7410777,127.1181523,0.009867656,1697158596970,NORMAL
4.244,33,36.7410777,127.1181523,0.0029920375,1697158597890,NORMAL
4.244,34,36.7410774,127.1181519,0.024163319,1697158598970,NORMAL
4.244,35,36.7410774,127.1181519,0.008858936,1697158600970,NORMAL
4.935,36,36.7410774,127.1181519,0.0015761206,1697158602812,NORMAL
4.59,37,36.7410772,127.1181517,0.0072077396,1697158604970,NORMAL
4.59,38,36.7410772,127.1181517,0.0015769086,1697158606970,NORMAL
4.266,39,36.7410771,127.1181515,0.010733709,1697158608970,NORMAL
4.266,40,36.7410771,127.1181515,0.0039039492,1697158610971,NORMAL
4.974,41,36.7410771,127.1181515,6.7068037E-4,1697158612861,NORMAL
4.608,42,36.741074,127.1181471,0.38849068,1697158614971,NORMAL
4.25,43,36.7410968,127.1181565,1.1975877,1697158617906,NORMAL
4.25,44,36.7411145,127.1181703,1.1709694,1697158618970,NORMAL
4.25,45,36.7411319,127.1181851,0.7926817,1697158620971,NORMAL
4.949,46,36.7411356,127.1181881,0.778638,1697158622833,NORMAL
4.598,47,36.7411255,127.1182092,1.9195751,1697158624970,NORMAL
