accuracy,id,lat,lng,speed,time,type
9.556,1,36.9072017,127.03582,0.5354399,1697435078950,START
7.491,2,36.9071812,127.0357916,1.0567348,1697435081950,NORMAL
4.956,3,36.9071761,127.0357816,0.8340048,1697435083368,NORMAL
4.186,4,36.907164,127.0357691,0.7019208,1697435085951,NORMAL
3.952,5,36.9071629,127.0357678,0.18647197,1697435087951,NORMAL
3.9,6,36.9071628,127.0357679,0.022769768,1697435089951,NORMAL
3.9,7,36.9071627,127.0357677,0.013220619,1697435091950,NORMAL
3.9,8,36.9071628,127.035767,0.019737767,1697435093950,NORMAL
3.9,9,36.9071625,127.0357671,0.012343054,1697435095951,NORMAL
3.9,10,36.9071626,127.035767,0.00667499,1697435097951,NORMAL
3.9,11,36.9071623,127.0357668,0.012107665,1697435099951,NORMAL
3.9,12,36.9071619,127.0357672,0.015654683,1697435101951,NORMAL
3.9,13,36.9071615,127.035767,0.017303027,1697435103951,NORMAL
3.9,14,36.9071613,127.035767,0.015403441,1697435105950,NORMAL
3.9,15,36.9071612,127.0357669,0.009651038,1697435107950,NORMAL
3.9,16,36.907161,127.0357665,0.014292654,1697435109951,NORMAL
3.863,17,36.907161,127.0357662,0.012080689,1697435111949,NORMAL
3.863,18,36.9071607,127.0357655,0.023431845,1697435113951,NORMAL
3.863,19,36.9071605,127.0357653,0.018693576,1697435115950,NORMAL
3.9,20,36.9071604,127.0357652,0.013473688,1697435117951,NORMAL
3.9,21,36.90716,127.0357648,0.019945959,1697435119949,NORMAL
3.9,22,36.90716,127.0357646,0.014224984,1697435121951,NORMAL
3.9,23,36.9071596,127.0357641,0.02154077,1697435123950,NORMAL
3.9,24,36.9071595,127.0357639,0.017934484,1697435125950,NORMAL
3.9,25,36.9071594,127.0357639,0.011021576,1697435127950,NORMAL
3.9,26,36.907159,127.0357632,0.021436792,1697435129950,NORMAL
3.9,27,36.9071589,127.035763,0.017391806,1697435131951,NORMAL
3.9,28,36.9071586,127.0357624,0.02409944,1697435133950,NORMAL
3.9,29,36.9071586,127.0357622,0.016991984,1697435135950,NORMAL
3.845,30,36.9071586,127.0357622,0.012135871,1697435136951,NORMAL
3.845,31,36.9071585,127.0357619,0.015064537,1697435138950,NORMAL
3.845,32,36.9071585,127.0357617,0.0145915765,1697435139949,NORMAL
3.872,33,36.9071586,127.0357616,0.008660694,1697435142365,NORMAL
3.9,34,36.9071584,127.0357612,0.014899442,1697435143949,NORMAL
3.9,35,36.9071584,127.035761,0.0113521,1697435145950,NORMAL
3.9,36,36.9071584,127.035761,0.006494048,1697435147950,NORMAL
3.9,37,36.9071582,127.0357607,0.010533925,1697435149949,NORMAL
3.9,38,36.9071583,127.0357607,0.0053791944,1697435151950,NORMAL
