accuracy,id,lat,lng,speed,time,type
13.195,1,36.4898614,127.3210312,3.9230404,1697414423515,START
7.447,2,36.4898508,127.3210694,3.5605788,1697414424514,NORMAL
4.247,3,36.4898113,127.3211199,4.331863,1697414426516,NORMAL
3.9,4,36.489734,127.3210962,7.0094366,1697414427514,NORMAL
3.9,5,36.4895955,127.3210809,7.8299317,1697414429516,NORMAL
3.9,6,36.4895223,127.3210914,8.929923,1697414430515,NORMAL
3.9,7,36.4893562,127.3211377,9.608421,1697414432515,NORMAL
3.9,8,36.4892682,127.3211727,9.95651,1697414433515,NORMAL
3.9,9,36.4891077,127.3212825,9.719215,1697414435515,NORMAL
3.9,10,36.4890365,127.321348,9.769666,1697414436516,NORMAL
3.9,11,36.4889041,127.3215005,10.083688,1697414438515,NORMAL
3.9,12,36.488843,127.3215852,9.9093685,1697414439514,NORMAL
3.9,13,36.4887389,127.3217523,8.977329,1697414441515,NORMAL
3.9,14,36.4886909,127.3218298,8.654826,1697414442515,NORMAL
3.9,15,36.4886151,127.3220039,8.8168545,1697414444515,NORMAL
3.9,16,36.4885797,127.3220958,8.890367,1697414445514,NORMAL
3.9,17,36.4884954,127.3222863,10.030997,1697414447514,NORMAL
3.9,18,36.4884498,127.3223834,10.110324,1697414448516,NORMAL
3.9,19,36.4883629,127.3225698,9.53673,1697414450498,NORMAL
3.9,20,36.4883232,127.3226576,8.939894,1697414451516,NORMAL
3.9,21,36.4882364,127.3228016,8.080164,1697414453515,NORMAL
3.9,22,36.4881737,127.3228466,8.206163,1697414454515,NORMAL
3.878,23,36.4880274,127.3228463,8.455351,1697414456516,NORMAL
3.878,24,36.4879503,127.3227934,9.376223,1697414457516,NORMAL
3.881,25,36.4877807,127.3226556,11.60047,1697414459515,NORMAL
3.881,26,36.4876877,127.3225831,12.022635,1697414460515,NORMAL
3.9,27,36.4874892,127.3224239,13.269261,1697414462515,NORMAL
3.881,28,36.4873841,127.3223322,14.196787,1697414463514,NORMAL
3.863,29,36.487162,127.3221284,15.4529085,1697414465515,NORMAL
3.863,30,36.4870474,127.3220213,15.686475,1697414466514,NORMAL
3.863,31,36.4868176,127.3217979,15.977989,1697414468514,NORMAL
3.9,32,36.4867033,127.3216848,16.01023,1697414469516,NORMAL
3.881,33,36.4864886,127.3214634,15.276904,1697414471515,NORMAL
3.881,34,36.4863863,127.3213566,14.776757,1697414472515,NORMAL
3.881,35,36.4861869,127.3211678,13.6695595,1697414474515,NORMAL
3.878,36,36.486096,127.3210769,13.050345,1697414475515,NORMAL
3.881,37,36.4859462,127.3208973,11.151589,1697414477514,NORMAL
3.878,38,36.4858788,127.3208149,10.625468,1697414478516,NORMAL
3.878,39,36.4857435,127.3206452,10.306919,1697414480515,NORMAL
3.9,40,36.4856852,127.3205638,9.7653475,1697414481515,NORMAL
3.9,41,36.4856086,127.3203796,9.377756,1697414483514,NORMAL
3.9,42,36.485582,127.3202839,9.040479,1697414484514,NORMAL
3.9,43,36.4854707,127.3201629,8.34348,1697414486516,NORMAL
3.881,44,36.485396,127.3201339,8.596232,1697414487515,NORMAL
3.856,45,36.4852731,127.3200115,9.065892,1697414489515,NORMAL
3.863,46,36.4852193,127.3199332,9.2470455,1697414490514,NORMAL
3.863,47,36.4851065,127.3197661,10.260462,1697414492513,NORMAL
3.9,48,36.4850409,127.319672,11.337541,1697414493515,NORMAL
3.9,49,36.4848974,127.3194467,12.956008,1697414495515,NORMAL
3.9,50,36.4848261,127.3193244,13.098475,1697414496514,NORMAL
3.9,51,36.4846883,127.3190851,12.772724,1697414498515,NORMAL
3.9,52,36.4846224,127.3189689,12.640971,1697414499513,NORMAL
3.9,53,36.4844934,127.3187263,13.174233,1697414501514,NORMAL
3.9,54,36.4844317,127.3185942,13.524468,1697414502515,NORMAL
3.9,55,36.4843065,127.3183218,13.900233,1697414504514,NORMAL
3.9,56,36.4842417,127.3181908,13.840719,1697414505515,NORMAL
3.9,57,36.4841138,127.3179248,13.583115,1697414507515,NORMAL
3.9,58,36.4840574,127.3178008,12.721137,1697414508513,NORMAL
3.881,59,36.4839529,127.3175802,10.896981,1697414510514,NORMAL
3.881,60,36.4838916,127.3175008,10.085255,1697414511514,NORMAL
3.878,61,36.4837342,127.317413,9.988766,1697414513515,NORMAL
3.881,62,36.4836362,127.3174163,10.476185,1697414514513,NORMAL
3.9,63,36.4834347,127.3174727,11.31863,1697414516513,NORMAL
3.9,64,36.4833349,127.3175114,11.301824,1697414517515,NORMAL
3.9,65,36.4831314,127.3175825,11.7152195,1697414519514,NORMAL
3.9,66,36.4830283,127.3176194,11.819192,1697414520515,NORMAL
3.9,67,36.4826274,127.3177499,11.516074,1697414524515,NORMAL
3.9,68,36.4825225,127.3177642,11.702068,1697414525515,NORMAL
3.9,69,36.4822135,127.317689,11.775084,1697414528514,NORMAL
3.9,70,36.4821244,127.3176173,12.069538,1697414529515,NORMAL
3.881,71,36.4819749,127.3173976,12.757352,1697414531516,NORMAL
3.881,72,36.4819347,127.3172499,13.945331,1697414532514,NORMAL
