accuracy,id,lat,lng,speed,time,type
6.48,1,36.4817542,127.2503719,1.2866706,1697440286037,START
6.393,2,36.481781,127.2503428,0.67559457,1697440288912,NORMAL
3.9,3,36.4818091,127.250346,1.353531,1697440289912,NORMAL
3.9,4,36.4818379,127.250379,1.7289495,1697440291913,NORMAL
3.9,5,36.4818431,127.2503934,1.4613056,1697440292912,NORMAL
3.9,6,36.4818431,127.2504249,1.57815,1697440294912,NORMAL
3.9,7,36.4818415,127.2504407,1.6433836,1697440295912,NORMAL
3.45,8,36.4818365,127.2504648,1.5654273,1697440297912,NORMAL
3.45,9,36.4818361,127.2504785,1.6342677,1697440298912,NORMAL
3.45,10,36.4818135,127.2505118,1.6655875,1697440300912,NORMAL
3.642,11,36.481789,127.2505318,1.8171537,1697440301912,NORMAL
3.9,12,36.4817366,127.2505817,2.2521303,1697440303912,NORMAL
3.9,13,36.4816885,127.2505992,2.6412287,1697440304912,NORMAL
3.9,14,36.4815613,127.2506089,3.633163,1697440306912,NORMAL
3.9,15,36.4814915,127.2506066,4.166169,1697440307912,NORMAL
3.9,16,36.4813368,127.2505878,5.5000334,1697440309912,NORMAL
3.9,17,36.4812427,127.2505755,6.250032,1697440310912,NORMAL
3.9,18,36.4810664,127.2505756,7.0308557,1697440312912,NORMAL
3.9,19,36.4809974,127.2505803,7.142809,1697440313913,NORMAL
3.9,20,36.4809001,127.2505748,4.4451747,1697440315912,NORMAL
3.9,21,36.4808553,127.2505662,4.4573183,1697440316912,NORMAL
3.9,22,36.4807684,127.2505125,4.7207594,1697440318912,NORMAL
3.9,23,36.4807323,127.2504658,4.9702687,1697440319913,NORMAL
3.9,24,36.4806703,127.2503499,5.717778,1697440321912,NORMAL
3.9,25,36.480651,127.2502757,6.0964284,1697440322912,NORMAL
3.9,26,36.4806075,127.2501128,5.6971936,1697440324913,NORMAL
3.9,27,36.480582,127.2500151,9.632344,1697440325912,NORMAL
3.9,28,36.4805084,127.2497489,12.982809,1697440327912,NORMAL
3.9,29,36.4804666,127.2496005,13.790563,1697440328912,NORMAL
3.9,30,36.4803803,127.2492889,15.051906,1697440330912,OVER_ACCEL
3.9,31,36.4803368,127.2491279,15.4007225,1697440331912,NORMAL
3.9,32,36.4802395,127.2487963,15.722908,1697440333912,NORMAL
3.9,33,36.4801908,127.2486282,16.097788,1697440334913,NORMAL
3.9,34,36.4800918,127.2482859,16.249142,1697440336913,NORMAL
3.9,35,36.4800421,127.2481177,15.982622,1697440337913,NORMAL
3.9,36,36.4799452,127.247786,15.565743,1697440339913,NORMAL
3.9,37,36.4799007,127.2476233,15.527486,1697440340912,NORMAL
3.9,38,36.4798189,127.247308,13.541634,1697440342912,NORMAL
3.9,39,36.4797837,127.2471777,11.239029,1697440343912,NORMAL
3.9,40,36.4797241,127.2469887,8.56701,1697440345912,NORMAL
3.9,41,36.4796888,127.2469109,8.239153,1697440346912,NORMAL
3.9,42,36.4796336,127.2467886,5.225291,1697440348912,NORMAL
