accuracy,id,lat,lng,speed,time,type
3.834,1,36.4898452,127.2546813,0.9799255,1697505253555,START
3.856,2,36.4898431,127.2546745,0.7595522,1697505255554,NORMAL
3.834,3,36.4898451,127.2546693,0.66331714,1697505256555,NORMAL
3.826,4,36.489844,127.2546598,0.18211259,1697505258554,NORMAL
3.808,5,36.4898479,127.2546676,1.8796287,1697505259555,NORMAL
3.79,6,36.4898826,127.2547308,4.979467,1697505261553,NORMAL
3.79,7,36.4899009,127.254795,5.531594,1697505262554,NORMAL
3.79,8,36.4899341,127.2549555,7.00603,1697505264554,NORMAL
3.808,9,36.4899471,127.2550299,6.093638,1697505265554,NORMAL
3.826,10,36.4899583,127.2551667,6.1717362,1697505267553,NORMAL
3.826,11,36.4899523,127.2552316,5.6906924,1697505268554,NORMAL
3.834,12,36.4899205,127.2553441,5.7398915,1697505270554,NORMAL
3.856,13,36.4898977,127.2554044,5.3271275,1697505271555,NORMAL
3.826,14,36.4898121,127.255446,4.448251,1697505273550,NORMAL
3.826,15,36.4897704,127.2554177,4.526768,1697505274550,NORMAL
3.86,16,36.4897385,127.2552925,5.7397795,1697505276544,NORMAL
3.875,17,36.4897429,127.2552116,7.4670625,1697505277556,NORMAL
3.885,18,36.4897212,127.2551194,4.7101808,1697505279546,NORMAL
3.891,19,36.4897095,127.255071,4.2606673,1697505280548,NORMAL
3.863,20,36.4896909,127.2549801,3.7001739,1697505282543,NORMAL
3.863,21,36.4896847,127.2549372,3.580192,1697505283544,NORMAL
3.859,22,36.4896926,127.2548663,2.741283,1697505285544,NORMAL
3.857,23,36.4897135,127.25483,3.0395377,1697505286544,NORMAL
3.866,24,36.4897629,127.2547688,3.1487076,1697505288544,NORMAL
3.866,25,36.4897685,127.2547392,2.9799268,1697505289544,NORMAL
3.886,26,36.4897593,127.2546688,3.4295826,1697505291544,NORMAL
3.915,27,36.4897552,127.2546378,3.1368818,1697505292544,NORMAL
3.907,28,36.48977,127.2545761,3.1398356,1697505294543,NORMAL
3.907,29,36.4897933,127.2545519,3.3294804,1697505295544,NORMAL
