accuracy,id,lat,lng,speed,time,type
3.812,1,36.4972368,127.1667169,5.051361,1697584044999,START
3.826,2,36.497268,127.1668282,5.2760224,1697584047000,NORMAL
3.826,3,36.4972843,127.1668868,5.406834,1697584048000,NORMAL
3.826,4,36.4973181,127.167011,5.7868567,1697584049999,NORMAL
3.834,5,36.4973375,127.1670723,5.784262,1697584050999,NORMAL
3.834,6,36.4973803,127.1671901,5.9038534,1697584053000,NORMAL
3.856,7,36.4974056,127.1672511,6.186747,1697584054000,NORMAL
3.845,8,36.4974598,127.1673861,6.5183067,1697584056000,NORMAL
3.834,9,36.4974893,127.1674557,6.75085,1697584056999,NORMAL
3.834,10,36.4975512,127.1676014,7.1602855,1697584058999,NORMAL
3.856,11,36.4975824,127.1676749,7.174288,1697584059999,NORMAL
3.856,12,36.4976455,127.1678206,7.4101434,1697584061999,NORMAL
3.834,13,36.4976804,127.1678932,7.687623,1697584063000,NORMAL
3.845,14,36.4977578,127.1680479,8.467707,1697584065000,NORMAL
3.856,15,36.4977979,127.1681315,8.747357,1697584065999,NORMAL
3.845,16,36.4978708,127.1683109,9.0633745,1697584068000,NORMAL
3.845,17,36.4979041,127.1684051,9.351059,1697584068999,NORMAL
3.834,18,36.4979812,127.1686041,10.041447,1697584071000,NORMAL
3.856,19,36.4980234,127.1687079,10.042882,1697584071999,NORMAL
3.856,20,36.49811,127.1689207,10.591938,1697584074000,NORMAL
3.834,21,36.4981559,127.1690294,10.791271,1697584075000,NORMAL
3.845,22,36.4982469,127.1692526,11.19571,1697584077000,NORMAL
3.845,23,36.4982934,127.1693694,11.411932,1697584078000,NORMAL
3.845,24,36.49838,127.1696133,11.963988,1697584080000,NORMAL
3.845,25,36.4984194,127.1697365,11.860977,1697584081000,NORMAL
3.834,26,36.4984866,127.1699821,11.7354145,1697584083000,NORMAL
3.845,27,36.4985177,127.1701096,11.949245,1697584083999,NORMAL
3.826,28,36.4985746,127.1703745,12.354805,1697584086000,NORMAL
3.826,29,36.4986091,127.1705099,12.669907,1697584086999,NORMAL
3.834,30,36.4986463,127.1706571,12.9336405,1697584088210,NORMAL
3.826,31,36.4987181,127.1709369,13.551048,1697584090000,NORMAL
3.856,32,36.4987959,127.1712365,14.043385,1697584092000,NORMAL
