accuracy,id,lat,lng,speed,time,type
14.5,0,36.479434,127.290855,11.16,1697777117000,START
14.5,0,36.479480,127.290965,11.06,1697777118000,NORMAL
14.5,0,36.479526,127.291074,11.06,1697777119000,NORMAL
14.5,0,36.479613,127.291290,10.70,1697777121000,NORMAL
14.5,0,36.479656,127.291396,10.60,1697777122000,NORMAL
14.5,0,36.479700,127.291500,10.39,1697777123000,NORMAL
14.5,0,36.479742,127.291601,10.08,1697777124000,NORMAL
14.5,0,36.479824,127.291789,9.00,1697777126000,NORMAL
14.5,0,36.479884,127.291962,8.33,1697777128000,NORMAL
14.5,0,36.479917,127.292042,8.23,1697777129000,NORMAL
14.5,0,36.479951,127.292121,8.18,1697777130000,NORMAL
19.8,0,36.480019,127.292282,8.39,1697777132000,NORMAL
20.4,0,36.480054,127.292365,8.54,1697777133000,NORMAL
20.8,0,36.480125,127.292535,8.44,1697777135000,NORMAL
20.8,0,36.480160,127.292618,8.28,1697777136000,NORMAL
20.6,0,36.480227,127.292778,7.87,1697777138000,NORMAL
20.6,0,36.480259,127.292854,7.51,1697777139000,NORMAL
20.5,0,36.480318,127.292994,6.64,1697777141000,NORMAL
20.6,0,36.480368,127.293113,5.35,1697777143000,NORMAL
20.7,0,36.480404,127.293198,3.29,1697777145000,NORMAL
20.7,0,36.480422,127.293241,1.08,1697777147000,NORMAL
20.7,0,36.480424,127.293247,0.00,1697777149000,STOP
20.7,0,36.480429,127.293258,1.18,1697777204000,NORMAL
21.5,0,36.480443,127.293293,2.16,1697777206000,NORMAL
24.5,0,36.480635,127.293385,2.83,1697777208000,NORMAL
14.5,0,36.480611,127.293192,3.34,1697777210000,NORMAL
14.5,0,36.480594,127.293109,4.37,1697777212000,NORMAL
14.5,0,36.480571,127.293064,5.14,1697777213000,NORMAL
14.5,0,36.480513,127.292953,6.53,1697777215000,NORMAL
14.5,0,36.480446,127.292814,7.82,1697777217000,NORMAL
14.5,0,36.480376,127.292644,9.16,1697777219000,NORMAL
14.5,0,36.480337,127.292549,9.77,1697777220000,NORMAL
14.5,0,36.480251,127.292345,10.70,1697777222000,NORMAL
14.5,0,36.480158,127.292127,11.21,1697777224000,NORMAL
14.5,0,36.480111,127.292017,11.01,1697777225000,NORMAL
14.5,0,36.480020,127.291801,10.91,1697777227000,NORMAL
14.5,0,36.479926,127.291581,11.27,1697777229000,NORMAL
14.5,0,36.479829,127.291354,11.68,1697777231000,NORMAL
14.5,0,36.479779,127.291237,11.88,1697777232000,NORMAL
14.5,0,36.479728,127.291119,12.09,1697777233000,NORMAL
14.5,0,36.479625,127.290880,11.94,1697777235000,NORMAL
14.5,0,36.479575,127.290762,11.83,1697777236000,NORMAL
14.5,0,36.479475,127.290527,11.94,1697777238000,NORMAL
14.5,0,36.479425,127.290409,12.09,1697777239000,NORMAL
14.5,0,36.479325,127.290174,11.63,1697777241000,NORMAL
