accuracy,id,lat,lng,speed,time,type
9.533,1,36.1968747,127.0737265,5.300026,1697836277552,START
11.121,2,36.1969183,127.0737336,5.3195267,1697836278456,NORMAL
7.557,3,36.1969929,127.0737473,4.9105086,1697836279954,NORMAL
6.254,4,36.1971112,127.0737711,4.820004,1697836282552,NORMAL
3.9,5,36.1972,127.0737881,5.469957,1697836284553,NORMAL
3.9,6,36.1973118,127.0738066,6.939939,1697836286552,NORMAL
3.9,7,36.197448,127.0738298,7.733787,1697836288552,NORMAL
13.808,8,36.1975444,127.0738446,7.7078333,1697836290039,NORMAL
11.331,9,36.1977572,127.0738726,8.714871,1697836292553,NORMAL
9.845,10,36.1978368,127.0738786,8.779987,1697836293554,NORMAL
3.878,11,36.198072,127.0739008,8.532462,1697836296553,NORMAL
3.872,12,36.1982322,127.0739151,9.382561,1697836298552,NORMAL
3.9,13,36.1984121,127.0739276,10.15481,1697836300553,NORMAL
13.872,14,36.1985401,127.0739359,10.118301,1697836302048,NORMAL
18.934,15,36.1987419,127.0739565,10.789884,1697836304064,NORMAL
15.927,16,36.1990206,127.0739848,11.929893,1697836306553,NORMAL
11.454,17,36.1992439,127.0740011,12.498858,1697836308553,NORMAL
3.9,18,36.1994728,127.0740199,12.823614,1697836310553,NORMAL
3.9,19,36.1997069,127.0740396,13.18286,1697836312553,NORMAL
3.9,20,36.1999488,127.0740625,13.562522,1697836314553,NORMAL
3.9,21,36.2001999,127.0740819,14.226637,1697836316552,NORMAL
3.9,22,36.2004559,127.0741026,14.102631,1697836318552,NORMAL
3.9,23,36.2007064,127.0741243,13.972559,1697836320552,NORMAL
3.863,24,36.2009639,127.074145,14.607276,1697836322552,NORMAL
3.863,25,36.201236,127.0741609,15.198626,1697836324552,NORMAL
3.863,26,36.2015155,127.0741877,15.77897,1697836326552,NORMAL
3.9,27,36.2018035,127.0742267,16.192593,1697836328553,NORMAL
3.9,28,36.2020995,127.0742813,16.554457,1697836330552,NORMAL
3.9,29,36.202399,127.0743592,16.7877,1697836332552,NORMAL
4.348,30,36.2026936,127.0744535,16.822973,1697836334553,NORMAL
11.936,31,36.2029006,127.0745271,16.763346,1697836336070,NORMAL
11.488,32,36.2032726,127.0747152,17.142889,1697836338553,NORMAL
11.488,33,36.2035498,127.0748984,17.457123,1697836340553,NORMAL
3.9,34,36.2038174,127.0751028,17.511175,1697836342552,NORMAL
3.9,35,36.2040729,127.0753324,17.372837,1697836344553,NORMAL
3.9,36,36.2043058,127.07558,16.857439,1697836346552,NORMAL
3.9,37,36.2045179,127.0758295,16.12924,1697836348552,NORMAL
3.9,38,36.2047156,127.0760846,15.971849,1697836350553,NORMAL
3.9,39,36.2049164,127.0763387,15.890826,1697836352552,NORMAL
3.9,40,36.2051385,127.0765608,15.775016,1697836354553,NORMAL
3.9,41,36.2053885,127.0767269,15.706322,1697836356552,NORMAL
