accuracy,id,lat,lng,speed,time,type
8.1,0,36.255642,127.281961,0.00,1697960707000,START
8.1,0,36.255642,127.281961,0.00,1697960709000,STOP
8.1,0,36.255585,127.281934,1.57,1697960729000,NORMAL
8.1,0,36.255560,127.281929,2.13,1697960730000,NORMAL
8.1,0,36.255516,127.281923,2.17,1697960732000,NORMAL
8.1,0,36.255488,127.281918,2.24,1697960733000,NORMAL
8.1,0,36.255419,127.281910,3.41,1697960735000,NORMAL
8.1,0,36.255332,127.281892,4.37,1697960737000,NORMAL
8.1,0,36.255287,127.281875,4.74,1697960738000,NORMAL
8.1,0,36.255187,127.281842,5.47,1697960740000,NORMAL
8.1,0,36.255144,127.281826,5.30,1697960741000,NORMAL
8.1,0,36.255064,127.281803,4.27,1697960744000,NORMAL
8.1,0,36.254973,127.281744,5.12,1697960745000,NORMAL
8.1,0,36.254921,127.281693,6.17,1697960746000,NORMAL
8.1,0,36.254833,127.281575,6.44,1697960748000,NORMAL
8.1,0,36.254734,127.281478,6.38,1697960750000,NORMAL
8.1,0,36.254632,127.281379,6.65,1697960752000,NORMAL
8.1,0,36.254527,127.281277,6.93,1697960754000,NORMAL
8.1,0,36.254480,127.281223,6.88,1697960755000,NORMAL
8.1,0,36.254376,127.281107,7.43,1697960757000,NORMAL
8.1,0,36.254324,127.281053,7.38,1697960758000,NORMAL
8.1,0,36.254232,127.280943,7.00,1697960760000,NORMAL
8.1,0,36.254148,127.280836,6.58,1697960762000,NORMAL
8.1,0,36.254082,127.280712,6.75,1697960764000,NORMAL
8.1,0,36.254058,127.280637,6.75,1697960765000,NORMAL
8.1,0,36.254001,127.280496,6.99,1697960767000,NORMAL
8.1,0,36.253975,127.280431,6.76,1697960768000,NORMAL
8.1,0,36.253922,127.280301,6.43,1697960770000,NORMAL
8.0,0,36.253869,127.280173,6.17,1697960772000,NORMAL
8.0,0,36.253811,127.280031,6.37,1697960774000,NORMAL
7.7,0,36.253762,127.280017,3.94,1697960776000,NORMAL
7.9,0,36.253765,127.279901,3.50,1697960778000,NORMAL
8.0,0,36.253780,127.279825,2.18,1697960780000,NORMAL
8.1,0,36.253780,127.279825,0.40,1697960782000,STOP
8.2,0,36.253791,127.279759,1.85,1697960790000,NORMAL
13.0,0,36.253776,127.279734,3.34,1697960792000,NORMAL
8.2,0,36.253912,127.279706,4.67,1697960793000,NORMAL
8.2,0,36.254034,127.279748,6.78,1697960795000,NORMAL
8.2,0,36.254168,127.279792,7.71,1697960797000,NORMAL
8.2,0,36.254313,127.279830,8.17,1697960799000,NORMAL
8.2,0,36.254387,127.279857,8.37,1697960800000,NORMAL
8.2,0,36.254537,127.279894,8.55,1697960802000,NORMAL
8.2,0,36.254621,127.279909,9.04,1697960803000,NORMAL
8.2,0,36.254770,127.279934,8.75,1697960805000,NORMAL
8.2,0,36.254932,127.279959,9.04,1697960807000,NORMAL
8.2,0,36.255018,127.279976,9.43,1697960808000,NORMAL
8.2,0,36.255102,127.279991,9.44,1697960809000,NORMAL
8.1,0,36.255268,127.280009,9.49,1697960811000,NORMAL
8.1,0,36.255431,127.280023,8.98,1697960813000,NORMAL
8.1,0,36.255570,127.280009,7.42,1697960815000,NORMAL
8.1,0,36.255712,127.279991,7.54,1697960817000,NORMAL
8.1,0,36.255777,127.279984,7.50,1697960818000,NORMAL
8.1,0,36.255847,127.279980,7.75,1697960819000,NORMAL
8.1,0,36.256015,127.279997,9.13,1697960821000,NORMAL
8.1,0,36.256100,127.280019,9.32,1697960822000,NORMAL
8.1,0,36.256260,127.280077,9.02,1697960824000,NORMAL
8.1,0,36.256412,127.280134,8.60,1697960826000,NORMAL
8.1,0,36.256483,127.280164,8.20,1697960827000,NORMAL
8.1,0,36.256605,127.280212,7.30,1697960829000,NORMAL
8.1,0,36.256662,127.280236,7.18,1697960830000,NORMAL
8.1,0,36.256732,127.280263,7.97,1697960831000,NORMAL
8.1,0,36.256817,127.280295,9.10,1697960832000,NORMAL
8.1,0,36.257001,127.280366,10.62,1697960834000,NORMAL
8.1,0,36.257097,127.280404,10.89,1697960835000,NORMAL
8.1,0,36.257297,127.280481,11.40,1697960837000,NORMAL
8.1,0,36.257486,127.280555,11.00,1697960839000,NORMAL
8.1,0,36.257670,127.280619,10.56,1697960841000,NORMAL
8.1,0,36.257844,127.280621,9.62,1697960843000,NORMAL
8.1,0,36.257923,127.280582,9.32,1697960844000,NORMAL
8.1,0,36.258001,127.280544,9.34,1697960845000,NORMAL
8.1,0,36.258157,127.280473,9.18,1697960847000,NORMAL
8.1,0,36.258280,127.280415,6.83,1697960849000,NORMAL
8.1,0,36.258327,127.280393,5.98,1697960850000,NORMAL
8.1,0,36.258362,127.280354,5.49,1697960851000,NORMAL
8.1,0,36.258443,127.280289,5.72,1697960853000,NORMAL
8.1,0,36.258479,127.280251,5.47,1697960854000,NORMAL
8.1,0,36.258517,127.280209,5.54,1697960855000,NORMAL
8.1,0,36.258601,127.280144,5.39,1697960857000,NORMAL
8.1,0,36.258669,127.280044,6.03,1697960859000,NORMAL
8.1,0,36.258744,127.279919,6.69,1697960861000,NORMAL
8.1,0,36.258808,127.279790,6.68,1697960863000,NORMAL
