accuracy,id,lat,lng,speed,time,type
14.0,1,36.4817458,127.2612236,15.706566,1698070291785,START
12.0,2,36.481547,127.2613903,13.2863,1698070293771,NORMAL
10.333,3,36.4814637,127.261464,11.82343,1698070294770,NORMAL
7.666,4,36.4813172,127.2615908,9.481857,1698070296782,NORMAL
6.4,5,36.4812525,127.2616426,8.692517,1698070297787,NORMAL
6.8,6,36.4811308,127.2617242,7.261186,1698070299781,NORMAL
7.2,7,36.4810786,127.2617538,6.075838,1698070300790,NORMAL
7.6,8,36.4810051,127.2618091,4.694715,1698070302794,NORMAL
7.2,9,36.481,127.2618076,1.4899665,1698070303801,NORMAL
6.4,10,36.4810002,127.2618093,0.29864842,1698070305797,NORMAL
6.666,11,36.4810008,127.2618092,0.13662066,1698070306796,NORMAL
6.333,12,36.4810042,127.2618084,0.019347042,1698070308787,OVER_STOP
7.372,13,36.4810051,127.2618082,0.003906528,1698070309794,NORMAL
7.372,14,36.4810059,127.2618081,0.0019039254,1698070311786,NORMAL
7.268,15,36.4810061,127.261808,0.0017929228,1698070312789,NORMAL
6.76,16,36.4810062,127.261808,8.154632E-4,1698070314783,NORMAL
7.046,17,36.4810063,127.261808,5.1732984E-4,1698070315795,NORMAL
7.617,18,36.4810063,127.261808,6.870642E-6,1698070317781,NORMAL
7.666,19,36.4810063,127.261808,2.841362E-6,1698070318781,NORMAL
7.998,20,36.4810063,127.261808,5.181457E-7,1698070320780,NORMAL
7.713,21,36.4810063,127.261808,1.2979272E-7,1698070321785,NORMAL
7.998,22,36.4810063,127.261808,1.506277E-8,1698070323833,NORMAL
7.0,23,36.4810063,127.261808,7.0099975E-9,1698070324791,NORMAL
8.0,24,36.4810063,127.261808,1.5064361E-9,1698070326804,NORMAL
8.0,25,36.4810063,127.261808,7.0136524E-10,1698070327795,NORMAL
8.0,26,36.4810063,127.261808,1.5188736E-10,1698070329785,NORMAL
8.0,27,36.4810063,127.261808,7.0426415E-11,1698070330794,NORMAL
8.0,28,36.4810063,127.261808,1.5164855E-11,1698070332796,NORMAL
8.0,29,36.4810063,127.261808,7.066067E-12,1698070333783,NORMAL
9.257,30,36.4810063,127.261808,2.0753327E-12,1698070335782,NORMAL
9.257,31,36.4810063,127.261808,6.604463E-13,1698070336801,NORMAL
9.542,32,36.4810063,127.261808,2.2405753E-13,1698070338799,NORMAL
8.285,33,36.4810063,127.261808,5.680906E-14,1698070339796,NORMAL
8.285,34,36.4810063,127.261808,1.0335086E-14,1698070341790,NORMAL
8.285,35,36.4810063,127.261808,4.719032E-15,1698070342785,NORMAL
8.349,36,36.4810063,127.261808,8.7813594E-16,1698070344788,NORMAL
8.349,37,36.4810063,127.261808,2.5071887E-16,1698070345787,NORMAL
8.407,38,36.4810063,127.261808,1.0920767E-18,1698070347799,NORMAL
8.0,39,36.4810063,127.261808,7.3700507E-20,1698070348781,NORMAL
9.584,40,36.4810063,127.261808,1.49351E-20,1698070350789,NORMAL
9.357,41,36.4810063,127.261808,7.482728E-21,1698070351796,NORMAL
8.834,42,36.4809816,127.2618538,0.079600796,1698070353794,NORMAL
7.19,43,36.4809782,127.2618602,0.056135304,1698070354790,NORMAL
6.619,44,36.4809753,127.2618662,0.022955952,1698070356782,NORMAL
6.619,45,36.4809749,127.2618671,0.0129806325,1698070357783,NORMAL
6.333,46,36.4809743,127.2618689,1.2816717E-4,1698070359778,NORMAL
6.4,47,36.4809742,127.2618691,3.199798E-5,1698070360795,NORMAL
6.4,48,36.4809742,127.2618692,3.1956317E-6,1698070362793,NORMAL
6.8,49,36.4809742,127.2618692,1.422048E-6,1698070363786,NORMAL
7.0,50,36.4809742,127.2618692,3.7817742E-7,1698070365795,NORMAL
7.2,51,36.4809742,127.2618692,1.4461085E-7,1698070366786,NORMAL
6.666,52,36.4809742,127.2618692,1.981327E-8,1698070368782,NORMAL
7.536,53,36.4809742,127.2618692,3.7500484E-8,1698070369808,NORMAL
7.536,54,36.4809742,127.2618692,9.333684E-10,1698070371800,NORMAL
7.317,55,36.4809742,127.2618692,3.205313E-10,1698070372790,NORMAL
7.503,56,36.4809742,127.2618692,2.3048286E-10,1698070374811,NORMAL
7.288,57,36.4809742,127.2618692,2.2977103E-11,1698070375776,NORMAL
7.574,58,36.48093,127.261914,3.8894782,1698070377787,NORMAL
8.37,59,36.4808889,127.2619359,4.0303154,1698070378793,NORMAL
