accuracy,id,lat,lng,speed,time,type
19.525,1,36.3555559,127.4213362,2.921238,1698042181601,START
18.271,2,36.3555336,127.4213363,1.9097936,1698042182613,NORMAL
14.271,3,36.3554909,127.4213432,2.5118964,1698042184599,NORMAL
8.0,4,36.3554653,127.4213426,3.0998838,1698042185606,NORMAL
8.4,5,36.355417,127.4213351,3.6522357,1698042187161,NORMAL
7.16,6,36.3553507,127.4213268,3.6903446,1698042189181,NORMAL
6.826,7,36.3553177,127.4213224,3.604069,1698042190173,NORMAL
6.493,8,36.3552569,127.421314,3.2283762,1698042192174,NORMAL
6.493,9,36.3552285,127.4213107,2.4385266,1698042193186,NORMAL
6.317,10,36.3551937,127.4213155,1.3417794,1698042195178,NORMAL
5.984,11,36.3551828,127.4213228,1.277166,1698042196186,NORMAL
5.415,12,36.3551642,127.4213427,1.0997157,1698042198176,NORMAL
4.333,13,36.3551616,127.4213666,1.9603713,1698042199180,NORMAL
4.0,14,36.3551717,127.4214234,1.9979981,1698042201191,NORMAL
4.0,15,36.3551821,127.4214491,2.3585317,1698042202187,NORMAL
4.666,16,36.3552026,127.4215208,3.3424118,1698042204167,NORMAL
5.0,17,36.3552092,127.4215647,3.6564465,1698042205175,NORMAL
6.0,18,36.3552279,127.4216642,4.476857,1698042207198,NORMAL
5.6,19,36.3552402,127.4217197,4.586771,1698042208216,NORMAL
4.8,20,36.3552626,127.4218247,4.404932,1698042210181,NORMAL
4.666,21,36.355274,127.4218753,4.36541,1698042211189,NORMAL
4.0,22,36.3552959,127.4219741,4.270185,1698042213206,NORMAL
4.0,23,36.3553062,127.4220215,4.2047844,1698042214200,NORMAL
4.0,24,36.3553279,127.4221142,4.1227245,1698042216185,NORMAL
4.0,25,36.3553398,127.4221606,4.1377172,1698042217189,NORMAL
4.0,26,36.3553627,127.4222521,3.9688463,1698042219184,NORMAL
4.4,27,36.3553732,127.4222983,4.4967837,1698042220210,NORMAL
5.2,28,36.3553966,127.4223949,3.8259444,1698042222196,NORMAL
5.6,29,36.3554081,127.4224368,3.7614353,1698042223207,NORMAL
6.0,30,36.3554273,127.4225242,3.889222,1698042225186,NORMAL
6.0,31,36.3554373,127.4225679,4.1100974,1698042226202,NORMAL
6.0,32,36.3554586,127.422663,4.154247,1698042228177,NORMAL
6.0,33,36.3554684,127.4227114,4.0626025,1698042229184,NORMAL
6.0,34,36.3554849,127.422799,2.875279,1698042231185,NORMAL
5.666,35,36.3554807,127.4228274,2.1899216,1698042232191,NORMAL
4.8,36,36.3554628,127.4228691,1.9047754,1698042234184,NORMAL
4.666,37,36.3554473,127.422885,1.9974577,1698042235190,NORMAL
4.0,38,36.3554036,127.4229137,3.2942243,1698042237195,NORMAL
