accuracy,id,lat,lng,speed,time,type
4.0,1,35.8363629,127.646873,18.381817,1698137562579,START
4.0,2,35.836527,127.6468652,18.31075,1698137563557,NORMAL
4.0,3,35.836856,127.6468488,18.173077,1698137565544,NORMAL
4.0,4,35.8370219,127.6468413,18.13106,1698137566567,NORMAL
4.0,5,35.8373462,127.646825,18.105244,1698137568559,NORMAL
4.333,6,35.8375099,127.6468169,18.04631,1698137569565,NORMAL
4.4,7,35.8378345,127.6468008,18.025572,1698137571587,NORMAL
4.4,8,35.837996,127.646793,17.987194,1698137572585,NORMAL
4.4,9,35.8383191,127.6467768,17.81179,1698137574590,NORMAL
4.666,10,35.8384772,127.6467703,17.666214,1698137575576,NORMAL
5.6,11,35.8387943,127.6467566,17.517323,1698137577587,NORMAL
5.6,12,35.8389507,127.6467506,17.416384,1698137578583,NORMAL
5.2,13,35.8392643,127.6467407,16.995953,1698137580590,NORMAL
5.333,14,35.8394163,127.6467384,16.700205,1698137581584,NORMAL
5.333,15,35.839714,127.6467357,16.06712,1698137583577,NORMAL
5.333,16,35.8398569,127.6467349,15.968521,1698137584551,NORMAL
5.0,17,35.840141,127.6467307,15.5547495,1698137586581,NORMAL
4.4,18,35.8402815,127.6467281,15.49437,1698137587582,NORMAL
4.0,19,35.8405544,127.6467243,15.020145,1698137589580,NORMAL
4.333,20,35.8406855,127.6467208,14.703567,1698137590568,NORMAL
5.0,21,35.8409427,127.6467428,14.058658,1698137592578,NORMAL
5.333,22,35.8410647,127.6467536,13.868054,1698137593559,NORMAL
5.6,23,35.8413053,127.6468098,13.603835,1698137595572,NORMAL
5.666,24,35.8414226,127.6468512,13.599865,1698137596572,NORMAL
5.6,25,35.841657,127.646961,13.94353,1698137598581,NORMAL
5.6,26,35.8417725,127.6470299,14.040936,1698137599571,NORMAL
4.8,27,35.8419909,127.6471938,13.954931,1698137601594,NORMAL
5.0,28,35.8420939,127.6472832,14.02983,1698137602557,NORMAL
5.0,29,35.8422879,127.6474922,14.044761,1698137604562,NORMAL
5.0,30,35.8423715,127.6476097,14.006699,1698137605556,NORMAL
5.6,31,35.8425201,127.6478525,13.270256,1698137607562,NORMAL
5.333,32,35.842578,127.6479727,12.456554,1698137608571,NORMAL
5.2,33,35.8426681,127.6481934,10.929942,1698137610557,NORMAL
5.333,34,35.8427048,127.6482996,10.492165,1698137611569,NORMAL
5.333,35,35.8427687,127.6485051,9.915928,1698137613570,NORMAL
5.666,36,35.8427945,127.6486048,9.640237,1698137614556,NORMAL
6.0,37,35.8428308,127.6488024,9.034944,1698137616555,NORMAL
6.0,38,35.8428399,127.6488994,8.774681,1698137617564,NORMAL
7.6,39,35.8428503,127.649066,7.7107754,1698137619562,NORMAL
8.333,40,35.8428599,127.6491459,7.4668865,1698137620561,NORMAL
9.0,41,35.8428718,127.6493351,8.373484,1698137622549,NORMAL
9.0,42,35.8428757,127.6494277,8.373279,1698137623549,NORMAL
6.8,43,35.8428816,127.6496234,8.51575,1698137625573,NORMAL
6.666,44,35.8428816,127.6497221,8.793586,1698137626545,NORMAL
6.0,45,35.8428691,127.6499259,9.1414,1698137628575,NORMAL
6.0,46,35.8428592,127.6500275,9.395247,1698137629544,NORMAL
6.0,47,35.842835,127.6502386,9.585306,1698137631555,NORMAL
6.0,48,35.8428214,127.6503447,9.644667,1698137632564,NORMAL
6.0,49,35.842797,127.6505543,9.631749,1698137634548,NORMAL
6.0,50,35.8427852,127.6506596,9.621559,1698137635545,NORMAL
6.0,51,35.8427624,127.6508653,9.245957,1698137637550,NORMAL
6.0,52,35.8427499,127.6509642,8.983995,1698137638564,NORMAL
6.0,53,35.8427264,127.6511512,8.428505,1698137640565,NORMAL
6.0,54,35.8427159,127.6512379,7.9922714,1698137641550,NORMAL
6.0,55,35.8427008,127.6513984,7.0649137,1698137643556,NORMAL
6.0,56,35.8427008,127.6514713,6.707512,1698137644537,NORMAL
6.0,57,35.842726,127.6516142,6.725209,1698137646557,NORMAL
5.666,58,35.8427533,127.6516839,7.10109,1698137647542,NORMAL
4.8,59,35.842835,127.6518186,7.7599463,1698137649569,NORMAL
4.666,60,35.8428889,127.6518789,8.08405,1698137650548,NORMAL
4.0,61,35.8430038,127.6520075,8.626932,1698137652557,NORMAL
4.0,62,35.8430621,127.652077,8.967914,1698137653559,NORMAL
4.0,63,35.8431816,127.652227,9.581746,1698137655550,NORMAL
4.0,64,35.8432453,127.6523055,9.881246,1698137656568,NORMAL
4.0,65,35.8433786,127.6524648,10.378249,1698137658557,NORMAL
4.0,66,35.8434495,127.6525458,10.608515,1698137659569,NORMAL
4.0,67,35.8435949,127.6527091,11.053096,1698137661556,NORMAL
4.0,68,35.8436685,127.6527949,11.232898,1698137662550,NORMAL
4.0,69,35.8438148,127.6529754,11.53623,1698137664547,NORMAL
4.0,70,35.843888,127.6530685,11.650437,1698137665543,NORMAL
4.0,71,35.8440355,127.6532583,11.91685,1698137667557,NORMAL
4.0,72,35.8441084,127.6533574,12.046653,1698137668551,NORMAL
4.0,73,35.8442516,127.6535656,12.338222,1698137670551,NORMAL
4.0,74,35.8443238,127.6536732,12.506101,1698137671557,NORMAL
4.0,75,35.8444697,127.6538927,12.824166,1698137673565,NORMAL
4.0,76,35.8445446,127.6540037,12.983415,1698137674571,NORMAL
4.8,77,35.8446979,127.6542266,13.292356,1698137676560,NORMAL
4.666,78,35.8447758,127.6543412,13.442682,1698137677554,NORMAL
4.666,79,35.8449312,127.6545741,13.678396,1698137679553,NORMAL
4.666,80,35.8450096,127.6546946,13.81208,1698137680565,NORMAL
4.0,81,35.8451651,127.6549384,14.054515,1698137682553,NORMAL
