accuracy,id,lat,lng,speed,time,type
3.9,1,36.4087059,127.2639471,0.3771559,1698105668829,START
3.9,2,36.4087052,127.2639446,0.17042236,1698105670828,NORMAL
3.845,3,36.4087053,127.263944,0.038572088,1698105673246,NORMAL
3.845,4,36.4087066,127.2639426,0.069552526,1698105675828,NORMAL
3.999,5,36.4087104,127.2639427,0.14775251,1698105677829,NORMAL
4.026,6,36.4087131,127.2639401,0.16287369,1698105679830,NORMAL
3.9,7,36.408713,127.2639367,0.13020208,1698105681829,NORMAL
3.9,8,36.4087114,127.2639342,0.109415576,1698105683829,NORMAL
3.863,9,36.4087108,127.2639347,0.050392337,1698105685829,NORMAL
4.263,10,36.4087104,127.2639341,0.055091683,1698105686986,NORMAL
4.168,11,36.4087061,127.263933,0.14807975,1698105688828,NORMAL
4.076,12,36.4087005,127.2639325,0.22384104,1698105690828,NORMAL
3.863,13,36.4086984,127.2639318,0.22882715,1698105691828,NORMAL
3.881,14,36.4086927,127.263929,0.24313267,1698105693827,NORMAL
3.881,15,36.4086885,127.2639274,0.26165423,1698105694827,NORMAL
3.9,16,36.4086874,127.2639232,0.18652175,1698105696827,NORMAL
3.9,17,36.4086883,127.2639224,0.17864996,1698105697828,NORMAL
3.9,18,36.4086913,127.2639235,0.19140272,1698105698828,NORMAL
3.9,19,36.4086988,127.2639279,0.23244776,1698105700828,NORMAL
3.9,20,36.4087056,127.263933,0.37829,1698105702828,NORMAL
3.9,21,36.4087066,127.2639338,0.23541322,1698105703827,NORMAL
3.9,22,36.4087074,127.2639361,0.12491594,1698105705829,NORMAL
3.9,23,36.4087078,127.2639374,0.1230982,1698105706828,NORMAL
3.9,24,36.408709,127.2639382,0.06515348,1698105708830,NORMAL
3.9,25,36.4087092,127.2639385,0.05099315,1698105709828,NORMAL
3.9,26,36.4087113,127.2639332,0.6750535,1698105711829,NORMAL
3.9,27,36.4087142,127.26392,1.9480838,1698105712829,NORMAL
3.9,28,36.4087189,127.2638903,1.1001045,1698105714828,NORMAL
3.9,29,36.4087213,127.2638787,1.4599446,1698105715829,NORMAL
3.9,30,36.4087277,127.2638542,1.993451,1698105717829,NORMAL
3.9,31,36.4087357,127.263833,1.9699622,1698105718828,NORMAL
3.9,32,36.4087753,127.2638103,2.2813787,1698105720828,NORMAL
3.9,33,36.4088169,127.2638278,5.0528154,1698105721829,NORMAL
3.9,34,36.4089302,127.2638717,5.9937706,1698105723829,NORMAL
3.9,35,36.4089928,127.2638861,6.777234,1698105724827,NORMAL
3.9,36,36.4091274,127.2638964,7.2498856,1698105726828,NORMAL
3.9,37,36.4091974,127.2638976,7.878946,1698105727830,NORMAL
