accuracy,id,lat,lng,speed,time,type
9.716,1,36.4474378,127.4010395,1.1292988,1698110510768,START
6.641,2,36.447499,127.4011322,1.4694966,1698110512768,NORMAL
5.956,3,36.4475208,127.4011843,0.67920965,1698110514769,NORMAL
4.04,4,36.4475368,127.4012008,0.6747169,1698110516769,NORMAL
3.9,5,36.4475381,127.4012124,0.46776548,1698110518769,NORMAL
4.799,6,36.4475285,127.401247,3.3269353,1698110520768,NORMAL
4.799,7,36.4474941,127.4013153,3.1702437,1698110522769,NORMAL
3.9,8,36.4474525,127.4014024,5.1103287,1698110524768,NORMAL
3.9,9,36.4473962,127.4014735,4.990775,1698110526768,NORMAL
3.9,10,36.4473256,127.4015651,5.5334725,1698110528768,NORMAL
3.9,11,36.4471836,127.4017653,6.4679613,1698110532768,NORMAL
3.9,12,36.4471011,127.4018785,7.1818686,1698110534769,NORMAL
3.9,13,36.4470062,127.4020052,7.7730803,1698110536769,NORMAL
3.9,14,36.4468991,127.4021438,8.193423,1698110538768,NORMAL
3.9,15,36.4467833,127.4022654,8.89711,1698110540769,NORMAL
3.9,16,36.4466541,127.4024003,9.469831,1698110542768,NORMAL
3.9,17,36.4465266,127.402543,9.244061,1698110544767,NORMAL
3.9,18,36.4464113,127.4026777,8.590172,1698110546768,NORMAL
3.9,19,36.4460669,127.4030744,8.6476555,1698110552767,NORMAL
3.9,20,36.4456676,127.4035396,11.70679,1698110558768,NORMAL
4.005,21,36.4453584,127.4039026,11.389106,1698110562769,NORMAL
3.985,22,36.4450434,127.4042026,5.360671,1698110568767,NORMAL
6.005,23,36.4449825,127.4042616,3.9435725,1698110570769,NORMAL
9.945,24,36.4449075,127.4042745,2.640022,1698110574768,NORMAL
13.748,25,36.4448836,127.4042716,2.3020766,1698110575911,NORMAL
13.744,26,36.4447982,127.4042396,4.0792723,1698110578768,NORMAL
13.744,27,36.444734,127.4041639,5.7915635,1698110580768,NORMAL
10.341,28,36.4446265,127.4040042,6.959234,1698110582768,NORMAL
