accuracy,id,lat,lng,speed,time,type
4.603,1,36.417753,127.2764633,2.6677277,1698210008063,START
4.427,2,36.4176905,127.2765154,2.2404377,1698210010064,NORMAL
4.031,3,36.4176354,127.2765597,2.5595303,1698210012064,NORMAL
3.863,4,36.4175889,127.2765941,2.050692,1698210014064,NORMAL
3.863,5,36.4175486,127.2766245,2.1682487,1698210016064,NORMAL
3.9,6,36.4174997,127.2766629,2.2675633,1698210018064,NORMAL
3.9,7,36.417454,127.2766915,2.0801005,1698210020065,NORMAL
3.872,8,36.4174125,127.2767174,1.6405495,1698210022485,NORMAL
3.872,9,36.4173966,127.2767271,1.6883906,1698210023481,NORMAL
3.856,10,36.4173575,127.2767431,1.5699573,1698210026064,NORMAL
3.863,11,36.4173432,127.2767468,1.6483469,1698210027063,NORMAL
3.863,12,36.4173106,127.2767543,1.9874524,1698210029064,NORMAL
3.878,13,36.4172915,127.276758,2.2169833,1698210030063,NORMAL
3.9,14,36.4172476,127.2767647,2.6873972,1698210032064,NORMAL
3.878,15,36.4172218,127.2767671,3.0147076,1698210033064,NORMAL
3.881,16,36.4171611,127.2767806,3.7915952,1698210035064,NORMAL
3.881,17,36.4171275,127.2767911,3.3691785,1698210036064,NORMAL
3.9,18,36.4170757,127.2768131,2.7335618,1698210038064,NORMAL
3.9,19,36.4170527,127.2768327,2.9114764,1698210039065,NORMAL
3.9,20,36.4170135,127.2768563,3.502183,1698210041064,NORMAL
3.881,21,36.4169958,127.2768636,0.8290058,1698210042065,NORMAL
3.888,22,36.4169802,127.2768704,0.8744407,1698210044063,NORMAL
3.902,23,36.4169728,127.2768753,0.55173975,1698210045064,NORMAL
3.902,24,36.416941,127.2768896,1.28153,1698210047064,NORMAL
3.902,25,36.416912,127.2769179,4.2563176,1698210048065,NORMAL
3.894,26,36.4168605,127.2770067,3.569544,1698210050063,NORMAL
3.863,27,36.4168512,127.2770549,3.6093445,1698210051064,NORMAL
3.863,28,36.4168685,127.2771404,3.500048,1698210053064,OVER_ACCEL
3.881,29,36.4168884,127.2771709,3.4399881,1698210054065,NORMAL
3.9,30,36.4169424,127.2772101,3.6458457,1698210056063,NORMAL
3.9,31,36.4169758,127.2772239,4.043742,1698210057063,NORMAL
3.9,32,36.4170472,127.2772671,4.567826,1698210059065,NORMAL
3.9,33,36.417085,127.2772911,4.6393056,1698210060064,NORMAL
3.9,34,36.4171644,127.2773355,4.7798805,1698210062064,NORMAL
3.9,35,36.4172046,127.2773569,4.7798653,1698210063064,NORMAL
3.878,36,36.4172741,127.2773929,3.9197803,1698210065065,NORMAL
3.881,37,36.4173063,127.2774143,4.3730855,1698210066064,NORMAL
3.856,38,36.4173816,127.2774687,5.360918,1698210068064,NORMAL
3.863,39,36.4174272,127.2774979,5.43208,1698210069064,NORMAL
3.878,40,36.4175236,127.2775603,5.907807,1698210071064,NORMAL
3.878,41,36.4175705,127.2775925,5.7652235,1698210072065,NORMAL
3.881,42,36.4176696,127.2776541,6.051195,1698210074064,NORMAL
3.878,43,36.4177226,127.2776848,6.3461065,1698210075064,NORMAL
3.881,44,36.4178333,127.2777404,6.656209,1698210077065,NORMAL
3.9,45,36.4178944,127.2777681,7.0315156,1698210078064,NORMAL
3.881,46,36.4180252,127.2778255,7.761467,1698210080064,NORMAL
3.878,47,36.4180949,127.2778571,8.035875,1698210081065,NORMAL
3.881,48,36.4182412,127.2779304,8.739816,1698210083064,NORMAL
3.881,49,36.4183202,127.2779704,9.5406885,1698210084064,NORMAL
3.9,50,36.4184974,127.2780476,10.239968,1698210086065,NORMAL
3.9,51,36.4185895,127.2780823,10.524918,1698210087063,NORMAL
3.9,52,36.4187876,127.2781535,11.41151,1698210089064,NORMAL
3.9,53,36.4188916,127.2781914,11.820712,1698210090064,NORMAL
