accuracy,id,lat,lng,speed,time,type
5.1,0,36.499294,127.236279,5.99,1698307666000,START
5.0,0,36.499395,127.236283,5.69,1698307668000,NORMAL
8.2,0,36.499490,127.236287,5.44,1698307670000,NORMAL
8.2,0,36.499527,127.236268,5.44,1698307671000,NORMAL
8.2,0,36.499579,127.236268,4.62,1698307673000,NORMAL
8.2,0,36.499611,127.236268,3.67,1698307674000,NORMAL
13.1,0,36.499652,127.236268,2.96,1698307676000,NORMAL
12.6,0,36.499761,127.236435,3.61,1698307678000,NORMAL
11.5,0,36.499759,127.236493,4.66,1698307679000,NORMAL
8.2,0,36.499755,127.236649,5.99,1698307681000,NORMAL
8.2,0,36.499752,127.236768,8.24,1698307682000,NORMAL
8.2,0,36.499745,127.236985,9.06,1698307684000,NORMAL
8.2,0,36.499742,127.237109,9.81,1698307685000,NORMAL
8.2,0,36.499734,127.237389,11.98,1698307687000,NORMAL
8.2,0,36.499730,127.237530,12.35,1698307688000,NORMAL
8.1,0,36.499723,127.237793,12.67,1698307690000,NORMAL
8.1,0,36.499719,127.237941,12.69,1698307691000,NORMAL
8.1,0,36.499711,127.238227,12.77,1698307693000,NORMAL
8.1,0,36.499703,127.238510,12.61,1698307695000,NORMAL
8.1,0,36.499695,127.238786,12.41,1698307697000,NORMAL
8.1,0,36.499688,127.239060,12.38,1698307699000,NORMAL
8.1,0,36.499684,127.239200,12.38,1698307700000,NORMAL
8.1,0,36.499680,127.239338,12.34,1698307701000,NORMAL
8.1,0,36.499673,127.239605,11.71,1698307703000,NORMAL
8.1,0,36.499666,127.239826,9.69,1698307705000,NORMAL
8.1,0,36.499664,127.239918,8.48,1698307706000,NORMAL
8.1,0,36.499662,127.240000,7.61,1698307707000,NORMAL
8.1,0,36.499658,127.240118,5.22,1698307709000,NORMAL
8.1,0,36.499581,127.240182,4.29,1698307710000,NORMAL
8.1,0,36.499528,127.240228,3.26,1698307712000,NORMAL
8.1,0,36.499458,127.240262,3.44,1698307714000,NORMAL
8.1,0,36.499401,127.240285,3.24,1698307716000,NORMAL
8.1,0,36.499311,127.240247,4.55,1698307718000,NORMAL
8.1,0,36.499256,127.240239,5.75,1698307719000,NORMAL
8.1,0,36.499195,127.240222,6.63,1698307720000,NORMAL
8.1,0,36.499049,127.240166,8.69,1698307722000,NORMAL
8.1,0,36.498889,127.240076,9.81,1698307724000,NORMAL
8.1,0,36.498678,127.240001,11.91,1698307726000,NORMAL
8.1,0,36.498586,127.239987,11.51,1698307727000,NORMAL
8.1,0,36.498490,127.239968,11.34,1698307728000,NORMAL
8.1,0,36.498293,127.239924,10.74,1698307730000,NORMAL
8.1,0,36.498202,127.239902,10.57,1698307731000,NORMAL
8.1,0,36.498072,127.239868,12.58,1698307732000,NORMAL
8.1,0,36.497934,127.239859,14.02,1698307733000,NORMAL
8.1,0,36.497655,127.239811,14.98,1698307735000,NORMAL
8.1,0,36.497421,127.239760,12.23,1698307737000,NORMAL
8.1,0,36.497335,127.239742,10.66,1698307738000,NORMAL
8.1,0,36.497176,127.239728,8.40,1698307740000,NORMAL
8.1,0,36.497056,127.239683,6.63,1698307742000,NORMAL
8.1,0,36.497011,127.239684,5.42,1698307743000,NORMAL
8.1,0,36.496918,127.239666,5.18,1698307745000,NORMAL
8.1,0,36.496822,127.239681,5.11,1698307747000,NORMAL
8.1,0,36.496776,127.239678,5.08,1698307748000,NORMAL
8.1,0,36.496740,127.239667,4.78,1698307749000,NORMAL
8.1,0,36.496620,127.239669,6.55,1698307751000,NORMAL
8.1,0,36.496510,127.239684,6.63,1698307753000,NORMAL
12.9,0,36.496437,127.239694,7.40,1698307754000,NORMAL
14.4,0,36.496273,127.239715,8.83,1698307756000,NORMAL
13.2,0,36.496212,127.239723,7.95,1698307757000,NORMAL
13.2,0,36.496133,127.239734,8.24,1698307758000,NORMAL
16.1,0,36.495982,127.239753,8.34,1698307760000,NORMAL
12.0,0,36.495755,127.239692,10.58,1698307762000,NORMAL
13.4,0,36.495522,127.239689,12.13,1698307764000,NORMAL
12.5,0,36.495281,127.239703,12.44,1698307766000,NORMAL
8.1,0,36.495041,127.239723,13.18,1698307768000,NORMAL
8.1,0,36.494758,127.239759,14.31,1698307770000,NORMAL
