accuracy,id,lat,lng,speed,time,type
16.752,1,36.4928308,127.2437072,2.425081,1698288044423,START
14.211,2,36.4928632,127.2437008,1.2956774,1698288046470,NORMAL
12.755,3,36.4928698,127.2437015,0.38946348,1698288047495,NORMAL
10.755,4,36.4928659,127.2437094,1.5391932E-4,1698288049480,NORMAL
10.088,5,36.4928644,127.2437115,7.8949015E-6,1698288050482,NORMAL
7.799,6,36.492862,127.2437147,1.1716169E-5,1698288052457,NORMAL
6.942,7,36.4928617,127.2437151,4.16738E-6,1698288053475,NORMAL
6.099,8,36.4928614,127.2437156,9.927903E-8,1698288055484,NORMAL
6.099,9,36.4928613,127.2437156,3.8430468E-9,1698288056481,NORMAL
6.21,10,36.4928612,127.2437158,1.2040093E-9,1698288058480,NORMAL
5.877,11,36.4928612,127.2437158,2.135348E-11,1698288059479,NORMAL
5.323,12,36.4928612,127.2437158,2.02961E-12,1698288061480,NORMAL
4.788,13,36.4928612,127.2437158,3.2729744E-10,1698288062467,NORMAL
4.217,14,36.4928612,127.2437158,4.7752645E-14,1698288064469,NORMAL
4.217,15,36.4928612,127.2437158,1.4975278E-14,1698288065470,NORMAL
4.355,16,36.4928612,127.2437158,1.027207E-12,1698288067489,NORMAL
4.304,17,36.4928612,127.2437158,3.882924E-16,1698288068475,NORMAL
4.355,18,36.4928612,127.2437158,3.04239E-17,1698288070477,NORMAL
4.689,19,36.4928612,127.2437158,8.5222375E-18,1698288071470,NORMAL
5.496,20,36.4928612,127.2437158,4.965796E-19,1698288073467,NORMAL
6.079,21,36.4928612,127.2437158,2.4764374E-19,1698288074483,NORMAL
16.83,22,36.4928612,127.2437158,1.4695681E-16,1698288076650,NORMAL
16.0,23,36.4863537,127.2449566,6.870897,1698288235393,NORMAL
17.942,24,36.4863229,127.2449478,4.94184,1698288236419,NORMAL
17.165,25,36.4862734,127.2449692,3.145078,1698288238400,NORMAL
16.304,26,36.4862669,127.2449814,2.1615443,1698288239451,NORMAL
12.8,27,36.4862695,127.2449918,0.6209367,1698288241465,NORMAL
11.2,28,36.4862709,127.2449922,0.25867742,1698288242470,NORMAL
8.8,29,36.4862723,127.2449915,0.030552085,1698288244491,NORMAL
7.6,30,36.4862724,127.2449912,0.015935354,1698288245500,NORMAL
8.802,31,36.486272,127.2449912,0.01371564,1698288247522,NORMAL
8.469,32,36.486272,127.2449914,0.011919094,1698288248495,NORMAL
8.136,33,36.486272,127.2449919,0.020975865,1698288250515,NORMAL
6.0,34,36.4862721,127.2449922,0.024994802,1698288251543,NORMAL
6.441,35,36.4862722,127.2449929,0.030682655,1698288253512,NORMAL
6.378,36,36.4862723,127.2449935,0.041753907,1698288254506,NORMAL
6.378,37,36.4862724,127.2449938,0.020811638,1698288256504,NORMAL
6.378,38,36.4862723,127.2449938,0.009286186,1698288257486,NORMAL
6.532,39,36.4862724,127.2449942,0.015470154,1698288259487,NORMAL
6.532,40,36.4862724,127.2449945,0.021259498,1698288260487,NORMAL
6.62,41,36.4862724,127.2449948,0.013749943,1698288262501,NORMAL
6.0,42,36.4862724,127.2449948,0.0056904885,1698288263484,NORMAL
8.764,43,36.4862724,127.2449948,1.543859E-4,1698288265495,NORMAL
8.084,44,36.4862724,127.2449948,9.663067E-5,1698288266498,NORMAL
7.889,45,36.4862724,127.2449948,3.5223682E-5,1698288268535,NORMAL
4.948,46,36.4862724,127.2449948,1.3280031E-5,1698288269492,NORMAL
4.773,47,36.4862724,127.2449948,4.449825E-7,1698288271518,NORMAL
4.662,48,36.4862724,127.2449948,1.8104161E-7,1698288272490,NORMAL
4.961,49,36.4862724,127.2449948,8.40907E-8,1698288274493,NORMAL
4.824,50,36.4862724,127.2449948,3.0409858E-8,1698288275495,NORMAL
4.961,51,36.4862414,127.2450111,3.7747881,1698288277504,NORMAL
4.0,52,36.4861955,127.2450314,5.163956,1698288278516,NORMAL
4.0,53,36.4860707,127.245083,7.7971325,1698288280512,NORMAL
4.0,54,36.4859947,127.2451136,8.846086,1698288281485,NORMAL
5.206,55,36.4858206,127.2451815,10.551194,1698288283516,NORMAL
5.033,56,36.4857214,127.2452202,11.401008,1698288284505,NORMAL
5.206,57,36.4855026,127.2453049,12.922479,1698288286501,NORMAL
5.033,58,36.4853864,127.2453468,13.317106,1698288287489,NORMAL
4.4,59,36.4851404,127.2454303,14.308008,1698288289516,NORMAL
4.4,60,36.4850111,127.2454722,14.832247,1698288290519,NORMAL
4.4,61,36.4847393,127.2455576,15.662112,1698288292517,NORMAL
4.4,62,36.4845985,127.2456001,16.22891,1698288293511,NORMAL
4.0,63,36.4843022,127.2456828,16.961302,1698288295482,NORMAL
