accuracy,id,lat,lng,speed,time,type
8.679,1,36.5105345,127.2605317,21.454557,1698372419166,START
8.924,2,36.5100977,127.2608082,21.02516,1698372421755,NORMAL
7.4,3,36.509763,127.2610153,21.407337,1698372423755,NORMAL
5.694,4,36.5094173,127.2611916,21.052393,1698372425755,NORMAL
4.671,5,36.508839,127.2614191,22.14096,1698372428754,NORMAL
11.135,6,36.506519,127.2617842,18.828905,1698372441755,NORMAL
10.332,7,36.5063443,127.2617703,18.174097,1698372442756,NORMAL
8.763,8,36.505983,127.2617477,17.456354,1698372444756,NORMAL
6.729,9,36.5056708,127.2616957,16.021782,1698372446756,NORMAL
4.853,10,36.5053999,127.2616362,13.721577,1698372448755,NORMAL
4.277,11,36.5051909,127.261582,9.942746,1698372450756,NORMAL
3.9,12,36.5050531,127.26153,6.683921,1698372452756,NORMAL
3.9,13,36.5049672,127.261494,4.082642,1698372454756,NORMAL
3.9,14,36.5049304,127.2614805,0.311063,1698372456755,NORMAL
3.9,15,36.5049352,127.2614845,0.31035948,1698372458756,NORMAL
3.865,16,36.5049371,127.261486,0.053467564,1698372459756,NORMAL
3.865,17,36.5049379,127.2614864,0.03373097,1698372462756,NORMAL
3.865,18,36.5049379,127.2614864,0.0054472326,1698372464756,NORMAL
3.9,19,36.5049379,127.2614864,3.854154E-4,1698372466756,NORMAL
3.9,20,36.5049379,127.2614864,1.2818708E-4,1698372468754,NORMAL
3.873,21,36.5049379,127.2614864,4.5998655E-5,1698372470756,NORMAL
3.873,22,36.5049379,127.2614864,7.2114976E-6,1698372472756,NORMAL
3.873,23,36.50493,127.2614779,2.0993037,1698372474755,NORMAL
3.9,24,36.5048744,127.261458,4.516413,1698372476755,NORMAL
3.9,25,36.5048116,127.2614421,5.2659717,1698372478167,NORMAL
3.9,26,36.5046785,127.2613514,7.698263,1698372480755,NORMAL
3.9,27,36.504533,127.2612644,9.707515,1698372482755,NORMAL
3.9,28,36.5043539,127.2611721,11.148424,1698372484755,NORMAL
3.9,29,36.5041462,127.2610778,13.01849,1698372486755,NORMAL
3.9,30,36.503912,127.2609769,13.808844,1698372488755,NORMAL
3.9,31,36.5036683,127.2608724,14.257474,1698372490756,NORMAL
3.9,32,36.503431,127.2607611,13.451275,1698372492756,NORMAL
3.9,33,36.503221,127.2606624,11.522748,1698372494755,NORMAL
3.9,34,36.5030494,127.2605846,8.862259,1698372496755,NORMAL
3.9,35,36.502927,127.2605277,6.122261,1698372498754,NORMAL
3.9,36,36.5028442,127.2604893,4.421876,1698372500755,NORMAL
3.9,37,36.5027884,127.2604636,2.4017787,1698372502755,NORMAL
3.9,38,36.5027669,127.2604548,0.4318101,1698372504755,NORMAL
3.9,39,36.5027699,127.2604567,0.42947188,1698372506754,NORMAL
3.9,40,36.5027722,127.260458,0.029096648,1698372508755,NORMAL
3.9,41,36.5027727,127.2604582,0.029909363,1698372510755,NORMAL
3.9,42,36.5027727,127.2604582,0.006707702,1698372512755,NORMAL
3.9,43,36.5027732,127.2604578,0.0260142,1698372514755,NORMAL
3.9,44,36.5027732,127.2604578,0.0066777305,1698372516755,NORMAL
3.9,45,36.5027732,127.2604578,7.19564E-4,1698372518755,NORMAL
3.9,46,36.5027732,127.2604578,7.7586345E-5,1698372520755,NORMAL
3.9,47,36.5027732,127.2604578,4.888689E-5,1698372522755,NORMAL
3.9,48,36.5027732,127.2604578,9.769541E-6,1698372524755,NORMAL
3.9,49,36.5027732,127.2604578,6.233139E-7,1698372526756,NORMAL
3.9,50,36.5027732,127.2604578,2.2657996E-7,1698372528755,NORMAL
3.9,51,36.5027732,127.2604578,8.4131855E-8,1698372530755,NORMAL
3.9,52,36.5027732,127.2604578,1.309534E-8,1698372532755,NORMAL
3.9,53,36.5027732,127.2604578,1.4144873E-10,1698372534755,NORMAL
3.9,54,36.5027732,127.2604578,4.9852195E-10,1698372536755,NORMAL
3.9,55,36.5027732,127.2604578,1.3451328E-10,1698372538756,NORMAL
5.921,56,36.5027732,127.2604578,2.8098752E-11,1698372540756,NORMAL
7.943,57,36.5027732,127.2604578,3.828791E-12,1698372542755,NORMAL
9.965,58,36.5027732,127.2604578,4.863489E-12,1698372544756,NORMAL
9.963,59,36.5027732,127.2604578,1.898426E-12,1698372546755,NORMAL
9.963,60,36.5027732,127.2604578,3.3694968E-13,1698372548755,NORMAL
9.964,61,36.5027732,127.2604578,2.7993492E-14,1698372550755,NORMAL
9.966,62,36.5027732,127.2604578,3.2182065E-14,1698372552755,NORMAL
9.966,63,36.5027732,127.2604578,1.6721135E-14,1698372554755,NORMAL
9.966,64,36.5027732,127.2604578,1.2395008E-14,1698372556754,NORMAL
9.966,65,36.5027732,127.2604578,1.2395008E-14,1698372558755,NORMAL
9.965,66,36.5027732,127.2604578,1.2395008E-14,1698372560755,NORMAL
9.965,67,36.5027732,127.2604578,1.2395008E-14,1698372562755,NORMAL
9.966,68,36.5027408,127.2604615,2.2791097,1698372564755,NORMAL
9.967,69,36.5026902,127.2604418,3.8226097,1698372566755,NORMAL
9.959,70,36.5026127,127.2604098,5.740189,1698372568755,NORMAL
9.96,71,36.5025007,127.2603645,7.681547,1698372570755,NORMAL
9.959,72,36.5023536,127.260303,8.509103,1698372572755,NORMAL
9.969,73,36.5021923,127.2602321,9.998269,1698372574756,NORMAL
9.969,74,36.5020083,127.2601457,11.04876,1698372576756,NORMAL
9.971,75,36.5018195,127.2600573,10.151174,1698372578755,NORMAL
9.968,76,36.5016668,127.2599813,6.7726507,1698372580756,NORMAL
9.965,77,36.5015853,127.2599411,2.7734094,1698372582755,NORMAL
9.956,78,36.5015722,127.2599324,2.7684283,1698372584755,NORMAL
9.947,79,36.5015867,127.2599375,0.090925165,1698372586755,NORMAL
9.949,80,36.5015972,127.259942,0.43230957,1698372588756,NORMAL
9.956,81,36.5015993,127.259943,0.2085018,1698372590755,NORMAL
9.965,82,36.5015991,127.259943,0.049623482,1698372592755,NORMAL
9.964,83,36.5015788,127.259934,2.1991775,1698372594756,NORMAL
9.965,84,36.5015258,127.25991,4.857224,1698372596755,NORMAL
9.965,85,36.5014315,127.2598645,6.148669,1698372598755,NORMAL
9.968,86,36.5013109,127.2598014,8.447204,1698372600755,NORMAL
9.968,87,36.5011548,127.2597153,9.758701,1698372602755,NORMAL
9.97,88,36.5009743,127.259621,11.497999,1698372604756,NORMAL
9.966,89,36.5007638,127.2595206,13.43838,1698372606756,NORMAL
9.965,90,36.5005179,127.2594065,15.128188,1698372608755,NORMAL
9.963,91,36.5002543,127.2592833,15.519636,1698372610755,NORMAL
9.964,92,36.4999843,127.259155,16.00958,1698372612755,NORMAL
9.965,93,36.4997148,127.2590172,16.219913,1698372614755,NORMAL
9.965,94,36.4994457,127.2588565,16.579733,1698372616755,NORMAL
9.962,95,36.4991773,127.2586827,17.139647,1698372618755,NORMAL
9.98,96,36.4988995,127.2584943,17.797161,1698372620756,NORMAL
9.978,97,36.4986109,127.2583027,18.669466,1698372622756,NORMAL
9.98,98,36.498308,127.2581034,18.849861,1698372624755,NORMAL
9.963,99,36.4980059,127.257909,18.490356,1698372626756,NORMAL
9.966,100,36.4977113,127.2577188,18.310146,1698372628754,NORMAL
9.966,101,36.4974174,127.2575354,18.379915,1698372630755,NORMAL
9.964,102,36.4971146,127.2573659,18.619764,1698372632755,NORMAL
