accuracy,id,lat,lng,speed,time,type
6.214,1,36.3579515,127.3810634,5.2001557,1698628962302,START
5.452,2,36.3579216,127.3809579,6.2997046,1698628963344,NORMAL
4.308,3,36.3579036,127.3807643,8.376232,1698628965366,NORMAL
3.926,4,36.3578914,127.3805696,8.310291,1698628967362,NORMAL
9.008,5,36.3578902,127.3803692,8.943765,1698628969362,NORMAL
9.032,6,36.3578911,127.3801856,7.696281,1698628971356,NORMAL
9.203,7,36.3578861,127.3800507,7.1231713,1698628973294,NORMAL
4.516,8,36.3578854,127.37996,5.3811455,1698628974354,NORMAL
4.926,9,36.3578831,127.3798537,3.0088987,1698628977306,NORMAL
4.872,10,36.3578847,127.3798298,2.026794,1698628978357,NORMAL
4.539,11,36.3578756,127.3798058,0.89841616,1698628980361,NORMAL
4.259,12,36.3578761,127.3797945,0.3787991,1698628982347,NORMAL
4.106,13,36.3578815,127.3797958,0.316759,1698628984357,NORMAL
8.224,14,36.3578873,127.3797974,0.29183814,1698628986366,NORMAL
8.26,15,36.3578922,127.3797957,0.28257698,1698628988358,NORMAL
4.188,16,36.3578958,127.3797952,0.21476854,1698628990355,NORMAL
4.225,17,36.3578955,127.3797956,0.028644508,1698628992359,NORMAL
4.173,18,36.3578968,127.3797953,0.063770816,1698628994364,NORMAL
8.222,19,36.3578978,127.3797958,0.062205054,1698628996351,NORMAL
8.145,20,36.3578981,127.3797959,0.029954396,1698628998365,NORMAL
16.319,21,36.3578985,127.3797961,0.02388182,1698629000228,NORMAL
13.214,22,36.3578982,127.3797957,0.0061166575,1698629002360,NORMAL
13.214,23,36.3578983,127.3797957,0.0053950422,1698629004353,NORMAL
7.845,24,36.3578984,127.3797956,0.00686797,1698629006355,NORMAL
7.845,25,36.3578985,127.3797956,0.0057383105,1698629008360,NORMAL
16.026,26,36.3578986,127.3797956,0.004655345,1698629010180,NORMAL
12.995,27,36.3578991,127.3797961,0.019468058,1698629012361,NORMAL
8.422,28,36.357899,127.3797966,0.013671174,1698629015262,NORMAL
8.455,29,36.357899,127.3797965,0.002694835,1698629016366,NORMAL
8.578,30,36.357899,127.3797964,0.0029520204,1698629018363,NORMAL
4.348,31,36.3578991,127.3797964,0.0044035045,1698629020355,NORMAL
4.374,32,36.3578991,127.3797964,0.0011503072,1698629022358,NORMAL
4.228,33,36.3578992,127.3797964,0.0044354196,1698629024366,NORMAL
8.758,34,36.3578992,127.3797964,0.0037814714,1698629025286,NORMAL
8.585,35,36.357899,127.3797963,0.009812762,1698629026358,NORMAL
8.533,36,36.357899,127.3797962,0.0053765946,1698629028359,NORMAL
3.91,37,36.3578991,127.3797963,0.0046475893,1698629030358,NORMAL
3.9,38,36.3578991,127.3797962,0.002890257,1698629032364,NORMAL
4.073,39,36.3578802,127.3797832,0.9784,1698629034346,NORMAL
9.084,40,36.3578666,127.3797816,0.7878593,1698629036357,NORMAL
9.118,41,36.3578617,127.3797822,0.3965875,1698629038349,NORMAL
4.004,42,36.357861,127.3797834,0.11567215,1698629040353,NORMAL
3.958,43,36.3578656,127.3797443,3.6489036,1698629042353,NORMAL
3.924,44,36.357874,127.3796517,5.6311517,1698629044383,NORMAL
8.7,45,36.3578721,127.3794825,8.373643,1698629046360,NORMAL
8.7,46,36.3578654,127.3792568,10.292417,1698629048354,NORMAL
3.863,47,36.3578638,127.3789855,12.244986,1698629050352,NORMAL
3.863,48,36.3578643,127.3786815,13.3349495,1698629052356,NORMAL
3.863,49,36.35787,127.378366,14.015114,1698629054354,NORMAL
3.863,50,36.3578746,127.3780378,14.6084,1698629056360,NORMAL
3.9,51,36.3578692,127.3777019,14.975876,1698629058356,NORMAL
3.9,52,36.3578495,127.3773726,14.554376,1698629060356,NORMAL
3.9,53,36.3578432,127.3770491,14.348971,1698629062357,NORMAL
3.9,54,36.3578479,127.3767303,14.064366,1698629064359,NORMAL
3.9,55,36.3578457,127.3764238,13.975043,1698629066358,NORMAL
3.9,56,36.3578438,127.3761084,14.269484,1698629068351,NORMAL
3.9,57,36.3578291,127.3757792,14.70536,1698629070356,NORMAL
3.9,58,36.3578064,127.3754391,15.3146,1698629072358,NORMAL
3.9,59,36.3577997,127.3751027,14.772018,1698629074351,NORMAL
3.9,60,36.3577941,127.3747889,13.757161,1698629076360,NORMAL
3.9,61,36.3578,127.3745113,12.608131,1698629078352,NORMAL
3.863,62,36.357807,127.3742391,12.553845,1698629080357,NORMAL
3.863,63,36.3578125,127.3739436,13.964101,1698629082355,NORMAL
3.863,64,36.3578172,127.3736134,14.834628,1698629084363,NORMAL
3.9,65,36.3578202,127.3732692,15.488412,1698629086362,NORMAL
3.9,66,36.3578177,127.3729167,15.971229,1698629088366,NORMAL
3.9,67,36.3578208,127.3725454,16.373077,1698629090359,NORMAL
3.863,68,36.3578093,127.3721738,16.498363,1698629092361,NORMAL
3.863,69,36.3577998,127.3718226,15.2914715,1698629094358,NORMAL
3.863,70,36.3577998,127.3715051,14.091821,1698629096359,NORMAL
3.863,71,36.3577988,127.3712126,12.892854,1698629098361,NORMAL
3.863,72,36.3577921,127.3709295,12.889668,1698629100364,NORMAL
3.863,73,36.3577947,127.3706581,11.750494,1698629102366,NORMAL
3.9,74,36.3577945,127.3704128,10.777483,1698629104358,NORMAL
3.9,75,36.3577989,127.3701917,9.615074,1698629106362,NORMAL
3.863,76,36.3578027,127.3699941,8.49335,1698629108365,NORMAL
3.863,77,36.3578002,127.3698271,7.3793845,1698629110369,NORMAL
3.863,78,36.3578009,127.3696781,6.368155,1698629112364,NORMAL
3.9,79,36.3578035,127.3695498,5.4367576,1698629114365,NORMAL
3.9,80,36.3578066,127.3694471,4.535922,1698629116362,NORMAL
3.9,81,36.3578075,127.3693713,2.9484413,1698629118364,NORMAL
3.9,82,36.3578076,127.3693354,1.1267997,1698629120358,NORMAL
3.9,83,36.3578048,127.3693372,1.0286479,1698629122362,NORMAL
6.245,84,36.3578023,127.3693455,0.19193432,1698629124350,NORMAL
6.245,85,36.3578033,127.3693488,0.14951098,1698629126358,NORMAL
8.42,86,36.3578053,127.3693483,0.06352021,1698629129271,NORMAL
8.42,87,36.3578061,127.3693493,0.08337406,1698629130360,NORMAL
8.42,88,36.3578075,127.3693493,0.077461265,1698629132365,NORMAL
16.618,89,36.3578087,127.3693495,0.07431381,1698629134273,NORMAL
16.456,90,36.357809,127.3693481,0.052001674,1698629136356,NORMAL
17.965,91,36.357809,127.3693477,0.040082287,1698629138361,NORMAL
14.703,92,36.3578092,127.3693475,0.032844692,1698629139315,NORMAL
14.703,93,36.3578089,127.3693476,0.005159343,1698629140360,NORMAL
14.703,94,36.3578089,127.3693475,0.0058103423,1698629142355,NORMAL
19.433,95,36.3578092,127.3693476,0.010864075,1698629146366,NORMAL
19.433,96,36.3578096,127.3693364,0.6077941,1698629148365,NORMAL
14.629,97,36.3578099,127.3693266,0.53473204,1698629150372,NORMAL
14.629,98,36.3578099,127.3693286,0.10241775,1698629152363,NORMAL
19.472,99,36.3578074,127.3693307,0.069494955,1698629156362,NORMAL
14.802,100,36.3578054,127.3693307,0.06754842,1698629159338,NORMAL
14.802,101,36.3578056,127.3693299,0.04281811,1698629160366,NORMAL
14.802,102,36.3578052,127.3693296,0.03239459,1698629162365,NORMAL
9.935,103,36.3578051,127.3693295,0.010329657,1698629164364,NORMAL
9.943,104,36.3578053,127.3693296,0.0026469205,1698629166358,NORMAL
9.943,105,36.3578053,127.3693296,0.0020830166,1698629168369,NORMAL
14.922,106,36.3578053,127.3693296,0.0017914318,1698629169365,NORMAL
14.914,107,36.3578044,127.3693199,0.6554262,1698629170354,NORMAL
14.914,108,36.3578011,127.3693076,0.3136065,1698629172362,NORMAL
14.914,109,36.3577956,127.3692999,0.83439493,1698629174358,NORMAL
10.032,110,36.3577918,127.3692712,2.2645564,1698629176355,NORMAL
10.032,111,36.3577905,127.3691944,4.372,1698629178360,NORMAL
15.124,112,36.357791,127.3690607,6.1225204,1698629180368,NORMAL
15.124,113,36.3577941,127.3688849,7.9162755,1698629182364,NORMAL
