accuracy,id,lat,lng,speed,time,type
4.0,1,36.3852395,127.4273949,3.2073178,1698639998714,START
4.0,2,36.3852313,127.4273118,3.9301429,1698640000705,NORMAL
4.0,3,36.3852294,127.4272671,3.6810753,1698640001702,NORMAL
4.0,4,36.3852276,127.4271963,3.5940163,1698640003703,NORMAL
4.0,5,36.3852271,127.4271547,4.0185127,1698640004737,NORMAL
3.65,6,36.3852285,127.4270541,4.3936825,1698640006698,NORMAL
3.56,7,36.3852281,127.4269962,4.43467,1698640007770,NORMAL
3.283,8,36.385199,127.426881,4.667821,1698640009679,NORMAL
3.116,9,36.385172,127.4268189,4.856872,1698640010722,NORMAL
3.283,10,36.3850921,127.4267017,5.29959,1698640012703,NORMAL
3.283,11,36.3850429,127.4266494,5.4893494,1698640013678,NORMAL
3.633,12,36.3849424,127.4265483,6.513966,1698640015715,NORMAL
3.78,13,36.384896,127.4264955,6.77204,1698640016702,NORMAL
4.316,14,36.3848085,127.4263874,6.7415967,1698640018657,NORMAL
4.666,15,36.3847645,127.4263373,6.6614814,1698640019650,NORMAL
5.333,16,36.3846633,127.4262672,6.441301,1698640021683,NORMAL
6.0,17,36.384605,127.4262508,6.470807,1698640022687,NORMAL
6.0,18,36.3844832,127.4262526,6.2581215,1698640024673,NORMAL
6.0,19,36.3844267,127.4262633,6.162641,1698640025697,NORMAL
5.2,20,36.3843127,127.4263065,6.652138,1698640027739,NORMAL
5.333,21,36.3842557,127.4263368,7.0512996,1698640028674,NORMAL
5.2,22,36.3841388,127.426389,6.447163,1698640030740,NORMAL
5.333,23,36.3840911,127.4264119,5.942569,1698640031703,NORMAL
5.2,24,36.3840136,127.426445,4.771599,1698640033705,NORMAL
5.0,25,36.3839769,127.4264441,4.1707,1698640034712,NORMAL
4.0,26,36.3839184,127.426392,4.8096004,1698640036709,NORMAL
4.333,27,36.3838992,127.4263409,4.746018,1698640037709,NORMAL
5.666,28,36.3838881,127.4262902,4.73643,1698640038698,NORMAL
14.069,29,36.3838713,127.4262174,4.4231405,1698640040317,NORMAL
12.0,30,36.3838055,127.4259579,1.9103858,1698640045692,NORMAL
12.0,31,36.3837985,127.4259319,2.3195856,1698640046669,NORMAL
10.5,32,36.3838072,127.4258928,2.9834576,1698640048734,NORMAL
9.6,33,36.3838152,127.4258589,3.3637252,1698640049682,NORMAL
6.8,34,36.3838743,127.4257871,4.4143324,1698640051713,NORMAL
