accuracy,id,lat,lng,speed,time,type
12.397,1,36.621456,127.317675,2.025,1698900146667,START
10.788,2,36.621411,127.317643,4.953,1698900148667,NORMAL
10.788,3,36.621382,127.317605,4.953,1698900149669,NORMAL
9.769,4,36.621317,127.317521,5.6280003,1698900151695,NORMAL
8.891,5,36.621287,127.317471,5.1780005,1698900152715,NORMAL
8.272,6,36.621237,127.317389,4.5030003,1698900154673,NORMAL
8.272,7,36.621215,127.317353,4.5030003,1698900155696,NORMAL
7.788,8,36.621194,127.317315,4.053,1698900156703,NORMAL
7.305,9,36.621153,127.317252,3.6000001,1698900158670,NORMAL
6.922,10,36.621113,127.317204,2.7,1698900160682,NORMAL
6.922,11,36.6211,127.317185,2.25,1698900161696,NORMAL
6.434,12,36.621077,127.317148,1.35,1698900163670,NORMAL
6.261,13,36.62107,127.317133,1.575,1698900164669,NORMAL
6.105,14,36.621045,127.317091,3.15,1698900166674,NORMAL
5.893,15,36.621022,127.317057,4.053,1698900167675,NORMAL
5.8,16,36.62097,127.316995,4.053,1698900169673,NORMAL
5.626,17,36.62094,127.316962,3.8250003,1698900170674,NORMAL
5.485,18,36.620895,127.316901,3.6000001,1698900172675,NORMAL
5.409,19,36.620879,127.316877,2.25,1698900173679,NORMAL
5.328,20,36.620859,127.316844,1.8000001,1698900175676,NORMAL
5.185,21,36.62085,127.316833,0.90000004,1698900176687,NORMAL
5.122,22,36.620843,127.316828,0.675,1698900177689,NORMAL
5.013,23,36.620833,127.316822,0.675,1698900179728,NORMAL
4.955,24,36.620822,127.316821,0.675,1698900181689,NORMAL
4.902,25,36.620816,127.316819,0.90000004,1698900182797,NORMAL
4.844,26,36.620806,127.316821,1.575,1698900183816,NORMAL
4.705,27,36.620769,127.316845,2.025,1698900185691,NORMAL
4.705,28,36.620752,127.316857,2.7,1698900186688,NORMAL
4.626,29,36.620693,127.31691,4.5030003,1698900188753,NORMAL
4.527,30,36.620614,127.316985,5.853,1698900190688,NORMAL
4.495,31,36.620573,127.317029,6.078,1698900191720,NORMAL
4.453,32,36.620532,127.317074,5.853,1698900192715,NORMAL
4.357,33,36.62046,127.317141,4.053,1698900194758,NORMAL
4.278,34,36.62042,127.31718,2.4750001,1698900196689,NORMAL
4.278,35,36.620405,127.317196,2.4750001,1698900197689,NORMAL
4.191,36,36.620362,127.317252,4.5030003,1698900199691,NORMAL
4.171,37,36.620328,127.317294,5.853,1698900200701,NORMAL
4.171,38,36.620292,127.317335,6.3030005,1698900201716,NORMAL
4.101,39,36.620198,127.317436,6.5280004,1698900203696,NORMAL
4.052,40,36.620121,127.317517,4.728,1698900205701,NORMAL
4.052,41,36.620092,127.317538,3.8250003,1698900206718,NORMAL
3.963,42,36.620025,127.317545,3.3750002,1698900208696,NORMAL
3.927,43,36.619997,127.317529,3.15,1698900209697,NORMAL
3.858,44,36.619956,127.317489,2.9250002,1698900211698,NORMAL
3.858,45,36.619934,127.317473,3.3750002,1698900212697,NORMAL
3.823,46,36.619901,127.317469,3.8250003,1698900213749,NORMAL
3.754,47,36.619828,127.317511,5.1780005,1698900215752,NORMAL
3.662,48,36.619751,127.317609,6.078,1698900217699,NORMAL
3.662,49,36.619714,127.317653,6.3030005,1698900218700,NORMAL
3.591,50,36.619623,127.317754,6.7530003,1698900220709,NORMAL
3.591,51,36.619582,127.3178,6.978,1698900221701,NORMAL
3.529,52,36.619486,127.317902,6.7530003,1698900223705,NORMAL
3.51,53,36.61944,127.317951,6.7530003,1698900224703,NORMAL
3.492,54,36.619377,127.318029,4.2780004,1698900226703,NORMAL
3.47,55,36.619349,127.318061,4.5030003,1698900227703,NORMAL
3.412,56,36.619274,127.318125,5.1780005,1698900229703,NORMAL
3.412,57,36.619236,127.318151,5.4030004,1698900230707,NORMAL
3.366,58,36.619156,127.318225,5.4030004,1698900232704,NORMAL
3.347,59,36.619122,127.318261,4.953,1698900233703,NORMAL
3.321,60,36.619054,127.31833,4.953,1698900235705,NORMAL
3.309,61,36.619021,127.318366,4.953,1698900236706,NORMAL
3.28,62,36.618943,127.318404,5.1780005,1698900238705,NORMAL
3.263,63,36.618893,127.318383,5.853,1698900239715,NORMAL
3.237,64,36.618794,127.318278,8.553,1698900241717,NORMAL
3.224,65,36.618735,127.318206,9.231001,1698900242707,NORMAL
3.201,66,36.618624,127.318057,9.0060005,1698900244712,NORMAL
3.187,67,36.618572,127.317989,8.103001,1698900245710,NORMAL
3.158,68,36.618484,127.317875,6.078,1698900247707,NORMAL
3.158,69,36.618452,127.317837,4.953,1698900248711,NORMAL
3.139,70,36.618425,127.317805,3.15,1698900249708,NORMAL
3.118,71,36.618402,127.317776,0.90000004,1698900251711,NORMAL
3.107,72,36.618396,127.317767,1.35,1698900252712,NORMAL
3.091,73,36.618386,127.317755,0.45000002,1698900254828,NORMAL
3.059,74,36.618386,127.317755,0.0,1698900257715,NORMAL
2.979,75,36.618386,127.317755,0.0,1698900258714,NORMAL
2.979,76,36.618386,127.317755,0.0,1698900260821,NORMAL
2.979,77,36.618386,127.317755,0.0,1698900261840,NORMAL
2.979,78,36.618386,127.317755,0.0,1698900263720,NORMAL
2.979,79,36.618386,127.317755,0.0,1698900264829,NORMAL
2.979,80,36.618386,127.317755,0.0,1698900266719,NORMAL
2.979,81,36.618386,127.317755,0.0,1698900267720,NORMAL
2.979,82,36.618386,127.317755,0.0,1698900269721,NORMAL
2.979,83,36.618386,127.317755,0.0,1698900270720,NORMAL
2.979,84,36.618386,127.317755,0.0,1698900272720,NORMAL
2.979,85,36.618386,127.317755,0.0,1698900273720,NORMAL
2.979,86,36.618386,127.317755,0.0,1698900275840,NORMAL
2.967,87,36.618386,127.317754,0.22500001,1698900278722,NORMAL
2.955,88,36.618383,127.317751,0.675,1698900279837,NORMAL
2.932,89,36.618368,127.317732,1.575,1698900281722,NORMAL
2.922,90,36.618363,127.317726,0.45000002,1698900282724,NORMAL
2.899,91,36.618364,127.317726,0.0,1698900284854,NORMAL
2.869,92,36.618324,127.317676,4.728,1698900287726,NORMAL
2.862,93,36.618294,127.317637,4.953,1698900288727,NORMAL
2.857,94,36.618241,127.317561,5.4030004,1698900290847,NORMAL
2.828,95,36.618123,127.317405,6.3030005,1698900293731,NORMAL
2.828,96,36.618087,127.317351,7.2030005,1698900294731,NORMAL
2.813,97,36.617974,127.317223,8.328,1698900296736,NORMAL
2.804,98,36.617907,127.317178,8.553,1698900297734,NORMAL
2.779,99,36.617754,127.317163,9.0060005,1698900299733,NORMAL
2.762,100,36.617673,127.317195,9.906,1698900300731,NORMAL
2.745,101,36.617522,127.317325,11.481001,1698900302735,NORMAL
2.715,102,36.617423,127.31742,12.831,1698900303732,NORMAL
2.695,103,36.617237,127.317627,14.408001,1698900305734,NORMAL
2.684,104,36.617142,127.317735,14.408001,1698900306738,NORMAL
2.664,105,36.616939,127.317963,15.533001,1698900308735,NORMAL
2.653,106,36.616833,127.31808,15.983001,1698900309749,NORMAL
2.638,107,36.616604,127.318335,16.658,1698900311735,NORMAL
2.628,108,36.616502,127.318449,17.333,1698900312736,NORMAL
2.61,109,36.616254,127.318722,17.783,1698900314738,NORMAL
2.603,110,36.616132,127.318854,18.008001,1698900315736,NORMAL
2.592,111,36.615877,127.319118,18.686,1698900317741,NORMAL
2.6,112,36.615754,127.319237,19.361,1698900318741,NORMAL
2.165,113,36.615449,127.319544,20.261002,1698900320738,NORMAL
2.04,114,36.615313,127.319671,20.711,1698900321739,NORMAL
1.99,115,36.614989,127.319934,20.261002,1698900323742,NORMAL
1.91,116,36.614829,127.32006,19.811,1698900324740,NORMAL
1.706,117,36.614516,127.320281,18.911001,1698900326741,NORMAL
1.612,118,36.614363,127.320376,18.233002,1698900327741,NORMAL
1.61,119,36.614076,127.320545,16.883001,1698900329742,NORMAL
1.609,120,36.61394,127.320622,16.433,1698900330742,NORMAL
1.607,121,36.613679,127.320761,15.308001,1698900332750,NORMAL
1.606,122,36.613555,127.320824,14.633,1698900333772,NORMAL
1.604,123,36.613318,127.320943,13.733001,1698900335744,NORMAL
1.602,124,36.613203,127.321001,13.733001,1698900336743,NORMAL
1.599,125,36.612984,127.321109,12.3810005,1698900338745,NORMAL
1.598,126,36.612884,127.32116,11.706,1698900339749,NORMAL
1.595,127,36.6127,127.321254,10.806001,1698900341748,NORMAL
1.594,128,36.612623,127.321293,9.906,1698900342749,NORMAL
