accuracy,id,lat,lng,speed,time,type
9.3,0,36.189818,127.095316,13.73,1699002823000,START
9.5,0,36.189958,127.095097,13.01,1699002825000,NORMAL
9.2,0,36.190063,127.094905,10.80,1699002827000,NORMAL
9.2,0,36.190186,127.094730,10.04,1699002829000,NORMAL
9.3,0,36.190234,127.094653,9.13,1699002830000,NORMAL
9.4,0,36.190304,127.094538,6.52,1699002832000,NORMAL
9.6,0,36.190317,127.094521,4.34,1699002833000,NORMAL
9.7,0,36.190314,127.094522,3.03,1699002834000,NORMAL
9.8,0,36.190297,127.094537,1.28,1699002836000,NORMAL
9.9,0,36.190284,127.094545,0.12,1699002838000,STOP
8.3,0,36.190290,127.094505,2.29,1699002852000,NORMAL
8.5,0,36.190327,127.094440,3.08,1699002854000,NORMAL
8.7,0,36.190360,127.094381,2.13,1699002856000,NORMAL
8.8,0,36.190360,127.094389,0.90,1699002858000,STOP
8.2,0,36.190440,127.094334,2.14,1699002891000,NORMAL
8.2,0,36.190467,127.094277,3.17,1699002893000,NORMAL
8.2,0,36.190485,127.094238,3.79,1699002894000,NORMAL
8.2,0,36.190506,127.094194,4.13,1699002895000,NORMAL
8.3,0,36.190551,127.094103,4.73,1699002897000,NORMAL
8.3,0,36.190572,127.094060,4.64,1699002898000,NORMAL
8.3,0,36.190634,127.093943,6.42,1699002900000,NORMAL
8.3,0,36.190671,127.093886,6.48,1699002901000,NORMAL
8.2,0,36.190714,127.093827,6.81,1699002902000,NORMAL
8.3,0,36.190807,127.093702,7.15,1699002904000,NORMAL
8.6,0,36.190899,127.093592,6.91,1699002906000,NORMAL
8.9,0,36.190916,127.093449,6.48,1699002908000,NORMAL
8.9,0,36.190899,127.093374,6.94,1699002909000,NORMAL
8.8,0,36.190854,127.093302,7.86,1699002910000,NORMAL
8.6,0,36.190731,127.093122,10.25,1699002912000,NORMAL
8.4,0,36.190618,127.092885,12.08,1699002914000,NORMAL
8.3,0,36.190494,127.092641,13.05,1699002916000,NORMAL
8.3,0,36.190433,127.092514,13.11,1699002917000,NORMAL
8.5,0,36.190320,127.092281,11.89,1699002919000,NORMAL
8.5,0,36.190190,127.092087,11.10,1699002921000,NORMAL
8.2,0,36.190077,127.091940,9.08,1699002923000,NORMAL
8.2,0,36.189972,127.091750,10.95,1699002925000,NORMAL
8.2,0,36.189915,127.091636,12.12,1699002926000,NORMAL
8.2,0,36.189791,127.091412,11.63,1699002928000,NORMAL
8.2,0,36.189682,127.091218,10.23,1699002930000,NORMAL
8.2,0,36.189635,127.091132,9.65,1699002931000,NORMAL
8.2,0,36.189589,127.091047,9.42,1699002932000,NORMAL
8.3,0,36.189487,127.090865,10.20,1699002934000,NORMAL
8.3,0,36.189400,127.090686,8.97,1699002936000,NORMAL
8.4,0,36.189304,127.090552,7.84,1699002938000,NORMAL
8.5,0,36.189232,127.090429,6.77,1699002940000,NORMAL
8.5,0,36.189234,127.090248,5.86,1699002942000,NORMAL
8.5,0,36.189296,127.090199,5.77,1699002943000,NORMAL
8.5,0,36.189360,127.090106,6.48,1699002945000,NORMAL
8.3,0,36.189475,127.089981,9.09,1699002947000,NORMAL
8.3,0,36.189558,127.089903,10.83,1699002948000,NORMAL
8.3,0,36.189656,127.089814,12.65,1699002949000,NORMAL
8.4,0,36.189879,127.089599,15.71,1699002951000,NORMAL
8.5,0,36.190005,127.089482,17.02,1699002952000,NORMAL
8.5,0,36.190276,127.089247,18.56,1699002954000,NORMAL
8.6,0,36.190427,127.089129,19.36,1699002955000,NORMAL
8.6,0,36.190727,127.088881,19.84,1699002957000,NORMAL
8.6,0,36.190885,127.088758,20.03,1699002958000,NORMAL
8.5,0,36.191188,127.088514,20.05,1699002960000,NORMAL
8.5,0,36.191492,127.088272,20.04,1699002962000,NORMAL
8.6,0,36.191645,127.088151,19.99,1699002963000,NORMAL
8.6,0,36.191950,127.087912,19.70,1699002965000,NORMAL
8.6,0,36.192243,127.087670,19.38,1699002967000,NORMAL
8.8,0,36.192510,127.087468,16.70,1699002969000,NORMAL
8.8,0,36.192631,127.087372,15.90,1699002970000,NORMAL
8.9,0,36.192855,127.087198,13.86,1699002972000,NORMAL
9.0,0,36.193036,127.087055,10.78,1699002974000,NORMAL
9.0,0,36.193101,127.087004,8.61,1699002975000,NORMAL
9.1,0,36.193174,127.086941,3.74,1699002977000,NORMAL
9.1,0,36.193190,127.086923,0.65,1699002979000,STOP
8.9,0,36.193217,127.086903,2.27,1699002981000,NORMAL
8.8,0,36.193243,127.086889,3.31,1699002982000,NORMAL
8.6,0,36.193313,127.086835,5.45,1699002984000,NORMAL
8.6,0,36.193416,127.086746,7.58,1699002986000,NORMAL
8.5,0,36.193553,127.086641,9.32,1699002988000,NORMAL
8.5,0,36.193707,127.086517,10.26,1699002990000,NORMAL
8.5,0,36.193876,127.086381,11.26,1699002992000,NORMAL
8.4,0,36.193969,127.086310,11.98,1699002993000,NORMAL
8.3,0,36.194170,127.086156,13.34,1699002995000,NORMAL
8.3,0,36.194382,127.085987,14.23,1699002997000,NORMAL
8.3,0,36.194491,127.085898,14.24,1699002998000,NORMAL
8.3,0,36.194689,127.085745,12.59,1699003000000,NORMAL
8.2,0,36.194878,127.085594,12.59,1699003002000,NORMAL
8.2,0,36.194972,127.085519,12.74,1699003003000,NORMAL
8.1,0,36.195165,127.085368,12.26,1699003005000,NORMAL
8.1,0,36.195336,127.085236,10.49,1699003007000,NORMAL
8.1,0,36.195417,127.085173,10.56,1699003008000,NORMAL
8.1,0,36.195501,127.085110,11.07,1699003009000,NORMAL
8.1,0,36.195588,127.085045,11.10,1699003010000,NORMAL
8.1,0,36.195772,127.084909,11.87,1699003012000,NORMAL
8.1,0,36.195863,127.084835,12.37,1699003013000,NORMAL
8.1,0,36.195967,127.084759,13.24,1699003014000,NORMAL
8.1,0,36.196188,127.084587,14.86,1699003016000,NORMAL
8.1,0,36.196305,127.084492,15.49,1699003017000,NORMAL
8.2,0,36.196556,127.084290,16.81,1699003019000,NORMAL
8.3,0,36.196825,127.084064,18.28,1699003021000,NORMAL
8.3,0,36.196967,127.083946,19.01,1699003022000,NORMAL
8.4,0,36.197283,127.083693,20.85,1699003024000,NORMAL
8.4,0,36.197448,127.083558,21.63,1699003025000,NORMAL
8.4,0,36.197609,127.083426,21.74,1699003026000,NORMAL
8.4,0,36.197949,127.083157,21.87,1699003028000,NORMAL
8.5,0,36.198119,127.083024,21.80,1699003029000,NORMAL
8.5,0,36.198454,127.082763,21.60,1699003031000,NORMAL
8.5,0,36.198776,127.082514,20.43,1699003033000,NORMAL
8.5,0,36.198930,127.082396,19.81,1699003034000,NORMAL
8.4,0,36.199079,127.082279,19.31,1699003035000,NORMAL
8.4,0,36.199370,127.082058,18.57,1699003037000,NORMAL
8.3,0,36.199652,127.081838,18.17,1699003039000,NORMAL
8.2,0,36.199936,127.081620,18.67,1699003041000,NORMAL
8.1,0,36.200235,127.081394,19.77,1699003043000,NORMAL
8.1,0,36.200393,127.081275,20.40,1699003044000,NORMAL
8.1,0,36.200554,127.081156,20.99,1699003045000,NORMAL
8.1,0,36.200882,127.080909,21.53,1699003047000,NORMAL
8.1,0,36.201049,127.080782,21.63,1699003048000,NORMAL
8.1,0,36.201386,127.080530,21.99,1699003050000,NORMAL
8.2,0,36.201557,127.080405,22.24,1699003051000,NORMAL
8.2,0,36.201903,127.080144,22.40,1699003053000,NORMAL
8.2,0,36.202238,127.079893,21.66,1699003055000,NORMAL
8.2,0,36.202401,127.079770,21.26,1699003056000,NORMAL
8.2,0,36.202558,127.079648,20.60,1699003057000,NORMAL
8.2,0,36.202713,127.079528,19.80,1699003058000,NORMAL
8.2,0,36.202858,127.079414,19.03,1699003059000,NORMAL
8.1,0,36.203002,127.079305,18.70,1699003060000,NORMAL
8.1,0,36.203142,127.079197,18.34,1699003061000,NORMAL
8.1,0,36.203283,127.079089,18.28,1699003062000,NORMAL
8.1,0,36.203572,127.078863,18.85,1699003064000,NORMAL
8.2,0,36.203718,127.078743,19.28,1699003065000,NORMAL
8.1,0,36.203865,127.078624,19.63,1699003066000,NORMAL
8.1,0,36.204170,127.078376,20.36,1699003068000,NORMAL
8.1,0,36.204469,127.078121,20.75,1699003070000,NORMAL
8.1,0,36.204770,127.077869,20.10,1699003072000,NORMAL
8.1,0,36.205066,127.077612,20.24,1699003074000,NORMAL
8.1,0,36.205214,127.077481,20.51,1699003075000,NORMAL
8.1,0,36.205511,127.077210,20.54,1699003077000,NORMAL
8.1,0,36.205823,127.076943,20.92,1699003079000,NORMAL
8.1,0,36.205980,127.076806,21.30,1699003080000,NORMAL
8.1,0,36.206296,127.076533,21.77,1699003082000,NORMAL
8.1,0,36.206461,127.076388,22.27,1699003083000,NORMAL
8.1,0,36.206631,127.076241,22.76,1699003084000,NORMAL
8.1,0,36.206974,127.075937,23.35,1699003086000,NORMAL
8.1,0,36.207318,127.075626,23.73,1699003088000,NORMAL
8.1,0,36.207495,127.075468,23.96,1699003089000,NORMAL
8.2,0,36.207845,127.075153,24.46,1699003091000,NORMAL
8.2,0,36.208022,127.074993,24.54,1699003092000,NORMAL
8.2,0,36.208203,127.074831,24.40,1699003093000,NORMAL
8.2,0,36.208382,127.074671,24.39,1699003094000,NORMAL
8.2,0,36.208562,127.074517,24.31,1699003095000,NORMAL
8.2,0,36.208740,127.074365,24.23,1699003096000,NORMAL
8.2,0,36.209112,127.074099,23.81,1699003098000,NORMAL
8.1,0,36.209508,127.073905,23.82,1699003100000,NORMAL
8.2,0,36.209930,127.073792,23.84,1699003102000,NORMAL
8.2,0,36.210357,127.073767,23.86,1699003104000,NORMAL
8.2,0,36.210572,127.073785,23.93,1699003105000,NORMAL
8.1,0,36.210993,127.073896,24.07,1699003107000,NORMAL
8.1,0,36.211197,127.073978,24.03,1699003108000,NORMAL
8.1,0,36.211584,127.074201,24.09,1699003110000,NORMAL
