accuracy,id,lat,lng,speed,time,type
14.666,1,36.8040092,127.086487,16.943945,1698994517281,START
12.0,2,36.8042944,127.0864917,17.24465,1698994519267,NORMAL
11.333,3,36.8044482,127.0864916,17.477522,1698994520263,NORMAL
8.333,4,36.8047651,127.0864929,17.666126,1698994522264,NORMAL
7.2,5,36.8049269,127.0864919,17.92523,1698994523279,NORMAL
7.2,6,36.8052476,127.0864886,18.559025,1698994525288,NORMAL
7.2,7,36.8054142,127.0864862,18.752232,1698994526284,NORMAL
8.0,8,36.8057604,127.0864836,19.170027,1698994528285,NORMAL
8.0,9,36.8059385,127.0864797,19.250826,1698994529295,NORMAL
8.71,10,36.8062913,127.0864779,19.51504,1698994531287,NORMAL
8.323,11,36.8064689,127.0864765,19.727863,1698994532271,NORMAL
7.751,12,36.8068326,127.0864733,20.146002,1698994534272,NORMAL
6.0,13,36.8070193,127.0864717,20.278048,1698994535291,NORMAL
6.0,14,36.8073924,127.0864662,20.417938,1698994537293,NORMAL
6.0,15,36.8075779,127.0864642,20.428204,1698994538279,NORMAL
6.0,16,36.8079498,127.086465,20.341093,1698994540273,NORMAL
6.0,17,36.8081351,127.0864645,20.191021,1698994541282,NORMAL
8.15,18,36.8084936,127.0864576,19.915,1698994543282,NORMAL
7.843,19,36.8086738,127.0864551,19.742846,1698994544282,NORMAL
8.15,20,36.8090269,127.0864525,19.492638,1698994546286,NORMAL
6.0,21,36.809202,127.0864528,19.436804,1698994547277,NORMAL
6.0,22,36.8095513,127.0864452,19.354177,1698994549280,NORMAL
6.0,23,36.8097265,127.0864411,19.31108,1698994550288,NORMAL
6.0,24,36.8100736,127.0864337,19.155548,1698994552293,NORMAL
6.0,25,36.8102445,127.0864316,19.064575,1698994553284,NORMAL
6.0,26,36.8105873,127.086427,19.078852,1698994555277,NORMAL
6.0,27,36.8107609,127.0864247,19.209955,1698994556287,NORMAL
6.0,28,36.8111088,127.0864157,19.303198,1698994558282,NORMAL
6.0,29,36.8112829,127.0864108,19.219154,1698994559291,NORMAL
6.0,30,36.811625,127.0864005,19.068117,1698994561263,NORMAL
6.0,31,36.8117988,127.0863946,19.037842,1698994562280,NORMAL
6.0,32,36.8121399,127.0863993,19.024782,1698994564279,NORMAL
6.0,33,36.8123119,127.0864057,19.004768,1698994565289,NORMAL
6.4,34,36.8126535,127.0864377,18.898277,1698994567281,NORMAL
6.666,35,36.8128215,127.0864701,18.940022,1698994568281,NORMAL
7.333,36,36.8131501,127.0865693,18.910654,1698994570288,NORMAL
7.6,37,36.8133099,127.0866435,18.881058,1698994571284,NORMAL
8.337,38,36.8136144,127.0868154,18.462082,1698994573302,NORMAL
8.004,39,36.8137588,127.0869146,17.91265,1698994574292,NORMAL
8.337,40,36.8140315,127.0871143,16.06311,1698994576286,NORMAL
8.289,41,36.8141466,127.0872109,14.704054,1698994577273,NORMAL
8.0,42,36.8143321,127.087401,12.553846,1698994579293,NORMAL
8.0,43,36.814408,127.0874921,12.08336,1698994580278,NORMAL
8.0,44,36.8145559,127.0876765,11.615124,1698994582279,NORMAL
7.666,45,36.8146297,127.0877681,11.739148,1698994583266,NORMAL
6.8,46,36.8147831,127.0879584,12.28276,1698994585287,NORMAL
6.4,47,36.8148625,127.0880589,12.733713,1698994586284,NORMAL
6.0,48,36.8150391,127.0882689,13.900722,1698994588269,NORMAL
6.0,49,36.8151362,127.0883754,14.394797,1698994589274,NORMAL
6.0,50,36.81535,127.0885835,15.318151,1698994591277,NORMAL
6.188,51,36.8154656,127.0886859,15.847545,1698994592276,NORMAL
6.188,52,36.8157168,127.0888806,16.433271,1698994594270,NORMAL
6.219,53,36.8158519,127.0889662,16.57084,1698994595284,NORMAL
6.0,54,36.8161305,127.0891065,16.719843,1698994597288,NORMAL
6.0,55,36.8162754,127.0891602,16.731813,1698994598289,NORMAL
6.0,56,36.8165701,127.0892356,16.670134,1698994600291,NORMAL
6.0,57,36.8167183,127.0892561,16.689096,1698994601276,NORMAL
6.0,58,36.8170179,127.0892688,16.814775,1698994603278,NORMAL
6.0,59,36.8171697,127.0892607,16.84931,1698994604291,NORMAL
6.0,60,36.817482,127.0892035,17.686699,1698994606270,NORMAL
6.0,61,36.8176451,127.089157,18.20599,1698994607293,NORMAL
6.0,62,36.8179763,127.0890451,19.177221,1698994609275,NORMAL
6.0,63,36.8181497,127.088981,19.688385,1698994610284,NORMAL
6.0,64,36.8185066,127.0888449,20.649824,1698994612282,NORMAL
6.0,65,36.8186872,127.088775,20.804771,1698994613285,NORMAL
6.0,66,36.8190401,127.0886375,20.245064,1698994615282,NORMAL
6.0,67,36.8192115,127.0885726,19.743616,1698994616282,NORMAL
6.0,68,36.819541,127.0884511,18.563948,1698994618280,NORMAL
6.0,69,36.8196991,127.0883991,17.806847,1698994619289,NORMAL
