accuracy,id,lat,lng,speed,time,type
6.028,1,36.4678977,127.2734405,6.3899064,1698986471732,START
6.024,2,36.4679346,127.2735831,5.8000083,1698986473732,NORMAL
3.9,3,36.4679359,127.2737082,4.56264,1698986475733,NORMAL
13.711,4,36.4679338,127.2737786,4.5608416,1698986477205,NORMAL
11.258,5,36.4680672,127.2739308,8.349885,1698986479731,NORMAL
11.258,6,36.4682085,127.274012,7.9915648,1698986481733,NORMAL
3.9,7,36.4683553,127.2740555,8.225819,1698986483732,NORMAL
3.863,8,36.4685033,127.274092,8.191165,1698986485732,NORMAL
3.863,9,36.4686465,127.2740976,7.8311563,1698986487731,NORMAL
3.863,10,36.4687666,127.2740808,6.133354,1698986489731,NORMAL
3.9,11,36.4688423,127.2740857,2.0006056,1698986493732,NORMAL
3.9,12,36.4688376,127.2740841,0.18710454,1698986495733,NORMAL
3.9,13,36.4688358,127.2740848,0.04987294,1698986497731,NORMAL
3.9,14,36.4688362,127.2740841,0.023930335,1698986499731,NORMAL
3.9,15,36.4688359,127.274084,0.015892413,1698986501733,NORMAL
3.9,16,36.4688359,127.2740827,0.14840062,1698986503733,NORMAL
3.9,17,36.4688436,127.2740819,0.47798797,1698986505732,NORMAL
3.9,18,36.4688533,127.2740819,0.46012625,1698986507732,NORMAL
7.5,19,36.468856,127.2740821,0.27801996,1698986509732,NORMAL
7.5,20,36.4688541,127.2740838,0.06385255,1698986511732,NORMAL
15.85,21,36.4688538,127.2740848,0.053925045,1698986513524,NORMAL
12.863,22,36.4688526,127.2740853,0.03410179,1698986515731,NORMAL
12.863,23,36.4688528,127.2740853,0.0048653567,1698986517732,NORMAL
7.745,24,36.4688529,127.2740853,0.006634195,1698986519732,NORMAL
7.745,25,36.468853,127.2740853,0.0059922882,1698986521732,NORMAL
16.135,26,36.4688531,127.2740853,0.004860223,1698986523574,NORMAL
13.104,27,36.4688531,127.2740853,0.0013848748,1698986525731,NORMAL
8.452,28,36.4688532,127.2740853,0.0037833182,1698986528642,NORMAL
8.452,29,36.4688532,127.2740853,7.6950097E-4,1698986529732,NORMAL
8.452,30,36.4688533,127.2740853,0.0041117095,1698986531732,NORMAL
3.9,31,36.4688533,127.2740853,0.0010978981,1698986533732,NORMAL
3.863,32,36.468854,127.2740857,0.033377305,1698986535731,NORMAL
3.863,33,36.4688566,127.2740869,0.14171782,1698986537731,NORMAL
8.595,34,36.4688576,127.2740873,0.13611327,1698986538676,NORMAL
8.595,35,36.4688585,127.2740891,0.14023288,1698986539731,NORMAL
8.622,36,36.4688583,127.2740907,0.0933004,1698986541731,NORMAL
3.863,37,36.4688577,127.2740915,0.070618525,1698986543730,NORMAL
3.863,38,36.4688698,127.2740914,1.2262125,1698986545731,NORMAL
3.863,39,36.4689105,127.2740897,2.9153786,1698986547731,NORMAL
8.681,40,36.4689586,127.2740846,1.8474648,1698986549731,NORMAL
8.681,41,36.468998,127.274072,3.0289361,1698986551731,NORMAL
3.9,42,36.4690448,127.2739716,5.618331,1698986553731,NORMAL
3.92,43,36.4690455,127.2737922,8.23493,1698986555731,NORMAL
3.92,44,36.4690011,127.2735695,10.685842,1698986557731,NORMAL
7.857,45,36.4689771,127.2734656,10.670302,1698986558716,NORMAL
8.826,46,36.4689488,127.273305,12.4853945,1698986559730,NORMAL
8.826,47,36.4688908,127.2729962,14.435463,1698986561731,NORMAL
3.9,48,36.4688553,127.2726524,15.742125,1698986563730,NORMAL
3.9,49,36.4688447,127.2722998,15.641032,1698986565730,NORMAL
3.9,50,36.4688364,127.271958,14.700795,1698986567730,NORMAL
3.9,51,36.4688364,127.2716787,11.002877,1698986569731,NORMAL
3.9,52,36.4688408,127.2715116,5.9676743,1698986571731,NORMAL
3.867,53,36.4688428,127.2714646,1.1908169,1698986573731,NORMAL
3.867,54,36.4688441,127.2714515,1.5699499,1698986575731,NORMAL
3.867,55,36.4688616,127.2714063,3.2294252,1698986577730,NORMAL
3.9,56,36.4689245,127.2713602,5.7107077,1698986579730,NORMAL
3.9,57,36.4690599,127.271383,9.567782,1698986581730,NORMAL
3.872,58,36.4693502,127.2714941,14.976051,1698986584547,NORMAL
6.831,59,36.4696702,127.2715771,17.119743,1698986586730,NORMAL
7.591,60,36.4699739,127.2716639,16.70015,1698986588732,NORMAL
3.9,61,36.4702614,127.2717497,15.7704,1698986590730,NORMAL
3.871,62,36.4704874,127.2718119,9.402449,1698986592731,NORMAL
3.871,63,36.4705803,127.2718377,2.612127,1698986594731,NORMAL
3.871,64,36.4705837,127.2718393,2.6089811,1698986596731,NORMAL
3.9,65,36.4705754,127.2718426,1.5496362,1698986598730,OVER_STOP
3.9,66,36.4705744,127.2718357,1.5479234,1698986600731,OVER_STOP
3.863,67,36.4705703,127.2718329,0.28956437,1698986602732,NORMAL
3.863,68,36.4705667,127.2718281,0.2730361,1698986604731,NORMAL
3.863,69,36.4705646,127.2718248,0.204761,1698986606731,NORMAL
4.834,70,36.4705639,127.2718227,0.11840441,1698986608731,NORMAL
4.834,71,36.4705632,127.2718225,0.052868117,1698986610730,NORMAL
3.863,72,36.4705631,127.2718216,0.04054933,1698986612731,NORMAL
3.9,73,36.4705628,127.2718214,0.02164112,1698986614730,NORMAL
3.9,74,36.4705625,127.2718213,0.017398925,1698986616732,NORMAL
4.539,75,36.4705625,127.2718213,0.0022863261,1698986618732,NORMAL
4.512,76,36.4705624,127.2718213,0.003490571,1698986620730,NORMAL
