accuracy,id,lat,lng,speed,time,type
79.3,0,36.301765,127.332942,16.89,1699054364000,START
10.8,0,36.301721,127.332646,17.32,1699054366000,NORMAL
7.1,0,36.301691,127.332216,17.56,1699054368000,NORMAL
6.5,0,36.301695,127.332027,17.63,1699054369000,NORMAL
6.5,0,36.301688,127.331634,17.29,1699054371000,NORMAL
6.5,0,36.301697,127.331261,17.26,1699054373000,NORMAL
6.5,0,36.301698,127.331068,17.26,1699054374000,NORMAL
8.2,0,36.301665,127.330686,17.26,1699054376000,NORMAL
8.2,0,36.301645,127.330495,17.24,1699054377000,NORMAL
8.2,0,36.301625,127.330315,16.83,1699054378000,NORMAL
8.2,0,36.301565,127.329958,16.38,1699054380000,NORMAL
8.2,0,36.301524,127.329797,15.97,1699054381000,NORMAL
8.2,0,36.301478,127.329646,15.35,1699054382000,NORMAL
8.2,0,36.301437,127.329499,14.88,1699054383000,NORMAL
8.2,0,36.301342,127.329228,13.96,1699054385000,NORMAL
8.2,0,36.301295,127.329093,13.68,1699054386000,NORMAL
8.2,0,36.301190,127.328807,14.11,1699054388000,NORMAL
8.2,0,36.301136,127.328646,15.08,1699054389000,NORMAL
8.2,0,36.301024,127.328332,15.08,1699054391000,NORMAL
8.2,0,36.300909,127.328004,15.85,1699054393000,NORMAL
8.2,0,36.300809,127.327688,15.35,1699054395000,NORMAL
7.9,0,36.300761,127.327536,14.80,1699054396000,NORMAL
7.9,0,36.300725,127.327384,14.49,1699054397000,NORMAL
7.9,0,36.300633,127.327097,14.01,1699054399000,NORMAL
8.0,0,36.300546,127.326815,13.64,1699054401000,NORMAL
7.9,0,36.300446,127.326543,13.45,1699054403000,NORMAL
7.9,0,36.300405,127.326413,13.06,1699054404000,NORMAL
7.9,0,36.300351,127.326302,12.37,1699054405000,NORMAL
7.9,0,36.300266,127.326035,12.99,1699054407000,NORMAL
8.0,0,36.300164,127.325755,13.97,1699054409000,NORMAL
8.0,0,36.300105,127.325603,14.42,1699054410000,NORMAL
8.0,0,36.300054,127.325450,14.63,1699054411000,NORMAL
8.0,0,36.299937,127.325155,14.65,1699054413000,NORMAL
8.0,0,36.299874,127.325011,14.56,1699054414000,NORMAL
8.0,0,36.299813,127.324871,14.36,1699054415000,NORMAL
8.0,0,36.299747,127.324743,13.75,1699054416000,NORMAL
8.0,0,36.299684,127.324635,12.71,1699054417000,NORMAL
8.0,0,36.299586,127.324483,9.19,1699054419000,NORMAL
8.0,0,36.299526,127.324388,5.87,1699054421000,NORMAL
8.0,0,36.299505,127.324353,4.51,1699054422000,NORMAL
8.0,0,36.299480,127.324331,3.67,1699054423000,NORMAL
8.0,0,36.299444,127.324307,1.72,1699054425000,NORMAL
8.0,0,36.299436,127.324303,0.52,1699054427000,STOP
8.1,0,36.299386,127.324231,2.07,1699054532000,NORMAL
8.1,0,36.299361,127.324192,3.04,1699054533000,NORMAL
8.1,0,36.299301,127.324118,4.62,1699054535000,NORMAL
8.1,0,36.299268,127.324076,5.12,1699054536000,NORMAL
8.1,0,36.299187,127.323975,6.57,1699054538000,NORMAL
11.5,0,36.299111,127.323839,8.05,1699054540000,NORMAL
12.3,0,36.299061,127.323764,8.77,1699054541000,NORMAL
8.1,0,36.298886,127.323661,9.77,1699054543000,NORMAL
8.1,0,36.298729,127.323512,11.03,1699054545000,NORMAL
8.1,0,36.298577,127.323355,11.11,1699054547000,NORMAL
8.1,0,36.298407,127.323188,12.33,1699054549000,NORMAL
8.1,0,36.298228,127.323013,12.90,1699054551000,NORMAL
8.1,0,36.298132,127.322924,13.20,1699054552000,NORMAL
8.1,0,36.297929,127.322736,14.24,1699054554000,NORMAL
8.1,0,36.297718,127.322535,14.81,1699054556000,NORMAL
8.1,0,36.297508,127.322338,14.51,1699054558000,NORMAL
8.1,0,36.297401,127.322246,14.45,1699054559000,NORMAL
8.1,0,36.297164,127.322069,15.54,1699054561000,NORMAL
8.1,0,36.297037,127.321988,15.99,1699054562000,NORMAL
8.1,0,36.296901,127.321913,16.34,1699054563000,NORMAL
8.1,0,36.296624,127.321791,16.23,1699054565000,NORMAL
8.1,0,36.296484,127.321732,16.18,1699054566000,NORMAL
8.1,0,36.296348,127.321672,16.06,1699054567000,NORMAL
8.1,0,36.296072,127.321562,15.93,1699054569000,NORMAL
8.1,0,36.295799,127.321449,15.87,1699054571000,NORMAL
8.1,0,36.295536,127.321342,15.23,1699054573000,NORMAL
8.1,0,36.295406,127.321287,15.32,1699054574000,NORMAL
