accuracy,id,lat,lng,speed,time,type
5.78,1,36.3616867,127.2928041,4.810261,1699053001100,START
5.28,2,36.3616889,127.2926849,4.2620096,1699053003024,NORMAL
5.061,3,36.361686,127.2926365,3.1960053,1699053004034,NORMAL
4.766,4,36.3616872,127.2925546,3.817617,1699053006045,NORMAL
4.909,5,36.3616953,127.2925105,3.6832986,1699053007038,NORMAL
3.36,6,36.361692,127.2924308,2.7824924,1699053009058,NORMAL
3.45,7,36.361694,127.292402,1.8868083,1699053010051,NORMAL
3.44,8,36.3616926,127.292349,1.7468225,1699053012051,NORMAL
3.2,9,36.3616942,127.2923175,1.839202,1699053013038,NORMAL
3.116,10,36.36169,127.2922464,2.6233158,1699053015047,NORMAL
3.24,11,36.3616932,127.2922101,2.826934,1699053016031,NORMAL
3.468,12,36.3616991,127.2921254,2.9693937,1699053018064,NORMAL
3.401,13,36.3616994,127.292071,5.108632,1699053019068,NORMAL
3.16,14,36.3616941,127.2919351,3.8585472,1699053021052,NORMAL
3.283,15,36.3616954,127.2918946,2.791579,1699053022021,NORMAL
3.283,16,36.3617019,127.2918075,3.6903074,1699053024067,NORMAL
3.2,17,36.3617018,127.2917631,3.6411142,1699053025056,NORMAL
3.06,18,36.3617057,127.2916643,4.2729154,1699053027063,NORMAL
3.34,19,36.3617084,127.2916119,4.09126,1699053028128,NORMAL
3.24,20,36.3616987,127.2915181,4.0508223,1699053030061,NORMAL
3.033,21,36.361694,127.2914638,4.6850667,1699053031045,NORMAL
2.95,22,36.3616985,127.2913618,4.250072,1699053033057,NORMAL
2.95,23,36.3616999,127.2913085,4.627567,1699053034045,NORMAL
3.04,24,36.3617047,127.2911874,4.4833236,1699053036068,NORMAL
2.783,25,36.3617034,127.2911402,3.6444108,1699053037050,NORMAL
2.56,26,36.3617017,127.2910613,3.3331547,1699053039062,NORMAL
3.04,27,36.3617029,127.2910256,3.3696175,1699053040057,NORMAL
2.866,28,36.3616991,127.2909377,3.9993804,1699053042046,NORMAL
2.86,29,36.3617031,127.2908961,2.2938237,1699053043059,NORMAL
2.96,30,36.3617066,127.2908227,4.266266,1699053045071,NORMAL
3.116,31,36.3617134,127.2907706,4.4587436,1699053046062,NORMAL
3.116,32,36.3617268,127.2906682,4.191127,1699053048050,NORMAL
2.95,33,36.3617228,127.2906194,4.4189377,1699053049047,NORMAL
2.783,34,36.3617145,127.2905137,4.759615,1699053051043,NORMAL
2.783,35,36.3617172,127.2904595,4.5421104,1699053052051,NORMAL
2.94,36,36.361719,127.2903509,3.308997,1699053054062,NORMAL
2.783,37,36.3617198,127.2903158,2.733481,1699053055042,NORMAL
2.66,38,36.361721,127.2902515,2.8553004,1699053057062,NORMAL
2.866,39,36.3617182,127.2902178,3.0686498,1699053058044,NORMAL
3.14,40,36.3617122,127.2901466,3.2163503,1699053060059,NORMAL
2.95,41,36.3617109,127.2900975,4.901316,1699053061057,NORMAL
2.76,42,36.3617063,127.289967,3.9222424,1699053063062,NORMAL
2.95,43,36.3617061,127.2899171,4.452191,1699053064046,NORMAL
3.04,44,36.3617119,127.2897937,4.852822,1699053066074,NORMAL
2.866,45,36.3617154,127.2897322,4.899596,1699053067059,NORMAL
3.033,46,36.3617207,127.289621,4.939139,1699053069041,NORMAL
3.34,47,36.3617161,127.2895609,4.7311068,1699053070084,NORMAL
3.44,48,36.3617174,127.2894676,2.9234202,1699053072063,NORMAL
