accuracy,id,lat,lng,speed,time,type
3.867,1,35.2093234,126.7839272,0.22089778,1699166911960,START
3.854,2,35.2093243,126.783932,0.24078918,1699166912961,NORMAL
3.834,3,35.209325,126.7839352,0.16273946,1699166914960,NORMAL
3.856,4,35.2093398,126.7839463,2.5696712,1699166915960,NORMAL
3.856,5,35.2093715,126.783975,2.4498973,1699166917960,NORMAL
3.845,6,35.2093909,126.7839894,2.5699732,1699166918960,NORMAL
3.845,7,35.2094167,126.7840219,1.3927406,1699166920960,NORMAL
3.845,8,35.2094314,126.7840638,2.548015,1699166922961,NORMAL
3.872,9,35.2094442,126.7840965,0.6413013,1699166924960,NORMAL
3.9,10,35.2094483,126.7840935,0.6393503,1699166926961,NORMAL
3.9,11,35.2094538,126.7840919,0.7364042,1699166928960,NORMAL
3.9,12,35.2094772,126.7841211,2.8387847,1699166930960,NORMAL
3.9,13,35.2095246,126.7841516,2.7990887,1699166932960,NORMAL
3.9,14,35.2095827,126.7841453,3.4394116,1699166934961,NORMAL
3.9,15,35.209646,126.7841066,3.9343474,1699166936960,NORMAL
3.9,16,35.209707,126.7840345,4.4790015,1699166938959,NORMAL
3.9,17,35.2097746,126.7839594,4.8299713,1699166940959,NORMAL
3.9,18,35.2098466,126.7838971,4.9798455,1699166942959,NORMAL
3.9,19,35.2099292,126.7838325,5.438292,1699166944960,NORMAL
3.9,20,35.2100173,126.7837783,6.1586213,1699166946960,NORMAL
3.9,21,35.2101131,126.7837265,5.7000494,1699166948961,NORMAL
3.9,22,35.2101961,126.783674,4.6804047,1699166950960,NORMAL
3.9,23,35.2102644,126.7836336,4.0388136,1699166952959,NORMAL
3.9,24,35.2103236,126.7836065,3.2475297,1699166954960,NORMAL
3.9,25,35.2103797,126.7836031,3.3479857,1699166956959,NORMAL
3.9,26,35.2104461,126.7836165,4.3601713,1699166958960,NORMAL
5.911,27,35.210522,126.7836518,5.147962,1699166960960,NORMAL
7.923,28,35.2105913,126.7837373,6.1891613,1699166962960,NORMAL
9.935,29,35.2106454,126.7838692,6.5063214,1699166964960,NORMAL
9.935,30,35.2107143,126.7840019,6.9424386,1699166966959,NORMAL
9.935,31,35.210789,126.7841423,7.31205,1699166968960,NORMAL
9.935,32,35.2108577,126.7842908,7.4386,1699166970961,NORMAL
9.935,33,35.2109268,126.7844393,7.635593,1699166972960,NORMAL
9.935,34,35.2109953,126.784581,7.080514,1699166974960,NORMAL
9.935,35,35.2110605,126.7847149,6.780361,1699166976961,NORMAL
9.935,36,35.211121,126.7848388,6.1777453,1699166978960,NORMAL
9.935,37,35.2111714,126.7849385,4.687973,1699166980961,NORMAL
9.935,38,35.2112103,126.785009,3.4649928,1699166982959,NORMAL
9.935,39,35.2112328,126.7850641,2.6054015,1699166984960,NORMAL
9.935,40,35.2112483,126.785096,1.1069793,1699166986959,NORMAL
18.682,41,35.2112549,126.7851071,1.1058131,1699166988272,NORMAL
16.495,42,35.2112401,126.7850929,0.22352648,1699166990960,NORMAL
16.495,43,35.2112349,126.7850899,0.29304612,1699166992960,NORMAL
9.935,44,35.2112334,126.7850893,0.14312464,1699166994960,NORMAL
9.935,45,35.2112327,126.7850892,0.067013346,1699166996962,NORMAL
9.935,46,35.2112327,126.7850872,0.07406215,1699166998960,NORMAL
9.935,47,35.2112322,126.7850859,0.06897664,1699167000960,NORMAL
9.935,48,35.2112321,126.7850858,0.0427026,1699167002961,NORMAL
9.935,49,35.2112321,126.7850858,0.024870975,1699167004960,NORMAL
9.935,50,35.2112558,126.7851313,2.5577748,1699167006960,NORMAL
9.935,51,35.2112811,126.7851777,3.5975323,1699167008959,NORMAL
9.935,52,35.2113223,126.7852588,5.076081,1699167010961,NORMAL
9.935,53,35.2113768,126.7853648,5.9905324,1699167012960,NORMAL
9.935,54,35.2114401,126.7854905,7.1125455,1699167014960,NORMAL
9.935,55,35.2115151,126.7856352,7.642865,1699167016961,NORMAL
9.935,56,35.2115935,126.7857891,8.07417,1699167018957,NORMAL
9.935,57,35.2116769,126.7859485,8.675224,1699167020956,NORMAL
9.935,58,35.2117645,126.7861187,9.3251915,1699167022962,NORMAL
9.935,59,35.2118601,126.7863035,9.881934,1699167024961,NORMAL
9.935,60,35.2119677,126.7864967,10.430028,1699167026961,NORMAL
9.935,61,35.2120836,126.7866991,10.994135,1699167028959,NORMAL
9.935,62,35.2122043,126.7869126,11.580901,1699167030960,NORMAL
9.935,63,35.2123218,126.7871474,12.163969,1699167032960,NORMAL
9.935,64,35.212441,126.7873955,12.869345,1699167034961,NORMAL
9.935,65,35.212563,126.7876498,12.98976,1699167036960,NORMAL
9.935,66,35.2126847,126.7879037,13.069875,1699167038960,NORMAL
9.935,67,35.2128095,126.7881526,12.967687,1699167040960,NORMAL
9.935,68,35.2129365,126.7883943,12.944307,1699167042960,NORMAL
9.935,69,35.2130668,126.788628,12.903081,1699167044959,NORMAL
9.935,70,35.2131931,126.7888674,12.95874,1699167046959,NORMAL
9.935,71,35.2133045,126.7891155,12.280682,1699167048960,NORMAL
9.935,72,35.2134091,126.7893527,12.170007,1699167050959,NORMAL
9.935,73,35.2135015,126.7895989,12.27957,1699167052960,NORMAL
9.935,74,35.2135846,126.7898538,12.568995,1699167054960,NORMAL
9.935,75,35.2136427,126.790127,13.029544,1699167056959,NORMAL
9.935,76,35.213684,126.790416,13.5399685,1699167058960,NORMAL
9.935,77,35.2137177,126.7907166,13.726274,1699167060960,NORMAL
9.935,78,35.2137333,126.7910253,13.992312,1699167062961,NORMAL
9.935,79,35.2137196,126.7913364,14.205793,1699167064961,NORMAL
9.935,80,35.2136939,126.791655,14.9698925,1699167066961,NORMAL
9.935,81,35.2136479,126.7919815,14.770017,1699167068959,NORMAL
9.935,82,35.2136035,126.7922979,14.510114,1699167070959,NORMAL
9.935,83,35.21357,126.7926093,13.830722,1699167072961,NORMAL
9.935,84,35.2135545,126.7929097,13.270032,1699167074960,NORMAL
9.935,85,35.2135334,126.793199,13.083667,1699167076960,NORMAL
9.935,86,35.2135054,126.7934818,12.923216,1699167078960,NORMAL
9.935,87,35.2134771,126.7937571,12.309192,1699167080959,NORMAL
9.935,88,35.2134499,126.7940142,11.394827,1699167082960,NORMAL
9.935,89,35.2134364,126.7942347,9.323258,1699167084961,NORMAL
9.935,90,35.2134508,126.7944091,8.068802,1699167086960,NORMAL
9.935,91,35.213501,126.7945396,6.487574,1699167088960,NORMAL
9.935,92,35.213606,126.7945888,6.3071227,1699167090960,NORMAL
9.935,93,35.2137327,126.7945941,6.951768,1699167092959,NORMAL
9.935,94,35.2138691,126.7945835,8.051331,1699167094960,NORMAL
9.935,95,35.2140274,126.7945779,9.49961,1699167096961,NORMAL
9.935,96,35.2142098,126.7945836,9.749978,1699167098961,NORMAL
9.935,97,35.2143902,126.7945891,9.979986,1699167100960,NORMAL
9.935,98,35.2145733,126.7946025,10.136547,1699167102959,NORMAL
9.935,99,35.2147569,126.7946162,10.188726,1699167104959,NORMAL
9.935,100,35.2149386,126.7946237,10.044093,1699167106960,NORMAL
9.935,101,35.2151243,126.7946133,10.447356,1699167108959,NORMAL
9.935,102,35.2153197,126.7946294,10.749989,1699167110961,NORMAL
9.935,103,35.2155195,126.7946391,11.629966,1699167112960,NORMAL
9.935,104,35.2157371,126.7946441,12.520102,1699167114960,NORMAL
9.935,105,35.215975,126.7946561,13.357009,1699167116959,NORMAL
9.935,106,35.2162214,126.7946645,13.634511,1699167118959,NORMAL
9.935,107,35.2164743,126.7946767,14.268607,1699167120960,NORMAL
9.935,108,35.2167405,126.7946963,14.946635,1699167122960,NORMAL
9.935,109,35.2170192,126.7947159,15.342327,1699167124959,NORMAL
9.935,110,35.2172998,126.7947434,15.379656,1699167126961,NORMAL
