accuracy,id,lat,lng,speed,time,type
8.2,0,36.422335,127.400229,12.69,1699336311000,START
8.2,0,36.422429,127.400319,12.69,1699336312000,NORMAL
8.2,0,36.422536,127.400392,12.77,1699336313000,NORMAL
8.2,0,36.422772,127.400528,14.21,1699336315000,NORMAL
8.2,0,36.422895,127.400599,14.50,1699336316000,NORMAL
8.2,0,36.423138,127.400667,14.50,1699336318000,NORMAL
8.2,0,36.423258,127.400675,13.80,1699336319000,NORMAL
8.4,0,36.423544,127.400723,14.42,1699336321000,NORMAL
8.1,0,36.423646,127.400657,14.42,1699336322000,NORMAL
8.0,0,36.423832,127.400621,12.47,1699336324000,NORMAL
8.0,0,36.423924,127.400579,12.38,1699336325000,NORMAL
9.2,0,36.424070,127.400480,10.30,1699336327000,NORMAL
7.7,0,36.424197,127.400457,10.48,1699336328000,NORMAL
7.9,0,36.424320,127.400336,8.57,1699336330000,NORMAL
8.3,0,36.424443,127.400375,7.06,1699336332000,NORMAL
9.1,0,36.424580,127.400471,8.44,1699336334000,NORMAL
9.6,0,36.424716,127.400587,10.31,1699336336000,NORMAL
9.8,0,36.424916,127.400732,12.44,1699336338000,NORMAL
9.7,0,36.425077,127.400906,12.12,1699336340000,NORMAL
9.3,0,36.425233,127.401100,11.76,1699336342000,NORMAL
9.2,0,36.425293,127.401150,10.91,1699336343000,NORMAL
9.2,0,36.425356,127.401213,10.32,1699336344000,NORMAL
8.8,0,36.425491,127.401319,9.25,1699336346000,NORMAL
8.1,0,36.425594,127.401439,8.22,1699336348000,NORMAL
8.1,0,36.425626,127.401457,6.90,1699336349000,NORMAL
8.4,0,36.425670,127.401498,4.53,1699336351000,NORMAL
8.2,0,36.425698,127.401509,2.47,1699336353000,NORMAL
7.9,0,36.425694,127.401504,0.00,1699336355000,STOP
7.9,0,36.425783,127.401534,2.20,1699336426000,NORMAL
7.9,0,36.425814,127.401552,3.01,1699336427000,NORMAL
7.9,0,36.425878,127.401592,5.30,1699336428000,NORMAL
7.9,0,36.425947,127.401644,6.95,1699336429000,NORMAL
7.8,0,36.426017,127.401692,8.04,1699336430000,NORMAL
8.0,0,36.426176,127.401808,9.71,1699336432000,NORMAL
8.1,0,36.426257,127.401873,10.26,1699336433000,NORMAL
8.2,0,36.426437,127.402004,11.15,1699336435000,NORMAL
8.2,0,36.426528,127.402083,11.64,1699336436000,NORMAL
8.4,0,36.426737,127.402254,12.91,1699336438000,NORMAL
8.5,0,36.426958,127.402402,13.55,1699336440000,NORMAL
8.5,0,36.427066,127.402498,14.09,1699336441000,NORMAL
8.3,0,36.427292,127.402708,15.25,1699336443000,NORMAL
8.3,0,36.427518,127.402935,15.82,1699336445000,NORMAL
8.4,0,36.427647,127.403055,16.41,1699336446000,NORMAL
7.8,0,36.427769,127.403165,16.49,1699336447000,NORMAL
8.0,0,36.428074,127.403428,20.83,1699336449000,NORMAL
8.0,0,36.428264,127.403531,22.86,1699336450000,NORMAL
7.8,0,36.428454,127.403613,23.41,1699336451000,NORMAL
7.8,0,36.428691,127.403835,19.39,1699336453000,NORMAL
7.8,0,36.428927,127.404093,17.75,1699336455000,NORMAL
8.1,0,36.429183,127.404352,17.84,1699336457000,NORMAL
8.0,0,36.429293,127.404489,17.77,1699336458000,NORMAL
8.1,0,36.429496,127.404729,16.63,1699336460000,NORMAL
7.9,0,36.429638,127.404929,14.24,1699336462000,NORMAL
8.0,0,36.429743,127.405072,9.20,1699336464000,NORMAL
8.1,0,36.429809,127.405160,5.35,1699336466000,NORMAL
8.1,0,36.429847,127.405211,3.31,1699336468000,NORMAL
8.1,0,36.429899,127.405278,4.08,1699336470000,NORMAL
8.1,0,36.429983,127.405368,6.26,1699336472000,NORMAL
8.1,0,36.430083,127.405478,7.29,1699336474000,NORMAL
8.1,0,36.430191,127.405573,7.50,1699336476000,NORMAL
8.0,0,36.430320,127.405623,7.58,1699336478000,NORMAL
7.8,0,36.430393,127.405626,7.66,1699336479000,NORMAL
8.1,0,36.430504,127.405485,7.27,1699336481000,NORMAL
8.1,0,36.430570,127.405442,7.99,1699336482000,NORMAL
8.1,0,36.430628,127.405377,8.84,1699336483000,NORMAL
8.1,0,36.430744,127.405206,10.40,1699336485000,NORMAL
8.1,0,36.430887,127.405031,11.43,1699336487000,NORMAL
8.1,0,36.430966,127.404937,11.84,1699336488000,NORMAL
8.1,0,36.431135,127.404761,12.35,1699336490000,NORMAL
8.1,0,36.431308,127.404578,12.74,1699336492000,NORMAL
8.1,0,36.431394,127.404484,12.79,1699336493000,NORMAL
8.1,0,36.431571,127.404303,12.61,1699336495000,NORMAL
8.1,0,36.431653,127.404207,12.84,1699336496000,NORMAL
8.1,0,36.431737,127.404104,13.19,1699336497000,NORMAL
8.1,0,36.431920,127.403887,14.27,1699336499000,NORMAL
8.1,0,36.432020,127.403772,14.86,1699336500000,NORMAL
8.1,0,36.432226,127.403530,16.09,1699336502000,NORMAL
8.1,0,36.432440,127.403265,17.02,1699336504000,NORMAL
8.1,0,36.432666,127.402994,17.73,1699336506000,NORMAL
8.1,0,36.432909,127.402719,18.30,1699336508000,NORMAL
8.1,0,36.433034,127.402577,18.72,1699336509000,NORMAL
8.1,0,36.433294,127.402286,19.56,1699336511000,NORMAL
8.1,0,36.433558,127.401976,20.46,1699336513000,NORMAL
8.1,0,36.433695,127.401818,20.74,1699336514000,NORMAL
8.1,0,36.433978,127.401503,21.24,1699336516000,NORMAL
