accuracy,id,lat,lng,speed,time,type
17.634,1,36.4892845,127.198629,29.7498,1699457237111,START
7.927,2,36.4891465,127.1994258,30.002333,1699457239112,NORMAL
7.49,3,36.4890575,127.2001832,31.08407,1699457241112,NORMAL
6.154,4,36.4889533,127.2008882,30.734411,1699457243112,NORMAL
6.094,5,36.4887865,127.2015511,31.273024,1699457245110,NORMAL
5.827,6,36.4885555,127.2022156,31.327309,1699457247112,NORMAL
6.157,7,36.4883542,127.202882,31.411171,1699457249112,NORMAL
6.51,8,36.4882162,127.2035588,31.509024,1699457251111,NORMAL
7.09,9,36.488167,127.2042432,30.597223,1699457253111,NORMAL
7.508,10,36.488139,127.2049196,30.340141,1699457255111,NORMAL
7.328,11,36.4882335,127.2056176,31.333326,1699457257111,NORMAL
7.254,12,36.4883888,127.2063217,31.613043,1699457259112,NORMAL
6.572,13,36.488624,127.2070039,31.447071,1699457261112,NORMAL
6.313,14,36.4888992,127.2076392,31.924606,1699457263111,NORMAL
6.582,15,36.4891729,127.2082799,32.235264,1699457265111,NORMAL
6.341,16,36.4894431,127.2089162,33.038822,1699457267112,NORMAL
6.043,17,36.4897102,127.2095625,33.230923,1699457269112,NORMAL
5.339,18,36.4900182,127.210187,33.073467,1699457271111,NORMAL
5.359,19,36.490386,127.2107741,33.747852,1699457273111,NORMAL
6.045,20,36.4907801,127.2112961,32.512543,1699457275112,NORMAL
6.444,21,36.4912284,127.2117929,33.65025,1699457277111,NORMAL
6.812,22,36.4917028,127.2122919,34.575935,1699457279111,NORMAL
6.841,23,36.4921953,127.21281,34.895287,1699457281112,NORMAL
7.061,24,36.4926799,127.2133318,35.095825,1699457283111,NORMAL
7.807,25,36.4931678,127.2138616,35.286575,1699457285111,NORMAL
8.835,26,36.4936484,127.2143822,35.1004,1699457287112,NORMAL
8.926,27,36.4941342,127.2148849,35.4,1699457289111,NORMAL
8.433,28,36.4946135,127.2153796,34.58045,1699457291111,NORMAL
7.124,29,36.4950698,127.2158523,33.941803,1699457293111,NORMAL
8.237,30,36.4955341,127.2163374,33.032104,1699457295111,NORMAL
9.693,31,36.4959677,127.2168081,32.60677,1699457297111,NORMAL
11.917,32,36.4964084,127.2172893,32.817307,1699457299111,NORMAL
12.738,33,36.4968529,127.2177817,32.76722,1699457301111,NORMAL
13.57,34,36.4972494,127.2182646,31.22107,1699457303111,NORMAL
13.755,35,36.4975528,127.2186927,27.7867,1699457305112,NORMAL
13.219,36,36.4977673,127.2190707,25.924322,1699457307111,NORMAL
12.353,37,36.4979898,127.2195287,26.037474,1699457309111,NORMAL
11.389,38,36.49818,127.2200013,24.380663,1699457311112,NORMAL
10.885,39,36.4983256,127.2204414,21.338888,1699457313111,NORMAL
10.462,40,36.4984237,127.2208174,17.222986,1699457315112,NORMAL
10.389,41,36.4984871,127.2211217,13.895566,1699457317111,NORMAL
10.535,42,36.4985351,127.2213837,12.847713,1699457319110,NORMAL
10.781,43,36.4985703,127.2216335,12.04227,1699457321112,NORMAL
10.968,44,36.4985889,127.221882,12.1177,1699457323111,NORMAL
10.882,45,36.4986193,127.2221537,13.104605,1699457325112,NORMAL
10.664,46,36.4986544,127.2224833,15.815415,1699457327111,NORMAL
10.478,47,36.4986856,127.2228648,17.522366,1699457329111,NORMAL
10.363,48,36.4987135,127.223271,18.515533,1699457331110,NORMAL
