accuracy,id,lat,lng,speed,time,type
9.967,1,36.8058741,127.1397117,9.7302,1699667120648,START
9.967,2,36.8056979,127.13967,10.419735,1699667122646,NORMAL
8.956,3,36.8056026,127.139647,10.589784,1699667123644,NORMAL
6.932,4,36.8054131,127.1396031,10.520235,1699667125643,NORMAL
5.92,5,36.8053233,127.1395827,10.250176,1699667126641,NORMAL
3.885,6,36.8051478,127.1395428,9.550319,1699667128639,NORMAL
3.885,7,36.8050642,127.1395234,9.3301735,1699667129642,NORMAL
3.882,8,36.8048944,127.1394837,9.968571,1699667131650,NORMAL
3.9,9,36.8048057,127.1394631,9.940028,1699667132648,NORMAL
3.9,10,36.8046324,127.1394224,9.899946,1699667134649,NORMAL
3.9,11,36.8045448,127.1394014,10.089871,1699667135646,NORMAL
3.886,12,36.8043598,127.1393575,10.639337,1699667137650,NORMAL
3.889,13,36.8042677,127.1393357,10.40016,1699667138638,NORMAL
3.889,14,36.8040897,127.1392948,9.520588,1699667140645,NORMAL
3.886,15,36.8040085,127.1392767,9.3800955,1699667141648,NORMAL
3.9,16,36.8038365,127.1392376,10.259557,1699667143640,NORMAL
3.9,17,36.8037408,127.1392159,10.649678,1699667144645,NORMAL
3.9,18,36.8035469,127.1391673,11.17985,1699667146646,NORMAL
3.9,19,36.803448,127.1391419,10.770378,1699667147641,NORMAL
3.9,20,36.8032691,127.1390985,9.560515,1699667149646,NORMAL
3.9,21,36.8031904,127.1390804,8.770576,1699667150651,NORMAL
3.9,22,36.8030594,127.1390584,6.870313,1699667152651,NORMAL
3.9,23,36.8030022,127.1390694,6.440153,1699667153650,NORMAL
3.905,24,36.8028957,127.1391304,6.5409455,1699667155639,NORMAL
3.929,25,36.8028441,127.1391681,7.0213156,1699667156650,NORMAL
3.924,26,36.8027423,127.1392527,7.149741,1699667158641,NORMAL
3.929,27,36.8026882,127.1392968,6.970151,1699667159651,NORMAL
3.931,28,36.8025784,127.1393847,6.58766,1699667161643,NORMAL
3.976,29,36.8025371,127.1394172,4.444852,1699667162643,NORMAL
4.245,30,36.8025,127.1394406,0.8411841,1699667164647,NORMAL
4.317,31,36.8025005,127.1394413,0.84057814,1699667165644,NORMAL
4.24,32,36.8025001,127.1394418,0.569984,1699667167649,NORMAL
3.98,33,36.8024941,127.1394466,1.0896374,1699667168650,NORMAL
4.511,34,36.8024847,127.1394536,0.67002034,1699667170645,NORMAL
4.423,35,36.8024847,127.1394536,0.35105154,1699667171639,NORMAL
4.413,36,36.8024799,127.1394598,0.42000386,1699667173646,NORMAL
3.9,37,36.8024765,127.1394615,0.42,1699667174651,NORMAL
3.884,38,36.80246,127.1394735,1.2197984,1699667176639,NORMAL
3.884,39,36.8024532,127.1394775,1.2194911,1699667177644,NORMAL
3.886,40,36.8024536,127.1394765,0.20423122,1699667179645,NORMAL
3.886,41,36.8024542,127.139476,0.03508141,1699667180640,NORMAL
3.9,42,36.8024458,127.1394817,1.2998973,1699667182641,NORMAL
3.9,43,36.8024321,127.1394915,2.059445,1699667183646,NORMAL
3.9,44,36.802405,127.1395097,0.7007086,1699667185650,NORMAL
3.9,45,36.802403,127.13951,0.7004699,1699667186644,NORMAL
3.9,46,36.8024042,127.1395083,0.07791625,1699667188646,NORMAL
3.9,47,36.8024046,127.139508,0.00719842,1699667189652,NORMAL
3.9,48,36.8024048,127.1395079,0.0062158867,1699667191649,NORMAL
3.9,49,36.8024048,127.1395079,0.0026494076,1699667192644,NORMAL
3.9,50,36.8024048,127.1395079,1.9679473E-4,1699667194644,NORMAL
3.9,51,36.8024048,127.1395079,1.8731529E-5,1699667195642,NORMAL
3.9,52,36.8024048,127.1395079,1.3707056E-5,1699667197647,NORMAL
3.9,53,36.8024048,127.1395079,6.023403E-6,1699667198646,NORMAL
3.9,54,36.8023992,127.1395045,0.50996935,1699667200642,NORMAL
3.9,55,36.8023937,127.1395082,0.79975796,1699667201651,NORMAL
3.9,56,36.8023603,127.1395536,3.968317,1699667203643,NORMAL
3.9,57,36.8023448,127.1396031,4.882308,1699667204645,NORMAL
3.9,58,36.8023641,127.1397398,7.050086,1699667206647,NORMAL
3.9,59,36.8023856,127.1398209,7.9793224,1699667207641,NORMAL
3.9,60,36.8024181,127.1400153,9.09945,1699667209640,NORMAL
3.9,61,36.8024332,127.1401217,9.749361,1699667210649,NORMAL
3.9,62,36.8024636,127.1403598,11.059578,1699667212651,NORMAL
3.9,63,36.8024781,127.1404823,10.940116,1699667213638,NORMAL
3.9,64,36.8025063,127.1407168,10.230451,1699667215647,NORMAL
3.9,65,36.8025196,127.1408275,9.9502535,1699667216646,NORMAL
3.9,66,36.8025464,127.1410438,9.919762,1699667218641,NORMAL
3.9,67,36.8025605,127.1411553,10.039882,1699667219639,NORMAL
3.9,68,36.8025867,127.141378,10.269646,1699667221644,NORMAL
3.9,69,36.8025993,127.1414939,10.549739,1699667222642,NORMAL
3.9,70,36.802622,127.1417289,10.380249,1699667224644,NORMAL
3.884,71,36.8026293,127.1418427,9.930457,1699667225642,NORMAL
3.884,72,36.8026432,127.1420473,8.461007,1699667227648,NORMAL
3.884,73,36.8026526,127.142135,7.740698,1699667228650,NORMAL
3.875,74,36.8026742,127.142301,7.7197757,1699667230642,NORMAL
3.886,75,36.8026852,127.1423857,7.5302114,1699667231648,NORMAL
3.886,76,36.8027031,127.1425235,5.062222,1699667233650,NORMAL
3.888,77,36.8027084,127.1425699,4.1811743,1699667234645,NORMAL
3.905,78,36.802697,127.1426425,3.1009016,1699667236646,NORMAL
3.906,79,36.8026755,127.1426669,3.1695495,1699667237641,NORMAL
3.906,80,36.802611,127.1426881,4.0985065,1699667239647,NORMAL
3.905,81,36.8025709,127.1426887,4.3396964,1699667240647,NORMAL
3.899,82,36.8024897,127.1426905,4.659808,1699667242640,NORMAL
3.9,83,36.8024485,127.1426928,4.5201354,1699667243646,NORMAL
3.9,84,36.8023653,127.1426991,4.5601373,1699667245645,NORMAL
3.9,85,36.8023265,127.1427019,4.1005282,1699667246647,NORMAL
3.9,86,36.8022549,127.1427032,4.0799108,1699667248643,NORMAL
3.9,87,36.8022151,127.1427028,4.6993184,1699667249649,NORMAL
3.9,88,36.8021045,127.1427009,6.8794527,1699667251648,NORMAL
3.9,89,36.8020403,127.1427032,6.9898944,1699667252649,NORMAL
3.9,90,36.8019184,127.1427091,6.7999644,1699667254641,NORMAL
3.9,91,36.8018564,127.1427099,7.048966,1699667255642,NORMAL
3.9,92,36.8017197,127.1427101,7.75974,1699667257640,NORMAL
3.9,93,36.8016493,127.1427114,7.630129,1699667258640,NORMAL
3.9,94,36.8015358,127.1427162,5.1813426,1699667260639,NORMAL
3.9,95,36.8014947,127.1427179,4.5106173,1699667261651,NORMAL
3.9,96,36.8014195,127.1427215,4.190022,1699667263650,NORMAL
3.9,97,36.8013798,127.1427236,4.669567,1699667264650,NORMAL
3.9,98,36.8012794,127.1427317,6.109633,1699667266642,NORMAL
3.9,99,36.8012228,127.1427354,6.2398705,1699667267649,NORMAL
3.929,100,36.8011108,127.1427371,6.181884,1699667269647,NORMAL
3.944,101,36.8010558,127.1427386,5.9625974,1699667270644,NORMAL
3.944,102,36.8009542,127.1427436,5.569989,1699667272647,NORMAL
3.944,103,36.8008997,127.1427451,6.039483,1699667273649,NORMAL
3.893,104,36.8007876,127.1427483,6.060208,1699667275646,NORMAL
3.894,105,36.8007346,127.1427503,5.8801866,1699667276648,NORMAL
3.887,106,36.800628,127.1427547,6.1899033,1699667278645,NORMAL
3.884,107,36.8005744,127.1427571,5.9301944,1699667279650,NORMAL
3.9,108,36.8004656,127.1427617,6.110009,1699667281645,NORMAL
3.9,109,36.8004145,127.1427639,5.340727,1699667282639,NORMAL
3.9,110,36.800332,127.1427654,4.3202786,1699667284645,NORMAL
3.9,111,36.800295,127.142766,4.020254,1699667285641,NORMAL
3.9,112,36.800231,127.1427679,3.4201925,1699667287644,NORMAL
3.9,113,36.8001984,127.1427686,3.8496125,1699667288645,NORMAL
4.866,114,36.8001042,127.1427723,6.3397784,1699667290650,NORMAL
4.728,115,36.8000438,127.1427749,6.829594,1699667291644,NORMAL
4.728,116,36.7999043,127.1427801,8.029764,1699667293642,NORMAL
3.9,117,36.7998296,127.1427815,8.269748,1699667294651,NORMAL
3.9,118,36.7996791,127.1427825,8.409957,1699667296641,NORMAL
3.9,119,36.7996018,127.1427843,8.529895,1699667297646,NORMAL
3.886,120,36.7994423,127.1427931,8.840009,1699667299648,NORMAL
3.886,121,36.7993616,127.1427971,8.939907,1699667300643,NORMAL
3.883,122,36.7992076,127.1428024,8.090416,1699667302647,NORMAL
3.9,123,36.7991402,127.1428048,7.360545,1699667303651,NORMAL
3.9,124,36.7990315,127.1428091,4.8913164,1699667305647,NORMAL
3.9,125,36.7989956,127.1428105,3.6669476,1699667306645,NORMAL
3.883,126,36.7989504,127.1428117,1.5705527,1699667308638,NORMAL
3.883,127,36.798943,127.142812,0.48149213,1699667309642,NORMAL
3.879,128,36.7989424,127.1428121,0.2312307,1699667311648,NORMAL
3.879,129,36.7989431,127.1428121,0.054666393,1699667312642,NORMAL
3.9,130,36.7989436,127.1428121,0.0062863976,1699667314649,NORMAL
3.9,131,36.7989436,127.1428121,0.0041444376,1699667315643,NORMAL
3.9,132,36.7989436,127.1428121,5.897192E-4,1699667317645,NORMAL
3.9,133,36.7989436,127.1428121,1.362359E-4,1699667318647,NORMAL
3.9,134,36.7989436,127.1428121,1.2889272E-5,1699667320646,NORMAL
3.9,135,36.7989436,127.1428121,9.129866E-6,1699667321645,NORMAL
3.9,136,36.7989436,127.1428121,1.3836312E-6,1699667323643,NORMAL
3.9,137,36.7989436,127.1428121,3.3646788E-7,1699667324645,NORMAL
3.9,138,36.7989436,127.1428121,2.5778423E-8,1699667326642,NORMAL
3.9,139,36.7989436,127.1428121,1.9877842E-8,1699667327651,NORMAL
3.9,140,36.7989436,127.1428121,3.2161314E-9,1699667329646,NORMAL
3.9,141,36.7989436,127.1428121,8.272134E-10,1699667330639,NORMAL
3.9,142,36.7989436,127.1428121,4.955691E-11,1699667332648,NORMAL
3.9,143,36.7989436,127.1428121,4.307339E-11,1699667333647,NORMAL
3.9,144,36.7989436,127.1428121,7.452567E-12,1699667335642,NORMAL
3.9,145,36.7989436,127.1428121,1.8905077E-12,1699667336641,NORMAL
3.9,146,36.7989436,127.1428121,6.7130803E-14,1699667338650,NORMAL
3.9,147,36.7989436,127.1428121,5.4556172E-14,1699667339650,NORMAL
3.9,148,36.7989436,127.1428121,5.4556172E-14,1699667341641,NORMAL
3.9,149,36.7989436,127.1428121,5.4556172E-14,1699667342639,NORMAL
3.9,150,36.7989436,127.1428121,5.4556172E-14,1699667344644,NORMAL
3.9,151,36.7989436,127.1428121,5.4556172E-14,1699667345650,NORMAL
3.9,152,36.7989436,127.1428121,5.4556172E-14,1699667347647,NORMAL
3.9,153,36.7989436,127.1428121,5.4556172E-14,1699667348644,NORMAL
3.9,154,36.7989436,127.1428121,5.4556172E-14,1699667350646,NORMAL
3.9,155,36.7989436,127.1428121,5.4556172E-14,1699667351639,NORMAL
