accuracy,id,lat,lng,speed,time,type
16.256,183314,36.3689765,127.4259894,0.0,1665824737784,START
16.0,183315,36.3689487,127.4247017,6.1014233,1665824768000,NORMAL
13.6,183316,36.3689523,127.4246315,6.0458856,1665824769000,NORMAL
12.0,183317,36.3689513,127.4244634,8.198876,1665824771000,NORMAL
12.0,183318,36.3689508,127.4243545,8.670935,1665824772000,NORMAL
12.666,183319,36.3689462,127.4241253,9.533591,1665824774000,NORMAL
13.6,183320,36.3689436,127.4240038,9.414554,1665824775000,NORMAL
13.333,183321,36.3689071,127.4236842,7.0629964,1665824777000,NORMAL
13.142,183322,36.3688956,127.4236221,5.3891506,1665824778000,NORMAL
12.0,183323,36.368928,127.423551,5.8645086,1665824780000,NORMAL
10.4,183324,36.368977,127.4235504,6.941915,1665824781000,NORMAL
8.8,183325,36.3691213,127.4235806,9.182212,1665824783000,NORMAL
7.6,183326,36.3692157,127.4236103,10.101097,1665824784000,NORMAL
6.8,183327,36.369422,127.423672,11.409009,1665824786000,NORMAL
6.4,183328,36.3695289,127.4237071,11.991573,1665824787000,NORMAL
6.0,183329,36.3697583,127.4237728,12.984942,1665824789000,NORMAL
6.0,183330,36.3698785,127.4238037,13.309367,1665824790000,NORMAL
6.0,183331,36.3701037,127.4238633,10.620685,1665824792000,NORMAL
6.0,183332,36.3701814,127.4238863,8.070541,1665824793000,NORMAL
6.0,183333,36.3702868,127.4239558,6.4051456,1665824795000,NORMAL
5.6,183334,36.3703263,127.4240051,6.021051,1665824796000,NORMAL
4.8,183335,36.37042,127.4240384,5.9018397,1665824798000,NORMAL
4.4,183336,36.3704788,127.4240128,6.5713396,1665824799000,NORMAL
4.0,183337,36.3706084,127.4239947,7.3989415,1665824801000,NORMAL
4.0,183338,36.3706879,127.4240131,9.436091,1665824802000,NORMAL
4.4,183339,36.370884,127.4240552,11.735392,1665824804000,NORMAL
4.8,183340,36.370994,127.4240776,12.489551,1665824805000,NORMAL
5.333,183341,36.37124,127.4241256,13.794737,1665824807000,NORMAL
5.333,183342,36.3713644,127.4241524,13.9034195,1665824808000,NORMAL
5.333,183343,36.371615,127.4242097,14.413844,1665824810000,NORMAL
5.0,183344,36.3717483,127.4242382,14.809721,1665824811000,NORMAL
4.333,183345,36.3720259,127.4242817,15.723144,1665824813000,NORMAL
4.0,183346,36.3721724,127.4243004,16.370998,1665824814000,NORMAL
4.0,183347,36.3724663,127.4243407,14.513096,1665824816000,NORMAL
4.0,183348,36.3725804,127.4243537,11.99183,1665824817000,NORMAL
4.8,183349,36.3727657,127.4243705,9.31404,1665824819000,NORMAL
5.2,183350,36.372839,127.4243763,8.131042,1665824820000,NORMAL
5.6,183351,36.3729458,127.4243866,4.9886928,1665824822000,NORMAL
5.2,183352,36.3729752,127.4243895,3.1258147,1665824823000,NORMAL
4.8,183353,36.3729883,127.4243924,2.4742294E-5,1665824825000,NORMAL
4.8,183354,36.3729838,127.424392,2.0745028E-10,1665824826000,NORMAL
5.6,183355,36.3729814,127.4243917,7.358492E-12,1665824828000,NORMAL
5.714,183356,36.3729811,127.4243917,3.2167747E-12,1665824829000,NORMAL
6.0,183357,36.372981,127.4243917,4.126262E-14,1665824831000,NORMAL
6.0,183358,36.372981,127.4243917,4.4356246E-14,1665824832000,NORMAL
6.0,183359,36.372981,127.4243917,3.4838264E-11,1665824834000,NORMAL
6.0,183360,36.372981,127.4243917,5.967271E-9,1665824835000,NORMAL
6.875,183361,36.372981,127.4243917,3.5247066E-11,1665824837000,NORMAL
6.875,183362,36.372981,127.4243917,7.9818666E-14,1665824838000,NORMAL
7.0,183363,36.372981,127.4243917,2.0676594E-14,1665824840000,NORMAL
7.0,183364,36.372981,127.4243917,3.572252E-14,1665824841000,NORMAL
6.0,183365,36.372981,127.4243917,1.1206109E-13,1665824843000,NORMAL
6.0,183366,36.372981,127.4243917,2.843373E-14,1665824844000,NORMAL
6.0,183367,36.372981,127.4243917,2.3907524E-14,1665824846000,NORMAL
6.0,183368,36.372981,127.4243917,4.642849E-15,1665824847000,NORMAL
5.666,183369,36.372981,127.4243917,1.7794297E-15,1665824849000,NORMAL
5.333,183370,36.372981,127.4243917,2.3506392E-15,1665824850000,NORMAL
5.2,183371,36.372981,127.4243917,7.5506174E-16,1665824852000,NORMAL
5.774,183372,36.372981,127.4243917,1.40523045E-14,1665824852203,NORMAL
6.092,183373,36.372981,127.4243917,1.9162213E-16,1665824855000,NORMAL
6.44,183374,36.372981,127.4243917,8.6989966E-17,1665824856000,NORMAL
6.377,183375,36.372981,127.4243917,2.6725385E-18,1665824858000,NORMAL
6.0,183376,36.372981,127.4243917,4.6676344E-19,1665824859000,NORMAL
6.0,183377,36.372981,127.4243917,1.6458369E-19,1665824861000,NORMAL
6.0,183378,36.372981,127.4243917,1.2250483E-19,1665824862000,NORMAL
6.0,183379,36.372981,127.4243917,5.262219E-20,1665824864000,NORMAL
7.326,183380,36.372981,127.4243917,1.28384494E-17,1665824865000,NORMAL
7.547,183381,36.372981,127.4243917,4.1936466E-21,1665824867000,NORMAL
8.513,183382,36.372981,127.4243917,5.309598E-19,1665824867605,NORMAL
6.139,183383,36.3729923,127.4243907,0.14574222,1665824870000,NORMAL
5.876,183384,36.3729951,127.4243983,0.020056643,1665824871000,NORMAL
5.212,183385,36.3729934,127.4244006,0.046430636,1665824873000,NORMAL
5.077,183386,36.3729925,127.4243998,0.119025946,1665824874000,NORMAL
5.402,183387,36.3729927,127.4243991,0.17142057,1665824876000,NORMAL
5.652,183388,36.3729946,127.4243993,0.16273695,1665824877000,NORMAL
4.0,183389,36.3729985,127.4244005,0.15027936,1665824879000,NORMAL
5.355,183390,36.3729992,127.4244006,0.027366307,1665824880000,NORMAL
5.581,183391,36.3729988,127.4244001,0.028014435,1665824882000,NORMAL
5.581,183392,36.3729994,127.4244003,0.1708854,1665824883000,NORMAL
4.0,183393,36.3730029,127.424401,0.18683872,1665824885000,NORMAL
4.0,183394,36.3730047,127.424401,0.19871086,1665824886000,NORMAL
4.0,183395,36.3730058,127.4244013,0.17171638,1665824888000,NORMAL
4.0,183396,36.3730061,127.4244007,0.19501011,1665824889000,NORMAL
5.592,183397,36.3730061,127.4243996,0.20335849,1665824891000,NORMAL
