accuracy,id,lat,lng,speed,time,type
13.0,0,36.277290,127.464247,5.79,1665815223000,START
7.9,0,36.276911,127.464028,8.54,1665815229000,NORMAL
7.9,0,36.276441,127.464196,12.24,1665815234000,NORMAL
7.9,0,36.275890,127.464491,14.02,1665815239000,NORMAL
8.0,0,36.275217,127.465007,15.29,1665815245000,NORMAL
8.1,0,36.274673,127.465575,15.56,1665815250000,NORMAL
8.1,0,36.274182,127.466368,15.20,1665815256000,NORMAL
8.1,0,36.273836,127.467106,15.58,1665815261000,NORMAL
8.1,0,36.273553,127.468090,15.42,1665815267000,NORMAL
8.0,0,36.273307,127.469100,16.42,1665815273000,NORMAL
8.0,0,36.273027,127.470221,17.24,1665815279000,NORMAL
8.0,0,36.272828,127.471064,14.66,1665815284000,NORMAL
8.0,0,36.272631,127.471794,8.65,1665815290000,NORMAL
8.1,0,36.272544,127.472122,2.78,1665815296000,NORMAL
8.0,0,36.272524,127.472152,0.00,1665815302000,STOP
8.0,0,36.272432,127.472441,6.18,1665815324000,NORMAL
8.0,0,36.272219,127.472978,10.67,1665815330000,NORMAL
8.0,0,36.271988,127.473569,12.64,1665815335000,NORMAL
8.0,0,36.271580,127.474317,14.43,1665815341000,NORMAL
8.0,0,36.271158,127.474972,15.17,1665815346000,NORMAL
8.0,0,36.270686,127.475728,13.45,1665815352000,NORMAL
8.0,0,36.270260,127.476122,11.78,1665815357000,NORMAL
8.0,0,36.269731,127.475996,13.44,1665815362000,NORMAL
8.0,0,36.268968,127.475635,16.01,1665815368000,NORMAL
7.9,0,36.268209,127.475292,13.99,1665815374000,NORMAL
8.0,0,36.267442,127.474906,15.86,1665815380000,NORMAL
8.0,0,36.266807,127.474458,15.47,1665815385000,NORMAL
7.9,0,36.266507,127.473556,14.86,1665815391000,NORMAL
7.8,0,36.266783,127.472783,15.10,1665815396000,NORMAL
7.9,0,36.267302,127.471884,16.73,1665815402000,NORMAL
8.1,0,36.267885,127.470911,19.18,1665815408000,NORMAL
8.1,0,36.268535,127.469786,21.94,1665815414000,NORMAL
8.0,0,36.269135,127.468740,23.44,1665815419000,NORMAL
8.1,0,36.269909,127.467466,24.27,1665815425000,NORMAL
8.0,0,36.270562,127.466405,24.18,1665815430000,NORMAL
8.0,0,36.271328,127.465148,23.53,1665815436000,NORMAL
8.0,0,36.272090,127.463880,23.72,1665815442000,NORMAL
8.1,0,36.272883,127.462617,24.13,1665815448000,NORMAL
8.1,0,36.273560,127.461536,24.95,1665815453000,NORMAL
8.1,0,36.274262,127.460409,26.12,1665815458000,NORMAL
8.0,0,36.274960,127.459302,23.78,1665815463000,NORMAL
8.0,0,36.275620,127.458348,22.72,1665815468000,NORMAL
8.0,0,36.276468,127.457081,25.88,1665815474000,NORMAL
8.1,0,36.277287,127.455975,27.38,1665815479000,NORMAL
8.1,0,36.278150,127.454507,26.80,1665815485000,NORMAL
8.1,0,36.278716,127.453231,25.86,1665815490000,NORMAL
8.1,0,36.279231,127.451661,24.85,1665815496000,NORMAL
8.0,0,36.279495,127.450386,22.73,1665815501000,NORMAL
8.0,0,36.279673,127.448933,21.49,1665815507000,NORMAL
8.0,0,36.279727,127.447656,23.43,1665815512000,NORMAL
8.1,0,36.279643,127.446012,25.35,1665815518000,NORMAL
8.1,0,36.279422,127.444604,26.02,1665815523000,NORMAL
8.1,0,36.279085,127.443225,26.03,1665815528000,NORMAL
8.1,0,36.278722,127.441872,25.43,1665815533000,NORMAL
8.1,0,36.278579,127.440232,24.43,1665815539000,NORMAL
8.1,0,36.278569,127.438863,24.82,1665815544000,NORMAL
8.1,0,36.278586,127.437200,25.02,1665815550000,NORMAL
8.1,0,36.278607,127.435803,25.29,1665815555000,NORMAL
8.0,0,36.278631,127.434385,25.75,1665815560000,NORMAL
22.6,0,36.278633,127.426491,28.13,1665815587000,NORMAL
8.2,0,36.278489,127.424900,28.86,1665815592000,NORMAL
8.1,0,36.278247,127.423020,28.11,1665815598000,NORMAL
8.0,0,36.278046,127.421479,27.81,1665815603000,NORMAL
8.0,0,36.277800,127.419623,28.33,1665815609000,NORMAL
8.0,0,36.277553,127.417731,28.97,1665815615000,NORMAL
8.0,0,36.277305,127.415804,29.15,1665815621000,NORMAL
8.0,0,36.277093,127.414204,28.68,1665815626000,NORMAL
8.0,0,36.276847,127.412330,28.47,1665815632000,NORMAL
8.0,0,36.276593,127.410419,29.28,1665815638000,NORMAL
8.0,0,36.276381,127.408825,28.59,1665815643000,NORMAL
8.0,0,36.276143,127.406924,28.96,1665815649000,NORMAL
8.0,0,36.275887,127.404986,29.49,1665815655000,NORMAL
8.0,0,36.275737,127.403343,29.60,1665815660000,NORMAL
8.1,0,36.275809,127.401353,29.99,1665815666000,NORMAL
8.1,0,36.276137,127.399701,30.69,1665815671000,NORMAL
8.1,0,36.276785,127.397935,27.99,1665815677000,NORMAL
8.2,0,36.277457,127.396710,25.73,1665815682000,NORMAL
8.2,0,36.278362,127.395385,26.52,1665815688000,NORMAL
8.1,0,36.279133,127.394312,24.78,1665815693000,NORMAL
8.1,0,36.279863,127.393298,24.24,1665815698000,NORMAL
8.1,0,36.280566,127.392319,23.21,1665815703000,NORMAL
8.1,0,36.281414,127.391141,22.94,1665815709000,NORMAL
8.1,0,36.282154,127.390082,19.85,1665815715000,NORMAL
8.0,0,36.282762,127.389008,19.38,1665815721000,NORMAL
7.9,0,36.283148,127.388063,19.19,1665815726000,NORMAL
22.0,0,36.283791,127.380375,24.65,1665815757000,NORMAL
8.1,0,36.283838,127.378669,25.79,1665815763000,NORMAL
8.1,0,36.283982,127.376918,26.55,1665815769000,NORMAL
8.1,0,36.284236,127.375467,26.40,1665815774000,NORMAL
8.1,0,36.284629,127.373788,25.70,1665815780000,NORMAL
8.1,0,36.285078,127.372465,26.15,1665815785000,NORMAL
8.1,0,36.285532,127.371137,25.85,1665815790000,NORMAL
7.9,0,36.285985,127.369818,25.33,1665815795000,NORMAL
20.2,0,36.288631,127.361496,30.38,1665815825000,NORMAL
7.9,0,36.289076,127.359475,32.08,1665815831000,NORMAL
8.1,0,36.289399,127.357398,31.17,1665815837000,NORMAL
8.1,0,36.289643,127.355729,29.74,1665815842000,NORMAL
8.1,0,36.289917,127.353820,28.48,1665815848000,NORMAL
8.1,0,36.290132,127.352264,28.16,1665815853000,NORMAL
8.4,0,36.290398,127.350424,27.84,1665815859000,NORMAL
10.6,0,36.291664,127.341175,28.48,1665815889000,NORMAL
8.3,0,36.291755,127.339269,28.46,1665815895000,NORMAL
8.0,0,36.291753,127.337371,28.17,1665815901000,NORMAL
7.9,0,36.291754,127.335828,27.38,1665815906000,NORMAL
7.9,0,36.291747,127.334022,26.65,1665815912000,NORMAL
8.0,0,36.291773,127.332228,26.83,1665815918000,NORMAL
8.1,0,36.291814,127.330719,26.98,1665815923000,NORMAL
8.1,0,36.291823,127.328917,26.81,1665815929000,NORMAL
8.0,0,36.291823,127.327416,26.65,1665815934000,NORMAL
7.9,0,36.291830,127.325919,26.62,1665815939000,NORMAL
7.7,0,36.291829,127.324171,25.88,1665815945000,NORMAL
7.7,0,36.291978,127.322460,25.59,1665815951000,NORMAL
7.9,0,36.292393,127.321193,23.59,1665815956000,NORMAL
8.0,0,36.292989,127.319966,19.90,1665815962000,NORMAL
8.0,0,36.293400,127.318956,20.94,1665815967000,NORMAL
8.0,0,36.293956,127.317698,22.04,1665815973000,NORMAL
8.0,0,36.294614,127.316479,21.24,1665815979000,NORMAL
7.9,0,36.295337,127.315821,19.02,1665815984000,NORMAL
7.9,0,36.296078,127.315441,18.18,1665815989000,NORMAL
7.9,0,36.296867,127.315063,19.72,1665815994000,NORMAL
7.7,0,36.297915,127.314565,21.27,1665816000000,NORMAL
7.8,0,36.298824,127.314146,21.98,1665816005000,NORMAL
7.8,0,36.299798,127.313723,23.12,1665816010000,NORMAL
7.9,0,36.300938,127.313132,22.63,1665816016000,NORMAL
7.9,0,36.301819,127.312392,23.46,1665816021000,NORMAL
7.8,0,36.302704,127.311322,22.67,1665816027000,NORMAL
7.9,0,36.303458,127.310434,23.08,1665816032000,NORMAL
7.9,0,36.304274,127.309669,22.90,1665816037000,NORMAL
7.8,0,36.305413,127.308993,23.72,1665816043000,NORMAL
7.9,0,36.306426,127.308671,23.33,1665816048000,NORMAL
8.0,0,36.307656,127.308408,23.14,1665816054000,NORMAL
8.0,0,36.308923,127.308105,24.56,1665816060000,NORMAL
7.9,0,36.310043,127.307855,25.83,1665816065000,NORMAL
8.0,0,36.311215,127.307614,26.67,1665816070000,NORMAL
8.0,0,36.312407,127.307366,26.93,1665816075000,NORMAL
8.0,0,36.313857,127.307066,26.86,1665816081000,NORMAL
8.0,0,36.315035,127.306872,26.24,1665816086000,NORMAL
8.0,0,36.316474,127.306911,26.98,1665816092000,NORMAL
8.0,0,36.317882,127.307268,25.74,1665816098000,NORMAL
8.0,0,36.318997,127.307673,25.86,1665816103000,NORMAL
8.0,0,36.320358,127.308171,26.27,1665816109000,NORMAL
8.0,0,36.321510,127.308595,26.83,1665816114000,NORMAL
8.0,0,36.322696,127.309035,27.68,1665816119000,NORMAL
8.1,0,36.324137,127.309564,27.60,1665816125000,NORMAL
8.1,0,36.325559,127.310084,27.32,1665816131000,NORMAL
8.1,0,36.326721,127.310516,26.62,1665816136000,NORMAL
8.1,0,36.328085,127.311068,26.04,1665816142000,NORMAL
8.0,0,36.329350,127.311756,25.50,1665816148000,NORMAL
8.1,0,36.330604,127.312540,26.16,1665816154000,NORMAL
8.1,0,36.331879,127.313339,26.50,1665816160000,NORMAL
8.1,0,36.333179,127.314149,26.91,1665816166000,NORMAL
8.1,0,36.334281,127.314842,27.44,1665816171000,NORMAL
8.1,0,36.335573,127.315655,25.57,1665816177000,NORMAL
8.1,0,36.336835,127.316449,26.74,1665816183000,NORMAL
8.1,0,36.338142,127.317300,26.95,1665816189000,NORMAL
8.1,0,36.339191,127.317934,25.56,1665816194000,NORMAL
8.2,0,36.340431,127.318711,25.89,1665816200000,NORMAL
8.1,0,36.341682,127.319502,26.09,1665816206000,NORMAL
8.1,0,36.342947,127.320296,25.93,1665816212000,NORMAL
8.1,0,36.344176,127.321081,25.73,1665816218000,NORMAL
8.1,0,36.345453,127.321867,26.81,1665816224000,NORMAL
8.0,0,36.346822,127.322644,28.89,1665816230000,NORMAL
8.0,0,36.348030,127.323284,29.33,1665816235000,NORMAL
8.0,0,36.349454,127.324032,28.69,1665816241000,NORMAL
8.0,0,36.350842,127.324779,27.34,1665816247000,NORMAL
24.3,0,36.351958,127.325373,26.98,1665816252000,NORMAL
24.3,0,36.353300,127.326085,26.94,1665816258000,NORMAL
