accuracy,id,lat,lng,speed,time,type
8.0,0,36.475488,127.286275,6.94,1666008855000,START
7.9,0,36.475312,127.285880,5.45,1666008861000,NORMAL
7.9,0,36.475235,127.285659,3.92,1666008866000,NORMAL
7.9,0,36.475167,127.285496,3.00,1666008871000,NORMAL
8.0,0,36.475066,127.285261,4.17,1666008877000,NORMAL
7.9,0,36.474962,127.285022,4.51,1666008882000,NORMAL
7.9,0,36.474852,127.284776,4.69,1666008887000,NORMAL
7.9,0,36.474672,127.284420,6.75,1666008893000,NORMAL
8.0,0,36.474471,127.284138,6.72,1666008898000,NORMAL
8.0,0,36.474210,127.283838,6.06,1666008904000,NORMAL
8.0,0,36.473995,127.283614,6.00,1666008909000,NORMAL
8.0,0,36.473843,127.283421,3.52,1666008914000,NORMAL
8.0,0,36.473808,127.283379,0.00,1666008919000,STOP
8.0,0,36.473710,127.283261,2.79,1666008930000,NORMAL
8.0,0,36.473460,127.283465,5.90,1666008936000,NORMAL
8.0,0,36.473250,127.283736,7.57,1666008941000,NORMAL
8.1,0,36.472951,127.284082,6.05,1666008947000,NORMAL
8.1,0,36.472753,127.284326,6.70,1666008952000,NORMAL
8.0,0,36.472458,127.284703,7.78,1666008958000,NORMAL
8.0,0,36.472254,127.284948,4.91,1666008963000,NORMAL
8.0,0,36.472063,127.285134,3.58,1666008969000,NORMAL
7.9,0,36.471827,127.285026,7.17,1666008975000,NORMAL
7.7,0,36.471355,127.284473,12.32,1666008981000,NORMAL
7.7,0,36.470923,127.283844,14.57,1666008986000,NORMAL
7.7,0,36.470564,127.283186,12.71,1666008991000,NORMAL
7.8,0,36.470364,127.282685,7.17,1666008996000,NORMAL
8.0,0,36.470246,127.282407,4.20,1666009001000,NORMAL
8.0,0,36.470195,127.282295,0.00,1666009007000,STOP
8.1,0,36.470194,127.282242,2.98,1666009089000,NORMAL
8.1,0,36.470027,127.281760,10.16,1666009095000,NORMAL
8.1,0,36.469769,127.281047,12.18,1666009101000,NORMAL
8.0,0,36.469533,127.280406,12.72,1666009106000,NORMAL
8.0,0,36.469241,127.279616,12.95,1666009112000,NORMAL
8.1,0,36.469014,127.278940,13.49,1666009117000,NORMAL
7.9,0,36.468724,127.278109,13.71,1666009123000,NORMAL
7.9,0,36.468473,127.277420,13.30,1666009128000,NORMAL
7.9,0,36.468191,127.276626,11.45,1666009134000,NORMAL
8.0,0,36.467999,127.276096,8.68,1666009139000,NORMAL
8.1,0,36.467849,127.275700,4.48,1666009145000,NORMAL
8.1,0,36.467767,127.275533,0.00,1666009151000,STOP
8.1,0,36.467674,127.275287,6.55,1666009201000,NORMAL
8.1,0,36.467321,127.274966,8.38,1666009207000,NORMAL
8.1,0,36.466845,127.274972,12.12,1666009212000,NORMAL
8.1,0,36.466094,127.275128,15.45,1666009218000,NORMAL
8.2,0,36.465236,127.275227,16.05,1666009224000,NORMAL
8.2,0,36.464501,127.275386,16.81,1666009229000,NORMAL
8.1,0,36.463746,127.275670,17.73,1666009234000,NORMAL
8.2,0,36.462855,127.276201,18.51,1666009240000,NORMAL
8.0,0,36.462031,127.276905,18.47,1666009246000,NORMAL
8.0,0,36.461395,127.277560,18.59,1666009251000,NORMAL
8.0,0,36.460615,127.278367,19.69,1666009257000,NORMAL
8.0,0,36.459791,127.279216,20.20,1666009263000,NORMAL
8.0,0,36.459063,127.279966,21.53,1666009268000,NORMAL
8.0,0,36.458134,127.280923,22.65,1666009274000,NORMAL
8.0,0,36.457362,127.281701,21.76,1666009279000,NORMAL
8.0,0,36.456396,127.282535,21.35,1666009285000,NORMAL
8.0,0,36.455401,127.283280,21.46,1666009291000,NORMAL
8.1,0,36.454364,127.283924,21.06,1666009297000,NORMAL
8.1,0,36.453513,127.284380,20.75,1666009302000,NORMAL
8.1,0,36.452615,127.284781,21.28,1666009307000,NORMAL
8.1,0,36.451525,127.285180,20.85,1666009313000,NORMAL
8.0,0,36.450442,127.285466,20.34,1666009319000,NORMAL
8.0,0,36.449527,127.285642,20.71,1666009324000,NORMAL
8.0,0,36.448414,127.285753,20.64,1666009330000,NORMAL
8.0,0,36.447466,127.285782,21.22,1666009335000,NORMAL
8.0,0,36.446480,127.285802,22.25,1666009340000,NORMAL
8.1,0,36.445249,127.285821,23.14,1666009346000,NORMAL
8.1,0,36.444001,127.285842,22.70,1666009352000,NORMAL
8.1,0,36.442986,127.285853,22.15,1666009357000,NORMAL
8.1,0,36.441795,127.285866,22.15,1666009363000,NORMAL
8.1,0,36.440586,127.285883,22.22,1666009369000,NORMAL
8.1,0,36.439408,127.285901,21.78,1666009375000,NORMAL
8.1,0,36.438417,127.285915,22.11,1666009380000,NORMAL
8.1,0,36.437204,127.285930,22.63,1666009386000,NORMAL
8.1,0,36.435987,127.285945,22.25,1666009392000,NORMAL
8.1,0,36.434795,127.285965,22.04,1666009398000,NORMAL
8.1,0,36.433606,127.286056,22.28,1666009404000,NORMAL
8.1,0,36.432410,127.286299,22.41,1666009410000,NORMAL
8.1,0,36.431440,127.286664,22.48,1666009415000,NORMAL
8.1,0,36.430319,127.287274,22.66,1666009421000,NORMAL
8.1,0,36.429295,127.288044,21.99,1666009427000,NORMAL
8.0,0,36.428374,127.288969,21.77,1666009433000,NORMAL
8.0,0,36.427543,127.290009,21.99,1666009439000,NORMAL
7.9,0,36.426865,127.290912,22.02,1666009444000,NORMAL
8.0,0,36.426192,127.291808,21.71,1666009449000,NORMAL
8.0,0,36.425412,127.292846,21.10,1666009455000,NORMAL
8.0,0,36.424634,127.293886,20.97,1666009461000,NORMAL
7.9,0,36.423868,127.294921,20.88,1666009467000,NORMAL
7.9,0,36.423109,127.295927,19.92,1666009473000,NORMAL
8.0,0,36.422369,127.296842,19.39,1666009479000,NORMAL
8.0,0,36.421686,127.297565,20.36,1666009484000,NORMAL
7.9,0,36.420692,127.298232,21.22,1666009490000,NORMAL
8.1,0,36.419600,127.298776,21.98,1666009496000,NORMAL
8.1,0,36.418625,127.299050,22.72,1666009501000,NORMAL
8.1,0,36.417412,127.299220,22.52,1666009507000,NORMAL
8.1,0,36.416238,127.299393,21.68,1666009513000,NORMAL
8.1,0,36.415117,127.299625,20.33,1666009519000,NORMAL
8.1,0,36.414283,127.299839,17.78,1666009524000,NORMAL
8.1,0,36.413560,127.300045,16.09,1666009529000,NORMAL
8.1,0,36.412848,127.300280,16.21,1666009534000,NORMAL
8.0,0,36.411976,127.300608,17.32,1666009540000,NORMAL
8.1,0,36.411218,127.300918,18.03,1666009545000,NORMAL
8.1,0,36.410272,127.301352,18.91,1666009551000,NORMAL
8.1,0,36.409333,127.301835,18.48,1666009557000,NORMAL
8.0,0,36.408586,127.302271,18.27,1666009562000,NORMAL
8.0,0,36.407693,127.302818,18.50,1666009568000,NORMAL
8.1,0,36.406966,127.303305,18.12,1666009573000,NORMAL
8.1,0,36.406262,127.303807,18.00,1666009578000,NORMAL
8.1,0,36.405574,127.304338,18.32,1666009583000,NORMAL
8.1,0,36.404736,127.305037,18.75,1666009589000,NORMAL
8.1,0,36.404038,127.305659,19.50,1666009594000,NORMAL
8.0,0,36.403168,127.306451,19.89,1666009600000,NORMAL
8.0,0,36.402316,127.307225,19.66,1666009606000,NORMAL
8.0,0,36.401619,127.307858,18.78,1666009611000,NORMAL
8.0,0,36.400815,127.308583,18.00,1666009617000,NORMAL
8.0,0,36.400151,127.309173,18.39,1666009622000,NORMAL
8.1,0,36.399440,127.309702,18.47,1666009627000,NORMAL
24.3,0,36.398690,127.310148,18.14,1666009632000,NORMAL
24.3,0,36.397883,127.310598,15.24,1666009638000,NORMAL
24.3,0,36.397266,127.310943,14.39,1666009643000,NORMAL
24.3,0,36.396654,127.311292,10.09,1666009649000,NORMAL
24.3,0,36.396361,127.311467,3.06,1666009655000,NORMAL
24.3,0,36.396316,127.311492,0.00,1666009661000,STOP
24.3,0,36.396122,127.311566,6.72,1666009751000,NORMAL
24.3,0,36.395708,127.311860,10.30,1666009757000,NORMAL
24.3,0,36.395130,127.312283,13.67,1666009763000,NORMAL
24.3,0,36.394581,127.312681,14.17,1666009768000,NORMAL
24.3,0,36.393904,127.313174,15.49,1666009774000,NORMAL
24.3,0,36.393178,127.313716,16.03,1666009780000,NORMAL
24.3,0,36.392452,127.314252,15.66,1666009786000,NORMAL
24.3,0,36.391834,127.314692,15.88,1666009791000,NORMAL
24.3,0,36.391210,127.315153,16.23,1666009796000,NORMAL
24.3,0,36.390462,127.315706,16.12,1666009802000,NORMAL
24.3,0,36.389693,127.316275,16.80,1666009808000,NORMAL
24.3,0,36.389035,127.316764,17.21,1666009813000,NORMAL
24.3,0,36.388281,127.317330,15.33,1666009819000,NORMAL
24.3,0,36.387661,127.317780,12.84,1666009825000,NORMAL
24.3,0,36.387026,127.318219,13.28,1666009831000,NORMAL
24.3,0,36.386727,127.318440,3.33,1666009837000,NORMAL
24.3,0,36.386459,127.318666,8.83,1666009843000,NORMAL
24.3,0,36.385916,127.319096,13.70,1666009849000,NORMAL
24.3,0,36.385212,127.319701,16.90,1666009855000,NORMAL
24.3,0,36.384444,127.320366,17.28,1666009861000,NORMAL
24.3,0,36.383817,127.320896,16.64,1666009866000,NORMAL
24.3,0,36.383096,127.321511,14.42,1666009872000,NORMAL
24.3,0,36.382561,127.321864,13.06,1666009877000,NORMAL
24.3,0,36.381925,127.322229,13.02,1666009883000,NORMAL
24.3,0,36.381330,127.322493,14.20,1666009888000,NORMAL
24.3,0,36.380602,127.322879,14.66,1666009894000,NORMAL
24.3,0,36.379854,127.323277,15.43,1666009900000,NORMAL
24.3,0,36.379070,127.323678,15.37,1666009906000,NORMAL
24.3,0,36.378404,127.324028,11.99,1666009912000,NORMAL
24.3,0,36.377880,127.324297,13.32,1666009917000,NORMAL
24.3,0,36.377299,127.324599,14.45,1666009922000,NORMAL
24.3,0,36.376650,127.324941,16.41,1666009927000,NORMAL
24.3,0,36.375823,127.325393,16.57,1666009933000,NORMAL
24.3,0,36.375255,127.325679,11.86,1666009938000,NORMAL
24.3,0,36.374753,127.325929,12.57,1666009943000,NORMAL
24.3,0,36.374121,127.326256,12.18,1666009949000,NORMAL
24.3,0,36.373503,127.326570,13.20,1666009955000,NORMAL
24.3,0,36.372821,127.326769,12.38,1666009961000,NORMAL
24.3,0,36.372277,127.326834,12.24,1666009966000,NORMAL
24.3,0,36.371762,127.326835,10.33,1666009971000,NORMAL
24.3,0,36.371222,127.326834,9.79,1666009977000,NORMAL
24.3,0,36.370814,127.326833,8.15,1666009982000,NORMAL
24.3,0,36.370423,127.326834,9.42,1666009987000,NORMAL
24.3,0,36.369825,127.326847,11.28,1666009993000,NORMAL
24.3,0,36.369375,127.326870,9.06,1666009998000,NORMAL
24.3,0,36.368921,127.326844,9.76,1666010004000,NORMAL
24.3,0,36.368381,127.326856,13.27,1666010009000,NORMAL
24.3,0,36.367655,127.326878,11.08,1666010015000,NORMAL
24.3,0,36.367356,127.326883,2.01,1666010021000,NORMAL
24.3,0,36.367343,127.326909,0.00,1666010027000,STOP
24.3,0,36.367241,127.326893,4.51,1666010151000,NORMAL
24.3,0,36.366847,127.326972,7.80,1666010156000,NORMAL
24.3,0,36.366721,127.327489,9.78,1666010161000,NORMAL
24.3,0,36.366710,127.328172,13.10,1666010166000,NORMAL
24.3,0,36.366710,127.329028,13.23,1666010172000,NORMAL
24.3,0,36.366708,127.329957,14.29,1666010178000,NORMAL
24.3,0,36.366705,127.330756,14.02,1666010183000,NORMAL
24.3,0,36.366569,127.331495,13.59,1666010188000,NORMAL
24.3,0,36.366282,127.332315,13.51,1666010194000,NORMAL
