accuracy,id,lat,lng,speed,time,type
17.2,0,36.499606,127.330520,0.94,1665997632000,START
6.7,0,36.499709,127.330485,1.18,1665997637000,NORMAL
8.2,0,36.499645,127.330306,3.43,1665997642000,NORMAL
8.2,0,36.499435,127.330073,5.96,1665997647000,NORMAL
8.2,0,36.499104,127.329755,8.32,1665997653000,NORMAL
8.0,0,36.498861,127.329449,6.23,1665997659000,NORMAL
8.1,0,36.498556,127.329361,6.40,1665997665000,NORMAL
8.1,0,36.498286,127.329740,8.25,1665997671000,NORMAL
8.1,0,36.497995,127.330149,9.60,1665997676000,NORMAL
8.1,0,36.497759,127.330461,4.92,1665997682000,NORMAL
8.1,0,36.497457,127.330390,6.90,1665997688000,NORMAL
8.1,0,36.497165,127.330095,8.76,1665997693000,NORMAL
8.1,0,36.496719,127.329692,10.69,1665997699000,NORMAL
8.1,0,36.496283,127.329279,9.41,1665997705000,NORMAL
8.1,0,36.495894,127.328912,11.43,1665997710000,NORMAL
8.1,0,36.495371,127.328358,12.70,1665997716000,NORMAL
8.1,0,36.494986,127.327755,11.08,1665997722000,NORMAL
8.1,0,36.494735,127.327145,12.79,1665997727000,NORMAL
8.1,0,36.494496,127.326323,11.98,1665997733000,NORMAL
8.1,0,36.494501,127.325812,4.92,1665997739000,NORMAL
8.1,0,36.494578,127.325462,5.55,1665997745000,NORMAL
8.1,0,36.494365,127.325369,6.46,1665997750000,NORMAL
8.1,0,36.494054,127.325405,7.00,1665997755000,NORMAL
8.1,0,36.493705,127.325370,7.96,1665997760000,NORMAL
8.1,0,36.493325,127.325306,6.66,1665997766000,NORMAL
8.1,0,36.493030,127.325246,4.31,1665997772000,NORMAL
8.1,0,36.492917,127.325211,1.64,1665997778000,NORMAL
8.1,0,36.492752,127.325071,5.70,1665997783000,NORMAL
8.1,0,36.492540,127.325281,4.53,1665997789000,NORMAL
17.0,0,36.492428,127.325645,7.74,1665997795000,NORMAL
8.1,0,36.492388,127.326246,9.43,1665997801000,NORMAL
8.1,0,36.492263,127.326829,11.57,1665997806000,NORMAL
8.1,0,36.492097,127.327551,9.33,1665997812000,NORMAL
8.1,0,36.491910,127.328050,7.79,1665997818000,NORMAL
8.1,0,36.491520,127.327972,10.33,1665997823000,NORMAL
8.1,0,36.490923,127.327657,12.56,1665997829000,NORMAL
11.1,0,36.490419,127.327291,13.15,1665997834000,NORMAL
8.1,0,36.489909,127.326911,13.50,1665997839000,NORMAL
8.1,0,36.489377,127.326506,14.46,1665997844000,NORMAL
8.1,0,36.488609,127.325913,18.03,1665997850000,NORMAL
8.1,0,36.487873,127.325367,19.44,1665997855000,NORMAL
8.1,0,36.487101,127.324796,19.85,1665997860000,NORMAL
8.1,0,36.486348,127.324248,18.95,1665997865000,NORMAL
8.1,0,36.485461,127.323579,19.76,1665997871000,NORMAL
11.3,0,36.484511,127.322913,20.89,1665997877000,NORMAL
8.1,0,36.483648,127.321959,20.74,1665997883000,NORMAL
8.1,0,36.482960,127.320894,19.78,1665997889000,NORMAL
8.1,0,36.482464,127.319696,19.77,1665997895000,NORMAL
8.1,0,36.482134,127.318718,18.96,1665997900000,NORMAL
8.1,0,36.481898,127.317713,18.90,1665997905000,NORMAL
8.1,0,36.481596,127.316526,18.51,1665997911000,NORMAL
8.1,0,36.481356,127.315541,18.48,1665997916000,NORMAL
8.1,0,36.481083,127.314359,18.55,1665997922000,NORMAL
8.1,0,36.480896,127.313414,16.76,1665997927000,NORMAL
8.1,0,36.480747,127.312545,15.35,1665997932000,NORMAL
8.1,0,36.480649,127.311935,8.50,1665997937000,NORMAL
8.1,0,36.480582,127.311540,5.33,1665997943000,NORMAL
8.1,0,36.480543,127.311262,4.96,1665997948000,NORMAL
8.1,0,36.480503,127.310929,5.10,1665997954000,NORMAL
8.1,0,36.480464,127.310586,5.22,1665997960000,NORMAL
8.1,0,36.480425,127.310253,4.87,1665997966000,NORMAL
8.1,0,36.480393,127.309947,5.46,1665997971000,NORMAL
8.1,0,36.480362,127.309642,6.00,1665997976000,NORMAL
8.1,0,36.480330,127.309327,5.50,1665997981000,NORMAL
8.1,0,36.480298,127.309037,3.19,1665997987000,NORMAL
8.1,0,36.480295,127.308991,0.00,1665997993000,STOP
8.1,0,36.480269,127.308835,4.76,1665998071000,NORMAL
8.1,0,36.480221,127.308439,7.68,1665998076000,NORMAL
19.0,0,36.479985,127.308077,8.01,1665998081000,NORMAL
8.1,0,36.479494,127.308535,10.32,1665998087000,NORMAL
8.1,0,36.479059,127.308945,13.20,1665998092000,NORMAL
8.1,0,36.478603,127.309500,14.27,1665998097000,NORMAL
8.1,0,36.478139,127.310259,14.95,1665998103000,NORMAL
8.1,0,36.477810,127.311034,16.24,1665998108000,NORMAL
8.1,0,36.477532,127.312134,17.94,1665998114000,NORMAL
8.1,0,36.477434,127.313125,18.13,1665998119000,NORMAL
8.1,0,36.477430,127.314328,17.75,1665998125000,NORMAL
8.1,0,36.477424,127.315329,17.97,1665998130000,NORMAL
8.1,0,36.477377,127.316389,19.80,1665998135000,NORMAL
8.1,0,36.477278,127.317574,21.97,1665998140000,NORMAL
8.1,0,36.477073,127.319113,23.59,1665998146000,NORMAL
8.1,0,36.476789,127.320576,21.83,1665998152000,NORMAL
8.1,0,36.476460,127.321889,19.99,1665998158000,NORMAL
8.1,0,36.476151,127.322913,19.51,1665998163000,NORMAL
8.1,0,36.475777,127.324225,21.50,1665998169000,NORMAL
8.1,0,36.475482,127.325370,22.13,1665998174000,NORMAL
8.1,0,36.475230,127.326531,21.31,1665998179000,NORMAL
8.1,0,36.474986,127.327947,21.74,1665998185000,NORMAL
8.1,0,36.474804,127.329132,21.84,1665998190000,NORMAL
8.1,0,36.474636,127.330573,21.61,1665998196000,NORMAL
8.1,0,36.474571,127.331791,21.87,1665998201000,NORMAL
8.1,0,36.474442,127.332984,21.46,1665998206000,NORMAL
8.1,0,36.474336,127.334370,20.79,1665998212000,NORMAL
8.1,0,36.474307,127.335481,19.59,1665998217000,NORMAL
8.1,0,36.474152,127.336817,20.47,1665998223000,NORMAL
8.1,0,36.474052,127.338210,21.18,1665998229000,NORMAL
8.1,0,36.473964,127.339430,22.12,1665998234000,NORMAL
8.1,0,36.473873,127.340686,23.05,1665998239000,NORMAL
8.1,0,36.473778,127.342017,24.44,1665998244000,NORMAL
8.1,0,36.473614,127.343684,25.56,1665998250000,NORMAL
8.1,0,36.473423,127.345122,26.51,1665998255000,NORMAL
8.1,0,36.473138,127.346821,25.45,1665998261000,NORMAL
8.1,0,36.472803,127.348445,24.91,1665998267000,NORMAL
8.1,0,36.472413,127.350056,25.49,1665998273000,NORMAL
8.1,0,36.471997,127.351391,25.62,1665998278000,NORMAL
8.1,0,36.471558,127.352708,25.42,1665998283000,NORMAL
8.1,0,36.471000,127.354216,24.52,1665998289000,NORMAL
8.1,0,36.470394,127.355633,23.71,1665998295000,NORMAL
8.1,0,36.469874,127.356769,23.26,1665998300000,NORMAL
8.1,0,36.469363,127.357862,22.15,1665998305000,NORMAL
8.1,0,36.468778,127.359144,21.95,1665998311000,NORMAL
8.1,0,36.468344,127.360231,21.27,1665998316000,NORMAL
8.1,0,36.467994,127.361304,20.25,1665998321000,NORMAL
8.1,0,36.467638,127.362537,19.04,1665998327000,NORMAL
8.1,0,36.467324,127.363530,19.03,1665998332000,NORMAL
8.1,0,36.466930,127.364685,19.03,1665998338000,NORMAL
8.1,0,36.466522,127.365629,19.44,1665998343000,NORMAL
8.1,0,36.465924,127.366733,19.84,1665998349000,NORMAL
8.1,0,36.465347,127.367586,20.01,1665998354000,NORMAL
8.1,0,36.464584,127.368479,19.00,1665998360000,NORMAL
13.0,0,36.463469,127.369374,0.00,1665998367000,STOP
8.2,0,36.455616,127.369810,20.53,1665998415000,NORMAL
8.2,0,36.454714,127.369675,19.37,1665998420000,NORMAL
8.1,0,36.453688,127.369557,19.23,1665998426000,NORMAL
8.1,0,36.452644,127.369492,19.47,1665998432000,NORMAL
8.1,0,36.451591,127.369610,19.52,1665998438000,NORMAL
8.1,0,36.450544,127.369907,19.41,1665998444000,NORMAL
8.1,0,36.449530,127.370332,20.21,1665998450000,NORMAL
14.4,0,36.448562,127.370855,0.00,1665998455000,STOP
8.2,0,36.443828,127.381390,21.61,1665998508000,NORMAL
8.2,0,36.443813,127.382636,22.46,1665998513000,NORMAL
8.1,0,36.443795,127.384185,23.44,1665998519000,NORMAL
8.1,0,36.443786,127.385536,24.47,1665998524000,NORMAL
8.1,0,36.443693,127.387127,23.07,1665998530000,NORMAL
8.1,0,36.443327,127.388547,22.36,1665998536000,NORMAL
8.1,0,36.442749,127.389817,21.58,1665998542000,NORMAL
8.1,0,36.442133,127.390709,20.79,1665998547000,NORMAL
8.1,0,36.441283,127.391613,20.62,1665998553000,NORMAL
8.1,0,36.440547,127.392315,20.58,1665998558000,NORMAL
8.1,0,36.439816,127.393003,20.29,1665998563000,NORMAL
8.1,0,36.438998,127.393917,20.59,1665998569000,NORMAL
8.1,0,36.438356,127.394990,19.70,1665998575000,NORMAL
8.1,0,36.437783,127.396059,18.67,1665998581000,NORMAL
8.1,0,36.437311,127.396894,18.42,1665998586000,NORMAL
8.1,0,36.436740,127.397690,19.67,1665998591000,NORMAL
8.1,0,36.436024,127.398675,19.65,1665998597000,NORMAL
8.1,0,36.435302,127.399670,20.14,1665998603000,NORMAL
8.1,0,36.434588,127.400607,19.15,1665998609000,NORMAL
8.1,0,36.433945,127.401359,19.82,1665998614000,NORMAL
8.1,0,36.433122,127.402213,19.66,1665998620000,NORMAL
8.1,0,36.432324,127.403069,19.70,1665998626000,NORMAL
8.1,0,36.431521,127.404006,20.73,1665998632000,NORMAL
8.1,0,36.430802,127.404794,21.33,1665998637000,NORMAL
8.1,0,36.429942,127.405690,20.68,1665998643000,NORMAL
8.1,0,36.429273,127.406471,20.67,1665998648000,NORMAL
8.1,0,36.428464,127.407476,21.42,1665998654000,NORMAL
8.1,0,36.427820,127.408337,20.66,1665998659000,NORMAL
8.1,0,36.427291,127.409230,19.59,1665998664000,NORMAL
8.1,0,36.426691,127.410269,19.04,1665998670000,NORMAL
8.1,0,36.426177,127.411142,19.36,1665998675000,NORMAL
8.1,0,36.425478,127.412157,20.21,1665998681000,NORMAL
8.1,0,36.424708,127.413101,20.52,1665998687000,NORMAL
8.1,0,36.423855,127.414022,20.93,1665998693000,NORMAL
8.1,0,36.423026,127.414931,19.92,1665998699000,NORMAL
8.1,0,36.422425,127.415652,18.18,1665998704000,NORMAL
8.1,0,36.421721,127.416512,18.47,1665998710000,NORMAL
8.1,0,36.421082,127.417190,18.73,1665998715000,NORMAL
8.1,0,36.420254,127.417950,19.27,1665998721000,NORMAL
8.1,0,36.419374,127.418734,20.85,1665998727000,NORMAL
8.1,0,36.418444,127.419566,21.64,1665998733000,NORMAL
8.1,0,36.417607,127.420248,22.57,1665998738000,NORMAL
8.1,0,36.416489,127.420860,22.20,1665998744000,NORMAL
8.1,0,36.415362,127.421167,20.88,1665998750000,NORMAL
8.1,0,36.414444,127.421210,20.33,1665998755000,NORMAL
8.1,0,36.413537,127.421082,20.34,1665998760000,NORMAL
8.1,0,36.412507,127.420708,19.47,1665998766000,NORMAL
8.1,0,36.411694,127.420263,20.29,1665998771000,NORMAL
8.1,0,36.410688,127.419744,19.04,1665998777000,NORMAL
8.1,0,36.409928,127.419301,12.59,1665998783000,NORMAL
8.1,0,36.409371,127.418970,11.07,1665998789000,NORMAL
8.1,0,36.409060,127.418791,5.73,1665998794000,NORMAL
8.1,0,36.408965,127.418733,0.00,1665998800000,STOP
8.2,0,36.408773,127.418613,5.67,1665998816000,NORMAL
8.2,0,36.408551,127.418485,4.05,1665998822000,NORMAL
8.2,0,36.408347,127.418359,4.78,1665998827000,NORMAL
8.2,0,36.408128,127.418221,4.67,1665998833000,NORMAL
8.1,0,36.407927,127.418096,5.06,1665998838000,NORMAL
8.1,0,36.407609,127.417895,8.27,1665998844000,NORMAL
8.1,0,36.407194,127.417623,8.52,1665998850000,NORMAL
8.1,0,36.406860,127.417413,7.98,1665998855000,NORMAL
8.1,0,36.406484,127.417168,8.47,1665998861000,NORMAL
8.1,0,36.406039,127.416878,9.51,1665998867000,NORMAL
8.1,0,36.405645,127.416624,9.74,1665998872000,NORMAL
8.1,0,36.405295,127.416395,4.45,1665998878000,NORMAL
8.1,0,36.405259,127.416375,0.00,1665998883000,STOP
8.1,0,36.405005,127.416234,6.58,1665998889000,NORMAL
8.1,0,36.404578,127.416049,9.20,1665998895000,NORMAL
8.1,0,36.404051,127.415837,11.06,1665998901000,NORMAL
8.1,0,36.403446,127.415593,12.31,1665998907000,NORMAL
8.1,0,36.402918,127.415385,12.50,1665998912000,NORMAL
8.1,0,36.402366,127.415162,12.91,1665998917000,NORMAL
8.1,0,36.401747,127.414911,11.26,1665998923000,NORMAL
8.1,0,36.401232,127.414706,9.73,1665998929000,NORMAL
8.1,0,36.400773,127.414574,10.98,1665998934000,NORMAL
8.1,0,36.400277,127.414426,11.25,1665998939000,NORMAL
8.1,0,36.399689,127.414237,11.58,1665998945000,NORMAL
24.3,0,36.399118,127.414042,10.15,1665998951000,NORMAL
24.3,0,36.398638,127.413892,9.06,1665998957000,NORMAL
24.3,0,36.398092,127.413742,10.53,1665998963000,NORMAL
24.3,0,36.397549,127.413589,9.85,1665998969000,NORMAL
24.3,0,36.397194,127.413520,6.50,1665998974000,NORMAL
24.3,0,36.396800,127.413484,7.73,1665998980000,NORMAL
24.3,0,36.396428,127.413476,5.90,1665998986000,NORMAL
24.3,0,36.396117,127.413448,7.76,1665998991000,NORMAL
24.3,0,36.395631,127.413454,9.81,1665998997000,NORMAL
24.3,0,36.395129,127.413388,9.07,1665999003000,NORMAL
24.3,0,36.394679,127.413332,8.11,1665999009000,NORMAL
