accuracy,id,lat,lng,speed,time,type
12.829,9114,36.3007541,127.3223845,0.5363651,1666060215000,START
11.967,9115,36.300756,127.3223646,0.8933612,1666060217000,NORMAL
11.219,9116,36.3007506,127.3223583,0.47821414,1666060219000,NORMAL
6.92,9117,36.3007525,127.3223656,0.1512394,1666060222705,NORMAL
6.438,9118,36.300747,127.3223583,0.35214448,1666060223000,NORMAL
6.081,9119,36.300746,127.3223569,0.14041817,1666060225000,NORMAL
9.142,9120,36.3007457,127.3223571,0.030513091,1666060227000,NORMAL
9.161,9121,36.3007456,127.3223562,0.031969618,1666060229000,NORMAL
6.283,9122,36.3007456,127.3223563,0.0031106654,1666060232803,NORMAL
6.317,9123,36.3007409,127.3223479,0.4056609,1666060233000,NORMAL
6.188,9124,36.3007398,127.3223466,0.15806422,1666060235000,NORMAL
9.049,9125,36.3007369,127.3223429,0.23513666,1666060237000,NORMAL
8.945,9126,36.3007346,127.3223374,0.2685318,1666060239000,NORMAL
8.932,9127,36.3007329,127.3223364,0.12955627,1666060241000,NORMAL
5.713,9128,36.3007326,127.3223362,0.100386836,1666060242819,NORMAL
5.713,9129,36.3007308,127.3223327,0.19826843,1666060243000,NORMAL
5.702,9130,36.3007318,127.3223348,0.03887126,1666060245000,NORMAL
4.889,9131,36.3007324,127.3223356,0.046088107,1666060247000,NORMAL
4.889,9132,36.3007325,127.3223358,0.019215897,1666060249000,NORMAL
3.9,9133,36.3007313,127.322335,0.060066417,1666060251000,NORMAL
6.059,9134,36.3007297,127.3223349,0.083985485,1666060253000,NORMAL
6.059,9135,36.3007298,127.3223357,0.031582657,1666060255000,NORMAL
9.261,9136,36.3007292,127.3223355,0.033438817,1666060257000,NORMAL
9.261,9137,36.30073,127.3223364,0.03845642,1666060259000,NORMAL
6.144,9138,36.3007307,127.3223386,0.063521035,1666060262956,NORMAL
7.653,9139,36.3007305,127.3223382,0.0062288605,1666060263000,NORMAL
9.161,9140,36.3007295,127.3223377,0.03933238,1666060265000,NORMAL
15.477,9141,36.3007288,127.3223379,0.039594904,1666060267000,NORMAL
15.477,9142,36.3007287,127.3223381,0.017712845,1666060269000,NORMAL
15.477,9143,36.3007286,127.3223379,0.010580698,1666060271000,NORMAL
9.935,9144,36.3007291,127.322339,0.034800656,1666060273000,NORMAL
9.935,9145,36.3007293,127.3223388,0.012212094,1666060275000,NORMAL
11.348,9146,36.3007293,127.3223387,0.004070918,1666060277000,NORMAL
11.348,9147,36.3007294,127.322338,0.023571441,1666060279000,NORMAL
9.935,9148,36.3007293,127.3223391,0.029521765,1666060281000,NORMAL
12.441,9149,36.300729,127.3223388,0.017882306,1666060283000,NORMAL
12.441,9150,36.3007289,127.3223387,0.01028463,1666060285000,NORMAL
15.731,9151,36.3007285,127.3223385,0.021461882,1666060287000,NORMAL
15.731,9152,36.3007285,127.322338,0.017778594,1666060289000,NORMAL
12.623,9154,36.3007287,127.322339,0.02845149,1666060293000,NORMAL
12.623,9153,36.3007288,127.3223383,0.00797077,1666060293089,NORMAL
12.623,9155,36.3007285,127.3223392,0.016293395,1666060295000,NORMAL
15.944,9156,36.3007285,127.3223385,0.02056929,1666060297000,NORMAL
15.944,9157,36.3007285,127.3223384,0.009511244,1666060299000,NORMAL
15.944,9158,36.3007287,127.3223386,0.008033789,1666060301000,NORMAL
12.714,9160,36.3007227,127.3222838,5.9417667,1666060303000,NORMAL
12.714,9159,36.3007287,127.3223386,0.0075688157,1666060303118,NORMAL
12.714,9161,36.3007036,127.3221759,5.3273644,1666060305000,NORMAL
9.935,9162,36.3006545,127.3221009,5.019703,1666060307000,OVER_ACCEL
10.007,9163,36.3005678,127.3220665,4.9748893,1666060309000,OVER_ACCEL
10.012,9164,36.3004605,127.3221132,5.6520023,1666060311000,OVER_ACCEL
10.118,9165,36.3003504,127.3221792,5.3416924,1666060313000,NORMAL
10.069,9166,36.3002957,127.3222141,0.82807875,1666060315000,NORMAL
10.048,9167,36.3002756,127.3222217,1.2253389,1666060317000,NORMAL
10.047,9168,36.3002514,127.3222337,0.64526635,1666060319000,NORMAL
11.313,9169,36.3002512,127.3222361,0.28795573,1666060322646,NORMAL
11.352,9170,36.3002541,127.3222368,0.23895112,1666060323000,NORMAL
11.458,9171,36.3002566,127.3222389,0.14652218,1666060325000,NORMAL
15.174,9173,36.3002599,127.3222402,0.07198457,1666060327000,NORMAL
16.596,9172,36.3002561,127.32224,0.12815513,1666060327673,NORMAL
15.33,9174,36.3002622,127.3222403,0.061703842,1666060329000,NORMAL
15.305,9175,36.3002632,127.3222401,0.052428104,1666060331000,NORMAL
12.123,9176,36.3002634,127.32224,0.050524954,1666060332699,NORMAL
12.004,9177,36.300263,127.3222396,0.02484701,1666060333000,NORMAL
11.957,9178,36.3002617,127.322239,0.013044903,1666060335000,NORMAL
15.25,9179,36.3002604,127.3222385,0.037099395,1666060337000,NORMAL
15.29,9180,36.3002593,127.3222389,0.044768855,1666060339000,NORMAL
15.332,9181,36.3002589,127.3222392,0.03780599,1666060341000,NORMAL
12.264,9182,36.3002586,127.3222394,0.028907267,1666060343000,NORMAL
12.258,9183,36.3002584,127.3222393,0.023875305,1666060345000,NORMAL
15.437,9184,36.3002581,127.3222394,0.021346025,1666060347000,NORMAL
15.262,9185,36.3002579,127.3222393,0.015709298,1666060349000,NORMAL
11.822,9186,36.3002579,127.3222391,0.009490446,1666060352822,NORMAL
11.777,9187,36.300258,127.3222394,0.009933948,1666060353000,NORMAL
11.753,9188,36.3002581,127.3222398,0.014584606,1666060355000,NORMAL
15.097,9189,36.3002024,127.3222555,4.1292057,1666060357000,NORMAL
13.376,9190,36.30013,127.3222804,5.659578,1666060359000,NORMAL
13.438,9191,36.2999802,127.3223503,7.2754564,1666060361000,NORMAL
10.144,9192,36.2998199,127.3224261,7.9597964,1666060363000,NORMAL
10.459,9193,36.2997066,127.3224814,6.497607,1666060365000,NORMAL
10.435,9194,36.299598,127.3225603,6.3324795,1666060367000,NORMAL
10.294,9195,36.299485,127.3226666,9.043295,1666060369000,NORMAL
10.193,9196,36.2993208,127.3228308,12.883883,1666060371000,NORMAL
10.164,9197,36.29912,127.323031,13.749416,1666060373000,NORMAL
10.185,9198,36.2989302,127.3232109,11.185368,1666060375000,NORMAL
10.204,9199,36.298782,127.3233399,9.081681,1666060377000,NORMAL
10.367,9200,36.298707,127.3234006,3.0676775,1666060379000,NORMAL
10.422,9201,36.2986985,127.3233896,1.0810417,1666060381000,NORMAL
10.495,9202,36.298673,127.3233746,3.5448227,1666060383000,NORMAL
10.442,9203,36.2986121,127.3233358,5.0090895,1666060385000,NORMAL
10.712,9204,36.2985372,127.3232466,5.3627386,1666060387000,NORMAL
11.058,9205,36.2983225,127.3230493,17.634613,1666060389000,NORMAL
11.229,9206,36.2980501,127.3227972,16.084076,1666060391000,NORMAL
11.093,9207,36.2977901,127.3225521,17.643269,1666060393000,NORMAL
10.907,9208,36.297499,127.3222948,19.71764,1666060395000,NORMAL
10.725,9209,36.2971943,127.3220457,19.407387,1666060397000,NORMAL
10.612,9210,36.2968695,127.3218337,20.514706,1666060399000,NORMAL
10.739,9211,36.2965148,127.3216718,20.59245,1666060401000,NORMAL
11.126,9212,36.29616,127.321566,19.835867,1666060403000,NORMAL
11.031,9213,36.295869,127.3214704,14.543538,1666060405000,NORMAL
10.715,9214,36.295638,127.3213675,13.338497,1666060407000,NORMAL
10.481,9215,36.2954582,127.3213126,10.869934,1666060409000,NORMAL
11.017,9216,36.295326,127.3212809,8.710403,1666060411000,NORMAL
11.207,9217,36.2954018,127.3213109,2.9779017,1666060413000,NORMAL
10.964,9218,36.2954843,127.3213345,0.22376142,1666060415000,NORMAL
10.355,9219,36.2954993,127.3213374,0.1465535,1666060417000,NORMAL
10.158,9220,36.2955078,127.3213351,0.3755107,1666060419000,OVER_STOP
11.354,9221,36.2955107,127.3213302,0.29327565,1666060421000,NORMAL
11.278,9222,36.2955137,127.3213307,0.2276647,1666060423000,NORMAL
14.494,9223,36.2955155,127.3213327,0.16669637,1666060425000,NORMAL
14.494,9224,36.2955161,127.3213328,0.11705161,1666060427000,NORMAL
11.268,9225,36.2955151,127.3213318,0.052570548,1666060430677,NORMAL
11.268,9226,36.2955144,127.3213316,0.02409836,1666060431000,NORMAL
11.29,9227,36.2955138,127.3213315,0.01267277,1666060433000,NORMAL
14.674,9229,36.2955137,127.3213317,0.0070698946,1666060435000,NORMAL
16.254,9228,36.2955138,127.3213314,0.012028583,1666060435711,NORMAL
