accuracy,id,lat,lng,speed,time,type
8.227,564218,36.4778304,127.3110274,15.108815,1666019194000,START
8.0,564219,36.4777698,127.3111791,15.76616,1666019195000,NORMAL
8.0,564220,36.4776663,127.3115338,15.920194,1666019197000,NORMAL
8.0,564221,36.4776244,127.3117124,15.830372,1666019198000,NORMAL
8.0,564222,36.4775534,127.3120559,15.979438,1666019200000,NORMAL
8.0,564223,36.4775197,127.3122318,16.083878,1666019201000,NORMAL
8.0,564224,36.4774539,127.3125962,16.310934,1666019203000,NORMAL
8.0,564225,36.4774241,127.3127833,16.568968,1666019204000,NORMAL
7.2,564226,36.477387,127.3131752,16.920607,1666019206000,NORMAL
6.8,564227,36.4773784,127.3133704,16.883919,1666019207000,NORMAL
6.0,564228,36.4773625,127.3137657,17.142138,1666019209000,NORMAL
6.0,564229,36.4773587,127.3139593,17.424309,1666019210000,NORMAL
6.0,564230,36.4773528,127.3143753,17.974892,1666019212000,NORMAL
6.0,564231,36.4773508,127.3145953,18.464542,1666019213000,NORMAL
6.8,564232,36.4773391,127.3150374,19.079842,1666019215000,NORMAL
6.666,564233,36.4773323,127.3152591,18.53441,1666019216000,NORMAL
6.666,564234,36.4773024,127.3156773,17.776173,1666019218000,NORMAL
6.666,564235,36.4772763,127.3158706,17.620455,1666019219000,NORMAL
6.0,564236,36.4772254,127.3162482,17.467314,1666019221000,NORMAL
6.0,564237,36.477196,127.3164346,17.275406,1666019222000,NORMAL
6.4,564238,36.4771072,127.316809,17.854633,1666019224000,NORMAL
6.666,564239,36.47706,127.3170007,18.112867,1666019225000,NORMAL
9.2,564240,36.4769689,127.3174001,18.374521,1666019227000,NORMAL
10.4,564241,36.47692,127.3176027,18.519258,1666019228000,NORMAL
10.0,564242,36.4767906,127.3180692,17.042532,1666019230000,NORMAL
10.285,564243,36.4767428,127.3182469,17.83975,1666019231000,NORMAL
10.285,564244,36.4766477,127.3186551,18.888987,1666019233000,NORMAL
10.666,564245,36.476592,127.3188676,18.980421,1666019234000,NORMAL
13.333,564246,36.4764757,127.3192785,18.97493,1666019236000,NORMAL
14.0,564247,36.4764039,127.3194735,19.159285,1666019237000,NORMAL
15.333,564248,36.4762719,127.3199244,20.290848,1666019239000,NORMAL
16.0,564249,36.4762335,127.3201859,21.15761,1666019240000,NORMAL
16.0,564250,36.4762325,127.3207361,21.741476,1666019242000,NORMAL
16.0,564251,36.4762162,127.3210171,21.826843,1666019243000,NORMAL
16.0,564252,36.4761742,127.3215725,21.97103,1666019245000,NORMAL
15.2,564253,36.4761392,127.3218525,22.036934,1666019246000,NORMAL
13.6,564254,36.4760455,127.3223569,21.764229,1666019248000,NORMAL
12.8,564255,36.4759905,127.3226052,21.751005,1666019249000,NORMAL
12.0,564256,36.4758823,127.3231229,20.293037,1666019251000,NORMAL
12.0,564257,36.4758294,127.3233334,20.964445,1666019252000,NORMAL
11.333,564258,36.4758044,127.3238203,21.533428,1666019254000,NORMAL
10.4,564259,36.4757764,127.3240682,21.947666,1666019255000,NORMAL
8.8,564260,36.4756443,127.3245614,22.87673,1666019257000,NORMAL
8.0,564261,36.475578,127.3248034,22.975782,1666019258000,NORMAL
8.0,564262,36.4754623,127.3252828,22.656792,1666019260000,NORMAL
8.0,564263,36.475414,127.3255182,22.497875,1666019261000,NORMAL
8.0,564264,36.4753236,127.3259913,22.139334,1666019263000,NORMAL
8.0,564265,36.4752823,127.3262317,21.961704,1666019264000,NORMAL
7.333,564266,36.4751986,127.3267048,21.939964,1666019266000,NORMAL
6.8,564267,36.4751575,127.3269464,21.912415,1666019267000,NORMAL
6.333,564268,36.4750853,127.3274281,22.047031,1666019269000,NORMAL
6.0,564269,36.4750474,127.3277207,21.212822,1666019270000,NORMAL
6.0,564270,36.4749759,127.3281573,21.465218,1666019272000,NORMAL
6.0,564271,36.4749374,127.3283917,21.571207,1666019273000,NORMAL
6.0,564272,36.4748584,127.3288811,22.038036,1666019275000,NORMAL
6.0,564273,36.4748265,127.3291271,21.62225,1666019276000,NORMAL
5.2,564274,36.4747633,127.3295983,21.235912,1666019278000,NORMAL
5.2,564275,36.4747349,127.3298233,21.091698,1666019279000,NORMAL
5.333,564276,36.4746738,127.3302832,21.163136,1666019281000,NORMAL
5.333,564277,36.4746438,127.3305158,21.036339,1666019282000,NORMAL
8.0,564278,36.4745902,127.330977,21.16589,1666019284000,NORMAL
8.0,564279,36.4745689,127.3312112,21.362396,1666019285000,NORMAL
8.0,564280,36.4745351,127.331684,21.170696,1666019287000,NORMAL
8.0,564281,36.4745182,127.3319174,21.049599,1666019288000,NORMAL
6.0,564282,36.4744915,127.3324388,21.493238,1666019290000,NORMAL
6.0,564283,36.4744776,127.3326432,21.345198,1666019291000,NORMAL
6.0,564284,36.47445,127.3331003,21.29578,1666019293000,NORMAL
6.0,564285,36.4744393,127.3333324,21.01421,1666019294000,NORMAL
6.0,564286,36.4744118,127.3337951,20.898552,1666019296000,NORMAL
5.666,564287,36.4744001,127.3340267,21.054785,1666019297000,NORMAL
5.2,564288,36.4743767,127.3345042,21.276272,1666019299000,NORMAL
5.2,564289,36.4743637,127.3347432,21.41047,1666019300000,NORMAL
5.333,564290,36.4743355,127.3352176,21.335814,1666019302000,NORMAL
5.6,564291,36.4743211,127.3354606,21.573444,1666019303000,NORMAL
4.8,564292,36.4742888,127.3359432,21.923273,1666019305000,NORMAL
4.666,564293,36.4742718,127.3361861,21.654882,1666019306000,NORMAL
4.0,564294,36.4742323,127.3366778,22.009787,1666019308000,NORMAL
4.0,564295,36.4742149,127.3369221,21.817715,1666019309000,NORMAL
4.0,564296,36.4741805,127.3374396,20.725168,1666019311000,NORMAL
4.0,564297,36.4741643,127.3376564,21.105194,1666019312000,NORMAL
4.0,564298,36.4741264,127.3381462,21.85402,1666019314000,NORMAL
4.0,564299,36.474106,127.3383965,22.283169,1666019315000,NORMAL
4.8,564300,36.4740665,127.3389049,22.62998,1666019317000,NORMAL
5.0,564301,36.4740521,127.3391542,22.71853,1666019318000,NORMAL
5.666,564302,36.4740213,127.3396639,22.795462,1666019320000,NORMAL
6.0,564303,36.4740003,127.3399197,22.811968,1666019321000,NORMAL
6.0,564304,36.4739522,127.3404298,22.794003,1666019323000,NORMAL
5.666,564305,36.4739287,127.3406768,22.81606,1666019324000,NORMAL
5.0,564306,36.4738886,127.34118,22.652397,1666019326000,NORMAL
4.4,564307,36.4738724,127.3414294,22.40129,1666019327000,NORMAL
4.333,564308,36.4738421,127.3419176,22.068546,1666019329000,NORMAL
5.0,564309,36.4738219,127.3422488,21.190748,1666019330000,NORMAL
5.666,564310,36.4737922,127.3426712,21.218348,1666019332000,NORMAL
5.428,564311,36.4737758,127.3428968,21.492283,1666019333000,NORMAL
5.0,564312,36.4737394,127.3433736,21.746538,1666019335000,NORMAL
4.666,564313,36.4737142,127.3436228,21.748108,1666019336000,NORMAL
4.0,564314,36.4736612,127.3441055,22.032602,1666019338000,NORMAL
4.0,564315,36.4736308,127.3443509,22.162031,1666019339000,NORMAL
4.4,564316,36.4735673,127.3448495,22.28784,1666019341000,NORMAL
4.8,564317,36.4735342,127.345091,22.651001,1666019342000,NORMAL
5.666,564318,36.4734608,127.3455816,22.608948,1666019344000,NORMAL
6.8,564319,36.4734238,127.3458281,22.739994,1666019345000,NORMAL
7.333,564320,36.4733401,127.3463271,23.04351,1666019347000,NORMAL
8.0,564321,36.4732965,127.346576,22.789516,1666019348000,NORMAL
8.0,564322,36.4732071,127.3471026,21.422419,1666019350000,NORMAL
8.0,564323,36.4731691,127.347306,21.670252,1666019351000,NORMAL
7.333,564324,36.4730762,127.3477707,22.069641,1666019353000,NORMAL
7.333,564325,36.473028,127.3480086,22.030056,1666019354000,NORMAL
7.333,564326,36.4729265,127.3484914,22.029606,1666019356000,NORMAL
7.333,564327,36.472874,127.3487362,22.143463,1666019357000,NORMAL
8.0,564328,36.4727581,127.3492384,22.867945,1666019359000,NORMAL
8.0,564329,36.4726971,127.3494898,22.833607,1666019360000,NORMAL
7.2,564330,36.4725791,127.3499763,22.447298,1666019362000,NORMAL
6.8,564331,36.4725177,127.3502148,22.306051,1666019363000,NORMAL
6.333,564332,36.4723849,127.3506883,22.32589,1666019365000,NORMAL
6.0,564333,36.4723129,127.3509224,22.140808,1666019366000,NORMAL
6.0,564334,36.4721743,127.3513801,22.135489,1666019368000,NORMAL
5.666,564335,36.4721037,127.3516094,22.184145,1666019369000,NORMAL
5.428,564336,36.4719641,127.3520722,20.649477,1666019371000,NORMAL
5.428,564337,36.471895,127.3522861,21.179993,1666019372000,NORMAL
6.8,564338,36.4717565,127.3527276,20.97891,1666019374000,NORMAL
7.0,564339,36.4716906,127.3529294,21.335443,1666019375000,NORMAL
7.666,564340,36.4715325,127.3533607,21.504324,1666019377000,NORMAL
8.0,564341,36.4714457,127.3535749,21.523632,1666019378000,NORMAL
8.0,564342,36.4712732,127.354009,21.624395,1666019380000,NORMAL
7.6,564343,36.4711818,127.3542255,21.500332,1666019381000,NORMAL
7.666,564344,36.4709961,127.354649,21.46643,1666019383000,NORMAL
7.6,564345,36.4709026,127.3548589,21.369022,1666019384000,NORMAL
7.2,564346,36.4707147,127.3552824,20.753254,1666019385999,NORMAL
7.0,564347,36.4706292,127.355481,21.42214,1666019386999,NORMAL
6.333,564348,36.4704451,127.3559013,21.288376,1666019388999,NORMAL
6.0,564349,36.470345,127.3561332,18.5541,1666019389999,NORMAL
6.0,564350,36.470169,127.3565223,19.846039,1666019391999,NORMAL
6.285,564351,36.4700774,127.356719,20.375973,1666019392999,NORMAL
7.0,564352,36.4698843,127.3571245,21.228409,1666019394999,NORMAL
7.333,564353,36.4697866,127.3573328,21.007408,1666019395999,NORMAL
7.666,564354,36.4696015,127.3577214,20.65229,1666019397999,NORMAL
7.333,564355,36.4695081,127.35792,20.599205,1666019398999,NORMAL
6.4,564356,36.4693258,127.3583304,20.39365,1666019400999,NORMAL
6.0,564357,36.4692398,127.3585269,20.802774,1666019401999,NORMAL
6.0,564358,36.4690609,127.3589412,20.89934,1666019403999,NORMAL
6.0,564359,36.4689716,127.3591471,21.12534,1666019404999,NORMAL
6.0,564360,36.4687894,127.3595599,21.064325,1666019406999,NORMAL
6.0,564361,36.4687044,127.3597696,21.14163,1666019407999,NORMAL
6.0,564362,36.468528,127.3602082,18.99367,1666019409999,NORMAL
6.0,564363,36.4684574,127.3604008,19.643702,1666019410999,NORMAL
6.0,564364,36.4683034,127.360826,21.172745,1666019412999,NORMAL
6.0,564365,36.4682255,127.3610491,21.539581,1666019413999,NORMAL
