accuracy,id,lat,lng,speed,time,type
8.0,1183975,36.4766819,127.2958013,7.685454,1666183946999,START
8.0,1183976,36.4765905,127.2956563,7.637623,1666183948999,NORMAL
8.0,1183979,36.4763545,127.2953158,10.281506,1666183953000,NORMAL
9.5,1183980,36.4762195,127.2951171,11.539896,1666183955000,NORMAL
10.285,1183983,36.4758725,127.2946091,15.207736,1666183959000,NORMAL
9.5,1183984,36.475702,127.2943011,16.2017,1666183961000,NORMAL
8.888,1183985,36.4756213,127.2941396,16.572588,1666183962000,NORMAL
8.0,1183987,36.4754034,127.2936192,17.256203,1666183965000,NORMAL
8.0,1183988,36.4752916,127.2932436,15.824995,1666183967000,NORMAL
8.0,1183989,36.4752307,127.2930275,15.745037,1666183968000,NORMAL
8.0,1183991,36.4750568,127.2925421,17.888145,1666183971000,NORMAL
8.0,1183992,36.4749456,127.29214,18.605131,1666183973000,NORMAL
8.0,1183994,36.4748221,127.2914813,20.64291,1666183976000,NORMAL
8.0,1183995,36.4747971,127.2912497,20.434597,1666183977000,NORMAL
8.0,1183996,36.4747545,127.2907894,20.64582,1666183979000,NORMAL
10.0,1183999,36.4746488,127.2897544,23.29761,1666183983000,NORMAL
11.0,1184000,36.4745552,127.2891992,24.587875,1666183985000,NORMAL
9.6,1184003,36.4742978,127.2881435,24.297821,1666183989000,NORMAL
9.0,1184004,36.4741134,127.2876376,24.132944,1666183991000,NORMAL
8.0,1184007,36.4736366,127.2868493,20.909618,1666183995000,NORMAL
8.0,1184008,36.473403,127.2865012,20.43164,1666183997000,NORMAL
8.0,1184011,36.4728651,127.2859607,18.721762,1666184001000,NORMAL
8.0,1184012,36.4726122,127.2857021,17.657352,1666184003000,NORMAL
8.0,1184015,36.472103,127.2852579,16.295038,1666184007000,NORMAL
8.0,1184016,36.4718423,127.2850241,17.218088,1666184009000,NORMAL
8.0,1184019,36.4713411,127.2844606,18.369198,1666184013000,NORMAL
8.0,1184020,36.4711261,127.2841444,18.50925,1666184015000,NORMAL
8.0,1184023,36.4707413,127.2835504,16.835602,1666184019000,NORMAL
8.0,1184024,36.4705683,127.2832326,17.401863,1666184021000,NORMAL
8.0,1184025,36.4705078,127.2831155,17.346571,1666184022000,NORMAL
8.0,1184026,36.4703356,127.2827571,17.222145,1666184024000,NORMAL
8.983,1184028,36.4702067,127.2825122,16.237446,1666184025420,NORMAL
15.922,1184029,36.4690746,127.2794692,16.187466,1666184042000,NORMAL
10.933,1184032,36.468851,127.2787902,15.744699,1666184046000,NORMAL
8.571,1184033,36.4687537,127.2784524,15.795246,1666184048000,NORMAL
9.142,1184034,36.4687019,127.2782839,15.418886,1666184049000,NORMAL
9.0,1184036,36.4685355,127.2778223,14.916624,1666184052000,NORMAL
8.0,1184037,36.4684354,127.2775092,14.799608,1666184054000,NORMAL
8.0,1184039,36.4683139,127.2770653,14.653841,1666184057000,NORMAL
8.228,1184042,36.4680995,127.2764335,13.371392,1666184061000,NORMAL
8.0,1184043,36.4680219,127.2761862,11.845203,1666184063000,NORMAL
8.0,1184046,36.4678998,127.2758219,5.5338016,1666184067000,NORMAL
8.0,1184048,36.467885,127.2757619,0.014707468,1666184070000,NORMAL
7.428,1184049,36.4678663,127.2757162,0.0067223543,1666184072000,NORMAL
6.5,1184052,36.4678629,127.2757084,0.0,1666184076000,NORMAL
6.285,1184053,36.4678629,127.2757084,0.0,1666184078000,NORMAL
6.0,1184056,36.4678629,127.2757084,0.0,1666184082000,NORMAL
6.0,1184057,36.4678486,127.2756839,1.6951183,1666184084000,NORMAL
6.121,1184060,36.4677514,127.2754557,5.511783,1666184087878,NORMAL
6.146,1184061,36.4676926,127.2753143,6.6189275,1666184090000,NORMAL
5.714,1184064,36.4674608,127.275012,9.450711,1666184094000,NORMAL
4.857,1184065,36.4672867,127.2749513,9.804354,1666184096000,NORMAL
4.0,1184068,36.4668516,127.2750225,13.375021,1666184100000,NORMAL
4.0,1184069,36.4665968,127.2750453,14.032942,1666184102000,NORMAL
4.0,1184072,36.4660799,127.2750877,14.93886,1666184106000,NORMAL
4.0,1184073,36.4657965,127.275119,16.140537,1666184108000,NORMAL
4.191,1184076,36.4651777,127.2752095,17.28585,1666184112000,NORMAL
4.0,1184077,36.4648559,127.2752806,18.375357,1666184114000,NORMAL
4.0,1184080,36.4641675,127.2754792,20.501923,1666184118000,NORMAL
4.0,1184081,36.4638024,127.2756151,20.923508,1666184120000,NORMAL
4.0,1184084,36.4630996,127.2760161,21.717728,1666184124000,NORMAL
4.0,1184085,36.4627647,127.276255,21.410837,1666184126000,NORMAL
5.225,1184088,36.462145,127.2767937,21.175554,1666184130000,NORMAL
4.975,1184089,36.4618507,127.2770876,20.726542,1666184132000,NORMAL
4.0,1184092,36.4612864,127.2776723,20.614756,1666184136000,NORMAL
4.0,1184093,36.4609985,127.2779714,20.833292,1666184138000,NORMAL
4.0,1184096,36.4603922,127.278595,21.857113,1666184142000,NORMAL
4.0,1184097,36.4601016,127.2788965,20.910236,1666184144000,NORMAL
4.0,1184100,36.4595306,127.2794806,20.821167,1666184148000,NORMAL
3.842,1184101,36.4592344,127.2797826,21.09801,1666184150000,NORMAL
3.6,1184102,36.459082,127.2799369,12.2209425,1666184151000,NORMAL
3.522,1184103,36.4587919,127.2802342,20.602898,1666184153000,NORMAL
3.385,1184106,36.4581894,127.2808605,21.98229,1666184157000,NORMAL
3.35,1184107,36.4578682,127.2811736,22.598534,1666184159000,OVER_ACCEL
4.0,1184110,36.4572191,127.2817796,22.560673,1666184163000,OVER_ACCEL
4.0,1184111,36.4568899,127.2820792,22.715487,1666184165000,NORMAL
5.0,1184114,36.4562077,127.2826502,23.010906,1666184169000,NORMAL
5.75,1184115,36.4558588,127.2829103,22.808409,1666184171000,NORMAL
6.0,1184118,36.4551693,127.2833858,20.770908,1666184175000,NORMAL
6.0,1184119,36.4548218,127.283616,21.553804,1666184177000,NORMAL
4.571,1184122,36.4541206,127.284023,21.27712,1666184181000,NORMAL
4.0,1184123,36.453778,127.2842074,20.879791,1666184183000,NORMAL
4.0,1184126,36.453077,127.2845513,21.163454,1666184187000,NORMAL
4.0,1184127,36.4527325,127.2846965,20.608208,1666184189000,NORMAL
5.131,1184130,36.4519832,127.2849796,22.3106,1666184193000,NORMAL
5.131,1184131,36.4515899,127.2851094,22.763428,1666184195000,NORMAL
4.0,1184134,36.4507838,127.2853399,22.724365,1666184199000,NORMAL
4.0,1184135,36.4503779,127.2854461,22.838057,1666184201000,NORMAL
4.0,1184138,36.4495725,127.2856115,22.630413,1666184205000,NORMAL
4.0,1184139,36.4491581,127.2856574,23.842537,1666184207000,NORMAL
5.302,1184142,36.448294,127.2857293,24.734137,1666184211000,NORMAL
5.302,1184143,36.4478417,127.2857453,23.793825,1666184213000,NORMAL
4.0,1184146,36.4469709,127.2857504,24.830776,1666184217000,NORMAL
3.862,1184147,36.4465195,127.2857558,25.022058,1666184219000,NORMAL
3.385,1184150,36.4456086,127.2857723,25.349054,1666184223000,NORMAL
3.385,1184151,36.445152,127.2857803,25.339315,1666184225000,NORMAL
3.337,1184154,36.4442286,127.285793,25.544548,1666184229000,NORMAL
3.542,1184155,36.4437647,127.2857942,25.722929,1666184231000,NORMAL
4.0,1184158,36.4428347,127.285809,26.122673,1666184235000,NORMAL
4.0,1184159,36.4423433,127.2858148,26.0219,1666184237000,NORMAL
4.0,1184162,36.4414106,127.2858325,25.681963,1666184241000,NORMAL
4.0,1184163,36.4409554,127.2858378,24.93992,1666184243000,NORMAL
4.0,1184166,36.4400496,127.2858451,24.703056,1666184247000,NORMAL
4.0,1184167,36.4396018,127.2858499,24.99553,1666184249000,NORMAL
4.588,1184170,36.4387035,127.2858685,25.229664,1666184253000,NORMAL
4.662,1184171,36.43824,127.285876,25.179728,1666184255000,NORMAL
4.0,1184174,36.4373488,127.285887,24.173277,1666184259000,NORMAL
4.0,1184175,36.4369167,127.2859022,23.827827,1666184261000,NORMAL
4.0,1184178,36.436043,127.2859427,24.47752,1666184265000,NORMAL
4.0,1184179,36.4356034,127.2859464,23.873095,1666184267000,NORMAL
4.0,1184182,36.4347829,127.2859589,22.530706,1666184271000,NORMAL
4.0,1184183,36.4343707,127.2859802,23.30599,1666184273000,NORMAL
6.5,1184186,36.433554,127.2860647,22.502636,1666184277000,NORMAL
8.0,1184187,36.4331573,127.2861341,22.529024,1666184279000,NORMAL
8.5,1184190,36.4323558,127.2863359,22.901945,1666184283000,NORMAL
8.571,1184191,36.4319557,127.2864737,22.752867,1666184285000,NORMAL
6.571,1184194,36.4311807,127.2868244,23.287584,1666184289000,NORMAL
6.0,1184195,36.4307901,127.2870404,23.71271,1666184291000,NORMAL
6.258,1184198,36.430016,127.287538,24.288223,1666184295000,NORMAL
6.0,1184199,36.4296474,127.2878233,24.170837,1666184297000,NORMAL
6.0,1184202,36.4289316,127.2884255,23.734175,1666184301000,NORMAL
6.0,1184203,36.4285958,127.288763,24.016523,1666184303000,NORMAL
6.0,1184206,36.4279571,127.2895073,24.33364,1666184307000,NORMAL
7.5,1184207,36.4276472,127.2899015,24.61129,1666184309000,NORMAL
9.902,1184210,36.4270831,127.2906496,22.469584,1666184313000,NORMAL
8.902,1184211,36.4268205,127.2910169,21.996447,1666184315000,NORMAL
6.571,1184214,36.4262855,127.2917661,22.49183,1666184319000,NORMAL
6.0,1184215,36.4260223,127.2921562,22.7627,1666184321000,NORMAL
6.0,1184218,36.42545,127.2929087,23.237938,1666184325000,NORMAL
6.0,1184219,36.4251492,127.2932736,23.405697,1666184327000,NORMAL
6.0,1184222,36.4245663,127.2940402,23.586327,1666184331000,NORMAL
7.473,1184223,36.42428,127.2944198,23.86835,1666184333000,NORMAL
6.75,1184226,36.4236878,127.2952117,24.059366,1666184337000,NORMAL
6.5,1184227,36.423394,127.2956038,23.834301,1666184339000,NORMAL
8.0,1184230,36.4228044,127.2963791,23.652649,1666184343000,NORMAL
7.75,1184231,36.4224977,127.2967384,23.353699,1666184345000,NORMAL
6.571,1184234,36.4218628,127.2973743,22.712723,1666184349000,NORMAL
6.857,1184235,36.4215241,127.297659,22.55532,1666184351000,NORMAL
6.666,1184238,36.4208111,127.2981617,20.024727,1666184355000,NORMAL
6.0,1184239,36.4204296,127.2983824,23.043951,1666184357000,NORMAL
6.0,1184242,36.4196288,127.2987156,23.27851,1666184361000,NORMAL
6.0,1184243,36.4192114,127.2988485,24.122288,1666184363000,NORMAL
6.0,1184246,36.4183479,127.2990434,24.1259,1666184367000,NORMAL
5.75,1184247,36.4179256,127.299101,23.444891,1666184369000,NORMAL
5.553,1184250,36.4171192,127.2992089,22.241562,1666184373000,NORMAL
6.047,1184251,36.416716,127.2992697,22.344727,1666184375000,NORMAL
4.75,1184254,36.4159167,127.2994161,22.367596,1666184379000,NORMAL
4.0,1184255,36.4155179,127.2994952,22.488981,1666184381000,NORMAL
4.75,1184258,36.4147024,127.2996878,23.242304,1666184385000,NORMAL
5.0,1184259,36.4142965,127.2997997,23.259825,1666184387000,NORMAL
4.5,1184262,36.4135337,127.3000273,20.562693,1666184391000,NORMAL
5.142,1184263,36.4131727,127.3001443,20.678059,1666184393000,NORMAL
6.179,1184264,36.4129541,127.3002211,20.566515,1666184394026,NORMAL
5.937,1184266,36.4124268,127.3004252,21.736053,1666184397000,NORMAL
