accuracy,id,lat,lng,speed,time,type
12.897,130099,36.3109192,127.4559689,0.0,1666241669866,START
13.225,130100,36.3111577,127.4558028,5.3224125,1666241675880,NORMAL
13.919,130101,36.3111605,127.4556885,8.070026,1666241676892,NORMAL
14.612,130102,36.3111249,127.4555673,6.108696,1666241678933,NORMAL
15.279,130103,36.3111233,127.4555821,1.1183157,1666241679933,NORMAL
14.0,130104,36.311126,127.4556063,1.8146412,1666241681999,NORMAL
13.333,130105,36.3111347,127.4556119,2.8253098,1666241682999,NORMAL
12.0,130106,36.3111866,127.4556333,4.6872067,1666241684999,NORMAL
12.512,130107,36.3112352,127.4556516,6.4311376,1666241685999,NORMAL
12.512,130108,36.3113741,127.455687,8.136787,1666241687999,NORMAL
11.94,130109,36.3114541,127.4557071,8.070144,1666241688999,NORMAL
10.0,130110,36.3116211,127.4557425,10.759995,1666241690999,NORMAL
9.333,130111,36.3117238,127.4557603,11.203204,1666241691999,NORMAL
9.333,130112,36.3119402,127.4557988,12.170535,1666241693999,NORMAL
10.4,130113,36.3120538,127.4558188,11.636918,1666241694999,NORMAL
6.0,130114,36.3171842,127.4598951,1.529031,1666241786999,NORMAL
6.0,130115,36.3171873,127.4599133,0.38554788,1666241787999,NORMAL
6.4,130116,36.3171869,127.459919,0.41373134,1666241789999,NORMAL
6.8,130117,36.317187,127.459922,0.0019461097,1666241790999,NORMAL
7.428,130118,36.3171862,127.4599206,6.5139276E-9,1666241792999,NORMAL
7.333,130119,36.3171861,127.4599204,2.1030395E-9,1666241793999,NORMAL
7.2,130120,36.317186,127.4599203,1.1839804E-11,1666241795999,NORMAL
7.2,130121,36.317186,127.4599203,5.8485838E-12,1666241796999,NORMAL
7.333,130122,36.317186,127.4599203,6.5284125E-11,1666241798999,NORMAL
7.0,130123,36.317186,127.4599203,1.7380786E-10,1666241799999,NORMAL
6.4,130124,36.317186,127.4599203,1.843797E-11,1666241801999,NORMAL
6.0,130125,36.317186,127.4599203,5.3669016E-13,1666241802999,NORMAL
6.0,130126,36.317186,127.4599203,4.2788915E-15,1666241804999,NORMAL
6.0,130127,36.317186,127.4599203,3.589633E-15,1666241805999,NORMAL
6.0,130128,36.317186,127.4599203,3.186263E-17,1666241807999,NORMAL
6.0,130129,36.317186,127.4599203,2.3778155E-17,1666241808999,NORMAL
6.0,130130,36.317186,127.4599203,5.356917E-18,1666241810999,NORMAL
6.0,130131,36.317186,127.4599203,2.0504105E-18,1666241811999,NORMAL
6.0,130132,36.317186,127.4599203,3.579976E-19,1666241813999,NORMAL
6.285,130133,36.317186,127.4599203,3.3881945E-20,1666241814999,NORMAL
6.333,130134,36.317186,127.4599203,5.8526255E-21,1666241816999,NORMAL
6.285,130135,36.317186,127.4599203,1.1612395E-21,1666241817999,NORMAL
6.285,130136,36.317186,127.4599203,1.0772735E-22,1666241819999,NORMAL
6.0,130137,36.317186,127.4599203,1.3178533E-26,1666241820999,NORMAL
6.0,130138,36.317186,127.4599203,2.841002E-34,1666241822999,NORMAL
6.0,130139,36.317186,127.4599203,4.743926E-38,1666241823999,NORMAL
6.011,130140,36.317186,127.4599203,1.4E-45,1666241825999,NORMAL
6.013,130141,36.317186,127.4599203,0.0,1666241826999,NORMAL
6.011,130142,36.317186,127.4599203,0.0,1666241828999,NORMAL
6.066,130143,36.317186,127.4599203,0.0,1666241829999,NORMAL
6.066,130144,36.317186,127.4599203,0.0,1666241831999,NORMAL
6.078,130145,36.317186,127.4599203,0.0,1666241832999,NORMAL
6.064,130146,36.317186,127.4599203,0.0,1666241834999,NORMAL
6.075,130147,36.317186,127.4599203,0.0,1666241835999,NORMAL
6.075,130148,36.317186,127.4599203,0.0,1666241837999,NORMAL
6.064,130149,36.317186,127.4599203,0.0,1666241838999,NORMAL
6.172,130150,36.317186,127.4599203,0.0,1666241840999,NORMAL
6.172,130151,36.317186,127.4599203,0.0,1666241841999,NORMAL
6.201,130152,36.317186,127.4599203,0.0,1666241843999,NORMAL
6.246,130153,36.317186,127.4599203,0.0,1666241844999,NORMAL
6.246,130154,36.317186,127.4599203,0.0,1666241846999,NORMAL
6.246,130155,36.317186,127.4599203,0.0,1666241847999,NORMAL
6.293,130156,36.317186,127.4599203,0.0,1666241849999,NORMAL
6.251,130157,36.317186,127.4599203,0.0,1666241850999,NORMAL
6.251,130158,36.317186,127.4599203,0.0,1666241852999,NORMAL
6.367,130159,36.317186,127.4599203,0.0,1666241855583,NORMAL
6.367,130160,36.317186,127.4599203,0.0,1666241855999,NORMAL
6.367,130161,36.317186,127.4599203,0.0,1666241856999,NORMAL
6.315,130162,36.317186,127.4599203,0.0,1666241858999,NORMAL
6.351,130163,36.317186,127.4599203,0.0,1666241859999,NORMAL
6.273,130164,36.317197,127.4599287,2.2792058,1666241861999,NORMAL
6.273,130165,36.3172044,127.4599533,2.9701831,1666241862999,NORMAL
6.428,130166,36.3172315,127.4600398,4.8863583,1666241864999,NORMAL
6.428,130167,36.31725,127.4600944,5.306421,1666241865999,NORMAL
6.127,130168,36.3172993,127.4602272,6.4072685,1666241867999,NORMAL
5.905,130169,36.3173248,127.4602941,6.301023,1666241868999,NORMAL
4.666,130170,36.3173792,127.4604245,6.7374225,1666241870999,NORMAL
4.666,130171,36.3174118,127.4604934,7.387921,1666241871999,NORMAL
5.6,130172,36.3174834,127.4606397,7.634138,1666241873999,NORMAL
6.0,130173,36.3175213,127.4607145,7.875993,1666241874999,NORMAL
6.0,130174,36.3175968,127.4608664,7.7484846,1666241876999,NORMAL
6.0,130175,36.3176359,127.4609414,8.0455,1666241877999,NORMAL
5.2,130176,36.3177193,127.4611031,9.244918,1666241879999,NORMAL
4.8,130177,36.3177617,127.4611887,8.753342,1666241880999,NORMAL
4.4,130178,36.3178507,127.4613626,9.799343,1666241882999,NORMAL
4.8,130179,36.3178989,127.4614609,10.334652,1666241883999,NORMAL
5.333,130180,36.3179958,127.461672,10.728947,1666241885999,NORMAL
5.666,130181,36.318046,127.461782,11.168822,1666241886999,NORMAL
6.0,130182,36.3181357,127.4620139,11.639807,1666241888999,NORMAL
6.0,130183,36.3181741,127.4621345,11.342138,1666241889999,NORMAL
5.333,130184,36.3182418,127.4623623,10.184377,1666241891999,NORMAL
5.0,130185,36.3182671,127.4624615,9.43649,1666241892999,NORMAL
4.0,130186,36.3183119,127.4626465,8.6074,1666241894999,NORMAL
4.0,130187,36.3183326,127.4627408,9.286918,1666241895999,NORMAL
4.0,130188,36.318373,127.4629606,10.636014,1666241897999,NORMAL
4.0,130189,36.3183873,127.4630758,10.7273855,1666241898999,NORMAL
4.0,130190,36.3184139,127.4633208,11.514647,1666241900999,NORMAL
4.0,130191,36.3184233,127.4634516,11.872388,1666241901999,NORMAL
4.0,130192,36.3184281,127.4637192,11.213655,1666241903999,NORMAL
4.4,130193,36.3184241,127.4638465,11.212609,1666241904999,NORMAL
5.2,130194,36.3184022,127.4640953,11.34703,1666241906999,NORMAL
5.333,130195,36.31839,127.4642245,11.913013,1666241907999,NORMAL
6.0,130196,36.3183762,127.4644891,11.931808,1666241909999,NORMAL
6.0,130197,36.3183766,127.4646224,12.17575,1666241910999,NORMAL
6.0,130198,36.3183821,127.4648994,12.614056,1666241912999,NORMAL
6.0,130199,36.3183836,127.4650404,12.512746,1666241913999,NORMAL
5.2,130200,36.3183841,127.4653104,11.58534,1666241915999,NORMAL
4.8,130201,36.3183805,127.465434,10.954658,1666241916999,NORMAL
4.0,130202,36.3183566,127.465669,11.021798,1666241918999,NORMAL
4.0,130203,36.3183313,127.4657934,11.46324,1666241919999,NORMAL
4.0,130204,36.3182475,127.4660488,12.426045,1666241921999,NORMAL
4.0,130205,36.3181908,127.466175,12.593648,1666241922999,NORMAL
4.0,130206,36.3180661,127.4664291,13.401865,1666241924999,NORMAL
4.0,130207,36.3180033,127.4665629,13.661479,1666241925999,NORMAL
4.0,130208,36.3178956,127.4668361,13.415251,1666241927999,NORMAL
4.0,130209,36.317855,127.4669738,13.06772,1666241928999,NORMAL
4.8,130210,36.3177998,127.4672432,11.733414,1666241930999,NORMAL
4.8,130211,36.3177899,127.467371,11.670612,1666241931999,NORMAL
4.8,130212,36.3177865,127.4676259,11.637094,1666241933999,NORMAL
4.4,130213,36.3177899,127.4677536,11.607813,1666241934999,NORMAL
5.2,130214,36.3177994,127.4680041,11.146747,1666241936999,NORMAL
6.0,130215,36.3178047,127.4681266,11.238207,1666241937999,NORMAL
6.4,130216,36.3178131,127.4683768,11.248276,1666241939999,NORMAL
6.4,130217,36.3178177,127.4685048,11.607141,1666241940999,NORMAL
6.0,130218,36.3178265,127.4687774,12.373411,1666241942999,NORMAL
6.0,130219,36.3178253,127.4689242,12.806701,1666241943999,NORMAL
