accuracy,id,lat,lng,speed,time,type
13.7,197715,36.3503838,127.4362028,3.089652,1666234223000,START
11.839,197716,36.3503763,127.4362168,0.84134686,1666234225000,NORMAL
11.708,197717,36.3503768,127.4361986,0.39304855,1666234227000,NORMAL
11.384,197718,36.3503699,127.4361698,1.0891021,1666234229000,NORMAL
11.137,197719,36.3504261,127.4361622,4.5920258,1666234231000,NORMAL
9.622,197720,36.3504713,127.436109,2.7571263,1666234233000,NORMAL
9.076,197721,36.3504954,127.4360393,3.66514,1666234235000,NORMAL
9.147,197722,36.350583,127.4360472,5.5597796,1666234237104,NORMAL
9.731,197723,36.3506795,127.4360697,4.757106,1666234239000,NORMAL
9.599,197724,36.3507573,127.4361418,4.6089215,1666234241000,NORMAL
14.215,197725,36.3507788,127.4361902,4.5864315,1666234242114,NORMAL
12.562,197726,36.3508375,127.4362038,3.8159857,1666234243000,NORMAL
11.986,197727,36.3509028,127.4362661,4.6486664,1666234245000,NORMAL
12.048,197728,36.3509536,127.4363211,5.197917,1666234247000,NORMAL
8.971,197729,36.3509565,127.4363266,5.192579,1666234247145,NORMAL
9.101,197730,36.3509936,127.4364301,5.281476,1666234249000,NORMAL
9.478,197731,36.3510413,127.4365236,3.848035,1666234251000,NORMAL
13.87,197732,36.3510835,127.4366087,3.1107514,1666234253000,NORMAL
14.622,197733,36.351109,127.4367029,2.879542,1666234255000,NORMAL
15.165,197734,36.3511231,127.4367686,2.1289613,1666234257000,NORMAL
13.855,197735,36.3510994,127.4368204,4.773831,1666234259000,NORMAL
13.113,197736,36.3510481,127.4369494,4.789213,1666234261000,NORMAL
11.026,197737,36.3509831,127.4370833,5.9059944,1666234263000,NORMAL
8.787,197738,36.3508693,127.4371682,6.557397,1666234265000,NORMAL
7.867,197739,36.3508115,127.4372154,6.688824,1666234266000,NORMAL
6.253,197740,36.3506414,127.4373406,7.3962674,1666234269000,NORMAL
4.974,197741,36.350509,127.4374251,7.984377,1666234271000,NORMAL
4.14,197742,36.3503774,127.4375114,8.306511,1666234273000,NORMAL
3.9,197743,36.3502348,127.4375922,9.002587,1666234275000,NORMAL
3.9,197744,36.3500689,127.4376671,9.386519,1666234277000,NORMAL
3.9,197745,36.3499148,127.4377415,8.850302,1666234279000,NORMAL
3.9,197746,36.3497734,127.4378187,7.8829613,1666234281000,NORMAL
3.9,197747,36.3496594,127.4378845,6.290589,1666234283000,NORMAL
3.9,197748,36.3495744,127.43796,5.66017,1666234285000,NORMAL
3.9,197749,36.3495359,127.4380744,6.109205,1666234287000,NORMAL
3.9,197750,36.3495557,127.4382205,6.84898,1666234289000,NORMAL
3.9,197751,36.3496262,127.4383768,8.149002,1666234291000,NORMAL
3.9,197752,36.3497053,127.4385511,9.369176,1666234293000,NORMAL
3.9,197753,36.3497862,127.4387505,10.829553,1666234295000,NORMAL
3.895,197754,36.3498716,127.4389828,10.89893,1666234297000,NORMAL
3.895,197755,36.3499508,127.4392037,10.999437,1666234299000,NORMAL
3.895,197756,36.3500315,127.4394368,11.299483,1666234301000,NORMAL
3.9,197757,36.3501108,127.4396659,11.180553,1666234303000,NORMAL
3.9,197758,36.3501942,127.4398964,11.050382,1666234305000,NORMAL
3.9,197759,36.3502783,127.4401209,10.720176,1666234307000,NORMAL
3.9,197760,36.350357,127.4403397,10.400188,1666234309000,NORMAL
3.9,197761,36.3504301,127.4405466,9.940224,1666234311000,NORMAL
3.871,197762,36.350498,127.4407403,8.640598,1666234313000,NORMAL
3.871,197763,36.3505522,127.4408954,6.750643,1666234315000,NORMAL
3.871,197764,36.3505941,127.4410165,5.140612,1666234317000,NORMAL
3.9,197765,36.350624,127.4411043,3.5450842,1666234319000,NORMAL
3.9,197766,36.3506454,127.4411622,2.3754392,1666234321000,NORMAL
3.901,197767,36.3506596,127.4411974,1.0454361,1666234323000,NORMAL
3.909,197768,36.3506644,127.4412114,0.29720736,1666234325000,NORMAL
4.028,197769,36.3506649,127.4412106,0.21011439,1666234326000,NORMAL
4.102,197770,36.3506649,127.4412102,0.20801076,1666234329000,NORMAL
4.079,197771,36.3506646,127.441209,0.037719294,1666234331000,NORMAL
4.019,197772,36.3506645,127.4412087,0.023941861,1666234333000,NORMAL
3.966,197773,36.3506645,127.4412087,0.013029458,1666234335000,NORMAL
3.967,197774,36.3506645,127.4412087,0.0062879333,1666234337000,NORMAL
9.067,197775,36.3506645,127.4412087,0.005790519,1666234338065,NORMAL
7.775,197776,36.3506645,127.4412088,0.002306792,1666234339000,NORMAL
7.771,197777,36.3506645,127.4412088,7.4395473E-4,1666234341000,NORMAL
7.724,197778,36.3506645,127.4412088,1.2545129E-4,1666234343000,NORMAL
4.463,197779,36.3506645,127.4412088,4.7366448E-5,1666234343071,NORMAL
4.463,197780,36.3506645,127.4412088,6.341835E-5,1666234345000,NORMAL
4.463,197781,36.3506645,127.4412088,6.946609E-5,1666234347000,NORMAL
7.792,197782,36.3506645,127.4412088,4.4272023E-5,1666234349000,NORMAL
7.792,197783,36.3506645,127.4412088,2.3907725E-5,1666234351000,NORMAL
7.792,197784,36.3506645,127.4412088,1.0834781E-5,1666234353000,NORMAL
4.649,197785,36.3506645,127.4412088,3.7703064E-6,1666234355000,NORMAL
4.649,197786,36.3506645,127.4412088,1.056803E-6,1666234357000,NORMAL
7.93,197787,36.3506645,127.4412088,6.698168E-7,1666234359000,NORMAL
7.93,197788,36.3506645,127.4412088,4.211156E-7,1666234361000,NORMAL
7.93,197789,36.3506645,127.4412088,8.0608054E-8,1666234363000,NORMAL
4.752,197790,36.3506645,127.4412088,5.7598392E-8,1666234363161,NORMAL
4.752,197791,36.3506645,127.4412088,3.732895E-9,1666234365000,NORMAL
4.752,197792,36.3506645,127.4412088,1.4402666E-9,1666234367000,NORMAL
8.076,197793,36.3506817,127.4412061,0.26994112,1666234369000,NORMAL
8.076,197794,36.3506833,127.4412121,0.33998957,1666234371000,NORMAL
8.076,197795,36.3506858,127.4412194,0.3499978,1666234373000,NORMAL
4.95,197796,36.3506883,127.4412275,0.6299384,1666234375000,NORMAL
4.95,197797,36.3507,127.4412583,2.4994092,1666234377000,NORMAL
3.9,197798,36.3507211,127.4413176,2.9798126,1666234379000,NORMAL
3.9,197799,36.3507445,127.441383,3.1899266,1666234381000,NORMAL
3.9,197800,36.3507762,127.4414602,4.80949,1666234383000,NORMAL
6.391,197801,36.3508282,127.4415753,6.5098433,1666234385000,NORMAL
6.391,197802,36.3508889,127.4416989,6.0501347,1666234387000,NORMAL
3.9,197803,36.35095,127.4418126,6.079506,1666234389000,NORMAL
3.9,197804,36.3510175,127.441923,6.5369644,1666234391000,NORMAL
3.9,197805,36.3510997,127.4420355,7.0357833,1666234393000,NORMAL
3.9,197806,36.3513368,127.4422636,9.834626,1666234397000,NORMAL
3.9,197807,36.3515065,127.4423797,11.794975,1666234399000,NORMAL
3.9,197808,36.3517125,127.4425019,12.600658,1666234401000,NORMAL
3.9,197809,36.3521459,127.4427265,13.227533,1666234405000,NORMAL
3.9,197810,36.3526003,127.44297,14.074264,1666234409000,NORMAL
3.9,197811,36.3528343,127.4430971,14.189096,1666234411000,NORMAL
3.9,197812,36.3530707,127.4432251,14.100932,1666234413000,NORMAL
3.9,197813,36.3535349,127.4434793,14.12976,1666234417000,NORMAL
3.9,197814,36.3539916,127.4437364,13.671104,1666234421000,NORMAL
3.9,197815,36.3542112,127.4438609,13.290144,1666234423000,NORMAL
3.9,197816,36.3544271,127.443983,12.760209,1666234425000,NORMAL
3.9,197817,36.3546349,127.4441013,12.969916,1666234427000,NORMAL
3.9,197818,36.3548493,127.4442227,12.750078,1666234429000,NORMAL
3.9,197819,36.3550521,127.4443358,12.220154,1666234431000,NORMAL
3.9,197820,36.3554446,127.4445581,11.939995,1666234435000,NORMAL
3.9,197821,36.3558389,127.4447827,12.359908,1666234439000,NORMAL
3.9,197822,36.3560492,127.4449041,13.159735,1666234441000,NORMAL
3.9,197823,36.3567374,127.4453007,14.719873,1666234447000,NORMAL
3.869,197824,36.3569818,127.4454406,15.119872,1666234449000,NORMAL
3.869,197825,36.3574838,127.4457314,15.369975,1666234453000,NORMAL
3.9,197826,36.3577261,127.4458927,15.479922,1666234455000,NORMAL
3.9,197827,36.3579557,127.4460899,15.469931,1666234457000,NORMAL
3.9,197828,36.3581729,127.4463045,15.340031,1666234459000,NORMAL
3.9,197829,36.3585883,127.4467064,13.800233,1666234463000,NORMAL
3.9,197830,36.3587802,127.4468898,12.910321,1666234465000,NORMAL
3.9,197831,36.3589604,127.4470609,12.740063,1666234467000,NORMAL
3.9,197832,36.3591437,127.4472374,12.7300005,1666234469000,NORMAL
3.867,197833,36.3593157,127.4474048,11.580312,1666234471000,NORMAL
3.867,197834,36.3594715,127.447553,10.270337,1666234473000,NORMAL
3.867,197835,36.359616,127.4476836,9.810106,1666234475000,NORMAL
3.9,197836,36.3597572,127.4478015,8.880243,1666234477000,NORMAL
3.9,197837,36.3598794,127.4479039,7.5202513,1666234479000,NORMAL
3.9,197838,36.3599886,127.4480019,7.4899964,1666234481000,NORMAL
3.9,197839,36.3600917,127.4481036,7.160062,1666234483000,NORMAL
3.9,197840,36.360191,127.4482037,6.9600506,1666234485000,NORMAL
3.9,197841,36.3602871,127.4483027,7.1799536,1666234487000,NORMAL
3.9,197842,36.3603872,127.4484069,7.2899747,1666234489000,NORMAL
3.9,197843,36.360608,127.4486212,8.479822,1666234493000,NORMAL
3.9,197844,36.3607336,127.448742,9.029867,1666234495000,NORMAL
3.9,197845,36.3610091,127.4490083,10.179524,1666234499000,NORMAL
3.9,197846,36.3611586,127.4491511,10.819839,1666234501000,NORMAL
3.9,197847,36.3613158,127.4493016,11.169907,1666234503000,NORMAL
3.867,197848,36.3616478,127.4496286,12.429807,1666234507000,NORMAL
3.867,197849,36.3618248,127.4498017,12.350028,1666234509000,NORMAL
3.9,197850,36.3621899,127.4501555,13.579792,1666234513000,NORMAL
3.9,197851,36.3623857,127.4503453,14.169804,1666234515000,NORMAL
3.9,197852,36.362595,127.4505461,14.699807,1666234517000,NORMAL
3.9,197853,36.362806,127.4507487,15.099861,1666234519000,NORMAL
3.9,197854,36.3630228,127.4509586,15.459855,1666234521000,NORMAL
3.9,197855,36.3632434,127.4511724,15.629776,1666234523000,NORMAL
3.906,197856,36.3634669,127.4513876,15.610216,1666234525000,NORMAL
3.906,197857,36.3636836,127.451599,15.130148,1666234527000,NORMAL
3.9,197858,36.3641256,127.4519468,13.920196,1666234531000,NORMAL
3.9,197859,36.3643677,127.4520129,13.719961,1666234533000,NORMAL
3.9,197860,36.364828,127.4518264,13.379636,1666234537000,NORMAL
3.9,197861,36.3651404,127.4510071,14.469878,1666234543000,NORMAL
3.9,197862,36.3652353,127.4507012,15.049814,1666234545000,NORMAL
3.9,197863,36.3653637,127.4503978,15.849589,1666234547000,NORMAL
3.9,197864,36.3655449,127.4501091,16.409569,1666234549000,NORMAL
3.9,197865,36.3659651,127.4495485,18.269512,1666234553000,NORMAL
3.9,197866,36.3661918,127.4492367,19.139677,1666234555000,NORMAL
3.9,197867,36.3664276,127.4489101,19.7898,1666234557000,NORMAL
3.9,197868,36.3666762,127.4485844,20.159859,1666234559000,NORMAL
3.9,197869,36.3669459,127.4482728,20.26991,1666234561000,NORMAL
3.9,197870,36.3672232,127.4479828,20.369963,1666234563000,NORMAL
3.868,197871,36.3677768,127.4473629,20.979887,1666234567000,NORMAL
3.868,197872,36.3682956,127.4466485,21.859875,1666234571000,NORMAL
3.9,197873,36.3685406,127.4462569,22.489765,1666234573000,NORMAL
3.9,197874,36.3692211,127.4449784,23.199919,1666234579000,NORMAL
3.9,197875,36.3696101,127.4440512,23.599653,1666234583000,NORMAL
3.9,197876,36.369781,127.4435697,23.610065,1666234585000,NORMAL
3.9,197877,36.3699316,127.4430778,23.560078,1666234587000,NORMAL
3.9,197878,36.3700619,127.4425799,23.410093,1666234589000,NORMAL
3.9,197879,36.3701713,127.442076,23.32007,1666234591000,NORMAL
3.9,197880,36.370263,127.4415698,23.120071,1666234593000,NORMAL
3.9,197881,36.3704137,127.4405599,23.090008,1666234597000,NORMAL
3.9,197882,36.3704807,127.4400527,23.010017,1666234599000,NORMAL
3.9,197883,36.3705485,127.4395485,22.94003,1666234601000,NORMAL
3.9,197884,36.3706164,127.4390449,22.969994,1666234603000,NORMAL
3.9,197885,36.370684,127.4385366,23.21994,1666234605000,NORMAL
3.9,197886,36.3707525,127.438022,23.619913,1666234607000,NORMAL
3.9,197887,36.3708229,127.4374972,24.109896,1666234609000,NORMAL
3.9,197888,36.3708986,127.436962,24.539892,1666234611000,NORMAL
3.9,197889,36.3710953,127.4358705,25.559801,1666234615000,NORMAL
3.9,197890,36.371236,127.4353229,25.979767,1666234617000,NORMAL
3.9,197891,36.3716258,127.4342573,26.369858,1666234621000,NORMAL
