accuracy,id,lat,lng,speed,time,type
8.7,0,36.384739,127.360205,3.63,1666260017000,START
24.3,0,36.384770,127.360219,0.14,1666260022000,STOP
24.3,0,36.384775,127.360183,2.07,1666260155000,NORMAL
24.3,0,36.385036,127.360181,6.34,1666260160000,NORMAL
24.3,0,36.385136,127.359722,7.54,1666260165000,NORMAL
24.3,0,36.385170,127.359528,0.00,1666260171000,STOP
24.3,0,36.385221,127.359182,8.96,1666260219000,NORMAL
24.3,0,36.385330,127.358543,13.00,1666260224000,NORMAL
24.3,0,36.385506,127.357564,15.95,1666260230000,NORMAL
24.3,0,36.385620,127.356437,17.83,1666260236000,NORMAL
24.3,0,36.385606,127.355426,17.87,1666260241000,NORMAL
24.3,0,36.385511,127.354527,14.39,1666260246000,NORMAL
24.3,0,36.385375,127.353631,14.14,1666260252000,NORMAL
24.3,0,36.385252,127.352836,14.24,1666260257000,NORMAL
24.3,0,36.385123,127.352003,12.30,1666260263000,NORMAL
24.3,0,36.385009,127.351200,12.34,1666260269000,NORMAL
24.3,0,36.384908,127.350498,13.08,1666260274000,NORMAL
24.3,0,36.384811,127.349717,14.73,1666260279000,NORMAL
24.3,0,36.384672,127.348784,13.77,1666260285000,NORMAL
24.3,0,36.384534,127.347871,14.09,1666260291000,NORMAL
24.3,0,36.384423,127.347124,13.35,1666260296000,NORMAL
24.3,0,36.384343,127.346494,9.66,1666260301000,NORMAL
24.3,0,36.384301,127.346245,0.89,1666260306000,STOP
24.3,0,36.384278,127.346083,5.93,1666260366000,NORMAL
24.3,0,36.384185,127.345475,10.65,1666260372000,NORMAL
24.3,0,36.384057,127.344687,12.82,1666260378000,NORMAL
24.3,0,36.383947,127.343989,8.15,1666260384000,NORMAL
24.3,0,36.383921,127.343848,0.00,1666260390000,STOP
24.3,0,36.383918,127.343810,2.85,1666260461000,NORMAL
24.3,0,36.383835,127.343274,10.71,1666260467000,NORMAL
24.3,0,36.383744,127.342410,14.39,1666260473000,NORMAL
24.3,0,36.383831,127.341540,16.47,1666260478000,NORMAL
24.3,0,36.384252,127.340508,18.13,1666260484000,NORMAL
24.3,0,36.384895,127.339788,20.32,1666260489000,NORMAL
24.3,0,36.385777,127.339294,21.63,1666260494000,NORMAL
24.3,0,36.386635,127.338848,20.37,1666260499000,NORMAL
24.3,0,36.387646,127.338288,20.98,1666260505000,NORMAL
24.3,0,36.388709,127.337736,21.37,1666260511000,NORMAL
24.3,0,36.389537,127.337092,22.06,1666260516000,NORMAL
24.3,0,36.390216,127.335829,23.32,1666260522000,NORMAL
24.3,0,36.390536,127.334282,24.13,1666260528000,NORMAL
24.3,0,36.390795,127.332747,22.28,1666260534000,NORMAL
24.3,0,36.390962,127.331561,21.07,1666260539000,NORMAL
24.3,0,36.391153,127.330201,20.28,1666260545000,NORMAL
24.3,0,36.391340,127.328860,20.55,1666260551000,NORMAL
24.3,0,36.391532,127.327484,20.97,1666260557000,NORMAL
24.3,0,36.391618,127.326391,18.95,1666260562000,NORMAL
24.3,0,36.391469,127.325431,16.58,1666260567000,NORMAL
24.3,0,36.391161,127.324659,13.82,1666260572000,NORMAL
24.3,0,36.390599,127.323897,17.56,1666260578000,NORMAL
24.3,0,36.390023,127.323455,12.16,1666260583000,NORMAL
24.3,0,36.389443,127.323103,11.74,1666260589000,NORMAL
24.3,0,36.388797,127.322743,13.75,1666260595000,NORMAL
24.3,0,36.388325,127.322476,6.42,1666260601000,NORMAL
24.3,0,36.388258,127.322439,0.00,1666260606000,STOP
24.3,0,36.387977,127.322303,7.75,1666260722000,NORMAL
24.3,0,36.387657,127.322124,8.41,1666260727000,NORMAL
24.3,0,36.387095,127.321815,13.16,1666260733000,NORMAL
24.3,0,36.386609,127.321525,11.04,1666260738000,NORMAL
24.3,0,36.386123,127.321231,10.20,1666260744000,NORMAL
24.3,0,36.385676,127.320989,10.08,1666260749000,NORMAL
24.3,0,36.385246,127.320743,7.35,1666260755000,NORMAL
24.3,0,36.385016,127.320613,4.94,1666260760000,NORMAL
24.3,0,36.385000,127.320317,6.11,1666260766000,NORMAL
24.3,0,36.385367,127.319917,11.20,1666260772000,NORMAL
24.3,0,36.385896,127.319466,10.72,1666260778000,NORMAL
24.3,0,36.386216,127.319196,7.03,1666260783000,NORMAL
24.3,0,36.386417,127.319041,3.68,1666260789000,NORMAL
