accuracy,id,lat,lng,speed,time,type
16.784,878176,36.3658601,127.3196068,0.0,1666314422681,START
13.968,878177,36.3657347,127.3198263,3.1647463,1666314425396,NORMAL
11.645,878178,36.3656352,127.3196028,8.934183,1666314426238,NORMAL
10.181,878179,36.3655773,127.319509,9.628779,1666314427240,NORMAL
11.584,878180,36.3654608,127.3193556,8.322054,1666314429242,NORMAL
10.666,878181,36.3653404,127.3192297,8.904665,1666314431000,OVER_ACCEL
10.333,878182,36.3652772,127.3191711,9.326243,1666314432000,NORMAL
8.333,878183,36.3651334,127.3190773,8.771656,1666314434000,NORMAL
6.666,878184,36.3650607,127.3190441,9.185219,1666314435000,NORMAL
6.0,878185,36.3649238,127.3189971,8.028531,1666314437000,NORMAL
6.0,878186,36.3648536,127.3189824,7.8181987,1666314438000,NORMAL
6.0,878187,36.3647134,127.3189722,7.4583473,1666314440000,NORMAL
6.0,878188,36.3646447,127.3189715,7.2490263,1666314441000,NORMAL
6.0,878189,36.3645212,127.3189752,5.5422378,1666314443000,NORMAL
6.0,878190,36.3644713,127.3189766,4.892312,1666314444000,NORMAL
6.0,878191,36.3643727,127.3189792,6.1424246,1666314446000,NORMAL
6.0,878192,36.3643111,127.3189828,6.681481,1666314447000,NORMAL
5.2,878193,36.3641812,127.3189884,5.9434943,1666314449000,NORMAL
5.0,878194,36.3641245,127.318991,6.6296706,1666314450000,NORMAL
4.4,878195,36.3639929,127.3190185,7.1687956,1666314452000,NORMAL
4.8,878196,36.3639251,127.3190363,6.474947,1666314453000,NORMAL
5.333,878197,36.3638072,127.3190753,6.1777635,1666314455000,NORMAL
5.6,878198,36.3637522,127.3190998,6.6299033,1666314456000,NORMAL
5.0,878199,36.3636552,127.3191443,5.681748,1666314458000,NORMAL
4.4,878200,36.3636109,127.3191646,5.212783,1666314459000,NORMAL
4.666,878201,36.36354,127.3191957,3.6945434,1666314461000,NORMAL
5.2,878202,36.3635148,127.3192083,3.048897,1666314462000,NORMAL
5.75,878203,36.3634588,127.3192213,3.498163,1666314464000,NORMAL
6.0,878204,36.3634218,127.319219,3.0461898,1666314465000,NORMAL
6.0,878205,36.3633533,127.3191833,3.4762304,1666314467000,NORMAL
6.0,878206,36.3633304,127.3191412,4.008767,1666314468000,NORMAL
6.0,878207,36.3633107,127.3190228,5.4715366,1666314470000,NORMAL
6.0,878208,36.3633074,127.3189521,7.408718,1666314471000,NORMAL
6.0,878209,36.3633087,127.3187673,8.229276,1666314473000,NORMAL
6.0,878210,36.3633135,127.3186643,9.229243,1666314474000,NORMAL
5.6,878211,36.3633376,127.3184262,10.532945,1666314476000,NORMAL
5.2,878212,36.3633481,127.3183089,9.432123,1666314477000,NORMAL
4.666,878213,36.3633672,127.3181176,7.0298014,1666314479000,NORMAL
4.4,878214,36.3633854,127.3180457,6.468692,1666314480000,NORMAL
5.2,878215,36.3635007,127.3179428,8.784384,1666314482000,NORMAL
5.6,878216,36.3635892,127.3179135,10.45166,1666314483000,NORMAL
5.2,878217,36.3638262,127.3178954,13.2840805,1666314485000,NORMAL
5.0,878218,36.3639572,127.3178936,13.948739,1666314486000,NORMAL
4.666,878219,36.3642262,127.3178941,14.321758,1666314488000,NORMAL
4.666,878220,36.3643601,127.3178954,14.840575,1666314489000,NORMAL
5.333,878221,36.3646378,127.3178972,15.097608,1666314491000,NORMAL
