accuracy,id,lat,lng,speed,time,type
14.472,426109,36.4948888,127.2447688,7.186102,1666384010000,START
5.002,426110,36.4947479,127.244787,7.054794,1666384012000,NORMAL
4.516,426111,36.4946158,127.2448279,6.9400406,1666384014000,NORMAL
4.029,426112,36.4944903,127.2448514,6.141486,1666384016000,NORMAL
3.9,426113,36.4943751,127.2448699,6.88601,1666384018000,NORMAL
3.9,426114,36.494241,127.2449002,8.742348,1666384020000,NORMAL
3.9,426115,36.4940877,127.2449482,8.749549,1666384022000,NORMAL
5.663,426116,36.4939802,127.2449969,8.670415,1666384023432,NORMAL
5.204,426117,36.4938758,127.2450381,8.520233,1666384025000,NORMAL
5.626,426118,36.4937693,127.2450792,7.976761,1666384026432,NORMAL
5.36,426119,36.4936145,127.2451037,8.024392,1666384029000,NORMAL
5.36,426120,36.4934689,127.2450734,7.7997108,1666384031000,NORMAL
4.645,426121,36.4933576,127.2449454,7.5590334,1666384033000,NORMAL
4.288,426122,36.4932943,127.2447513,8.584791,1666384035000,NORMAL
3.93,426123,36.4932411,127.2445304,9.687864,1666384037000,NORMAL
3.801,426124,36.4931942,127.2443273,8.580274,1666384039000,NORMAL
3.672,426125,36.4931646,127.2441785,6.85435,1666384041000,NORMAL
4.029,426126,36.4931385,127.2440589,6.142079,1666384043000,NORMAL
4.029,426127,36.4931034,127.2438987,7.7219043,1666384045000,NORMAL
4.029,426128,36.493057,127.2437068,8.786087,1666384047000,NORMAL
3.9,426129,36.4930122,127.2434968,9.524331,1666384049000,NORMAL
3.9,426130,36.4929659,127.2432797,9.533606,1666384051000,NORMAL
3.9,426131,36.4929112,127.243069,10.126781,1666384053000,NORMAL
3.9,426132,36.4928486,127.2428395,11.126015,1666384055000,NORMAL
3.9,426133,36.4927895,127.2426064,10.475851,1666384057000,NORMAL
3.9,426134,36.4927386,127.2423933,9.482419,1666384059000,NORMAL
3.9,426135,36.4926871,127.2422148,8.75473,1666384061000,NORMAL
3.9,426136,36.492626,127.2420129,9.834142,1666384063000,NORMAL
3.9,426137,36.4925648,127.2417878,10.835511,1666384065000,NORMAL
3.9,426138,36.4924982,127.2415462,11.642934,1666384067000,NORMAL
3.9,426139,36.4924085,127.2412971,12.331198,1666384069000,NORMAL
3.672,426140,36.4922863,127.2410324,14.055022,1666384071000,NORMAL
3.672,426141,36.4921828,127.2407844,11.545682,1666384073000,NORMAL
3.672,426142,36.492105,127.2405937,8.779577,1666384075000,NORMAL
3.9,426143,36.4920329,127.2404789,6.25463,1666384077000,NORMAL
3.9,426144,36.4919299,127.2404635,6.570492,1666384079000,NORMAL
3.9,426145,36.491799,127.2405681,8.470936,1666384081000,NORMAL
3.9,426146,36.4916456,127.240689,10.189707,1666384083000,NORMAL
3.9,426147,36.4914675,127.240822,11.919449,1666384085000,NORMAL
5.816,426148,36.4912811,127.2409781,13.031238,1666384087000,NORMAL
7.732,426149,36.4910797,127.2411672,14.081154,1666384089000,NORMAL
9.648,426150,36.4908663,127.2413707,14.944901,1666384091000,NORMAL
9.648,426151,36.4906385,127.2415828,15.569227,1666384093000,NORMAL
9.648,426152,36.4904035,127.2417988,16.150095,1666384095000,NORMAL
9.648,426153,36.4901617,127.2420172,16.45438,1666384097000,NORMAL
9.648,426154,36.4899212,127.2422375,16.479725,1666384099000,NORMAL
9.648,426155,36.4896828,127.2424522,16.046862,1666384101000,NORMAL
9.648,426156,36.4894451,127.2426434,15.082502,1666384103000,NORMAL
9.648,426157,36.4892237,127.2428138,13.77872,1666384105000,NORMAL
9.648,426158,36.4890813,127.2430365,12.146487,1666384107000,NORMAL
9.648,426159,36.4890114,127.2432866,11.577445,1666384109000,NORMAL
9.648,426160,36.4889098,127.2434909,10.946085,1666384111000,NORMAL
9.648,426161,36.4887698,127.24364,9.745433,1666384113000,NORMAL
9.648,426162,36.4886275,127.2437385,8.653744,1666384115000,NORMAL
9.648,426163,36.4884852,127.2438144,8.950438,1666384117000,NORMAL
9.648,426164,36.4883231,127.2439068,10.001034,1666384119000,NORMAL
9.648,426165,36.4881578,127.2440065,9.638071,1666384121000,NORMAL
9.648,426166,36.4879921,127.2441062,9.806482,1666384123000,NORMAL
9.648,426167,36.4878275,127.2441983,10.044481,1666384125000,NORMAL
9.648,426168,36.4876546,127.2442899,11.232061,1666384127000,NORMAL
9.648,426169,36.4874617,127.2443928,11.795364,1666384129000,NORMAL
9.648,426170,36.4872451,127.2445091,13.61188,1666384131000,NORMAL
9.648,426171,36.4869974,127.2446364,14.774362,1666384133000,NORMAL
9.648,426172,36.486732,127.2447644,15.767479,1666384135000,NORMAL
9.648,426173,36.4864539,127.2448922,16.45021,1666384137000,NORMAL
9.648,426174,36.4861645,127.2450186,16.984886,1666384139000,NORMAL
9.648,426175,36.4858664,127.2451384,17.349146,1666384141000,NORMAL
9.648,426176,36.4855583,127.2452564,17.935556,1666384143000,NORMAL
9.648,426177,36.4852417,127.2453719,18.278662,1666384145000,NORMAL
9.648,426178,36.4849123,127.2454808,18.826471,1666384147000,NORMAL
9.648,426179,36.4845748,127.2455861,19.186052,1666384149000,NORMAL
9.648,426180,36.4842316,127.2456792,19.413826,1666384151000,NORMAL
9.648,426181,36.483883,127.2457645,19.825615,1666384153000,NORMAL
9.648,426182,36.4835439,127.2458518,19.866186,1666384155000,NORMAL
9.648,426183,36.4831936,127.245922,19.712706,1666384157000,NORMAL
9.648,426184,36.4828453,127.2459813,19.523762,1666384159000,NORMAL
9.648,426185,36.4824982,127.2460307,19.586391,1666384161000,NORMAL
9.648,426186,36.4821481,127.2460675,19.618376,1666384163000,NORMAL
9.648,426187,36.4817991,127.2460948,19.521757,1666384165000,NORMAL
9.648,426188,36.481445,127.2461219,19.529837,1666384167000,NORMAL
9.648,426189,36.4811013,127.2461426,18.584375,1666384169000,NORMAL
9.648,426190,36.4807675,127.2461508,18.745222,1666384171000,NORMAL
9.648,426191,36.4802874,127.2461454,15.929639,1666384174000,NORMAL
9.648,426192,36.4800552,127.2461362,10.597268,1666384176000,NORMAL
9.648,426193,36.4799101,127.246124,8.511273,1666384178000,NORMAL
9.648,426194,36.4797708,127.2461192,9.139945,1666384180000,NORMAL
9.648,426195,36.4796099,127.2461385,9.879625,1666384182000,NORMAL
9.648,426196,36.4794245,127.2461548,10.979988,1666384184000,NORMAL
9.648,426197,36.4792161,127.2461657,11.516624,1666384186000,NORMAL
9.648,426198,36.4790032,127.2461645,11.365544,1666384188000,NORMAL
9.648,426199,36.4787918,127.2461135,12.240818,1666384190000,NORMAL
9.648,426200,36.4785641,127.2460413,13.347287,1666384192000,NORMAL
9.648,426201,36.4783073,127.2459924,14.805645,1666384194000,NORMAL
9.648,426202,36.4780306,127.2460116,15.552328,1666384196000,NORMAL
9.648,426203,36.4777428,127.2460841,16.400324,1666384198000,NORMAL
7.732,426204,36.4773799,127.2461984,16.478298,1666384200432,NORMAL
5.588,426205,36.4771768,127.2462686,17.002316,1666384202000,NORMAL
3.672,426206,36.4768542,127.2463733,17.711454,1666384204000,NORMAL
3.672,426207,36.4765341,127.2464998,18.213789,1666384206000,NORMAL
4.029,426208,36.4762098,127.2466486,18.187052,1666384208000,NORMAL
4.158,426209,36.4759089,127.2468455,19.084364,1666384210000,NORMAL
4.158,426210,36.4756241,127.2470461,18.643454,1666384212000,NORMAL
4.029,426211,36.4753193,127.2472651,19.589901,1666384214000,NORMAL
3.9,426212,36.4750117,127.2475226,20.33775,1666384216000,NORMAL
4.029,426213,36.4746969,127.2477953,21.136402,1666384218000,NORMAL
4.029,426214,36.4743728,127.2480897,21.878662,1666384220000,NORMAL
4.158,426215,36.4740437,127.2484184,22.879053,1666384222000,NORMAL
4.158,426216,36.473724,127.2487573,22.93027,1666384224000,NORMAL
4.158,426217,36.4734371,127.2491189,23.182531,1666384226000,NORMAL
4.029,426218,36.4731465,127.2495019,22.864716,1666384228000,NORMAL
3.9,426219,36.4728654,127.2499052,23.715101,1666384230000,NORMAL
3.9,426220,36.4726046,127.2503374,24.048557,1666384232000,NORMAL
3.9,426221,36.4723555,127.2507893,24.124067,1666384234000,NORMAL
3.9,426222,36.4721302,127.2512558,24.103462,1666384236000,NORMAL
4.029,426223,36.4719232,127.2517337,24.081453,1666384238000,NORMAL
4.029,426224,36.4717209,127.2522151,23.733261,1666384240000,NORMAL
4.029,426225,36.4715364,127.2526864,23.277224,1666384242000,NORMAL
3.9,426226,36.4713561,127.2531572,23.17187,1666384244000,NORMAL
3.9,426227,36.471199,127.2536255,22.787432,1666384246000,NORMAL
3.9,426228,36.4710468,127.254093,22.779844,1666384248000,NORMAL
3.9,426229,36.4708833,127.2545665,23.092415,1666384250000,NORMAL
3.9,426230,36.4707049,127.2550253,22.412619,1666384252000,NORMAL
3.9,426231,36.4705378,127.2554896,22.37188,1666384254000,NORMAL
3.9,426232,36.4703744,127.2559434,22.624155,1666384256000,NORMAL
3.9,426233,36.4702061,127.2563975,22.208628,1666384258000,NORMAL
3.9,426234,36.4700406,127.25686,22.472101,1666384260000,NORMAL
5.816,426235,36.4698761,127.2573252,22.440956,1666384262000,NORMAL
7.732,426236,36.4697106,127.2577931,22.89798,1666384264000,NORMAL
7.732,426237,36.4695381,127.2582753,23.225227,1666384266000,NORMAL
5.816,426238,36.469365,127.2587572,23.484657,1666384268000,NORMAL
3.9,426239,36.4691929,127.2592422,23.550802,1666384270000,NORMAL
3.9,426240,36.4690138,127.2597296,23.755842,1666384272000,NORMAL
3.9,426241,36.4688398,127.2602146,23.701096,1666384274000,NORMAL
3.9,426242,36.4686698,127.2606925,23.096838,1666384276000,NORMAL
3.9,426243,36.4685077,127.2611514,22.194546,1666384278000,NORMAL
3.9,426244,36.4683508,127.2615937,21.612213,1666384280000,NORMAL
3.9,426245,36.4681927,127.2620259,21.02388,1666384282000,NORMAL
3.9,426246,36.4680428,127.262451,20.462706,1666384284000,NORMAL
3.9,426247,36.467902,127.2628624,19.741364,1666384286000,NORMAL
3.9,426248,36.4677574,127.2632632,19.360079,1666384288000,NORMAL
3.9,426249,36.4676159,127.26365,18.780077,1666384290000,NORMAL
3.9,426250,36.4674817,127.2640257,18.230051,1666384292000,NORMAL
3.9,426251,36.4673489,127.2643914,17.690063,1666384294000,NORMAL
3.9,426252,36.4672104,127.2647578,17.859873,1666384296000,NORMAL
3.9,426253,36.4670829,127.2651265,18.499672,1666384298000,NORMAL
3.9,426254,36.4669802,127.265433,18.816322,1666384299432,NORMAL
3.729,426255,36.4668924,127.2657119,19.304407,1666384301000,NORMAL
3.763,426256,36.4668048,127.2660545,20.605001,1666384302432,NORMAL
3.672,426257,36.4666764,127.2665994,21.45333,1666384305000,NORMAL
3.9,426258,36.4665702,127.2670899,22.306164,1666384307000,NORMAL
3.9,426259,36.466478,127.2675949,23.166603,1666384309000,NORMAL
3.9,426260,36.466392,127.2681185,23.912165,1666384311000,NORMAL
3.9,426261,36.466302,127.2686495,24.242887,1666384313000,NORMAL
3.9,426262,36.4662025,127.2691798,24.493439,1666384315000,NORMAL
3.9,426263,36.4661023,127.2697193,24.753462,1666384317000,NORMAL
3.9,426264,36.4660028,127.2702513,24.539772,1666384319000,NORMAL
3.9,426265,36.4658933,127.2707784,24.269943,1666384321000,NORMAL
3.9,426266,36.4657614,127.271293,24.098452,1666384323000,NORMAL
3.9,426267,36.4656056,127.2717882,24.056234,1666384325000,NORMAL
3.9,426268,36.4654238,127.272277,23.810163,1666384327000,NORMAL
3.9,426269,36.4652303,127.2727451,23.813856,1666384329000,NORMAL
3.9,426270,36.4650107,127.2732009,23.882204,1666384331000,NORMAL
3.9,426271,36.4647727,127.2736428,24.216808,1666384333000,NORMAL
3.9,426272,36.4644988,127.274077,24.889635,1666384335000,NORMAL
3.9,426273,36.4641951,127.274507,25.186043,1666384337000,NORMAL
3.9,426274,36.4638762,127.2749115,25.523428,1666384339000,NORMAL
3.672,426275,36.4635318,127.2752971,25.536005,1666384341000,NORMAL
3.672,426276,36.4631855,127.2756562,24.742567,1666384343000,NORMAL
3.672,426277,36.4628461,127.2759983,24.081327,1666384345000,NORMAL
3.9,426278,36.462515,127.2763363,23.843864,1666384347000,NORMAL
3.9,426279,36.4621834,127.2766687,23.879185,1666384349000,NORMAL
