accuracy,id,lat,lng,speed,time,type
5.323,1045164,36.4425389,127.3914484,0.0,1666510382183,START
5.315,1045165,36.4425389,127.3914484,0.0,1666510384000,NORMAL
5.503,1045166,36.4425389,127.3914484,0.0,1666510385000,NORMAL
5.169,1045167,36.4425389,127.3914484,0.0,1666510387000,NORMAL
5.341,1045168,36.4425389,127.3914484,0.0,1666510388000,NORMAL
5.219,1045169,36.4425389,127.3914484,0.0,1666510390000,NORMAL
5.219,1045170,36.4425389,127.3914484,0.0,1666510391000,NORMAL
4.681,1045171,36.4425389,127.3914484,0.0,1666510393000,NORMAL
4.757,1045172,36.4425389,127.3914484,0.0,1666510394000,NORMAL
5.481,1045173,36.4425389,127.3914484,0.0,1666510396000,NORMAL
5.881,1045174,36.4425389,127.3914484,0.0,1666510397000,NORMAL
6.43,1045175,36.4425389,127.3914484,0.0,1666510399000,NORMAL
6.596,1045176,36.4425389,127.3914484,0.0,1666510400000,NORMAL
6.895,1045177,36.4425389,127.3914484,0.0,1666510402000,NORMAL
7.066,1045178,36.4425389,127.3914484,0.0,1666510403000,NORMAL
7.244,1045179,36.4425389,127.3914484,0.0,1666510405000,NORMAL
7.066,1045180,36.4425389,127.3914484,0.0,1666510406000,NORMAL
7.596,1045181,36.4425389,127.3914484,0.0,1666510408000,NORMAL
7.773,1045182,36.4425389,127.3914484,0.0,1666510409000,NORMAL
7.33,1045183,36.4425389,127.3914484,0.0,1666510411000,NORMAL
7.451,1045184,36.4425389,127.3914484,0.0,1666510412000,NORMAL
6.712,1045185,36.4425389,127.3914484,0.0,1666510414000,NORMAL
6.712,1045186,36.4425389,127.3914484,0.0,1666510415000,NORMAL
6.712,1045187,36.4425389,127.3914484,0.0,1666510417000,NORMAL
6.668,1045188,36.4425389,127.3914484,0.0,1666510418000,NORMAL
6.802,1045189,36.4425389,127.3914484,0.0,1666510420000,NORMAL
6.802,1045190,36.4425389,127.3914484,0.0,1666510421000,NORMAL
6.684,1045191,36.4425389,127.3914484,0.0,1666510423000,NORMAL
6.746,1045192,36.4425389,127.3914484,0.0,1666510424000,NORMAL
6.684,1045193,36.4425389,127.3914484,0.0,1666510426000,NORMAL
6.746,1045194,36.4425389,127.3914484,0.0,1666510427000,NORMAL
6.779,1045195,36.4425389,127.3914484,0.0,1666510429000,NORMAL
6.779,1045196,36.4425389,127.3914484,0.0,1666510430000,NORMAL
6.659,1045197,36.4425389,127.3914484,0.0,1666510432000,NORMAL
7.465,1045198,36.4425389,127.3914484,0.0,1666510433000,NORMAL
7.758,1045199,36.4425389,127.3914484,0.0,1666510435000,NORMAL
7.598,1045200,36.4425389,127.3914484,0.0,1666510436000,NORMAL
7.016,1045201,36.4425389,127.3914484,0.0,1666510438000,NORMAL
6.832,1045202,36.4425389,127.3914484,0.0,1666510439000,NORMAL
6.762,1045203,36.4425389,127.3914484,0.0,1666510441000,NORMAL
6.832,1045204,36.4425389,127.3914484,0.0,1666510442000,NORMAL
7.169,1045205,36.4425389,127.3914484,0.0,1666510444000,NORMAL
7.336,1045206,36.4425389,127.3914484,0.0,1666510445000,NORMAL
7.558,1045207,36.4425389,127.3914484,0.0,1666510447000,NORMAL
7.63,1045208,36.4425389,127.3914484,0.0,1666510448000,NORMAL
7.63,1045209,36.4425389,127.3914484,0.0,1666510450000,NORMAL
7.397,1045210,36.4425416,127.3914464,0.31492487,1666510451000,NORMAL
6.0,1045211,36.4425455,127.3914471,0.010357141,1666510453000,NORMAL
6.0,1045212,36.442541,127.3914456,0.7419302,1666510454000,NORMAL
6.0,1045213,36.4425184,127.3914458,0.76600266,1666510456000,NORMAL
6.0,1045214,36.4425102,127.3914437,0.45886704,1666510457000,NORMAL
7.758,1045215,36.442509,127.3914426,4.228977E-9,1666510459000,NORMAL
8.051,1045216,36.4425093,127.3914425,2.7992908E-10,1666510460000,NORMAL
7.538,1045217,36.4425246,127.3914368,1.5929129,1666510462000,NORMAL
7.615,1045218,36.4425435,127.391424,1.7354583,1666510463000,NORMAL
6.865,1045219,36.4425947,127.3913988,3.382162,1666510465000,NORMAL
6.615,1045220,36.4426326,127.3913932,4.149441,1666510466000,NORMAL
5.898,1045221,36.4427114,127.3913922,4.435057,1666510468000,NORMAL
5.613,1045222,36.4427535,127.3913956,4.7361155,1666510469000,NORMAL
5.881,1045223,36.4428486,127.3914055,5.9143867,1666510471000,NORMAL
6.215,1045224,36.4429027,127.3914155,6.064859,1666510472000,NORMAL
5.2,1045225,36.4430145,127.3914422,6.5175905,1666510474000,NORMAL
5.6,1045226,36.4430719,127.3914618,6.790028,1666510475000,NORMAL
5.718,1045227,36.4431911,127.3915061,7.175872,1666510477000,NORMAL
5.472,1045228,36.4432549,127.3915305,7.2735853,1666510478000,NORMAL
5.187,1045229,36.4433817,127.3915857,7.2897453,1666510480000,NORMAL
5.384,1045230,36.4434433,127.391621,7.500861,1666510481000,NORMAL
5.6,1045231,36.4435676,127.391702,7.5608525,1666510483000,NORMAL
5.666,1045232,36.4436291,127.391743,7.6285443,1666510484000,NORMAL
6.0,1045233,36.4437562,127.3918247,7.796147,1666510486000,NORMAL
6.0,1045234,36.4438199,127.3918644,7.8860307,1666510487000,NORMAL
5.666,1045235,36.4439516,127.3919423,8.024861,1666510489000,NORMAL
5.6,1045236,36.444019,127.3919806,8.108791,1666510490000,NORMAL
5.666,1045237,36.4441512,127.3920587,8.22774,1666510492000,NORMAL
5.666,1045238,36.4442185,127.3921001,8.355395,1666510493000,NORMAL
6.0,1045239,36.444355,127.392185,8.594979,1666510495000,NORMAL
6.0,1045240,36.4444248,127.3922266,8.637888,1666510496000,NORMAL
6.0,1045241,36.4445656,127.3923041,8.424209,1666510498000,NORMAL
6.0,1045242,36.4446348,127.3923447,8.363691,1666510499000,NORMAL
6.666,1045243,36.4447697,127.3924295,8.466843,1666510501000,NORMAL
6.8,1045244,36.4448402,127.3924723,8.606624,1666510502000,NORMAL
6.666,1045245,36.4449831,127.3925507,8.794352,1666510504000,NORMAL
6.666,1045246,36.4450585,127.3925906,9.000836,1666510505000,NORMAL
6.0,1045247,36.4452148,127.3926766,9.439113,1666510507000,NORMAL
6.0,1045248,36.445294,127.3927225,9.607753,1666510508000,NORMAL
6.0,1045249,36.445454,127.3928195,9.57655,1666510510000,NORMAL
6.0,1045250,36.4455325,127.3928713,9.370187,1666510511000,NORMAL
6.0,1045251,36.4456752,127.3929752,9.452891,1666510513000,NORMAL
5.666,1045252,36.445747,127.3930322,9.482251,1666510514000,NORMAL
5.333,1045253,36.4458827,127.3931587,9.500634,1666510516000,NORMAL
5.2,1045254,36.4459474,127.3932288,9.564477,1666510517000,NORMAL
5.333,1045255,36.4460696,127.3933839,9.722592,1666510519000,NORMAL
6.0,1045256,36.4461281,127.3934669,9.719901,1666510520000,NORMAL
6.0,1045257,36.4462369,127.3936344,9.541823,1666510522000,NORMAL
6.0,1045258,36.446291,127.3937176,9.498979,1666510523000,NORMAL
