accuracy,id,lat,lng,speed,time,type
6.921,851853,36.4695581,127.2713397,0.0028352856,1666709586000,START
5.93,851854,36.4695671,127.2713204,1.3634796,1666709587000,NORMAL
5.395,851855,36.4695789,127.2713103,0.92746574,1666709589000,NORMAL
4.47,851856,36.4695882,127.2713105,0.6490703,1666709591000,NORMAL
3.856,851857,36.4695869,127.2713094,0.3032176,1666709593000,NORMAL
6.533,851858,36.4695853,127.2713056,0.18522349,1666709595533,NORMAL
7.192,851859,36.4695897,127.2713055,0.19109204,1666709597000,NORMAL
6.533,851860,36.469594,127.271307,0.21231802,1666709599000,NORMAL
3.9,851861,36.4695967,127.271307,0.1803772,1666709601000,NORMAL
3.9,851862,36.4695976,127.271304,0.14591196,1666709603000,NORMAL
4.095,851863,36.4695931,127.2713063,0.009051333,1666709604605,NORMAL
4.228,851864,36.4695932,127.2713062,3.2586613E-5,1666709606046,NORMAL
4.242,851865,36.469594,127.2713051,0.005173272,1666709607000,NORMAL
4.38,851866,36.4695948,127.2713043,0.0063648205,1666709609000,NORMAL
4.39,851867,36.4695954,127.2713048,0.25752068,1666709610251,NORMAL
4.404,851868,36.4695959,127.2713049,0.35082698,1666709611000,NORMAL
4.606,851869,36.4695963,127.2713034,0.12889585,1666709613000,NORMAL
4.48,851870,36.4695939,127.2713017,0.0016047775,1666709615000,NORMAL
4.634,851871,36.4695932,127.2713017,1.19448605E-5,1666709617000,NORMAL
4.603,851872,36.469593,127.2713008,2.328513E-4,1666709619000,NORMAL
4.827,851873,36.4695932,127.2712997,2.6364112E-4,1666709621000,NORMAL
4.674,851874,36.4695931,127.271299,2.7126115E-4,1666709622128,NORMAL
4.647,851875,36.4695934,127.2712986,1.4000473E-4,1666709622430,NORMAL
4.564,851876,36.469594,127.2712983,0.0023885658,1666709624430,NORMAL
4.409,851877,36.4695921,127.2712987,0.015878627,1666709626000,NORMAL
4.041,851878,36.4695909,127.2712991,0.032713644,1666709628000,NORMAL
3.863,851879,36.4695905,127.2712994,0.030811382,1666709630000,NORMAL
9.672,851880,36.4695903,127.2712994,0.030616347,1666709630738,NORMAL
9.699,851881,36.4695905,127.2712994,0.014370665,1666709632000,NORMAL
9.672,851882,36.4695904,127.2712994,0.009947641,1666709634000,NORMAL
8.948,851883,36.4695905,127.2712994,0.009287876,1666709634421,NORMAL
4.41,851884,36.4695904,127.2712995,0.0066624335,1666709636430,NORMAL
4.308,851885,36.4695903,127.2712996,0.006614657,1666709638430,NORMAL
3.872,851886,36.4695902,127.2712996,0.008475563,1666709640000,NORMAL
3.863,851887,36.4695902,127.2712997,0.004306256,1666709642000,NORMAL
4.487,851888,36.4695902,127.2712997,0.00390826,1666709642431,NORMAL
4.487,851889,36.4695902,127.2712997,8.204797E-4,1666709644000,NORMAL
4.487,851890,36.4695901,127.2712997,0.004254934,1666709646000,NORMAL
7.03,851891,36.4695901,127.2712997,7.6694234E-4,1666709648000,NORMAL
7.03,851892,36.4695901,127.2712997,1.07167616E-4,1666709650000,NORMAL
3.863,851893,36.4695902,127.2712996,0.0055025113,1666709652000,NORMAL
3.9,851894,36.4695901,127.2712996,0.003553703,1666709654000,NORMAL
8.507,851895,36.469593,127.2712967,0.09986711,1666709657293,NORMAL
7.355,851896,36.4695953,127.2712981,0.16460896,1666709658000,NORMAL
7.355,851897,36.4695962,127.2712963,0.09384797,1666709660000,NORMAL
7.355,851898,36.4695963,127.2712972,0.027972411,1666709662000,NORMAL
4.055,851899,36.4695977,127.2712984,0.08733866,1666709664000,NORMAL
4.055,851900,36.469599,127.2712986,0.07286649,1666709666000,NORMAL
3.9,851901,36.4695996,127.2712984,0.03709607,1666709668000,NORMAL
