accuracy,id,lat,lng,speed,time,type
6.207,368600,36.3604134,127.4505637,0.93996316,1666653123585,START
4.623,368601,36.3604257,127.450539,1.1314056,1666653126000,NORMAL
4.623,368602,36.360427,127.450524,0.8041392,1666653127000,NORMAL
4.762,368603,36.3604257,127.4504952,0.96847034,1666653129000,NORMAL
4.819,368604,36.3604271,127.4504781,1.3451983,1666653130000,NORMAL
4.837,368605,36.3604324,127.4504326,1.6719807,1666653132000,NORMAL
4.819,368606,36.3604365,127.4504116,1.6996676,1666653133000,NORMAL
4.945,368607,36.3604448,127.4503732,1.318773,1666653135000,NORMAL
4.963,368608,36.3604484,127.4503607,0.9280691,1666653136000,NORMAL
4.796,368609,36.3604505,127.450354,0.23121905,1666653138000,NORMAL
4.945,368610,36.3604518,127.4503487,0.7011112,1666653139000,NORMAL
4.958,368611,36.3604586,127.4503208,1.5395617,1666653141000,NORMAL
4.807,368612,36.36046,127.450295,2.5035417,1666653142000,NORMAL
4.977,368613,36.3604363,127.4502146,4.22429,1666653144000,NORMAL
5.006,368614,36.3604044,127.4501672,5.0005026,1666653145000,NORMAL
4.832,368615,36.3603216,127.4500672,6.579351,1666653147000,NORMAL
4.848,368616,36.3602697,127.4500068,7.0748243,1666653148000,NORMAL
3.837,368617,36.3601627,127.4498862,7.753462,1666653150000,NORMAL
3.834,368618,36.3601085,127.4498222,7.985166,1666653151000,NORMAL
3.834,368619,36.3600022,127.4496837,8.464671,1666653153000,NORMAL
3.834,368620,36.359948,127.4496132,8.567774,1666653154000,NORMAL
3.834,368621,36.359837,127.449475,8.4118595,1666653156000,NORMAL
3.826,368622,36.3597821,127.4494117,8.194362,1666653157000,NORMAL
3.826,368623,36.3596767,127.4492864,7.7586155,1666653159000,NORMAL
3.845,368624,36.359626,127.4492284,7.270863,1666653160000,NORMAL
3.852,368625,36.3595467,127.4491411,5.4713893,1666653162000,NORMAL
3.85,368626,36.359513,127.4491031,4.980991,1666653163000,NORMAL
3.864,368627,36.3595155,127.4491071,2.0031016,1666653165000,NORMAL
3.875,368628,36.3595193,127.4491118,0.56426996,1666653166000,NORMAL
3.873,368629,36.359522,127.449115,0.032121934,1666653168000,NORMAL
3.867,368630,36.3595222,127.4491152,0.029950112,1666653169000,NORMAL
3.867,368631,36.3594734,127.4490567,4.6516223,1666653171000,NORMAL
3.859,368632,36.359402,127.4489714,5.8271875,1666653172000,NORMAL
3.857,368633,36.3592519,127.4487926,6.687788,1666653174000,NORMAL
3.856,368634,36.3592028,127.4487348,6.390468,1666653175000,NORMAL
3.862,368635,36.3591244,127.4486385,5.9096794,1666653177000,NORMAL
3.868,368636,36.3590836,127.4485913,6.4889,1666653178000,NORMAL
3.87,368637,36.3589882,127.448484,7.8084254,1666653180000,NORMAL
3.864,368638,36.3589331,127.4484218,8.258927,1666653181000,NORMAL
3.863,368639,36.3588193,127.4482916,8.789652,1666653183000,NORMAL
3.863,368640,36.3587604,127.4482231,9.029499,1666653184000,NORMAL
3.879,368641,36.3586406,127.4480835,9.239749,1666653186000,NORMAL
3.87,368642,36.3585816,127.4480125,9.419617,1666653187000,NORMAL
3.874,368643,36.358457,127.4478725,9.439505,1666653189000,NORMAL
3.859,368644,36.3583914,127.4478049,9.539798,1666653190000,NORMAL
3.857,368645,36.3582546,127.447671,9.79984,1666653192000,NORMAL
3.841,368646,36.3581841,127.4476035,9.949776,1666653193000,NORMAL
3.847,368647,36.3580411,127.4474685,10.149832,1666653195000,NORMAL
3.868,368648,36.3579692,127.4474005,10.100073,1666653196000,NORMAL
3.86,368649,36.357831,127.4472696,9.39058,1666653198000,NORMAL
3.86,368650,36.3577677,127.4472086,8.830734,1666653199000,NORMAL
3.86,368651,36.3576468,127.4470934,8.619973,1666653201000,NORMAL
3.868,368652,36.3575908,127.4470346,7.7612185,1666653202000,NORMAL
3.865,368653,36.3575029,127.4469373,5.577026,1666653204000,NORMAL
3.859,368654,36.3574991,127.4469333,5.553159,1666653205000,NORMAL
3.861,368655,36.357511,127.4469467,0.52670425,1666653207000,NORMAL
3.843,368656,36.3575139,127.44695,0.028098615,1666653208000,NORMAL
3.859,368657,36.357515,127.4469512,0.051505283,1666653210000,NORMAL
3.854,368658,36.357515,127.4469512,0.021075634,1666653211000,NORMAL
4.824,368659,36.3575149,127.4469511,0.0011791226,1666653213000,NORMAL
