accuracy,id,lat,lng,speed,time,type
4.027,329473,36.3490388,127.4320646,0.3033756,1666686102000,START
4.013,329474,36.349053,127.4320518,0.23018864,1666686104000,NORMAL
4.018,329475,36.3490583,127.4320553,0.39286077,1666686105000,NORMAL
4.347,329476,36.3490668,127.4320512,0.1997079,1666686107000,NORMAL
4.517,329477,36.3490708,127.4320477,0.10474616,1666686108000,NORMAL
4.434,329478,36.3490773,127.4320401,0.46279636,1666686110000,NORMAL
4.24,329479,36.3490894,127.4320494,0.9953159,1666686111000,NORMAL
3.929,329480,36.3490976,127.4320518,0.3069233,1666686113000,NORMAL
3.925,329481,36.3490973,127.4320491,0.20002295,1666686114000,NORMAL
3.881,329482,36.3490996,127.4320435,0.308605,1666686116000,NORMAL
3.878,329483,36.3490976,127.4320394,0.33837566,1666686117000,NORMAL
3.884,329484,36.3490964,127.43204,0.02301386,1666686119000,NORMAL
3.881,329485,36.3490964,127.4320401,0.009964448,1666686120000,NORMAL
3.9,329486,36.3490964,127.43204,0.0026071297,1666686122000,NORMAL
3.9,329487,36.3490958,127.4320404,0.25600424,1666686123000,NORMAL
3.9,329488,36.3490761,127.4320349,1.5303056,1666686125000,NORMAL
3.9,329489,36.3490515,127.4320336,2.9891295,1666686126000,NORMAL
3.881,329490,36.3489367,127.4320222,6.263286,1666686128000,NORMAL
3.881,329491,36.3488693,127.4320144,7.756985,1666686129000,NORMAL
3.863,329492,36.3486952,127.4319935,10.688442,1666686131000,NORMAL
3.863,329493,36.3485914,127.4319848,11.016223,1666686132000,NORMAL
3.878,329494,36.3483959,127.4319649,10.208173,1666686134000,NORMAL
3.9,329495,36.3483113,127.4319575,9.525379,1666686135000,NORMAL
3.9,329496,36.3481695,127.4319467,8.677953,1666686137000,NORMAL
3.9,329497,36.348098,127.4319367,7.939446,1666686138000,NORMAL
3.892,329498,36.3480176,127.4319193,3.9371903,1666686140000,NORMAL
3.892,329499,36.3479913,127.4319129,2.4272988,1666686141000,NORMAL
3.89,329500,36.347976,127.4319114,0.24141039,1666686143000,NORMAL
3.9,329501,36.3479771,127.4319123,0.23552956,1666686144000,NORMAL
3.902,329502,36.3479739,127.4319217,0.18957193,1666686146000,NORMAL
3.904,329503,36.3479771,127.4319337,0.17001034,1666686147000,NORMAL
3.891,329504,36.3479785,127.4319402,0.1600181,1666686149000,NORMAL
3.891,329505,36.3479803,127.4319466,0.15942197,1666686150000,NORMAL
3.886,329506,36.347982,127.4319509,0.06143935,1666686152000,NORMAL
3.888,329507,36.347982,127.4319508,0.020023907,1666686153000,NORMAL
3.9,329508,36.347982,127.4319507,7.6112605E-4,1666686155000,NORMAL
3.911,329509,36.347982,127.4319507,2.6821863E-4,1666686156000,NORMAL
4.004,329510,36.347982,127.4319507,4.7315156E-5,1666686158000,NORMAL
4.014,329511,36.347982,127.4319507,1.2911911E-5,1666686159000,NORMAL
4.177,329512,36.347982,127.4319507,6.6686823E-7,1666686161000,NORMAL
