accuracy,id,lat,lng,speed,time,type
16.0,317891,36.5321719,127.3663475,24.969028,1666738047853,START
16.0,317892,36.5320411,127.3669024,24.812881,1666738049821,NORMAL
16.0,317893,36.5319931,127.3671773,24.83517,1666738050821,NORMAL
14.4,317894,36.5318956,127.3677597,24.661488,1666738053000,NORMAL
12.8,317895,36.5318493,127.3680224,24.612679,1666738054000,NORMAL
9.6,317896,36.5317412,127.368555,24.515715,1666738056000,NORMAL
8.8,317897,36.5316854,127.3688239,24.529665,1666738057000,NORMAL
8.0,317898,36.5315774,127.3693575,24.292192,1666738059000,NORMAL
8.0,317899,36.5315217,127.3696236,24.342089,1666738060000,NORMAL
8.0,317900,36.5314044,127.3701419,24.039003,1666738062000,NORMAL
8.0,317901,36.5313368,127.3703944,23.971256,1666738063000,NORMAL
8.0,317902,36.5311638,127.370892,23.779636,1666738065000,NORMAL
7.666,317903,36.5310609,127.3711242,23.71451,1666738066000,NORMAL
7.0,317904,36.5308289,127.3715671,23.563099,1666738068000,NORMAL
6.4,317905,36.5306987,127.3717749,23.462168,1666738069000,NORMAL
6.0,317906,36.5304122,127.372153,23.221735,1666738071000,NORMAL
6.0,317907,36.5302594,127.3723228,23.058199,1666738072000,NORMAL
5.2,317908,36.5299322,127.3726189,22.886393,1666738074000,NORMAL
5.666,317909,36.5297647,127.3727562,22.981022,1666738075000,NORMAL
6.333,317910,36.5294051,127.3729942,22.642159,1666738077000,NORMAL
7.2,317911,36.5292162,127.3730905,22.473465,1666738078000,NORMAL
8.0,317912,36.5288299,127.3732439,22.62172,1666738080000,NORMAL
8.0,317913,36.5286266,127.3732978,22.763216,1666738081000,NORMAL
8.0,317914,36.5282176,127.3733608,22.743309,1666738083000,NORMAL
8.0,317915,36.5280117,127.3733792,23.098095,1666738084000,NORMAL
8.0,317916,36.5275938,127.3734112,23.306435,1666738086000,NORMAL
7.6,317917,36.527381,127.3734289,23.46134,1666738087000,NORMAL
6.8,317918,36.5269548,127.3734744,23.619707,1666738089000,NORMAL
6.4,317919,36.526742,127.3734986,23.675379,1666738090000,NORMAL
5.2,317920,36.5263161,127.3735445,23.95238,1666738092000,NORMAL
4.8,317921,36.5261004,127.3735696,24.205618,1666738093000,NORMAL
4.333,317922,36.5256605,127.3736178,24.764215,1666738095000,NORMAL
4.0,317923,36.525437,127.3736382,25.009476,1666738096000,NORMAL
4.0,317924,36.5249774,127.3736824,25.54692,1666738098000,NORMAL
4.0,317925,36.5247529,127.3737063,25.737354,1666738099000,NORMAL
5.6,317926,36.5242886,127.3737588,25.82558,1666738101000,NORMAL
6.4,317927,36.5240559,127.3737826,25.912502,1666738102000,NORMAL
7.2,317928,36.523591,127.373839,25.942945,1666738104000,NORMAL
7.0,317929,36.52336,127.373873,25.977762,1666738105000,NORMAL
6.333,317930,36.5229051,127.3739918,26.069527,1666738107000,NORMAL
6.0,317931,36.5226755,127.3740727,26.134497,1666738108000,NORMAL
6.0,317932,36.5222323,127.3742778,26.409723,1666738110000,NORMAL
6.0,317933,36.5220127,127.3744033,26.50587,1666738111000,NORMAL
6.0,317934,36.5215921,127.3746951,26.683498,1666738113000,NORMAL
6.0,317935,36.5213921,127.3748664,26.779482,1666738114000,NORMAL
6.666,317936,36.5210053,127.3752344,26.92395,1666738116000,NORMAL
7.0,317937,36.5208176,127.3754375,27.048532,1666738117000,NORMAL
7.666,317938,36.5204646,127.3758683,27.090603,1666738119000,NORMAL
8.0,317939,36.520288,127.3760857,27.207607,1666738120000,NORMAL
8.0,317940,36.5199448,127.3765145,27.343454,1666738122000,NORMAL
7.6,317941,36.5197764,127.3767324,27.243761,1666738123000,NORMAL
6.8,317942,36.5194373,127.377161,27.022121,1666738125000,NORMAL
6.666,317943,36.5192646,127.3773747,26.998312,1666738126000,NORMAL
6.8,317944,36.5189147,127.3778017,26.641922,1666738128000,NORMAL
7.666,317945,36.5187386,127.3780005,26.869543,1666738129000,NORMAL
20.0,317946,36.5148827,127.3812441,30.742317,1666738147000,NORMAL
12.8,317947,36.5144607,127.3816969,31.381924,1666738149000,NORMAL
11.2,317948,36.5142372,127.3819234,31.630556,1666738150000,NORMAL
9.333,317949,36.5137786,127.3823792,32.255962,1666738152000,NORMAL
7.6,317950,36.5135439,127.3826095,32.514965,1666738153000,NORMAL
6.8,317951,36.5130711,127.3830728,33.083477,1666738155000,NORMAL
6.4,317952,36.5128364,127.3833017,33.1556,1666738156000,NORMAL
6.8,317953,36.5123484,127.383741,33.21616,1666738158000,NORMAL
6.8,317954,36.5120937,127.3839394,33.210598,1666738159000,NORMAL
6.8,317955,36.5115657,127.3842876,33.260406,1666738161000,NORMAL
6.4,317956,36.5112962,127.3844385,33.272274,1666738162000,NORMAL
6.0,317957,36.5107408,127.3847089,33.36785,1666738164000,NORMAL
6.0,317958,36.5104545,127.3848214,33.393337,1666738165000,NORMAL
5.666,317959,36.5098732,127.3850089,33.443024,1666738167000,NORMAL
5.6,317960,36.5095787,127.3850862,33.43376,1666738168000,NORMAL
5.666,317961,36.5089955,127.3852153,32.993214,1666738170000,NORMAL
5.666,317962,36.5087044,127.3852789,32.726334,1666738171000,NORMAL
5.2,317963,36.5081345,127.3854041,31.969141,1666738173000,NORMAL
5.0,317964,36.5078584,127.3854629,31.595934,1666738174000,NORMAL
4.333,317965,36.5073057,127.3855833,31.008394,1666738176000,NORMAL
4.666,317966,36.5070324,127.3856436,30.711792,1666738177000,NORMAL
6.0,317967,36.506495,127.3857502,30.279572,1666738179000,NORMAL
6.4,317968,36.5062282,127.3858082,30.225142,1666738180000,NORMAL
6.4,317969,36.5056947,127.3859284,29.965431,1666738182000,NORMAL
6.0,317970,36.5054315,127.3859887,29.864573,1666738183000,NORMAL
5.0,317971,36.5049054,127.386109,29.644688,1666738185000,NORMAL
5.2,317972,36.5046453,127.386173,29.561958,1666738186000,NORMAL
5.666,317973,36.5041346,127.3863277,29.252783,1666738188000,NORMAL
6.0,317974,36.5038839,127.3864305,29.07503,1666738189000,NORMAL
6.4,317975,36.5033973,127.3866844,28.926195,1666738191000,NORMAL
5.6,317976,36.5031626,127.3868314,28.944124,1666738192000,NORMAL
5.2,317977,36.5027083,127.3871644,28.99555,1666738194000,NORMAL
5.2,317978,36.5024876,127.3873437,29.07447,1666738195000,NORMAL
5.0,317979,36.5020537,127.3877125,29.156843,1666738197000,NORMAL
5.2,317980,36.5018339,127.3879014,29.167467,1666738198000,NORMAL
4.4,317981,36.5014016,127.3882721,29.120485,1666738200000,NORMAL
5.0,317982,36.5011874,127.3884571,29.036236,1666738201000,NORMAL
6.0,317983,36.5007578,127.3888228,29.20492,1666738203000,NORMAL
6.8,317984,36.5005439,127.389017,29.115295,1666738204000,NORMAL
7.666,317985,36.5001311,127.3894069,28.85612,1666738206000,NORMAL
7.666,317986,36.4999282,127.3896109,28.887302,1666738207000,NORMAL
7.666,317987,36.4997254,127.3898182,29.041225,1666738208000,NORMAL
8.0,317988,36.4993332,127.3902413,28.945778,1666738210000,NORMAL
8.0,317989,36.4989452,127.39068,28.936155,1666738212000,NORMAL
7.6,317990,36.4987492,127.3908935,28.907219,1666738213000,NORMAL
6.8,317991,36.4983622,127.3913256,28.963587,1666738215000,NORMAL
6.4,317992,36.4981714,127.391544,28.89599,1666738216000,NORMAL
5.333,317993,36.4977905,127.3919868,28.812479,1666738218000,NORMAL
5.666,317994,36.4976026,127.3922091,28.70251,1666738219000,NORMAL
6.4,317995,36.4972273,127.3926617,28.7882,1666738221000,NORMAL
7.2,317996,36.4970418,127.3928818,28.829561,1666738222000,NORMAL
8.0,317997,36.4966687,127.393302,28.570532,1666738224000,NORMAL
8.0,317998,36.4964833,127.3935149,28.532719,1666738225000,NORMAL
7.2,317999,36.4961253,127.3939488,28.494244,1666738227000,NORMAL
6.8,318000,36.495953,127.3941818,28.539248,1666738228000,NORMAL
5.6,318001,36.4956284,127.3946752,28.586193,1666738230000,NORMAL
5.2,318002,36.4954791,127.3949374,28.788904,1666738231000,NORMAL
4.4,318003,36.4952064,127.3954897,28.824705,1666738233000,NORMAL
4.666,318004,36.495074,127.3957702,28.90521,1666738234000,NORMAL
5.0,318005,36.4948237,127.3963348,28.861208,1666738236000,NORMAL
5.6,318006,36.4946981,127.3966219,28.89533,1666738237000,NORMAL
5.2,318007,36.4944485,127.3971908,28.985977,1666738239000,NORMAL
5.0,318008,36.4943223,127.3974764,29.161182,1666738240000,NORMAL
4.0,318009,36.4940635,127.3980634,29.948849,1666738242000,NORMAL
4.0,318010,36.493932,127.3983611,30.367998,1666738243000,NORMAL
4.666,318011,36.4936654,127.3989653,31.219011,1666738245000,NORMAL
5.2,318012,36.493529,127.399279,31.652678,1666738246000,NORMAL
6.8,318013,36.4932501,127.3999138,32.089813,1666738248000,NORMAL
7.0,318014,36.4931083,127.4002395,32.63557,1666738249000,NORMAL
7.666,318015,36.4928186,127.4008945,33.257782,1666738251000,NORMAL
