accuracy,id,lat,lng,speed,time,type
36.6,0,36.657109,127.282367,80.18,1666770324000,START
31.4,0,36.655034,127.286064,80.57,1666770329000,NORMAL
21.7,0,36.634261,127.311110,80.29,1666770370000,NORMAL
18.6,0,36.631536,127.314401,80.94,1666770375000,NORMAL
18.5,0,36.628745,127.317624,81.40,1666770380000,NORMAL
18.2,0,36.625912,127.320870,82.08,1666770385000,NORMAL
16.1,0,36.622613,127.324641,80.75,1666770391000,NORMAL
14.9,0,36.619930,127.327655,80.34,1666770396000,NORMAL
12.9,0,36.616838,127.331111,78.66,1666770402000,NORMAL
10.5,0,36.614215,127.334032,78.34,1666770407000,NORMAL
10.5,0,36.611037,127.337619,79.10,1666770413000,NORMAL
9.9,0,36.607836,127.341223,79.58,1666770419000,NORMAL
8.6,0,36.604517,127.344978,80.36,1666770425000,NORMAL
8.8,0,36.601808,127.347995,80.46,1666770430000,NORMAL
8.9,0,36.599058,127.351057,81.04,1666770435000,NORMAL
9.1,0,36.595773,127.354733,80.82,1666770441000,NORMAL
8.8,0,36.593058,127.357754,80.55,1666770446000,NORMAL
8.6,0,36.590368,127.360780,80.21,1666770451000,NORMAL
8.7,0,36.587179,127.364321,79.12,1666770457000,NORMAL
8.6,0,36.584560,127.367226,78.49,1666770462000,NORMAL
8.7,0,36.581392,127.370684,77.57,1666770468000,NORMAL
9.7,0,36.578120,127.373969,78.04,1666770474000,NORMAL
21.2,0,36.567381,127.381961,78.09,1666770492000,NORMAL
12.8,0,36.563522,127.384017,78.21,1666770498000,NORMAL
11.0,0,36.559538,127.385826,79.06,1666770504000,NORMAL
10.8,0,36.555377,127.387266,80.01,1666770510000,NORMAL
20.1,0,36.551824,127.388342,82.85,1666770515000,NORMAL
29.0,0,36.487020,127.407252,73.73,1666770610000,NORMAL
13.5,0,36.475915,127.410455,69.01,1666770628000,NORMAL
11.6,0,36.472429,127.411508,66.80,1666770634000,NORMAL
12.0,0,36.469536,127.412303,65.57,1666770639000,NORMAL
10.7,0,36.466740,127.413181,64.18,1666770644000,NORMAL
11.2,0,36.463367,127.414148,63.84,1666770650000,NORMAL
9.6,0,36.460069,127.415114,62.98,1666770656000,NORMAL
8.5,0,36.457352,127.415859,61.90,1666770661000,NORMAL
8.5,0,36.454134,127.416577,60.44,1666770667000,NORMAL
9.7,0,36.451523,127.417029,58.78,1666770672000,NORMAL
11.0,0,36.448483,127.417332,56.24,1666770678000,NORMAL
12.8,0,36.445970,127.417428,55.50,1666770683000,NORMAL
16.7,0,36.443534,127.417497,54.31,1666770688000,NORMAL
17.6,0,36.421357,127.416003,45.64,1666770741000,NORMAL
13.7,0,36.419273,127.415804,46.12,1666770746000,NORMAL
11.1,0,36.416840,127.415681,44.36,1666770752000,NORMAL
9.9,0,36.414532,127.415516,42.21,1666770758000,NORMAL
9.3,0,36.412378,127.415412,39.49,1666770764000,NORMAL
9.1,0,36.410350,127.415201,36.76,1666770770000,NORMAL
8.7,0,36.408761,127.415099,34.53,1666770775000,NORMAL
8.8,0,36.406981,127.414990,31.95,1666770781000,NORMAL
7.9,0,36.405623,127.414908,29.65,1666770786000,NORMAL
7.4,0,36.404300,127.414828,29.58,1666770791000,NORMAL
7.3,0,36.402979,127.414750,29.76,1666770796000,NORMAL
7.4,0,36.401421,127.414656,29.36,1666770802000,NORMAL
11.6,0,36.399873,127.414560,28.95,1666770808000,NORMAL
13.1,0,36.398295,127.414460,28.95,1666770814000,NORMAL
24.3,0,36.396714,127.414362,29.05,1666770820000,NORMAL
24.3,0,36.395177,127.414268,28.21,1666770826000,NORMAL
24.3,0,36.393674,127.414153,27.22,1666770832000,NORMAL
24.2,0,36.383100,127.415862,27.18,1666770876000,NORMAL
24.3,0,36.382261,127.417007,27.84,1666770881000,NORMAL
24.3,0,36.381514,127.418646,27.57,1666770887000,NORMAL
24.3,0,36.380853,127.420276,26.62,1666770893000,NORMAL
24.3,0,36.380203,127.421553,26.65,1666770898000,NORMAL
24.3,0,36.379146,127.422831,26.85,1666770904000,NORMAL
24.3,0,36.378189,127.423716,26.34,1666770909000,NORMAL
24.3,0,36.376816,127.424157,26.59,1666770915000,NORMAL
24.3,0,36.375656,127.424258,26.95,1666770920000,NORMAL
24.3,0,36.374187,127.424091,27.72,1666770926000,NORMAL
24.3,0,36.372900,127.424099,27.61,1666770931000,NORMAL
24.3,0,36.371417,127.423821,27.65,1666770937000,NORMAL
24.3,0,36.370193,127.423396,28.17,1666770942000,NORMAL
24.3,0,36.368652,127.422942,29.64,1666770948000,NORMAL
24.3,0,36.367025,127.422448,31.44,1666770954000,NORMAL
24.3,0,36.365638,127.421995,32.29,1666770959000,NORMAL
24.3,0,36.363995,127.421334,32.24,1666770965000,NORMAL
24.3,0,36.362682,127.420600,31.75,1666770970000,NORMAL
24.3,0,36.361357,127.419851,31.91,1666770975000,NORMAL
24.3,0,36.359812,127.418952,30.78,1666770981000,NORMAL
24.3,0,36.358580,127.418215,29.52,1666770986000,NORMAL
24.3,0,36.357137,127.417619,26.64,1666770992000,NORMAL
24.3,0,36.355703,127.417457,25.03,1666770998000,NORMAL
24.3,0,36.354617,127.417614,22.98,1666771003000,NORMAL
24.3,0,36.353655,127.417988,22.01,1666771008000,NORMAL
24.3,0,36.352735,127.418486,22.46,1666771013000,NORMAL
24.3,0,36.351878,127.419055,21.61,1666771018000,NORMAL
24.3,0,36.350882,127.419753,21.03,1666771024000,NORMAL
24.3,0,36.349870,127.420569,21.26,1666771030000,NORMAL
24.3,0,36.348866,127.421283,21.15,1666771036000,NORMAL
24.3,0,36.347933,127.422026,20.53,1666771042000,NORMAL
24.3,0,36.346988,127.422798,20.64,1666771048000,NORMAL
24.3,0,36.346220,127.423513,21.00,1666771053000,NORMAL
24.3,0,36.345457,127.424340,22.57,1666771058000,NORMAL
24.3,0,36.344515,127.425428,24.35,1666771064000,NORMAL
24.3,0,36.343654,127.426433,26.06,1666771069000,NORMAL
24.3,0,36.342637,127.427700,26.44,1666771075000,NORMAL
24.3,0,36.341774,127.428689,26.13,1666771080000,NORMAL
24.3,0,36.340911,127.429691,26.26,1666771085000,NORMAL
24.3,0,36.339736,127.430582,25.48,1666771091000,NORMAL
24.3,0,36.338523,127.431195,22.98,1666771097000,NORMAL
24.3,0,36.337388,127.431734,21.31,1666771103000,NORMAL
24.3,0,36.336406,127.432371,18.86,1666771109000,NORMAL
24.3,0,36.335699,127.432869,17.12,1666771114000,NORMAL
24.3,0,36.334977,127.433532,16.44,1666771120000,NORMAL
24.3,0,36.334338,127.433932,16.49,1666771125000,NORMAL
24.3,0,36.333792,127.434328,13.50,1666771130000,NORMAL
24.3,0,36.333152,127.434693,12.29,1666771136000,NORMAL
24.2,0,36.332604,127.434917,9.97,1666771142000,NORMAL
23.8,0,36.332278,127.434997,5.79,1666771148000,NORMAL
21.9,0,36.331867,127.435240,0.00,1666771162000,STOP
21.9,0,36.331867,127.435240,0.00,1666771207274,END
