accuracy,id,lat,lng,speed,time,type
10.514,1447201,36.3535032,127.4367432,0.46043217,1666831069999,START
10.632,1447202,36.3535112,127.4367435,0.68702596,1666831070999,NORMAL
9.603,1447203,36.353519,127.4367413,0.42836514,1666831072999,NORMAL
9.303,1447204,36.3535202,127.4367486,0.4185609,1666831073999,NORMAL
8.131,1447205,36.35352,127.4367521,0.1767716,1666831075999,NORMAL
8.175,1447206,36.35352,127.4367523,0.09121207,1666831076999,NORMAL
8.15,1447207,36.3535204,127.4367527,0.042418092,1666831078999,NORMAL
8.15,1447208,36.3535205,127.4367529,0.035191964,1666831079999,NORMAL
8.0,1447209,36.3535207,127.436754,0.036689237,1666831081999,NORMAL
8.0,1447210,36.3535207,127.4367542,0.0230925,1666831082999,NORMAL
8.0,1447211,36.3535207,127.4367541,0.0043384866,1666831084999,NORMAL
8.554,1447212,36.3535207,127.4367541,9.401601E-4,1666831085999,NORMAL
8.554,1447213,36.3535207,127.4367541,2.0648295E-4,1666831087999,NORMAL
8.554,1447214,36.3535207,127.4367541,1.6849006E-4,1666831088999,NORMAL
9.375,1447215,36.3535207,127.4367541,3.974291E-5,1666831090999,NORMAL
9.604,1447216,36.3535207,127.4367541,1.2433545E-5,1666831091999,NORMAL
9.375,1447217,36.3535207,127.4367541,1.6238707E-6,1666831093999,NORMAL
9.734,1447218,36.3535146,127.4367868,1.7720639,1666831094999,NORMAL
9.487,1447219,36.3535356,127.4367827,1.8667433,1666831096999,NORMAL
9.487,1447220,36.3535483,127.43678,2.6784325,1666831097999,NORMAL
9.148,1447221,36.3536075,127.4367533,4.338355,1666831099999,NORMAL
8.576,1447222,36.3536404,127.4367277,4.0049396,1666831100999,NORMAL
7.909,1447223,36.3536946,127.4366779,2.6446006,1666831102999,NORMAL
7.562,1447224,36.3537121,127.4366676,2.1557395,1666831103999,NORMAL
6.8,1447225,36.3537428,127.4366452,1.9433525,1666831105999,NORMAL
7.0,1447226,36.3537612,127.4366379,1.8069568,1666831106999,NORMAL
6.833,1447227,36.3538006,127.4366421,2.8645475,1666831108999,NORMAL
6.666,1447228,36.3538247,127.4366503,3.1368744,1666831109999,NORMAL
6.0,1447229,36.3538817,127.4366999,5.1694636,1666831111999,NORMAL
6.0,1447230,36.3539242,127.4367581,5.704338,1666831112999,NORMAL
6.4,1447231,36.3539989,127.4368788,5.345959,1666831114999,NORMAL
6.666,1447232,36.3540355,127.4369339,5.7140346,1666831115999,NORMAL
8.0,1447233,36.3541188,127.4370579,7.183345,1666831117999,NORMAL
8.0,1447234,36.3541665,127.4371264,7.6288342,1666831118999,NORMAL
8.0,1447235,36.3542638,127.4372673,7.8507214,1666831120999,NORMAL
7.666,1447236,36.3543134,127.4373402,8.350883,1666831121999,NORMAL
7.0,1447237,36.3544118,127.4374777,7.8284073,1666831123999,NORMAL
6.4,1447238,36.3544571,127.4375413,7.275629,1666831124999,NORMAL
6.0,1447239,36.3545182,127.437637,4.410217,1666831126999,NORMAL
6.0,1447240,36.3545366,127.4376737,3.4174516,1666831127999,NORMAL
5.333,1447241,36.3545235,127.4377612,4.3815866,1666831129999,NORMAL
4.888,1447242,36.3544987,127.4378103,5.344267,1666831130999,NORMAL
4.363,1447243,36.354401,127.4379179,7.8656635,1666831132999,NORMAL
4.2,1447244,36.3543388,127.437984,8.206511,1666831133999,NORMAL
4.75,1447245,36.3542137,127.4381116,8.055504,1666831135999,NORMAL
5.333,1447246,36.3541544,127.4381677,7.720656,1666831136999,NORMAL
6.0,1447247,36.3540479,127.4382541,6.3168883,1666831138999,NORMAL
6.0,1447248,36.3539943,127.4382723,5.8411374,1666831139999,NORMAL
6.0,1447249,36.35388,127.4382409,6.553113,1666831141999,NORMAL
6.0,1447250,36.3538259,127.4381944,7.107176,1666831142999,NORMAL
