accuracy,id,lat,lng,speed,time,type
10.666,203585,36.5215901,127.3549021,0.001985516,1667035008000,START
9.333,203586,36.5215893,127.3549012,1.7398584E-6,1667035009000,NORMAL
8.0,203587,36.5215949,127.3549024,3.3250805E-7,1667035011000,NORMAL
8.0,203588,36.5215961,127.3549016,1.5769422E-7,1667035012000,NORMAL
7.553,203589,36.5215973,127.3549015,0.28833848,1667035014000,NORMAL
7.219,203590,36.5215995,127.3549042,2.427137E-4,1667035015000,NORMAL
6.759,203591,36.5215994,127.3549049,1.12052476E-7,1667035017000,NORMAL
6.0,203592,36.5215993,127.3549065,3.141263E-9,1667035018000,NORMAL
6.0,203593,36.5215997,127.3549149,4.929542E-10,1667035020000,NORMAL
6.0,203594,36.5216013,127.3549203,1.0084487E-9,1667035021000,NORMAL
6.0,203595,36.5216066,127.3549331,5.282346E-10,1667035023000,NORMAL
6.0,203596,36.5216088,127.3549375,3.0721636E-9,1667035024000,NORMAL
6.0,203597,36.5216127,127.3549436,0.34023514,1667035026000,NORMAL
6.0,203598,36.5216171,127.3549472,0.008255768,1667035027000,NORMAL
6.0,203599,36.5216292,127.3549525,1.4283494E-4,1667035029000,NORMAL
6.105,203600,36.521629,127.354952,1.3562643E-6,1667035030000,NORMAL
6.105,203601,36.5216289,127.3549518,1.4930206E-11,1667035032000,NORMAL
6.105,203602,36.5216289,127.3549518,3.5380903E-11,1667035033000,NORMAL
6.0,203603,36.5216289,127.3549518,4.0410728E-13,1667035035000,NORMAL
6.0,203604,36.5216289,127.3549518,2.9325666E-13,1667035036000,NORMAL
5.666,203605,36.5216289,127.3549518,2.8879348E-13,1667035038000,NORMAL
5.714,203606,36.5216289,127.3549518,1.3479584E-15,1667035039000,NORMAL
5.75,203607,36.5216289,127.3549518,1.1923358E-14,1667035041000,NORMAL
6.0,203608,36.5216289,127.3549518,2.0948362E-13,1667035042000,NORMAL
6.75,203609,36.521612,127.3549384,0.8878838,1667035044000,NORMAL
7.0,203610,36.5216012,127.3549251,1.2086381,1667035045000,NORMAL
7.333,203611,36.521577,127.354896,1.7962333,1667035047000,NORMAL
7.044,203612,36.5215648,127.3548815,1.505335,1667035047974,NORMAL
6.895,203613,36.5215534,127.3548643,1.4597495,1667035050000,NORMAL
6.377,203614,36.5215465,127.3548519,2.0431232,1667035051000,NORMAL
6.323,203615,36.5215428,127.3548065,1.7547586,1667035053000,NORMAL
7.333,203616,36.5215426,127.3547867,1.9858863,1667035054000,NORMAL
7.666,203617,36.5215397,127.3547482,1.7049448,1667035056000,NORMAL
8.4,203618,36.5215431,127.3547278,2.5276659,1667035057000,NORMAL
8.571,203619,36.5215779,127.3546539,4.1147523,1667035059000,NORMAL
8.0,203620,36.5216034,127.3546044,4.4258394,1667035060000,NORMAL
7.428,203621,36.5216574,127.3545002,5.0914493,1667035062000,NORMAL
6.8,203622,36.5216897,127.3544457,5.548075,1667035063000,NORMAL
6.0,203623,36.5217667,127.3543327,6.3746324,1667035065000,NORMAL
6.0,203624,36.5218064,127.3542734,6.5762157,1667035066000,NORMAL
6.0,203625,36.5218967,127.3541411,7.6280756,1667035067999,NORMAL
6.0,203626,36.5219464,127.3540715,7.908877,1667035068999,NORMAL
6.0,203627,36.5220593,127.3539212,8.574294,1667035070999,NORMAL
6.0,203628,36.5221205,127.353838,8.867385,1667035071999,NORMAL
6.0,203629,36.522236,127.3536659,9.505298,1667035073999,NORMAL
5.666,203630,36.5222911,127.3535726,9.6222925,1667035074999,NORMAL
5.0,203631,36.5223834,127.3534077,7.3777013,1667035076999,NORMAL
4.4,203632,36.5224163,127.3533447,6.629018,1667035077999,NORMAL
4.0,203633,36.5224723,127.3532404,5.919447,1667035079999,NORMAL
4.4,203634,36.5225023,127.3531864,6.555785,1667035080999,NORMAL
5.0,203635,36.5225987,127.3530717,8.061969,1667035082999,NORMAL
5.6,203636,36.5226631,127.3530102,8.488637,1667035083999,NORMAL
6.0,203637,36.5228184,127.3528988,10.263621,1667035085999,NORMAL
6.0,203638,36.5229153,127.3528473,10.951412,1667035086999,NORMAL
5.666,203639,36.5231069,127.3527438,11.196843,1667035088999,NORMAL
5.333,203640,36.5231984,127.3526945,10.952304,1667035089999,NORMAL
4.666,203641,36.5233667,127.3525811,10.728717,1667035091999,NORMAL
4.0,203642,36.5234396,127.3524992,10.856535,1667035092999,NORMAL
4.0,203643,36.5235581,127.3523131,10.323646,1667035094999,NORMAL
4.0,203644,36.5236061,127.352224,9.193389,1667035095999,NORMAL
4.0,203645,36.5237026,127.3520918,7.771502,1667035097999,NORMAL
4.0,203646,36.5237542,127.3520393,7.5149302,1667035098999,NORMAL
4.0,203647,36.5238672,127.3519452,7.879108,1667035100999,NORMAL
4.0,203648,36.523924,127.3519028,6.803491,1667035101999,NORMAL
4.0,203649,36.524024,127.3518366,5.794085,1667035103999,NORMAL
4.333,203650,36.5240717,127.3518069,5.8548026,1667035104999,NORMAL
5.0,203651,36.5241917,127.35174,7.6809607,1667035106999,NORMAL
5.333,203652,36.5242686,127.3517097,8.22613,1667035107999,NORMAL
6.0,203653,36.5244335,127.3516835,8.523606,1667035109999,NORMAL
6.0,203654,36.524514,127.3516825,8.695634,1667035110999,NORMAL
6.0,203655,36.524677,127.3516949,8.994735,1667035112999,NORMAL
6.0,203656,36.5247606,127.3517016,9.440704,1667035113999,NORMAL
5.333,203657,36.5249296,127.3517117,9.571745,1667035115999,NORMAL
4.8,203658,36.5250156,127.3517155,9.337788,1667035116999,NORMAL
4.666,203659,36.5251798,127.3517274,9.404117,1667035118999,NORMAL
4.8,203660,36.5252657,127.3517331,9.178838,1667035119999,NORMAL
5.6,203661,36.5254378,127.3517295,9.550046,1667035121999,NORMAL
6.0,203662,36.525523,127.3517192,10.042958,1667035122999,NORMAL
6.0,203663,36.5257096,127.3516945,10.764879,1667035124999,NORMAL
5.6,203664,36.525808,127.3516787,10.941266,1667035125999,NORMAL
5.0,203665,36.5260005,127.3516466,10.618208,1667035127999,NORMAL
4.666,203666,36.5260953,127.3516321,10.524841,1667035128999,NORMAL
4.0,203667,36.5262731,127.3516054,9.316114,1667035130999,NORMAL
4.0,203668,36.5263465,127.3515945,8.125419,1667035131999,NORMAL
4.0,203669,36.5264775,127.3515766,7.4402523,1667035133999,NORMAL
4.0,203670,36.5265472,127.3515675,8.048003,1667035134999,NORMAL
4.0,203671,36.5267007,127.3515479,8.688506,1667035136999,NORMAL
4.0,203672,36.5267796,127.3515396,8.5324135,1667035137999,NORMAL
4.0,203673,36.5269133,127.3515335,6.064023,1667035139999,NORMAL
4.0,203674,36.5269632,127.3515357,5.921877,1667035140999,NORMAL
4.333,203675,36.5270727,127.3515452,6.978271,1667035142999,NORMAL
4.333,203676,36.5271384,127.3515554,7.5119166,1667035143999,NORMAL
4.4,203677,36.5272828,127.3515976,8.302698,1667035145999,NORMAL
4.333,203678,36.527357,127.3516275,8.641426,1667035146999,NORMAL
4.0,203679,36.5275097,127.3516985,9.129849,1667035148999,NORMAL
4.0,203680,36.5275871,127.3517388,9.056872,1667035149999,NORMAL
4.0,203681,36.5277376,127.3518087,8.879875,1667035151999,NORMAL
4.0,203682,36.5278159,127.3518304,8.687662,1667035152999,NORMAL
4.0,203683,36.5279718,127.3518364,8.665289,1667035154999,NORMAL
4.0,203684,36.5280513,127.3518259,9.029984,1667035155999,NORMAL
4.0,203685,36.5282208,127.3517947,9.688023,1667035157999,NORMAL
4.0,203686,36.5283084,127.3517806,9.680406,1667035158999,NORMAL
4.0,203687,36.5284772,127.3517548,9.092878,1667035160999,NORMAL
4.0,203688,36.5285558,127.3517425,8.688366,1667035161999,NORMAL
4.0,203689,36.528702,127.35172,8.0556345,1667035163999,NORMAL
4.0,203690,36.5287691,127.3517082,7.3395476,1667035164999,NORMAL
4.0,203691,36.5288886,127.3516873,7.0366035,1667035166999,NORMAL
4.0,203692,36.52895,127.3516767,7.1510963,1667035167999,NORMAL
4.0,203693,36.5290726,127.3516571,6.015051,1667035169999,NORMAL
4.0,203694,36.5291237,127.3516503,5.497477,1667035170999,NORMAL
4.0,203695,36.5292262,127.3516388,5.7827697,1667035172999,NORMAL
4.0,203696,36.5292796,127.3516336,6.1135383,1667035173999,NORMAL
4.0,203697,36.5294044,127.3516231,7.1265864,1667035175999,NORMAL
4.0,203698,36.5294731,127.3516208,7.691203,1667035176999,NORMAL
4.4,203699,36.5296193,127.3516237,8.610823,1667035178999,NORMAL
4.8,203700,36.5296969,127.3516295,7.9703426,1667035179999,NORMAL
5.6,203701,36.5298317,127.3516326,7.6562905,1667035181999,NORMAL
6.0,203702,36.5298989,127.3516343,7.245118,1667035182999,NORMAL
6.0,203703,36.5300327,127.3516439,7.3007154,1667035184999,NORMAL
6.0,203704,36.5301,127.3516506,7.1122065,1667035185999,NORMAL
5.333,203705,36.5302231,127.3516638,6.819355,1667035187999,NORMAL
5.333,203706,36.5302865,127.3516695,7.3310375,1667035188999,NORMAL
5.333,203707,36.5304166,127.3516855,7.39137,1667035190999,NORMAL
5.6,203708,36.5304857,127.3516947,7.4849553,1667035191999,NORMAL
5.666,203709,36.5306259,127.351712,7.7246714,1667035193999,NORMAL
5.2,203710,36.5306986,127.3517207,8.294183,1667035194999,NORMAL
4.666,203711,36.5308586,127.351744,9.121818,1667035196999,NORMAL
4.333,203712,36.5309443,127.3517612,9.382226,1667035197999,NORMAL
4.0,203713,36.5311141,127.3518013,9.130358,1667035199999,NORMAL
4.0,203714,36.5311923,127.3518212,8.404279,1667035200999,NORMAL
4.0,203715,36.5313334,127.3518567,8.580824,1667035202999,NORMAL
4.0,203716,36.5314079,127.3518765,8.112497,1667035203999,NORMAL
4.0,203717,36.5315456,127.3519114,7.815441,1667035205999,NORMAL
4.0,203718,36.5316155,127.3519298,8.181526,1667035206999,NORMAL
4.4,203719,36.531758,127.3519735,7.9306993,1667035208999,NORMAL
4.8,203720,36.5318303,127.3519928,7.9678674,1667035209999,NORMAL
5.333,203721,36.5319558,127.3520275,6.3897705,1667035211999,NORMAL
5.333,203722,36.5320082,127.35204,6.409612,1667035212999,NORMAL
5.0,203723,36.5321276,127.3520695,7.5107203,1667035214999,NORMAL
4.4,203724,36.5321956,127.3520854,7.5170507,1667035215999,NORMAL
4.0,203725,36.5323285,127.3521177,7.6420608,1667035217999,NORMAL
4.0,203726,36.5323965,127.3521347,7.998109,1667035218999,NORMAL
4.0,203727,36.5325461,127.3521756,8.812554,1667035220999,NORMAL
4.0,203728,36.5326243,127.3521986,9.13294,1667035221999,NORMAL
4.0,203729,36.5328026,127.3522588,10.858395,1667035223999,NORMAL
4.4,203730,36.5329006,127.3522967,11.570538,1667035224999,NORMAL
5.0,203731,36.5331032,127.3523879,12.092447,1667035226999,NORMAL
5.6,203732,36.5332089,127.3524333,11.895167,1667035227999,NORMAL
6.0,203733,36.5334283,127.3525287,12.85238,1667035229999,NORMAL
