accuracy,id,lat,lng,speed,time,type
16.0,423958,36.6286961,127.2890613,15.560335,1667090477066,START
14.233,423959,36.6284825,127.2891634,14.224434,1667090479101,NORMAL
14.275,423960,36.6283604,127.2891957,14.663597,1667090480094,NORMAL
15.093,423961,36.6280667,127.2892937,16.071539,1667090482043,NORMAL
13.816,423962,36.627886,127.2893198,17.011412,1667090483055,NORMAL
18.0,423963,36.6271815,127.289542,15.987688,1667090488084,NORMAL
18.666,423964,36.6270564,127.2895869,16.411806,1667090488999,NORMAL
12.666,423965,36.626769,127.2896971,17.196678,1667090490999,NORMAL
12.0,423966,36.6266204,127.2897586,17.672478,1667090491999,NORMAL
9.6,423967,36.6262972,127.289867,18.942728,1667090493999,NORMAL
8.8,423968,36.6261279,127.2899129,18.906517,1667090494999,NORMAL
8.0,423969,36.6257959,127.2899884,18.631811,1667090496999,NORMAL
8.0,423970,36.6256287,127.2900105,18.436281,1667090497999,NORMAL
8.8,423971,36.6253031,127.2900497,18.06694,1667090499999,NORMAL
9.6,423972,36.6251409,127.2900782,18.13457,1667090500999,NORMAL
11.2,423973,36.6248193,127.2901486,17.615704,1667090502999,NORMAL
11.333,423974,36.6246633,127.2901813,17.418434,1667090503999,NORMAL
12.0,423975,36.6243573,127.2902424,16.956966,1667090505999,NORMAL
12.0,423976,36.6242085,127.2902704,16.65406,1667090506999,NORMAL
13.333,423977,36.6239194,127.2903274,16.196075,1667090508999,NORMAL
14.0,423978,36.6237749,127.2903632,15.973001,1667090509999,NORMAL
15.333,423979,36.6234887,127.2904251,16.140892,1667090511999,NORMAL
16.0,423980,36.6233425,127.2904504,16.203888,1667090512999,NORMAL
16.0,423981,36.6230487,127.2904964,16.30887,1667090514999,NORMAL
15.333,423982,36.6229015,127.2905177,16.558657,1667090515999,NORMAL
14.0,423983,36.6226017,127.2905575,16.35498,1667090517999,NORMAL
12.8,423984,36.6224554,127.2905762,16.075903,1667090518999,NORMAL
12.0,423985,36.6221698,127.2906028,15.042722,1667090520999,NORMAL
12.0,423986,36.6220372,127.2906079,14.257613,1667090521999,NORMAL
12.0,423987,36.621815,127.2906051,10.984446,1667090523999,NORMAL
12.0,423988,36.6217296,127.2906048,9.623302,1667090524999,NORMAL
12.0,423989,36.6216125,127.2906065,5.901129,1667090526999,NORMAL
12.0,423990,36.6215857,127.2906173,4.421799,1667090527999,NORMAL
12.0,423991,36.6215643,127.290639,2.1205933,1667090529999,NORMAL
12.0,423992,36.6215662,127.2906415,1.0951523,1667090530999,NORMAL
12.0,423993,36.6215838,127.2906432,0.0016732727,1667090532999,NORMAL
12.316,423994,36.6215925,127.290644,7.937603E-5,1667090534759,NORMAL
11.128,423995,36.6215992,127.2906447,1.63152E-6,1667090535999,NORMAL
10.237,423996,36.6216012,127.2906449,3.6533756E-6,1667090536999,NORMAL
8.352,423997,36.6216026,127.290645,8.848307E-6,1667090539840,NORMAL
8.313,423998,36.6216028,127.290645,7.5828793E-6,1667090539999,NORMAL
8.117,423999,36.6216261,127.290666,2.632636E-6,1667090541999,NORMAL
7.831,424000,36.6216382,127.290677,8.566245E-7,1667090542999,NORMAL
7.268,424001,36.6216492,127.2906869,2.1035683E-4,1667090544999,NORMAL
7.146,424002,36.6216511,127.2906886,4.1796106E-6,1667090545999,NORMAL
7.84,424003,36.6216539,127.2906912,3.2729207E-5,1667090547999,NORMAL
8.451,424004,36.6216549,127.2906921,5.6904537E-5,1667090549896,NORMAL
8.361,424005,36.6216554,127.2906925,2.874624E-6,1667090550999,NORMAL
8.361,424006,36.6216555,127.2906926,8.3179236E-7,1667090551999,NORMAL
8.644,424007,36.6216557,127.2906928,1.9330287E-6,1667090554785,NORMAL
8.437,424008,36.6216557,127.2906928,8.0724085E-6,1667090554999,NORMAL
9.047,424009,36.6216524,127.290697,0.5487783,1667090556999,NORMAL
9.375,424010,36.6216407,127.2907,1.5240018,1667090557999,NORMAL
10.666,424011,36.621593,127.2907019,2.4375706,1667090559999,NORMAL
11.597,424012,36.6215594,127.2907054,3.3405457,1667090560999,NORMAL
12.169,424013,36.6214743,127.2907114,4.6575527,1667090562999,NORMAL
12.197,424014,36.62142,127.2907162,5.871052,1667090563999,NORMAL
12.0,424015,36.6212715,127.2907319,8.317071,1667090565999,NORMAL
12.0,424016,36.6211806,127.2907393,9.208274,1667090566999,NORMAL
12.0,424017,36.6209612,127.2907395,11.521207,1667090568999,NORMAL
12.0,424018,36.6208368,127.2907257,12.207448,1667090569999,NORMAL
12.0,424019,36.6205911,127.2907155,12.706744,1667090571999,NORMAL
12.0,424020,36.6204714,127.2907166,13.419994,1667090572999,NORMAL
12.0,424021,36.6202035,127.2907287,15.386037,1667090574999,NORMAL
12.0,424022,36.6200553,127.290745,16.205864,1667090575999,NORMAL
12.0,424023,36.619747,127.2907854,16.864426,1667090577999,NORMAL
12.0,424024,36.6195925,127.2908085,17.306385,1667090578999,NORMAL
12.0,424025,36.6192766,127.2908522,17.707882,1667090580999,NORMAL
12.0,424026,36.6191151,127.2908767,17.79444,1667090581999,NORMAL
12.0,424027,36.618783,127.2909322,17.414566,1667090583999,NORMAL
12.0,424028,36.6186201,127.290964,17.484476,1667090584999,NORMAL
12.0,424029,36.6183048,127.2910341,17.07199,1667090586999,NORMAL
12.0,424030,36.6181527,127.2910927,17.523619,1667090587999,NORMAL
12.0,424031,36.6178533,127.2912378,16.782969,1667090589999,NORMAL
12.0,424032,36.6177169,127.2913103,15.789974,1667090590999,NORMAL
12.0,424033,36.6174995,127.2914324,11.22248,1667090592999,NORMAL
13.377,424034,36.6173764,127.2914874,10.320852,1667090595245,NORMAL
13.18,424035,36.6173058,127.2914854,5.4499383,1667090595999,NORMAL
13.18,424036,36.617276,127.2914539,4.3629766,1667090596999,NORMAL
13.377,424037,36.6172777,127.2913335,3.0904903,1667090598999,NORMAL
12.0,424038,36.6172994,127.2912781,2.830002,1667090599999,OVER_STOP
12.0,424039,36.6173467,127.2911626,3.666057,1667090601999,NORMAL
12.263,424040,36.6173705,127.2910838,4.3883586,1667090603734,NORMAL
12.263,424041,36.6174005,127.2909529,5.4896965,1667090604999,NORMAL
12.263,424042,36.6174156,127.2908777,5.822376,1667090605999,NORMAL
12.263,424043,36.6174406,127.2907061,7.2474904,1667090607999,NORMAL
12.172,424044,36.6174507,127.2906066,8.142492,1667090608999,NORMAL
12.172,424045,36.6174695,127.2904006,8.638343,1667090610999,NORMAL
12.148,424046,36.6174787,127.2902975,8.6032915,1667090611999,NORMAL
12.0,424047,36.6174948,127.2900912,9.1894,1667090613999,NORMAL
12.0,424048,36.6175004,127.2899792,9.967796,1667090614999,NORMAL
11.2,424049,36.6175084,127.2897272,11.40317,1667090616999,NORMAL
10.4,424050,36.6175093,127.2895853,11.191565,1667090617999,NORMAL
8.8,424051,36.6174956,127.2893219,9.775021,1667090619999,NORMAL
9.333,424052,36.6174865,127.2892116,8.663372,1667090620999,NORMAL
10.0,424053,36.6174661,127.2890171,8.717134,1667090622999,NORMAL
10.666,424054,36.6174549,127.2889142,9.094014,1667090623999,NORMAL
12.0,424055,36.6174287,127.2886928,10.5576,1667090625999,NORMAL
12.0,424056,36.6174112,127.2885691,11.104552,1667090626999,NORMAL
13.6,424057,36.6173672,127.2883077,11.882535,1667090628999,NORMAL
13.6,424058,36.617335,127.2881729,11.811349,1667090629999,NORMAL
13.333,424059,36.6172579,127.2879299,10.701862,1667090631999,NORMAL
12.8,424060,36.6172163,127.28783,9.616421,1667090632999,NORMAL
12.0,424061,36.6171439,127.2876719,7.974101,1667090634999,NORMAL
12.0,424062,36.6171215,127.2876253,6.019939,1667090635999,NORMAL
12.295,424063,36.6171022,127.2875769,5.558281,1667090637999,NORMAL
12.258,424064,36.6170936,127.2875335,6.625764,1667090638999,NORMAL
12.258,424065,36.6170473,127.2873952,8.409374,1667090640999,NORMAL
12.399,424066,36.6169996,127.2872966,9.624411,1667090642835,NORMAL
12.465,424067,36.6169115,127.2871463,8.388839,1667090643999,NORMAL
12.399,424068,36.6168759,127.2870743,6.422011,1667090644999,NORMAL
12.399,424069,36.6168445,127.2869861,4.1588945,1667090646999,NORMAL
12.0,424070,36.6168342,127.2869717,3.9189034,1667090647999,NORMAL
12.0,424071,36.6167671,127.2869467,4.810995,1667090649999,NORMAL
12.0,424072,36.6167128,127.286938,5.2871523,1667090650999,NORMAL
12.176,424073,36.6165727,127.2869603,6.9896493,1667090652999,NORMAL
12.215,424074,36.6164937,127.2869801,7.400551,1667090653999,NORMAL
12.277,424075,36.6163411,127.2870451,5.8299026,1667090655999,NORMAL
