accuracy,id,lat,lng,speed,time,type
8.0,174144,36.4792233,127.2946024,4.922783E-18,1667114789999,START
8.109,174145,36.4792233,127.2946024,7.656926E-17,1667114791999,NORMAL
8.093,174146,36.4792233,127.2946024,1.809576E-18,1667114792999,NORMAL
8.093,174147,36.4792233,127.2946024,6.422478E-19,1667114794999,NORMAL
8.093,174148,36.4792233,127.2946024,3.7079216E-19,1667114795999,NORMAL
8.0,174149,36.4792233,127.2946024,2.3052963E-19,1667114797999,NORMAL
8.0,174150,36.4792233,127.2946024,2.880992E-19,1667114799000,NORMAL
8.0,174151,36.4792233,127.2946024,1.7687537E-19,1667114800000,NORMAL
8.0,174152,36.4792233,127.2946024,4.4216823E-20,1667114802000,NORMAL
8.0,174153,36.4792233,127.2946024,5.289408E-19,1667114804000,NORMAL
8.0,174154,36.4792233,127.2946024,4.2508993E-19,1667114805000,NORMAL
8.0,174155,36.4792233,127.2946024,2.2471012E-20,1667114807000,NORMAL
8.0,174156,36.4792233,127.2946024,2.4508677E-20,1667114808000,NORMAL
8.0,174157,36.4792233,127.2946024,1.0397429E-20,1667114810000,NORMAL
8.0,174158,36.4792233,127.2946024,1.08125835E-20,1667114811000,NORMAL
8.0,174159,36.4792233,127.2946024,8.090054E-21,1667114813000,NORMAL
9.22,174160,36.4792233,127.2946024,5.8460664E-19,1667114814423,NORMAL
9.22,174161,36.4792233,127.2946024,1.20846055E-20,1667114816000,NORMAL
9.045,174162,36.4792233,127.2946024,2.8725945E-22,1667114817000,NORMAL
9.045,174163,36.4792233,127.2946024,7.1347317E-26,1667114819000,NORMAL
8.0,174164,36.4792233,127.2946024,1.2225085E-29,1667114820000,NORMAL
8.002,174165,36.4792233,127.2946024,2.819793E-37,1667114822000,NORMAL
8.002,174166,36.4792233,127.2946024,5.6767E-41,1667114823000,NORMAL
8.002,174167,36.4791962,127.2945991,1.6307933,1667114825000,NORMAL
8.0,174168,36.4791743,127.2946094,2.5150955,1667114826000,NORMAL
8.0,174169,36.4791171,127.2946447,3.9593854,1667114828000,NORMAL
7.6,174170,36.4790793,127.2946687,4.373393,1667114829000,NORMAL
6.75,174171,36.479008,127.2947159,4.6995416,1667114831000,NORMAL
6.444,174172,36.4789655,127.2947458,5.2274494,1667114832000,NORMAL
5.6,174173,36.4788764,127.2948077,5.2663536,1667114834000,NORMAL
5.172,174174,36.4788398,127.2948338,4.9505773,1667114835000,NORMAL
6.155,174175,36.4787626,127.29488,5.3121204,1667114837000,NORMAL
6.443,174176,36.4787129,127.2949158,6.1155095,1667114838000,NORMAL
6.874,174177,36.4785974,127.2949954,7.596299,1667114840000,NORMAL
7.124,174178,36.4785304,127.2950392,8.359267,1667114841000,NORMAL
6.0,174179,36.478385,127.295135,9.035062,1667114843000,NORMAL
6.0,174180,36.4783123,127.2951836,8.96237,1667114844000,NORMAL
6.0,174181,36.4781661,127.2952801,9.077268,1667114846000,NORMAL
6.0,174182,36.4780937,127.2953258,8.915342,1667114847000,NORMAL
6.0,174183,36.4779576,127.2954129,8.353188,1667114849000,NORMAL
5.666,174184,36.4778935,127.2954546,8.115148,1667114850000,NORMAL
5.0,174185,36.4777804,127.2955308,6.3236465,1667114852000,NORMAL
4.666,174186,36.4777366,127.29556,5.6011467,1667114853000,NORMAL
4.666,174187,36.4776452,127.2956184,6.4543514,1667114855000,NORMAL
5.2,174188,36.477589,127.2956556,6.959331,1667114856000,NORMAL
5.666,174189,36.4774801,127.2957285,6.7251525,1667114858000,NORMAL
6.0,174190,36.4774258,127.2957646,6.628909,1667114859000,NORMAL
6.0,174191,36.4773225,127.2958339,6.3733416,1667114861000,NORMAL
6.0,174192,36.4772731,127.2958675,6.234883,1667114862000,NORMAL
6.0,174193,36.4771781,127.2959313,5.7501087,1667114864000,NORMAL
6.0,174194,36.4771329,127.2959619,5.3471847,1667114865000,NORMAL
7.12,174195,36.4770459,127.2960107,5.146156,1667114867000,NORMAL
6.786,174196,36.4770012,127.2960264,5.099087,1667114868000,NORMAL
6.388,174197,36.4769039,127.2960431,5.811068,1667114870000,NORMAL
4.666,174198,36.4768491,127.2960504,6.0089984,1667114871000,NORMAL
5.333,174199,36.4767494,127.2960875,5.4864893,1667114873000,NORMAL
6.0,174200,36.4767163,127.2961314,5.054674,1667114874000,NORMAL
6.0,174201,36.4767092,127.2962516,4.857246,1667114876000,NORMAL
6.0,174202,36.4767409,127.2963013,5.3832364,1667114877000,NORMAL
6.0,174203,36.4768307,127.2963971,6.7072883,1667114879000,NORMAL
6.0,174204,36.476884,127.296452,7.236005,1667114880000,NORMAL
6.0,174205,36.4769842,127.2965739,7.011364,1667114882000,NORMAL
6.0,174206,36.4770256,127.2966338,6.3374815,1667114883000,NORMAL
6.0,174207,36.4770948,127.2967475,6.5813456,1667114885000,NORMAL
6.4,174208,36.4771303,127.2968114,7.171546,1667114886000,NORMAL
6.8,174209,36.4772228,127.2969684,8.766826,1667114888000,NORMAL
7.78,174210,36.4772949,127.2970855,9.111665,1667114889348,NORMAL
7.526,174211,36.4773809,127.2972275,9.683703,1667114891000,NORMAL
7.24,174212,36.4774388,127.2973268,10.528871,1667114892000,NORMAL
7.114,174213,36.4775583,127.2975412,11.371113,1667114894000,NORMAL
6.0,174214,36.4776182,127.2976518,11.710454,1667114895000,NORMAL
6.0,174215,36.4777376,127.2978788,11.999827,1667114897000,NORMAL
6.0,174216,36.4777986,127.2979977,12.532361,1667114898000,NORMAL
6.0,174217,36.4779185,127.2982525,13.094991,1667114900000,NORMAL
6.0,174218,36.4779802,127.2983839,13.383942,1667114901000,NORMAL
6.0,174219,36.4781019,127.2986532,13.849125,1667114903000,NORMAL
6.0,174220,36.4781617,127.2987914,14.147293,1667114904000,NORMAL
6.0,174221,36.4782892,127.2990737,14.532308,1667114906000,NORMAL
6.0,174222,36.4783468,127.299218,14.40579,1667114907000,NORMAL
6.0,174223,36.4784565,127.2994998,13.587357,1667114909000,NORMAL
6.4,174224,36.4785109,127.2996313,13.364711,1667114910000,NORMAL
7.0,174225,36.4786159,127.2998964,13.455363,1667114912000,NORMAL
7.333,174226,36.4786665,127.3000316,13.582174,1667114913000,NORMAL
8.0,174227,36.4787664,127.3003118,13.786393,1667114915000,NORMAL
8.0,174228,36.4788138,127.3004551,14.0044365,1667114916000,NORMAL
8.0,174229,36.4789106,127.3007541,13.807885,1667114918000,NORMAL
8.0,174230,36.4789554,127.3008981,13.839395,1667114919000,NORMAL
8.0,174231,36.4790405,127.3011982,13.981606,1667114921000,NORMAL
8.0,174232,36.4790796,127.3013535,13.836491,1667114922000,NORMAL
8.0,174233,36.4791512,127.3016675,13.621634,1667114924000,NORMAL
8.0,174234,36.4791849,127.3018222,13.015727,1667114925000,NORMAL
8.0,174235,36.4792441,127.3021179,12.401752,1667114927000,NORMAL
8.0,174236,36.4792707,127.3022661,12.420016,1667114928000,NORMAL
8.0,174237,36.4793164,127.3025623,12.67216,1667114930000,NORMAL
8.0,174238,36.4793388,127.3027146,12.778835,1667114931000,NORMAL
8.0,174239,36.4793913,127.3030337,12.694671,1667114933000,NORMAL
8.0,174240,36.4794136,127.3031912,12.504293,1667114934000,NORMAL
8.666,174241,36.4794443,127.3034924,12.746292,1667114936000,NORMAL
9.333,174242,36.479457,127.3036519,13.259044,1667114937000,NORMAL
11.2,174243,36.479479,127.3039948,14.150103,1667114939000,NORMAL
11.2,174244,36.4794854,127.3041804,14.295678,1667114940000,NORMAL
10.075,174245,36.4794975,127.3045278,14.113195,1667114942000,NORMAL
9.408,174246,36.4795112,127.3046962,13.76781,1667114943000,NORMAL
8.635,174247,36.4795499,127.3050009,13.354252,1667114945000,NORMAL
8.741,174248,36.4795745,127.3051538,12.982798,1667114946000,NORMAL
7.666,174249,36.4796195,127.3054342,12.062323,1667114948000,NORMAL
7.333,174250,36.4796382,127.3055679,11.875831,1667114949000,NORMAL
6.666,174251,36.4796699,127.3058304,11.761755,1667114951000,NORMAL
6.0,174252,36.479686,127.3059643,11.866319,1667114952000,NORMAL
6.0,174253,36.4797143,127.3062395,12.126028,1667114954000,NORMAL
6.0,174254,36.4797266,127.3063825,12.393093,1667114955000,NORMAL
6.0,174255,36.4797498,127.3066743,12.713883,1667114957000,NORMAL
6.0,174256,36.4797608,127.3068212,12.937916,1667114958000,NORMAL
6.0,174257,36.4797911,127.3071135,12.80075,1667114960000,NORMAL
6.0,174258,36.4798054,127.3072539,12.387579,1667114961000,NORMAL
6.0,174259,36.479833,127.3075223,11.557523,1667114963000,NORMAL
6.0,174260,36.4798472,127.3076484,11.1595955,1667114964000,NORMAL
6.0,174261,36.4798619,127.3078764,9.541564,1667114966000,NORMAL
6.0,174262,36.4798574,127.3079679,7.817497,1667114967000,NORMAL
5.666,174263,36.4798263,127.3080968,5.913485,1667114969000,NORMAL
5.6,174264,36.4798053,127.3081506,5.540926,1667114970000,NORMAL
5.666,174265,36.479739,127.3082678,6.964935,1667114972000,NORMAL
5.6,174266,36.4796888,127.3083274,7.6659403,1667114973000,NORMAL
4.8,174267,36.4795579,127.3084425,9.112423,1667114975000,NORMAL
4.91,174268,36.4794861,127.3085018,9.826562,1667114976000,NORMAL
4.494,174269,36.4793297,127.308652,11.152131,1667114978000,NORMAL
4.577,174270,36.4792503,127.308733,10.862105,1667114979000,NORMAL
4.0,174271,36.4791023,127.3088837,10.317586,1667114981000,NORMAL
4.0,174272,36.4790315,127.3089584,10.197932,1667114982000,NORMAL
4.0,174273,36.4788931,127.3091183,11.024647,1667114984000,NORMAL
4.0,174274,36.4788248,127.30921,11.617292,1667114985000,NORMAL
4.0,174275,36.4786769,127.3094135,12.71213,1667114987000,NORMAL
4.0,174276,36.4785966,127.3095229,13.24075,1667114988000,NORMAL
4.0,174277,36.4784304,127.3097607,14.278013,1667114990000,NORMAL
4.0,174278,36.4783478,127.3098889,14.687246,1667114991000,NORMAL
4.0,174279,36.478186,127.3101613,15.53525,1667114993000,NORMAL
4.0,174280,36.478107,127.3103093,16.009918,1667114994000,NORMAL
4.0,174281,36.4779565,127.3106353,16.865711,1667114996000,NORMAL
4.0,174282,36.4778861,127.3108097,17.309277,1667114997000,NORMAL
4.0,174283,36.4777597,127.3111733,18.095133,1667114999000,NORMAL
4.0,174284,36.4777007,127.3113642,18.499722,1667115000000,NORMAL
4.0,174285,36.477595,127.3117656,19.064127,1667115002000,NORMAL
4.0,174286,36.477553,127.3119726,19.129496,1667115003000,NORMAL
4.0,174287,36.4774885,127.3123774,18.103308,1667115005000,NORMAL
4.0,174288,36.4774669,127.3125707,17.565033,1667115006000,NORMAL
4.0,174289,36.4774319,127.3129592,17.471712,1667115008000,NORMAL
4.0,174290,36.4774214,127.3131544,17.618578,1667115009000,NORMAL
4.0,174291,36.4774099,127.3135484,17.923248,1667115011000,NORMAL
4.0,174292,36.4774071,127.3137562,18.213045,1667115012000,NORMAL
5.142,174293,36.4774094,127.3141589,18.640396,1667115014000,NORMAL
6.0,174294,36.4774147,127.3143712,18.863987,1667115015000,NORMAL
7.2,174295,36.4774254,127.3148008,19.364824,1667115017000,NORMAL
7.0,174296,36.4774278,127.3150157,19.637924,1667115018000,NORMAL
6.0,174297,36.4774212,127.3154702,20.30172,1667115020000,NORMAL
5.2,174298,36.4774148,127.3157014,20.629549,1667115021000,NORMAL
6.0,174299,36.47741,127.3161689,21.290085,1667115023000,NORMAL
6.4,174300,36.4773972,127.3164108,21.811031,1667115024000,NORMAL
7.333,174301,36.4773676,127.3169135,22.591213,1667115026000,NORMAL
8.0,174302,36.477349,127.3171675,22.849127,1667115027000,NORMAL
8.0,174303,36.4772973,127.3176818,23.604626,1667115029000,NORMAL
8.0,174304,36.4772605,127.3179499,24.097937,1667115030000,NORMAL
7.666,174305,36.4771764,127.3184946,23.85908,1667115032000,NORMAL
7.333,174306,36.4771326,127.3187594,23.968166,1667115033000,NORMAL
7.2,174307,36.4770479,127.3193004,24.783792,1667115035000,NORMAL
7.333,174308,36.4769964,127.3195736,25.40383,1667115036000,NORMAL
8.0,174309,36.4768884,127.320125,25.048937,1667115038000,NORMAL
8.0,174310,36.4768308,127.3203979,24.804897,1667115039000,NORMAL
7.6,174311,36.4767017,127.32093,24.567106,1667115041000,NORMAL
7.2,174312,36.4766347,127.3211928,24.64029,1667115042000,NORMAL
6.571,174313,36.4764889,127.3217345,24.66269,1667115044000,NORMAL
6.285,174314,36.4764171,127.321982,24.45179,1667115045000,NORMAL
6.0,174315,36.4762694,127.3224772,23.446869,1667115047000,NORMAL
6.0,174316,36.476192,127.32272,23.211775,1667115048000,NORMAL
5.2,174317,36.47604,127.3231963,22.95949,1667115050000,NORMAL
5.0,174318,36.4759696,127.3234376,22.852253,1667115051000,NORMAL
4.333,174319,36.4758293,127.3239167,22.603994,1667115053000,NORMAL
4.0,174320,36.4757609,127.3241533,22.492168,1667115054000,NORMAL
5.333,174321,36.4756247,127.324603,21.624348,1667115056000,NORMAL
6.0,174322,36.4755734,127.3248356,21.179312,1667115057000,NORMAL
6.333,174323,36.4754626,127.3252841,21.235569,1667115059000,NORMAL
6.666,174324,36.4754099,127.3255107,21.346428,1667115060000,NORMAL
5.333,174325,36.4753226,127.3259684,21.161562,1667115062000,NORMAL
5.333,174326,36.4752766,127.3261984,21.306076,1667115063000,NORMAL
5.2,174327,36.4751998,127.3266645,21.011778,1667115065000,NORMAL
5.333,174328,36.4751602,127.3269015,21.767778,1667115066000,NORMAL
6.0,174329,36.4750702,127.327386,22.276876,1667115068000,NORMAL
6.0,174330,36.4750268,127.3276311,22.509285,1667115069000,NORMAL
6.666,174331,36.4749467,127.3281337,22.918652,1667115071000,NORMAL
7.0,174332,36.4749174,127.3283945,23.166119,1667115072000,NORMAL
7.6,174333,36.4748513,127.3289184,23.790337,1667115074000,NORMAL
7.333,174334,36.4748123,127.3291917,24.01917,1667115075000,NORMAL
6.666,174335,36.4747372,127.3297436,24.805267,1667115077000,NORMAL
6.0,174336,36.4747065,127.3300213,24.744207,1667115078000,NORMAL
6.0,174337,36.474644,127.3305925,24.541742,1667115080000,NORMAL
6.0,174338,36.4746118,127.3308355,24.357067,1667115081000,NORMAL
6.0,174339,36.4745495,127.3313538,23.69353,1667115083000,NORMAL
6.0,174340,36.4745262,127.3316103,23.436842,1667115084000,NORMAL
6.0,174341,36.4744903,127.3321214,22.816463,1667115086000,NORMAL
6.0,174342,36.4744733,127.3323725,22.507635,1667115087000,NORMAL
6.0,174343,36.4744391,127.3328595,21.8805,1667115089000,NORMAL
6.0,174344,36.4744217,127.3330949,21.577295,1667115090000,NORMAL
6.0,174345,36.4743886,127.3335638,20.992954,1667115092000,NORMAL
6.0,174346,36.4743724,127.3337963,20.717127,1667115093000,NORMAL
5.2,174347,36.4743395,127.3342442,20.14211,1667115095000,NORMAL
5.0,174348,36.4743227,127.3344665,20.044003,1667115096000,NORMAL
5.0,174349,36.4742903,127.3349168,20.46539,1667115098000,NORMAL
5.0,174350,36.474274,127.3351465,20.457592,1667115099000,NORMAL
6.0,174351,36.4742419,127.3356015,20.37083,1667115101000,NORMAL
6.0,174352,36.474228,127.3358258,20.154215,1667115102000,NORMAL
6.0,174353,36.474194,127.3363482,19.468851,1667115104000,NORMAL
6.0,174354,36.4741813,127.3365112,19.16955,1667115105000,NORMAL
6.0,174355,36.4741549,127.3369138,18.404524,1667115107000,NORMAL
6.0,174356,36.4741418,127.3371159,18.288906,1667115108000,NORMAL
6.0,174357,36.4741151,127.3375263,18.92381,1667115110000,NORMAL
6.0,174358,36.4741034,127.337734,19.10398,1667115111000,NORMAL
6.333,174359,36.4740773,127.3381578,19.797697,1667115113000,NORMAL
6.666,174360,36.4740619,127.3383821,20.138025,1667115114000,NORMAL
7.6,174361,36.4740294,127.3388341,20.761318,1667115116000,NORMAL
7.666,174362,36.4740123,127.33906,21.112204,1667115117000,NORMAL
