accuracy,id,lat,lng,speed,time,type
24.3,0,36.386624,127.318033,0.49,1667269309000,START
29.7,0,36.386604,127.318288,0.00,1667269314000,STOP
24.3,0,36.387064,127.318524,6.14,1667269385000,NORMAL
24.3,0,36.387338,127.318332,7.02,1667269390000,NORMAL
24.3,0,36.387633,127.318157,6.94,1667269395000,NORMAL
24.3,0,36.387833,127.318008,3.14,1667269401000,NORMAL
24.3,0,36.387847,127.318008,0.00,1667269406000,STOP
24.3,0,36.387894,127.317947,2.72,1667269717000,NORMAL
24.3,0,36.388127,127.317744,7.19,1667269722000,NORMAL
24.3,0,36.388597,127.317416,11.05,1667269728000,NORMAL
24.3,0,36.389031,127.317105,10.98,1667269733000,NORMAL
24.3,0,36.389560,127.316741,10.86,1667269739000,NORMAL
24.3,0,36.390059,127.316358,10.96,1667269745000,NORMAL
24.3,0,36.390488,127.316033,11.08,1667269750000,NORMAL
24.3,0,36.390967,127.315697,9.45,1667269756000,NORMAL
24.3,0,36.391257,127.315533,4.81,1667269761000,NORMAL
24.3,0,36.391310,127.315508,0.00,1667269767000,STOP
24.3,0,36.391446,127.315406,4.68,1667269806000,NORMAL
24.3,0,36.391721,127.315158,8.84,1667269811000,NORMAL
24.3,0,36.392129,127.314802,11.85,1667269816000,NORMAL
24.3,0,36.392578,127.314431,12.14,1667269821000,NORMAL
24.3,0,36.393045,127.314020,13.37,1667269826000,NORMAL
24.3,0,36.393665,127.313544,12.82,1667269832000,NORMAL
24.3,0,36.394233,127.313145,11.52,1667269838000,NORMAL
24.3,0,36.394753,127.312769,11.14,1667269844000,NORMAL
24.3,0,36.395315,127.312378,12.81,1667269850000,NORMAL
24.3,0,36.395840,127.311976,14.13,1667269855000,NORMAL
24.3,0,36.396611,127.311536,16.71,1667269861000,NORMAL
24.3,0,36.397399,127.311238,19.19,1667269866000,NORMAL
24.3,0,36.398387,127.310705,20.86,1667269872000,NORMAL
24.3,0,36.399466,127.310041,22.90,1667269878000,NORMAL
24.3,0,36.400275,127.309299,22.41,1667269883000,NORMAL
8.2,0,36.401246,127.308410,22.70,1667269889000,NORMAL
8.2,0,36.402067,127.307666,22.33,1667269894000,NORMAL
8.2,0,36.403046,127.306779,22.60,1667269900000,NORMAL
8.2,0,36.404047,127.305839,23.32,1667269906000,NORMAL
8.2,0,36.404932,127.305113,23.42,1667269911000,NORMAL
8.2,0,36.405810,127.304401,23.45,1667269916000,NORMAL
8.2,0,36.406894,127.303602,23.58,1667269922000,NORMAL
8.2,0,36.407842,127.302963,24.31,1667269927000,NORMAL
8.2,0,36.409025,127.302272,24.23,1667269933000,NORMAL
11.1,0,36.410026,127.301748,24.00,1667269938000,NORMAL
8.2,0,36.411243,127.301149,24.15,1667269944000,NORMAL
11.2,0,36.412269,127.300740,24.17,1667269949000,NORMAL
12.7,0,36.413520,127.300302,24.00,1667269955000,NORMAL
