accuracy,id,lat,lng,speed,time,type
18.945,29828,36.4919394,127.2618579,1.4034454,1667463671999,START
16.945,29829,36.4919235,127.2618568,1.8737197,1667463672999,NORMAL
15.611,29830,36.4918878,127.2618722,1.51397,1667463674999,NORMAL
12.8,29831,36.491873,127.2618812,1.4713967,1667463675999,NORMAL
12.0,29832,36.4918418,127.2618826,0.52308565,1667463677999,NORMAL
12.0,29833,36.4918321,127.2618768,0.5315036,1667463678999,NORMAL
12.0,29834,36.4918157,127.2618633,0.6751017,1667463680999,NORMAL
12.0,29835,36.491806,127.2618474,0.7267282,1667463681999,NORMAL
12.0,29836,36.4917557,127.2618028,2.6998227,1667463683999,NORMAL
12.131,29837,36.4917149,127.261755,3.7718725,1667463684999,NORMAL
10.398,29838,36.491662,127.2616606,4.263007,1667463686999,NORMAL
9.598,29839,36.4916516,127.261607,5.014211,1667463687999,NORMAL
7.555,29840,36.4916365,127.2614726,6.342899,1667463689999,NORMAL
7.333,29841,36.4916331,127.2613977,6.756771,1667463690999,NORMAL
6.333,29842,36.4916104,127.2612312,7.5934167,1667463692999,NORMAL
6.0,29843,36.4915976,127.2611424,7.316166,1667463693999,NORMAL
6.4,29844,36.491579,127.2609783,6.343454,1667463695999,NORMAL
6.8,29845,36.4915751,127.2609073,6.2976537,1667463696999,NORMAL
7.6,29846,36.4915736,127.2607693,5.1072774,1667463698999,NORMAL
7.6,29847,36.4915723,127.2607053,4.7650213,1667463699999,NORMAL
6.857,29848,36.4915719,127.2605876,4.5945306,1667463701999,NORMAL
6.571,29849,36.4915735,127.2605299,4.3190613,1667463702999,NORMAL
6.0,29850,36.4915873,127.2604401,3.9299035,1667463704999,NORMAL
7.811,29852,36.4916146,127.2603209,3.707099,1667463707999,NORMAL
7.811,29853,36.4916115,127.260283,3.3425403,1667463708999,NORMAL
7.267,29851,36.4916032,127.2603887,4.049262,1667463709203,NORMAL
7.478,29854,36.4915606,127.2602303,3.769467,1667463710999,NORMAL
6.333,29855,36.4915221,127.2602101,3.6957183,1667463711999,NORMAL
6.0,29856,36.4914502,127.2602365,3.7991526,1667463713999,OVER_ACCEL
6.0,29857,36.4914179,127.2602682,3.948239,1667463714999,NORMAL
6.0,29858,36.4913479,127.260326,4.428296,1667463716999,NORMAL
6.0,29859,36.4913042,127.2603404,4.7286515,1667463717999,NORMAL
6.0,29860,36.4912314,127.2603482,4.056739,1667463719999,NORMAL
6.0,29861,36.4911923,127.2603543,3.7986128,1667463720999,NORMAL
6.0,29862,36.4911146,127.2603744,4.2955904,1667463722999,NORMAL
6.0,29863,36.4910761,127.2603842,4.258895,1667463723999,NORMAL
6.0,29864,36.4909914,127.2604007,4.997012,1667463725999,NORMAL
6.0,29865,36.4909465,127.2604083,5.2924743,1667463726999,NORMAL
6.4,29866,36.4908468,127.2604279,5.832884,1667463728999,NORMAL
6.666,29867,36.4907927,127.2604407,6.0509505,1667463729999,NORMAL
6.666,29868,36.4906793,127.2604627,6.14071,1667463731999,NORMAL
6.8,29869,36.4906256,127.2604727,5.9234223,1667463732999,NORMAL
6.333,29870,36.4905228,127.2604924,5.100579,1667463734999,NORMAL
6.0,29871,36.4904757,127.2605008,5.0683427,1667463735999,NORMAL
6.0,29872,36.49039,127.2605167,4.634545,1667463737999,NORMAL
5.6,29873,36.4903501,127.2605242,4.5033436,1667463738999,NORMAL
5.333,29874,36.4902716,127.2605372,4.202123,1667463740999,NORMAL
5.333,29875,36.4902367,127.2605432,3.7953281,1667463741999,NORMAL
4.666,29876,36.4901771,127.2605522,3.2462056,1667463743999,NORMAL
4.666,29877,36.4901488,127.2605563,3.1635401,1667463744999,NORMAL
4.571,29878,36.4901007,127.2605645,2.7002532,1667463747000,NORMAL
4.571,29879,36.4900741,127.2605689,2.9579563,1667463748000,NORMAL
5.25,29880,36.4900227,127.2605753,2.8075783,1667463750000,NORMAL
5.714,29881,36.4899956,127.2605793,2.7760847,1667463751000,NORMAL
6.0,29882,36.489939,127.2605827,3.4838784,1667463753000,NORMAL
6.0,29883,36.4899053,127.2605769,3.547626,1667463754000,NORMAL
6.0,29884,36.4898398,127.2605392,3.7396336,1667463756000,NORMAL
6.0,29885,36.489807,127.2605237,3.6871214,1667463757000,NORMAL
6.0,29886,36.4897421,127.2605313,3.913269,1667463759000,NORMAL
6.0,29887,36.4897101,127.2605538,3.9680638,1667463760000,NORMAL
6.0,29888,36.4896478,127.2606155,4.3293386,1667463762000,NORMAL
6.0,29889,36.4896075,127.2606369,4.9618125,1667463763000,NORMAL
6.333,29890,36.4895306,127.2606578,3.579224,1667463765000,NORMAL
7.0,29891,36.48951,127.2606605,3.3247247,1667463766000,NORMAL
7.714,29892,36.4894457,127.2606719,3.8600035,1667463768000,NORMAL
7.75,29893,36.4894114,127.2606779,3.8944175,1667463769000,NORMAL
