accuracy,id,lat,lng,speed,time,type
6.426,202829,36.4921352,127.2683534,1.1487145,1667481957000,START
5.547,202830,36.4921441,127.268345,2.052188,1667481959000,NORMAL
6.018,202831,36.4921855,127.2683315,2.677861,1667481961000,NORMAL
5.285,202832,36.492249,127.2683506,4.0671988,1667481963000,NORMAL
3.9,202833,36.4923029,127.2684379,5.4906583,1667481965000,NORMAL
3.9,202834,36.4923362,127.2685143,2.0274458,1667481967000,NORMAL
5.107,202835,36.4923545,127.2685551,2.447801,1667481969708,NORMAL
5.409,202836,36.4923655,127.2685784,1.8105657,1667481971000,NORMAL
5.409,202837,36.4923851,127.2686294,3.3044763,1667481973000,NORMAL
10.554,202838,36.4924054,127.2686732,3.2933714,1667481974774,NORMAL
8.891,202839,36.4924183,127.2687195,4.5373116,1667481975000,NORMAL
8.891,202840,36.4924536,127.2688021,3.2203107,1667481977000,NORMAL
8.863,202841,36.4924802,127.2688595,2.9904778,1667481979000,NORMAL
5.578,202842,36.4924852,127.2688708,2.9892094,1667481979776,OVER_ACCEL
5.551,202843,36.4925015,127.2689076,2.4306035,1667481981000,NORMAL
5.551,202844,36.4925167,127.2689439,1.3914427,1667481983000,NORMAL
3.863,202845,36.4925238,127.268962,1.0698187,1667481985000,NORMAL
3.9,202846,36.4925225,127.268993,1.9432698,1667481987000,NORMAL
5.344,202847,36.4925081,127.2690582,3.1657789,1667481989804,NORMAL
5.705,202848,36.4924475,127.2691276,6.407751,1667481991000,NORMAL
5.705,202849,36.4923163,127.2692174,9.047973,1667481993000,NORMAL
3.9,202850,36.4921839,127.2692966,5.3888197,1667481995000,NORMAL
3.9,202851,36.4921041,127.2693473,5.948801,1667481997000,NORMAL
3.9,202852,36.492003,127.2694129,6.4355636,1667481999000,NORMAL
3.9,202853,36.4919206,127.2694659,3.0866313,1667482001000,NORMAL
3.9,202854,36.4918798,127.2694892,3.2356575,1667482003000,NORMAL
3.9,202855,36.4918144,127.2695278,5.8280425,1667482005000,NORMAL
3.9,202856,36.4917176,127.2695747,6.1802216,1667482007000,NORMAL
3.9,202857,36.4916008,127.2696096,6.7406464,1667482009000,NORMAL
3.9,202858,36.4914808,127.2697018,9.797369,1667482011000,NORMAL
3.9,202859,36.4913504,127.2698835,10.8601675,1667482013000,NORMAL
3.9,202860,36.4911955,127.2700072,9.998408,1667482015000,NORMAL
3.9,202861,36.4910297,127.2701101,11.225653,1667482017000,NORMAL
3.9,202862,36.4908374,127.2702156,13.018153,1667482019000,NORMAL
3.9,202863,36.4906116,127.2703425,14.987041,1667482021000,NORMAL
3.9,202864,36.4903623,127.2705006,15.630783,1667482023000,NORMAL
3.9,202865,36.4900983,127.2706652,16.972692,1667482025000,NORMAL
3.9,202866,36.4898164,127.2708408,17.953587,1667482027000,NORMAL
3.9,202867,36.4895277,127.2710262,18.216686,1667482029000,NORMAL
3.9,202868,36.4892225,127.2711873,18.446129,1667482031000,NORMAL
3.9,202869,36.4888729,127.2712248,19.437672,1667482033000,NORMAL
3.9,202870,36.4885012,127.2712268,21.019424,1667482035000,NORMAL
3.9,202871,36.4881262,127.271296,21.352264,1667482037000,NORMAL
3.9,202872,36.4877956,127.2715549,22.211033,1667482039000,NORMAL
3.863,202873,36.4875354,127.2719464,22.726978,1667482041000,NORMAL
3.863,202874,36.4872768,127.2723517,23.584848,1667482043000,NORMAL
3.863,202875,36.4869974,127.2727635,24.296556,1667482045000,NORMAL
3.9,202876,36.4867059,127.2731769,24.67468,1667482047000,NORMAL
3.9,202877,36.4864355,127.2736235,25.127808,1667482049000,NORMAL
3.9,202878,36.4862216,127.2741196,25.343634,1667482051000,NORMAL
3.9,202879,36.486061,127.2746565,25.938595,1667482053000,NORMAL
3.9,202880,36.4859629,127.2752345,26.797989,1667482055000,NORMAL
3.9,202881,36.4859272,127.2758437,27.378387,1667482057000,NORMAL
3.863,202882,36.4859097,127.2764615,28.00987,1667482059000,NORMAL
3.863,202883,36.4858746,127.2770939,28.545303,1667482061000,NORMAL
3.863,202884,36.4858412,127.2777222,27.142273,1667482063000,NORMAL
3.9,202885,36.4858153,127.2783129,25.669596,1667482065000,NORMAL
3.9,202886,36.4858081,127.2788692,24.67166,1667482067000,NORMAL
3.863,202887,36.4858168,127.2793867,22.718813,1667482069000,NORMAL
3.863,202888,36.4858473,127.2798695,20.76984,1667482071000,NORMAL
3.863,202889,36.4858918,127.2802802,17.435217,1667482073000,NORMAL
3.9,202890,36.4859437,127.2806351,16.284231,1667482075000,NORMAL
3.9,202891,36.4860025,127.2809585,13.947758,1667482077000,NORMAL
3.9,202892,36.4860712,127.2812487,13.240321,1667482079000,NORMAL
3.9,202893,36.4861403,127.2815264,13.639867,1667482081000,NORMAL
3.9,202894,36.4862224,127.2818233,14.639746,1667482083000,NORMAL
3.9,202895,36.4863192,127.2821311,14.550112,1667482085000,NORMAL
3.9,202896,36.4864181,127.2824205,13.884989,1667482087000,NORMAL
3.9,202897,36.4865307,127.2827068,14.862733,1667482089000,NORMAL
3.9,202898,36.4866525,127.2830036,15.609763,1667482091000,NORMAL
3.9,202899,36.4867893,127.2833069,15.19137,1667482093000,NORMAL
3.9,202900,36.4869339,127.2835978,15.459739,1667482095000,NORMAL
3.9,202901,36.4870982,127.2838806,15.529973,1667482097000,NORMAL
3.9,202902,36.4872656,127.2841505,14.655651,1667482099000,NORMAL
3.9,202903,36.4874289,127.2844065,14.480816,1667482101000,NORMAL
3.9,202904,36.4876027,127.28465,14.629956,1667482103000,NORMAL
3.9,202905,36.4877856,127.2848904,14.600013,1667482105000,NORMAL
3.9,202906,36.4879699,127.2851201,14.260719,1667482107000,NORMAL
3.9,202907,36.4881636,127.2853398,15.459053,1667482109000,NORMAL
3.9,202908,36.4883812,127.2855734,16.59959,1667482111000,NORMAL
3.9,202909,36.4886161,127.2858095,17.55984,1667482113000,NORMAL
3.9,202910,36.4888706,127.2860636,18.688665,1667482115000,NORMAL
3.9,202911,36.4891363,127.2863418,19.848537,1667482117000,NORMAL
3.9,202912,36.489425,127.2866201,20.419445,1667482119000,NORMAL
3.863,202913,36.4897213,127.2868917,21.099842,1667482121000,NORMAL
3.863,202914,36.4900317,127.2871747,21.769842,1667482123000,NORMAL
3.863,202915,36.4903543,127.2874669,22.429829,1667482125000,NORMAL
3.9,202916,36.4906849,127.2877654,23.049763,1667482127000,NORMAL
3.9,202917,36.4910204,127.2880724,23.739834,1667482129000,NORMAL
3.9,202918,36.4913719,127.2883908,24.279888,1667482131000,NORMAL
3.863,202919,36.4917164,127.288707,23.14027,1667482133000,NORMAL
3.863,202920,36.4920483,127.289009,22.50014,1667482135000,NORMAL
3.863,202921,36.4923696,127.289301,21.465569,1667482137000,NORMAL
3.9,202922,36.492667,127.2895848,20.192194,1667482139000,NORMAL
3.9,202923,36.4929478,127.2898453,18.051266,1667482141000,NORMAL
3.9,202924,36.4932032,127.2900647,16.93021,1667482143000,NORMAL
3.9,202925,36.4934515,127.2902602,15.9544735,1667482145000,NORMAL
3.9,202926,36.4936844,127.2904596,15.790472,1667482147000,NORMAL
3.9,202927,36.4939112,127.2906654,15.520599,1667482149000,NORMAL
3.9,202928,36.4941301,127.290871,15.250559,1667482151000,NORMAL
3.863,202929,36.4943438,127.2910796,15.010328,1667482153000,NORMAL
3.863,202930,36.4945472,127.2912823,14.540141,1667482155000,NORMAL
3.863,202931,36.4947536,127.2914714,14.360036,1667482157000,NORMAL
3.9,202932,36.4949621,127.291664,14.160041,1667482159000,NORMAL
3.9,202933,36.495159,127.2918594,13.747022,1667482161000,NORMAL
3.9,202934,36.4953565,127.2920439,14.208155,1667482163000,NORMAL
3.863,202935,36.4955637,127.2922347,14.379177,1667482165000,NORMAL
3.863,202936,36.4957817,127.2924215,14.419916,1667482167000,NORMAL
3.863,202937,36.4959845,127.2926062,13.540241,1667482169000,NORMAL
3.9,202938,36.4961845,127.2927791,13.290101,1667482171000,NORMAL
3.9,202939,36.4963823,127.2929404,13.889786,1667482173000,NORMAL
3.9,202940,36.4965936,127.2931164,14.269839,1667482175000,NORMAL
3.9,202941,36.4968091,127.2932916,14.2300005,1667482177000,NORMAL
3.9,202942,36.497021,127.293466,14.379961,1667482179000,NORMAL
3.9,202943,36.4972398,127.2936451,15.033811,1667482181000,NORMAL
3.9,202944,36.497471,127.2938243,14.993389,1667482183000,NORMAL
3.863,202945,36.4977067,127.2940033,15.079322,1667482185000,NORMAL
3.863,202946,36.4979404,127.2941788,15.060404,1667482187000,NORMAL
3.863,202947,36.4981681,127.2943558,14.313868,1667482189000,NORMAL
3.9,202948,36.4983858,127.2945251,14.064863,1667482191000,NORMAL
3.9,202949,36.4986053,127.294685,13.951171,1667482193000,NORMAL
3.9,202950,36.4988201,127.2948404,13.474797,1667482195000,NORMAL
3.9,202951,36.499022,127.2949907,12.841372,1667482197000,NORMAL
3.9,202952,36.4992192,127.2951386,13.005921,1667482199000,NORMAL
3.9,202953,36.4994193,127.2952867,12.504585,1667482201000,NORMAL
3.9,202954,36.4995987,127.2954228,11.126243,1667482203000,NORMAL
3.9,202955,36.4997514,127.2955449,9.38902,1667482205000,NORMAL
3.9,202956,36.4998888,127.2956532,8.549096,1667482207000,NORMAL
3.9,202957,36.5000183,127.2957704,10.080765,1667482209000,NORMAL
3.9,202958,36.5001742,127.2959147,11.313745,1667482211000,NORMAL
3.9,202959,36.500336,127.2960369,8.904848,1667482213000,NORMAL
3.9,202960,36.5003667,127.2962245,11.831599,1667482215000,NORMAL
3.9,202961,36.5002607,127.2964717,12.229586,1667482217000,NORMAL
3.9,202962,36.5001336,127.2967252,14.147589,1667482219000,NORMAL
3.9,202963,36.4999936,127.2970209,16.116604,1667482221000,NORMAL
3.9,202964,36.4998463,127.2973404,16.728867,1667482223000,NORMAL
